,書名,作者,出版日期,內容介紹,網址
1,主任島耕作(03)(限),弘兼憲史,2020-11-09,"
2008年，島耕作終於就任初芝五洋控股集團的第一任社長。島耕作為人誠懇，不喜歡被公司內的派閥所收編，雖然他明知這樣會危害自己的升官之路，卻仍然一直貫徹這樣的主張。不隸屬於公司內任何派閥的島耕作因...more
",https://www.books.com.tw/products/0010874415?loc=P_0003_001
2,響~成為小說家的方法~(01)-(13)完,柳本光晴,2020-11-05,"
劃分文學界新舊時代的分水嶺， 就從這本漫畫開始!    ♚擊敗《迷宮飯》、《約定的夢幻島》、《東京白日夢女》   一舉奪得「漫畫大賞2017」第一名!   ♚小栗旬、北川景子、平手友梨奈(欅坂46)領銜主演   2018...more
",https://www.books.com.tw/products/0010874016?loc=P_0003_002
3,無敵怪醫K2 33,真船一雄,2020-10-23,"
擊退邪教團體的攻擊，儘管救活了維克多兄弟，付出的代價卻是痛失母親‧麻純。一也獨自承受著痛苦，在各地徘徊。然而，他試圖拯救患者時的模樣卻非常堅定。以極快速度侵蝕身體的感染病症，以及被虐兒的神祕...more
",https://www.books.com.tw/products/0010872711?loc=P_0003_003
4,偶像盛宴! 6完,TNSK,2020-10-16,"
(完結篇)決定歌利亞最強偶像的總殲舉，即將分出勝負!   3巨頭的CENTER：Spellhound露・格露、   Kantdata姆斯塔托・鴉、   Loreley由紀・拉拉嚕嚕莉特齊聚一堂，   月音他們的戰鬥也即將邁向最終局面!   ....more
",https://www.books.com.tw/products/0010872185?loc=P_0003_004
5,學生島耕作就活篇(02),弘兼憲史,2020-10-16,"
就職雖然重要，但是畢業沒問題嗎?你還差40個學分吧?    1969年，早稻田大學4年級生島耕作，   順利取得第一志願，   大型家電製造商‧初芝電產的內定，   偏偏全校大罷課導致授課無法繼續。   專心打工的島...more
",https://www.books.com.tw/products/0010872944?loc=P_0003_005
6,王牌酒保(08),"城安良嬉,長友健篩",2020-10-13,"
一同經歷苦難、互相競爭，卻又相互憎恨的兩名少年，當他們名利雙收、邁入老年之後，人生又好像缺乏了什麼――。睽違50年，當年的少年在「Eden hall」重逢，能夠填補他們心靈空洞的那杯調酒是?...more
",https://www.books.com.tw/products/0010872933?loc=P_0003_006
7,請在伸展台上微笑 16,猪ノ谷言葉,2020-10-12,"
育人與千雪攜手共同挑戰!   TGC特別秀正式開幕!   育人與千雪打從心底享受著繽紛的TGC(東京女孩時裝秀)。   然而新生「novice」傾力打造的   變形包包銷售戰略成功與否，   取決於活動尾聲的TGC特別秀……! ...more
",https://www.books.com.tw/products/0010872206?loc=P_0003_007
8,宇宙兄弟(15),小山宙哉,2020-10-08,"
人生，就應該懷抱夢想，奮鬥不懈──   音樂鬼才盧廣仲、人氣作家九把刀同聲推薦!   日本總銷售量突破1,400萬本!    陰沉沉的俄羅斯天空下──   日日人的心情也開朗不起來。   每當他穿上太空衣，   就會被喚...more
",https://www.books.com.tw/products/0010871985?loc=P_0003_008
9,催眠麥克風-Division Rap Battle- side B.B & M.T.C 2,"EVIL LINE RECORDS,百瀬祐一郎,蟹江 鉄史",2020-10-06,"
地區饒舌對戰預賽終於開始。   「Buster Bros!!!」的二郎和三郎步調不一，被迫陷入苦戰。   一郎暗示可能會解散隊伍，心生動搖的兩人   中了對戰隊伍的策略!!   另一方面，「MAD TRIGGER CREW」也一樣，  ...more
",https://www.books.com.tw/products/0010871745?loc=P_0003_009
10,麻辣教師GTO 愛藏版 9,藤沢 亨,2020-09-28,"
麗美因出生秘密被雅公諸於世而採取報復攻擊，表明要在網路上公開雅的偷拍照後，消失蹤影。麗美和雅這兩位少女瀕臨崩潰邊緣，3年4班的學生也跟著不得安寧。學苑不欲人知的秘密逐漸浮出表面…為了挽救失蹤的...more
",https://www.books.com.tw/products/0010867366?loc=P_0003_010
11,麻辣教師GTO 愛藏版 10,藤沢 亨,2020-09-28,"
漫長的第一學期終於結束，進入第二學期!解決敕使川原引發的一連串事件後，立下大功的鬼塚成為正式教師!得意忘形的鬼塚還沒高興多久，轉正的人事命令就被突然冒出來的新校長‧大門美鈴取消，甚至不讓他擔任...more
",https://www.books.com.tw/products/0010867368?loc=P_0003_011
12,麻辣教師GTO 愛藏版 11,藤沢 亨,2020-09-28,"
班上的男生都迷上了轉學生‧常盤愛，但她的真正身分其實是大門校長的手下──在暗中活動的浴血天使!對男性抱著強烈憎惡的她引發暴力事件，且程度愈發血腥殘忍，最後等著她的則是鬼塚的痛苦懲罰!面對內心有創...more
",https://www.books.com.tw/products/0010867370?loc=P_0003_012
13,麻辣教師GTO 愛藏版 12完,藤沢 亨,2020-09-28,"
在鬼塚與「前2年4班」面前，雅坦白說出自己一直隱瞞的過錯。雖然對雅所說的一切感到震驚，前2年4班也因此終於團結一心。可是計劃「毀滅3年4班」的「天使」涉谷卻對眾人展露出強烈的敵意!連大門校長都對他...more
",https://www.books.com.tw/products/0010867371?loc=P_0003_013
14,麻辣教師GTO 愛藏版 1,藤沢 亨,2020-09-28,"
立志當一個名留青史偉大老師的鬼塚英吉現身了!原本目標年收入千萬的演藝傳播事業，在街頭遇上一個師生戀的少女後，大受刺激從此目標老師為終生職志...而鬼塚流的痞子作風會給日本教育界帶來什麼樣的改革呢...more
",https://www.books.com.tw/products/0010867350?loc=P_0003_014
15,麻辣教師GTO 愛藏版 2,藤沢 亨,2020-09-28,"
以為只要通過教學實習，聘書就會自動上門的鬼塚這次糗大了，竟然錯過了東京都教師任用考試!以為人生就此結束的鬼塚正前往一家明星私立學校面試中。一記德國式後 橋背摔替鬼塚打開夢寐以求的老師生涯，面對...more
",https://www.books.com.tw/products/0010867352?loc=P_0003_015
16,麻辣教師GTO 愛藏版 3,藤沢 亨,2020-09-28,"
可喜可賀，鬼塚正式當上高中老師了。 且一開始就擔任傳聞最有問題的三年四班的導師， 而目標整倒老師的第一波攻勢也悄悄地上演了。 而惹火前暴走族鬼塚的下場會是什麼呢?...more
",https://www.books.com.tw/products/0010867355?loc=P_0003_016
17,麻辣教師GTO 愛藏版 4,藤沢 亨,2020-09-28,"
在「全國共通學力測驗」當天，鬼塚榮譽負傷，一躍成為英雄，整個人開始得意忘形!此時，一位少女出現在洋洋得意的鬼塚面前。少女的名字是神崎麗美。長期拒絕上學的她，智商有200以上，被稱為惡魔天才少女，...more
",https://www.books.com.tw/products/0010867357?loc=P_0003_017
18,麻辣教師GTO 愛藏版 5,藤沢 亨,2020-09-28,"
「校外教學」奏效，麗美重新回學校上課，3年4班的學生們也逐漸接納鬼塚。但是，其中有個學生‧相澤雅看不慣班上的轉變，似乎在打什麼壞主意…就在這時，3年4班發生大事，裝校外教學費用112萬圓的收費袋不見...more
",https://www.books.com.tw/products/0010867359?loc=P_0003_018
