,書名,作者,出版日期,內容介紹,網址
1,灌籃少年ACT4 2,八神浩樹,2020-10-23,"
神奈川名門學校湘南大相模的籃球隊，以王牌布施步為中心，再次準備挑戰全國大賽。由於柳本在比賽時受傷，引發了PG(控球後衛)位置爭奪戰。為了通過「PG選拔測驗」，一年級的柏木、森、多岐川開始在早晨特訓...more
",https://www.books.com.tw/products/0010872211?loc=P_0002_001
2,山與食欲與我(09),信濃川日出雄,2020-10-21,"
27歲的上班族日日野鮎美最討厭被人叫「山女孩」了，   自稱為單獨登山女子的她，   對登山熱愛覺醒的契機是在大學畢業紀念的富士山登山。   在那之後，第2次挑戰攀登富士山的鮎美，   面對過去的記憶，懷...more
",https://www.books.com.tw/products/0010873693?loc=P_0002_002
3,MIX(16),安達充,2020-10-15,"
投馬與走一郎的   第二個夏天到來。    眾所矚目的投捕兄弟檔與   跑、攻、守俱佳的選手陣容。   以種子校身分君臨   今年度大賽的明青學園……   簡直無懈可擊!?  本書特色    故事發生在明青學園，可說是...more
",https://www.books.com.tw/products/0010873296?loc=P_0002_003
4,第一神拳 128,森川讓次,2020-10-06,"
木村減重失敗，在精疲力盡的狀態下站上了擂臺。他能夠靠著一步的指示獲勝嗎?   另一方面，千堂和岡薩雷斯將在墨西哥舉行比賽，勝利者將可獲得挑戰里卡路德的資格。   會長為了讓一步累積經驗，就叫他去墨...more
",https://www.books.com.tw/products/0010871727?loc=P_0002_004
5,宅男打籃球 第十六集,"洪元建,滷蛋周",2020-09-30,"
不能放棄!阿基練罰球、蛙仔拼上籃，   蛻變沒有捷徑，需要時間、毅力，不斷地練習⋯⋯   周大華翻船停賽，美又大隱憂頓時浮現⋯⋯   強敵台中太陽隊先觀後攻，165CM主將控球宰殺全場!   接連敗北，蛙仔、阿基...more
",https://www.books.com.tw/products/0010871460?loc=P_0002_005
6,頭文字D(34),重野秀一,2020-09-23,"
誰即將成為公路競速的勝者!?   D計畫終於要在最後的遠征地——   神奈川最高峰的區域   開始與對手分出勝負!!   在這個公路競速的聖地，   D計畫車隊將會顯示出什麼樣的實力?...more
",https://www.books.com.tw/products/0010870292?loc=P_0002_006
7,頭文字D(35),重野秀一,2020-09-23,"
激烈的比賽超乎了公路競速的界限!   第1項比賽的中盤，大宮終於覺醒了!   在地的霸主‧大宮以超凡的專注力和拓海進行激烈的競爭。   然而，拓海在不知不覺間卻體驗到前所未有的速度感……!!...more
",https://www.books.com.tw/products/0010870293?loc=P_0002_007
8,頭文字D(36),重野秀一,2020-09-23,"
拓海vs.小柏之戰，再度點燃戰火!   超越急速的界限、邁向新的決戰舞台!   神奈川區域第2回合，開始!!...more
",https://www.books.com.tw/products/0010870294?loc=P_0002_008
9,MF GHOST 燃油車鬥魂 4,重野秀一,2020-09-21,"
西元202X年。在日本有一項受到全世界歡迎的公路賽車。它的名稱是「MFG」。開幕戰賽程進入分出勝負的第2圈。藤原拓海的學生，片桐夏向憑藉著觀眾、解說員甚至是神級15人都無法理解的技巧，快速地追上來自歐...more
",https://www.books.com.tw/products/0010870231?loc=P_0002_009
10,新網球王子(24),許斐剛,2020-09-17,"
決勝錦標賽第一場比賽雙打2   變成了一場由君島/白石VS特里斯坦/堤默迪所展開的帥哥大對決。   相對於一得分便擺出POSE的其他3人，   白石始終頑強地堅守著自己的風格。   這場比賽到最後究竟會鹿死誰手呢...more
",https://www.books.com.tw/products/0010870366?loc=P_0002_010
