,書名,作者,出版日期,內容介紹,網址
1,炎炎消防隊 24,大久保篤,2020-10-26,"
蠢動的陰謀，逐漸逼近的大災害。   皇國的逆賊・第8將要以什麼方式戰鬥?   為了對抗大災害，第8開始做準備。   亞瑟的聖劍終於完成了!   此外，森羅跟紅丸進行修行，   讓「亞多拉連結」更加深入。   森羅...more
",https://www.books.com.tw/products/0010872714?loc=P_0002_001
2,鐵鼠之檻 2,"京極夏彦,志水アキ",2020-10-26,"
──沒有人想要離開。   因為無法離開這裡──   明慧寺的真相是謎之寺。   長達數百年的時間無人知曉，   只是一直存在那裡…   遭到殺害的小坂了稔是名胡作非為的破戒和尚，   慈行、祐賢、常信等人的派系也...more
",https://www.books.com.tw/products/0010872716?loc=P_0002_002
3,不愉快的妖怪庵(15),ワザワキリ,2020-10-22,"
保護著隱世的「隱世公主」身體虛弱，   因此三權神開始準備選出新的「隱世公主」。   妖怪庵的前代主人葵雖然有資質，   卻已身亡……但公主無法接受葵已死亡，   於是立法向公主打了某個賭。   另一方面，...more
",https://www.books.com.tw/products/0010873733?loc=P_0002_003
4,怪物事變(10),藍本松,2020-10-22,"
擁有5個之多的怪物結石，   露出妖豔笑容的飯生表示要獨佔「糧食」。   理解到她的目的是想將受其控制的人類   拿來作為糧食，藉此使怪物不得不受到她的控制，   夏羽等人拜訪了成為關鍵的「櫻牙火腿」工...more
",https://www.books.com.tw/products/0010873742?loc=P_0002_004
5,雙星之陰陽師 21,助野嘉昭,2020-10-19,"
年滿20歲的「雙星陰陽師」轆轤與紅緒，一面努力袚除汙穢，一邊享受新婚生活。但是，兩人還不算正式的夫妻。轆轤為了向紅緒求婚而準備了戒指，但在禍野執行任務時，竟然弄丟了!迎向新生活，風波不斷…新章開...more
",https://www.books.com.tw/products/0010872195?loc=P_0002_005
6,冥戰錄 第十二卷 因果結,韋宗成,2020-10-16,"
因果定業!冥戰將啟!   默娘與公主，神格降世與千年傳承的糾纏!?   冥戰的秘密即將公諸於世，紫雲面對來勢洶洶的官員們將如何應對?   公主與默娘面對家仇與人世危機，公主親衛隊們對職責與家族誓約的抉擇? ...more
",https://www.books.com.tw/products/0010873094?loc=P_0002_006
7,通靈童子 紅 3,"JET草村,武井宏之",2020-10-12,"
「一切都是為了F.O.M。」   在與赤緋紅幹部對峙的道潤、李白龍面前，   擁有壓倒性力量的東一族出現了。   讓一觸即發的氣氛灰飛煙滅的是，道蓮──   這是道家最後羈絆的故事。...more
",https://www.books.com.tw/products/0010871742?loc=P_0002_007
8,村祀 7,山口讓司,2020-10-12,"
將死去的靈魂召喚回來……   一個老朋友委託流浪學者‧三神調查上面刻有奇妙文字的祭祀用品。他強行將三神引誘到「印那見島」，跟三神過去的女朋友‧阿忍有著很深的關係──...more
",https://www.books.com.tw/products/0010872188?loc=P_0002_008
9,通靈童子 THE SUPER STAR 3,武井宏之,2020-10-08,"
「知」為萬事萬物的武器。   青梅戒造堅守至今的金庫終於開啟。   沉眠其中的，是老舊手槍和文件，   以及流離戰場的無數的靈。   第二次世界大戰的櫻井、X-LAWS結成前、   暗中活躍的YVS隊，全部都開始連...more
",https://www.books.com.tw/products/0010871741?loc=P_0002_009
10,東京怪奇酒,清野通,2020-10-05,"
本書是由作者清野通直接訪問友人熟人他人 所收集而來的「恐怖怪談」， 再由他親身前往怪奇現場小酌一杯的實錄漫畫。 就算一次也好，好想「撞鬼」呀! 但是好害怕……不過又好想看……不行，還是很怕…… 但又好想...more
",https://www.books.com.tw/products/0010871928?loc=P_0002_010
11,鬼滅之刃 21,吾峠呼世晴,2020-09-28,"
與上弦之壹的激戰，終於來到決定勝負的時刻!鬼殺隊使出全力戰鬥，儘管最後終於贏得勝利，卻也付出慘痛的代價…。而且就在無限城的深處，鬼的始祖‧鬼舞辻開始行動…!此時，炭治郎將會──?...more
",https://www.books.com.tw/products/0010870460?loc=P_0002_011
12,鬼滅之刃 21 (特裝版),吾峠呼世晴,2020-09-24,"
與上弦之壹的激戰，終於來到決定勝負的時刻!鬼殺隊使出全力戰鬥，儘管最後終於贏得勝利，卻也付出慘痛的代價…。而且就在無限城的深處，鬼的始祖‧鬼舞辻開始行動…!此時，炭治郎將會──?...more
",https://www.books.com.tw/products/0010870461?loc=P_0002_012
13,隱瞞之事 6,久米田康治,2020-09-23,"
思念，可以積存-。   包括Comic Market在內，年底年初的漫畫業界滿載出版社主辦的交流派對、年終工作總結、聖誕節、大掃除銜接過年&新年……等活動，後藤老師和小姬都因此忙得不可開交!...more
",https://www.books.com.tw/products/0010870464?loc=P_0002_013
14,炎炎消防隊 23,大久保篤,2020-09-21,"
班茲大隊長，殉教!   皇國之敵・第8，能夠成功逃獄嗎?   眾人闖進府中大牢獄，   班茲也在那裡喪命。   第8遭到「屠殺者」DRAGON的攻擊。   面臨全滅的危機!   正當此時，   神秘的助拳人「MOONLIGHT假面...more
",https://www.books.com.tw/products/0010869921?loc=P_0002_014
15,化物語 9,"大暮維人,西尾維新",2020-09-17,"
即將訴說的阿良良木曆的「開始」的故事。   一切都開始於他與高貴、傲慢又美麗，遍體鱗傷的吸血鬼的邂逅。   等待他的是，也可稱為地獄的日子…。   「化物語」前日譚，第零話──「傷物語」!   「掟上今日子...more
",https://www.books.com.tw/products/0010869265?loc=P_0002_015
16,三隻眼 鬼籍之闇的契約者(3),高田裕三,2020-09-16,"
☆聖魔再臨!繼「幻獸森林的遇難者」後，三隻眼全新正統續作   ☆系列累計3300萬冊，第17回講談社漫畫賞得獎作品    ■前情提要■   藤井八雲是一名普通的高中生，他因為民俗學家父親輕率的行動，   使得生命被...more
",https://www.books.com.tw/products/0010869777?loc=P_0002_016
17,三隻眼 鬼籍之闇的契約者(4),高田裕三,2020-09-16,"
☆聖魔再臨!繼「幻獸森林的遇難者」後，三隻眼全新正統續作   ☆系列累計3300萬冊，第17回講談社漫畫賞得獎作品    ■前情提要■   藤井八雲是一名普通的高中生，他因為民俗學家父親輕率的行動，   使得生命被...more
",https://www.books.com.tw/products/0010869778?loc=P_0002_017
18,潮與虎 完全版(01),藤田和日郎,2020-09-11,"
★傳說中的名搭檔堂堂回歸!!   ✧全球累計發行量超過3千萬冊，2015年放送39集全新電視動畫。   ✦經典完全收藏!不僅書衣，內封面也有收錄單行本精選封面!   ✧完全收錄連載刊出的彩頁!   ✦重點集數以雙色印刷...more
",https://www.books.com.tw/products/0010869095?loc=P_0002_018
19,潮與虎 完全版(02),藤田和日郎,2020-09-11,"
★大妖怪‧阿虎睽違五百年，在世界大暴走!!   ✧全球累計發行量超過3千萬冊，2015年放送39集全新電視動畫。   ✦經典完全收藏!不僅書衣，內封面也有收錄單行本精選封面!   ✧完全收錄連載刊出的彩頁!   ✦重點集...more
",https://www.books.com.tw/products/0010869098?loc=P_0002_019
20,潮與虎 完全版(03),藤田和日郎,2020-09-11,"
★尋找母親祕密的兩人踏上旅途!!    ✧全球累計發行量超過3千萬冊，2015年放送39集全新電視動畫。   ✦經典完全收藏!不僅書衣，內封面也有收錄單行本精選封面!   ✧完全收錄連載刊出的彩頁!   ✦重點集數以雙色...more
",https://www.books.com.tw/products/0010869115?loc=P_0002_020
21,潮與虎 完全版(04),藤田和日郎,2020-09-11,"
★與遠野的妖怪們展開激烈對決!!    ✧全球累計發行量超過3千萬冊，2015年放送39集全新電視動畫。   ✦經典完全收藏!不僅書衣，內封面也有收錄單行本精選封面!   ✧完全收錄連載刊出的彩頁!   ✦重點集數以雙色...more
",https://www.books.com.tw/products/0010869120?loc=P_0002_021
22,潮與虎 完全版(05),藤田和日郎,2020-09-11,"
★前往充滿妖怪的北方大地!!    ✧全球累計發行量超過3千萬冊，2015年放送39集全新電視動畫。   ✦經典完全收藏!不僅書衣，內封面也有收錄單行本精選封面!   ✧完全收錄連載刊出的彩頁!   ✦重點集數以雙色印刷...more
",https://www.books.com.tw/products/0010869122?loc=P_0002_022
23,潮與虎 完全版(06),藤田和日郎,2020-09-11,"
★真正的「獸矛」繼承者究竟是誰!?    ✧全球累計發行量超過3千萬冊，2015年放送39集全新電視動畫。   ✦經典完全收藏!不僅書衣，內封面也有收錄單行本精選封面!   ✧完全收錄連載刊出的彩頁!   ✦重點集數以雙...more
",https://www.books.com.tw/products/0010869126?loc=P_0002_023
