,書名,作者,出版日期,內容介紹,網址
1,麻將究極攻略：雀界不傳之密，雀技最終系統的揭露與總結,張善敏,2020-07-15,"
暢銷十年!《麻將完全攻略》之後最新力作   ☉本書不是入門課，適合想要成為雀桌強者的你，初學者請改道而行☉   平均提升雀技，發揮各面綜效，創造既有優勢，觸發勝利條件!   本書帶領你：   ☉強化高階雀技...more
",https://www.books.com.tw/products/0010863384?loc=P_0003_001
2,宅在家培養嗜好套書(共八冊)：品葡萄酒+品紅茶+養貓+養鳥+作詞+打橋牌+下圍棋+塔羅占卜,"楊玉琴,許志鵬,趙立忠,陳正茂,陳雅翎",2020-05-21,"
宅在家除了追劇、玩Game、發呆、睡懶覺還能幹嗎? 打開新嗜好的大門讓自己宅得充實、宅得開心、宅到發光吧! 單書介紹↓↓ 冊一《第一次品葡萄酒就上手》 葡萄酒自有個性。品一瓶葡萄酒就像是閱歷一瓶酒的身世...more
",https://www.books.com.tw/products/0010857661?loc=P_0003_002
3,一學就會的100個德州撲克實戰技巧,趙劍,2020-02-28,"
《一學就會的100個德州撲克實戰技巧》結合作者日常培訓和教學的實踐經驗，精選了100個德州撲克實戰技巧，主要涉及一些基本戰術技巧，如玩家分析技巧、牌面分析技巧、讀牌技巧、下注技巧等。全書以圖為主進...more
",https://www.books.com.tw/products/0010850818?loc=P_0003_003
4,邁向賭神之路：麻將必勝祕笈,洪錦魁,2017-05-25,"
征戰方城攻無不克   好運或壞運，不會永遠降臨在一個人身上   打麻將只靠老天爺，注定當輸家!   分析牌面，電腦作家用數字說話!   獨創數學演算法，運用科學方法分析   共列出25局共100副開局牌，將每副牌...more
",https://www.books.com.tw/products/0010752290?loc=P_0003_004
5,搶聽!胡牌!麻將必勝36計(彩色圖解版),佘時佑,2017-01-01,"
★奇計+妙算+心戰，保證牌技絕頂讚! 麻將不必瞎玩，胡牌不是靠運氣!   麻將大師融和多年實戰的寶貴經驗與智慧，   以孫子兵法及三十六計的精闢觀念為基礎，   教你如何在各種牌型、牌勢及玩家之間，   兵來...more
",https://www.books.com.tw/products/0010739114?loc=P_0003_005
6,至尊百家樂 五局八星 附 CD,Bruce Chen,2016-12-19,"
百家樂已經成為賭場中最流行的博彩遊戲之一，也是一個賠率公平的遊戲，在世界各地賭場人氣正夯，且遊戲簡單易玩，同時又是賭場占優勢最少的遊戲之一。本書除了教你如何破解百家樂，並以「幾道測驗題」的方...more
",https://www.books.com.tw/products/0010470423?loc=P_0003_006
7,行動導讀影音書：旺寶百家樂投資理財點金術,張立平,2015-09-04,"
本書以「形導形」打破舊觀念「點導點」以「莊」、「閒」各佔50 %之千古迷思，拯救即將墬入苦難深淵之普羅大眾，詳解百家樂牌流大數顛撲不破之定律，為前無古人，後無來者，曠世創作，願有福人來結緣。   ■...more
",https://www.books.com.tw/products/0010688414?loc=P_0003_007
8,新訂版 新百家樂入門,Bruce Chen,2015-03-13,"
百家樂是一種古老的撲克牌遊戲，起源於中世紀的義大利。來到 21 世紀，它已成為全球各賭城裡相當普遍的賭局，一擲千金的豪客總是愛流連在百家樂賭桌邊，尤其又以亞洲賭客最鍾情   於此。在澳門，「百家樂...more
",https://www.books.com.tw/products/0010667384?loc=P_0003_008
9,十六牌麻將贏牌秘笈,白中發,2015-01-01,"
室內休閒競賽活動中最有樂趣，富刺激性、鬥智性高的，首推麻將。利用空餘閒暇，邀約好友環桌同樂，對身心的調節及手腦的運用，是非常有助益的。   本局有鑑於此，精心為您編輯本書，期能提昇您的競技實力...more
",https://www.books.com.tw/products/0010661952?loc=P_0003_009
10,博奕管理與賭場遊戲,"洪揚,洪鷹",2014-05-01,"
各國摩拳擦掌，爭相投入博奕產業，這個結合了賭場、觀光、度假村等鑽石產業有何魅力?賭場如何賺錢，又要贏得剛剛好?玩家如何在賭場賺錢，不只玩得開心也玩得安心?除了加入賭局，玩家還有機會設計遊戲、投...more
",https://www.books.com.tw/products/0010640294?loc=P_0003_010
