,書名,作者,出版日期,內容介紹,網址
1,國家地理終極蜜月之旅,麥克與安・霍華德,2019-07-02,"
「全世界最久的蜜月旅行者」麥克與安・霍華德花了五年時間走遍七大洲，找到了雙人旅遊的創新方式。他們分享自己的旅遊經驗與訣竅，帶你們遠離觀光人潮、展開自己的冒險旅程、創造一輩子的回憶。 本書特色 ...more
",https://www.books.com.tw/products/0010826558?loc=P_0003_001
2,Attractive!婚禮新娘造型設計：妝容X髮型，打造婚宴最亮眼的新娘(附範例DVD),小敏,2018-06-27,"
第一本針對婚禮當天新娘造型指南   實用 X 經典 X 美   深入挖掘每位新娘特質   步驟圖解+教學影片+成果欣賞   輕鬆掌握打造新娘妝髮的祕訣   包含新娘妝容、造型技法   白紗、西式禮服、中式禮服如何搭配...more
",https://www.books.com.tw/products/0010791206?loc=P_0003_002
3,韓風新娘髮型攻略,安洋,2018-06-06,"
108種經典韓式新娘髮型   16則髮型技法的教學影片   @新娘浪漫唯美髮型   @新娘靈動自然髮型   @新娘復古優雅髮型   @新娘簡約大氣髮型   本書對目前流行的新娘化妝造型進行了全面解讀與技巧詳述。本書分...more
",https://www.books.com.tw/products/0010789209?loc=P_0003_003
4,從5種版型學會做20款婚紗&禮服：附5種基本版型的S.M.ML.L 實物大小紙型,"岡本阿津沙,松尾一弘,野中慶子",2018-05-09,"
穿著可以改變一個人的氣質，   藉由穿著適合自己的服裝，可以更加突顯女性魅力。   而對於女人來說，最耀眼的時刻莫過於穿上婚紗與禮服。   無論是可愛、耀眼、潔白、可愛、端莊、冶豔、華麗，   各種風格...more
",https://www.books.com.tw/products/0010786567?loc=P_0003_004
5,時尚新娘MAKEUP & HAIRSTYLE：打造最美麗時刻,荷瑪,2018-05-03,"
12款經典又充滿時尚的新娘風格   從造型、妝容到髮型   全程詳細步驟圖及手法說明   打造出一位位美麗動人的新娘   本書收錄時下流行的新娘妝容髮型的打造方法，涵蓋了婚禮中可能會遇到的各個環節。提供12...more
",https://www.books.com.tw/products/0010785583?loc=P_0003_005
6,打造夢想中的新娘：時尚新娘美妝/造型實用教學,小雨MAKEUP（奕彤）,2018-04-03,"
七種典型妝容風格精彩演繹 十二種髮型技法的多變操作   本書對目前流行的新娘化妝造型進行了全面解讀與技巧詳述。本書分為妝容篇與髮型篇兩大板塊，在每個部份中精心選取了當下人氣超高的妝容和髮型實例並...more
",https://www.books.com.tw/products/0010784583?loc=P_0003_006
7,BRIDE’s GUIDE TO STYLE：風尚新娘妝髮造型BOOK(好評再版),小雨MAKEUP,2018-02-03,"
空氣感髮型x通透感妝容 展現現代新娘自然透亮的氣質 更為新穎、靈動、有生命力   髮型擺脫一絲不亂，妝容摒棄厚重濃密   鬆散的髮髻，垂落的髮絲，看似毛躁的小碎髮，都是體現新娘造型生命力的元素。   選...more
",https://www.books.com.tw/products/0010776850?loc=P_0003_007
8,幸福‧完勝 Sandy Chen老師與十六位新娘教你如何掌握婚禮大小事,Sandy Chen,2017-11-15,"
會想出版這麼一本以新娘為主的彩妝書，主要是因為這些年來，服務許多位新娘，深深有感大家的需求，也想跟新娘們談談現實與幻想中的婚禮造型差別在哪。   本書中，Sandy特別情商以往合作過的多位新娘，談談...more
",https://www.books.com.tw/products/0010770084?loc=P_0003_008
9,花嫁：專為婚禮新人規畫的一本結婚企劃書,芸安,2017-09-27,"
也許不是每個女人都經歷過被求婚的浪漫橋段，但一樣的是，決定與相愛的另一半攜手走向紅毯的那天，共同策劃譜出美好的婚禮，這份幸福的心意永恆不變。從這個時刻起，準備享受這過程吧! 這就是準備結婚的開...more
",https://www.books.com.tw/products/0010764927?loc=P_0003_009
10,法式夢幻復古風：婚禮布置&花藝提案(空間設計.禮服穿搭.雜貨手作.活動規劃),吉村みゆき,2017-09-06,"
婚禮現場變幻為一座雅緻的森林， 從裝扮到會場布置， 處處洋溢法式復古的浪漫風情。 這一天，你就是自己王國裡的主人!     ★亞馬遜讀者全五星感動推薦   「令人耳目一新的古典風格婚禮，每一頁都帶給讀者...more
",https://www.books.com.tw/products/0010763428?loc=P_0003_010
