,書名,作者,出版日期,內容介紹,網址
1,雖然是精神病但沒關係【原著劇本|上冊】：★隨書贈禮[繪本卡組]： 8款原版繪本卡X經典對白X精緻信封袋,趙容（Jo Yong）,2020-11-27,"
涵納「創傷、接納、治癒」的寓意， 一本給大人閱讀的童話!  是精神病也沒關係嗎?沒關係! 自己的人生自己作主!  金秀賢、徐睿知、吳正世精心演繹! 韓國2020年度討論度最高的戲劇大作  電視劇留下的強烈餘韻...more
",https://www.books.com.tw/products/0010874079?loc=P_0003_001
2,雖然是精神病但沒關係【原著劇本|下冊】：★隨書贈禮[繪本卡組]： 8款原版繪本卡X經典對白X精緻信封袋,趙容（Jo Yong）,2020-11-27,"
金秀賢、徐睿知、吳政世精心演繹， 韓國2020年度引爆話題的電視劇!  編劇趙容將「創傷、接納、治癒」的深遠寓意， 巧妙鑲嵌在每句對白--  「不要忘記，要戰勝它，無法戰勝的話， 你將是靈魂無法長大的小孩...more
",https://www.books.com.tw/products/0010874087?loc=P_0003_002
3,雖然是精神病但沒關係【原著劇本|上下冊套書】：★隨書贈禮[繪本卡組]：原版繪本卡X經典對白X精緻信封袋(8+8款),趙容（Jo Yong）,2020-11-27,"
金秀賢、徐睿知、吳政世精心演繹， 韓國2020年度引爆話題的電視劇!  涵納「創傷、接納、治癒」的寓意， 一本給大人閱讀的童話!  是精神病也沒關係嗎?沒關係! 自己的人生自己作主!  值得收藏的劇本書! 讓你...more
",https://www.books.com.tw/products/0010874090?loc=P_0003_003
4,我的一九九七,"張強,李康",2020-09-11,"
從改革開放到香港回歸的20年，是中國社會發生翻天覆地變化的20年。本書以內地、香港兩地這20年的歲月變遷為背景，以高建國和安慧一段扣人心弦的愛情故事為線索，連接起特殊的時代環境下一群不同身份、不同...more
",https://www.books.com.tw/products/0010870678?loc=P_0003_004
5,東方搜神局之天火傳II,"吳家強,張志偉,曹志豪",2020-09-11,"
《東方搜神局》系列、滅世彗星「阿雷斯」快將回歸地球，世界萬物屆時盡化星塵，來自亞洲不同城市的新世代神話英雄應劫而生，並集結聯手對付災星!   系列首部作品《天火傳》，講述國際祕密特工組織「搜神局...more
",https://www.books.com.tw/products/0010870705?loc=P_0003_005
6,粽邪(電影小說),華影國際影藝有限公司,2020-09-10,"
揭開台灣百年神秘喪葬習俗 獨家介紹「送肉粽」驅邪除煞儀式 同名電影榮獲2018年暑假檔華語片票房冠軍 完整呈現電影劇情及從未曝光的幕後花絮    為什麼鹿港人要把上吊自殺的往生者喚作「肉粽」?   沒有淨...more
",https://www.books.com.tw/products/0010869338?loc=P_0003_006
7,刻在你心底的名字：劇本原創小說,DiFer,2020-09-01,"
三十年前，台灣剛解嚴的那個純樸年代，就讀台中保守教會學校的阿漢，在高二夏天的泳池邊遇見了狂放不羈的轉學生Birdy，從此他的世界不再壓抑與一成不變，而是充滿了青春的騷動與性啟蒙的飢渴。Birdy總是似...more
",https://www.books.com.tw/products/0010868123?loc=P_0003_007
8,浪漫輸給你 電視劇小說,廖紹妤,2020-08-31,"
每一次遇見，都是命中註定；每一次相愛，都是用盡力氣!   鄭曉恩，一個平凡的出版社員工，負責言情小說的編輯，時常幻想有個高富帥的霸道總裁可以拯救自已苦難的生活。曉恩每天最療癒的時光就是和同事一起...more
",https://www.books.com.tw/products/0010865132?loc=P_0003_008
9,跟鯊魚接吻 電視劇小說,"三立電視,何沫洋,廖紹妤,廣廈工作室,張綺恩,李婕瑀",2020-04-30,"
想在弱肉強食、巨浪波濤的洪流中生存，   女人，終將淬煉為「鯊魚」!   身處職場食物鏈頂端的『鯊魚女王』，卻在愛情的海域裡遇上天敵『虎鯨男』。當真心被無條件偷走、驕傲的尖牙被拔去，斷鯺後的鯊魚該...more
",https://www.books.com.tw/products/0010852924?loc=P_0003_009
10,狼殿下【下冊】,"湛藍,陳玉珊編劇團隊",2020-04-17,"
晉王李存勖據地太原，以復興前朝為己任，多年來訓練兵馬，討伐朱梁已是蓄勢待發。    遭到狠狠背叛而萬念俱灰的馬摘星，在晉國小世子的引薦下，帶著馬家軍投晉，國仇與家恨逼得她不得不振作，而皇女身分的...more
",https://www.books.com.tw/products/0010854745?loc=P_0003_010
11,狼殿下【上冊】,"湛藍,陳玉珊編劇團隊",2020-04-17,"
唐末，朱溫篡位，建國後梁。    後梁奎州城主馬瑛之女馬摘星，自幼喪母，在心最孤獨黑暗時刻，結識了被狼養大的少年狼仔，他的純真照亮黯淡的星，她的付出馴服孤傲的狼，兩小無猜的他們錯將無憂無慮的時光...more
",https://www.books.com.tw/products/0010854746?loc=P_0003_011
