,書名,作者,出版日期,內容介紹,網址
1,ZUZU與MANA寫真書,"MANA,ZUZU",2020-11-26,"
サンエン台湾 Sanyuan_TAIWAN YouTuber 全新寫真企劃，風靡日本觀眾心路歷程公開  ZUZU與MANA首本寫真自傳書    跑遍北台灣景點拍攝，首度嘗試各種造型。為了成為更好的影片創作者，ZUZU與MANA奮鬥過程與...more
",https://www.books.com.tw/products/0010874857?loc=P_0003_001
2,鏡前鏡後,林青霞,2020-11-03,"
《窗裏窗外》、《雲去雲來》 睽違六年，林青霞又一感性創作  「我的第三本書在我今年生日出版，算是給自己的生日禮物， 也好在疫情中跟大家分享我思、我想和我描寫的人物。」 ――林青霞    ‧美術大師張叔平...more
",https://www.books.com.tw/products/0010873793?loc=P_0003_002
3,鏡前鏡後(林青霞親筆簽名裱布精裝版),林青霞,2020-11-03,"
《窗裏窗外》、《雲去雲來》 睽違六年，林青霞又一感性創作  「我的第三本書在我今年生日出版，算是給自己的生日禮物， 也好在疫情中跟大家分享我思、我想和我描寫的人物。」 ――林青霞    ‧美術大師張叔平...more
",https://www.books.com.tw/products/0010873773?loc=P_0003_003
4,親愛的__,HUSH,2020-10-20,"
後疫情時期 最暖心力作    或許，這將是我們連繫的最好方式   因為時間與空間將凝結留存於一厘米之間   不再具有意義   不再阻隔我們    給 親愛的__    ★入冬給自己與親友最溫暖的禮物   ★每一頁都是一個...more
",https://www.books.com.tw/products/0010872725?loc=P_0003_004
5,歌影留情,留情,2020-10-08,"
即使是九○或○○後，也可懷八十年代香港樂壇的舊。    回首八十年代，本地樂壇多位殿堂級歌星先後登場，對今日的新生代而言，這些名字有點陌生，又有點似曾相識；它們是過去的，卻不是過時的，恍似是，神話...more
",https://www.books.com.tw/products/0010873387?loc=P_0003_005
6,我愛ASTRO：自體發光寶藏男團,Valerie,2020-10-08,"
目光奪取!心臟暴擊! 實力顏值非凡的閃耀男團，帥萌魅力狙擊你心!   ASTRO為Fantagio公司旗下的第一組純唱跳男團，由大哥MJ、隊長JIN JIN、模範生車銀優、能歌善舞的文彬、編舞天才Rocky及擅長吉他的產賀六...more
",https://www.books.com.tw/products/0010872036?loc=P_0003_006
7,I AM Super Junior(隨書附贈團員九人漫畫書卡),Story Lab,2020-09-30,"
‧收錄Super Junior出道過程、台灣粉絲們對他們的喜愛、專輯在台灣KKBOX的排行榜紀錄等，是E.L.F不可錯過的收藏。   ‧隨書附贈九位成員漫畫書卡，以進口厚磅美術紙印製，封膜包裝。     引領KPOP潮流開拓者...more
",https://www.books.com.tw/products/0010870536?loc=P_0003_007
8,Shine,鄭秀妍 Jessica Jung,2020-09-30,"
歌手、演員、時尚設計師Jessica，首部跨界出道小說! Jessica全身心投入的心血創作，充滿既視感的劇情讓人玩味十足。 2020年引爆全球話題討論、關注度最高小說!   ▍額外加碼印刷簽名扉頁   ▍全球版權售出11...more
",https://www.books.com.tw/products/0010870756?loc=P_0003_008
9,那段年粵有多好：還好我們有廣東歌,年粵日,2020-09-11,"
歌，連繫了生命中的時刻，   年少的曖昧、成長的取捨、生死的感悟，   那些無法言語的情緒，   就用歌詞代我們說話。    廣東歌是我們成長的一部分，是讓我們面對人生種種事的養分，周耀輝書寫的一句歌詞...more
",https://www.books.com.tw/products/0010870703?loc=P_0003_009
10,我們的四大天王：九十年代樂壇風光,黃國恩,2020-09-11,"
「四大天王」──張學友、劉德華、黎明、郭富城，標誌着九十年代香港樂壇盛世。    四位男歌手，從當年初入行的青澀小伙子，一步一步登上舞台頂峰。他們個人的歌唱事業，不但為香港娛樂文化帶來一片風光，更...more
",https://www.books.com.tw/products/0010870711?loc=P_0003_010
11,秘境呼吸：房思瑜寫真書,房思瑜,2020-09-08,"
──房思瑜的第一本個人寫真書──    ‧深入房思瑜最愛的台灣秘境，窺探屬於她的健康生活進行式。   ‧收錄近200張美照，一睹房思瑜在山林秘境中，自然展現的完美體態。    「我愛山……是很喜歡、很喜歡的那種。...more
",https://www.books.com.tw/products/0010868311?loc=P_0003_011
12,【首刷限量書封】秘境呼吸：房思瑜寫真書,房思瑜,2020-09-08,"
──房思瑜的第一本個人寫真書──(首刷限量書封)    ‧深入房思瑜最愛的台灣秘境，窺探屬於她的健康生活進行式。   ‧收錄近200張美照，一睹房思瑜在山林秘境中，自然展現的完美體態。    「我愛山……是很喜歡、...more
",https://www.books.com.tw/products/0010868348?loc=P_0003_012
13,四十，仍懂愛：因為勇氣，因為家鄉，因為愛情，更因為，自己。,田中千繪,2020-08-15,"
——「留下來，或者我跟妳走!」    十四年前，《海角七号》裡深情的男孩最後告白，於是我們都好奇著，她是留了下來?還是依舊決定返回故鄉?    電影裡那年夏天的故事彷彿未完，但現實裡，來自日本的她不但留...more
",https://www.books.com.tw/products/0010866106?loc=P_0003_013
14,Super Junior利特親手做!特哥的美味料理祕訣,利特,2020-07-28,"
親手做出美味的料理，就是讓我「變幸福」的祕訣，   希望這本書，也能讓大家感受到這種幸福!   ──利特送給E.L.F的美味禮物!   【特別收錄!完整收藏】   ★繁體中文版獨家封面   ★專屬中文版序+親筆印刷簽名...more
",https://www.books.com.tw/products/0010864012?loc=P_0003_014
15,那些未曾說過的話：周興哲‧音樂故事集(首刷限定贈品：周興哲明信片寫真卡),"周興哲,左不右,李慧研",2020-06-23,"
你會不會也有這樣的體會，   有些腦海中的回憶變成一張發黃的信紙，   有些模糊的字跡記錄的曾經，卻怎麼也辨認不清?    華語樂壇最年輕的破億歌手   周興哲的第一本半自傳散文集   10首歌X 10個關於愛的...more
",https://www.books.com.tw/products/0010860678?loc=P_0003_015
16,那些未曾說過的話：周興哲‧音樂故事集,"周興哲,左不右,李慧研",2020-06-23,"
你會不會也有這樣的體會，   有些腦海中的回憶變成一張發黃的信紙，   有些模糊的字跡記錄的曾經，卻怎麼也辨認不清?    華語樂壇最年輕的破億歌手   周興哲的第一本半自傳散文集   10首歌X 10個關於愛的...more
",https://www.books.com.tw/products/0010860695?loc=P_0003_016
17,走入戰火邊界，我所見的一切：鄭雨盛，與難民相遇,鄭雨盛,2020-06-23,"
「我期盼一個更加深愛、尊重彼此── 一個更美好的世界。」──鄭雨盛   難民，不該是被歧視、避之唯恐不及的詞彙，   鄭雨盛親自走入難民營，解開人們對難民的誤解，   請與他一起傾聽，難民真正的聲音。   ◆...more
",https://www.books.com.tw/products/0010860770?loc=P_0003_017
18,你的小精靈：陳敬宣寫真【呆萌版】photobook,陳敬宣,2020-06-23,"
從小就愛拍照的我，出一本屬於自己的寫真書，一直是我心中的一個夢想。記得國小時看到表姐在婚紗館拍的寫真集，我羨慕得不得了，一直吵著媽媽讓我也去拍，但礙於花費實在太高了，於是媽媽給我買了一本剪貼...more
",https://www.books.com.tw/products/0010860889?loc=P_0003_018
19,我愛NU’EST：締造逆襲神話的奇蹟男團,Miss Banana,2020-06-04,"
選秀重生，苦盡甘來! 奇蹟男團NU EST大勢回歸， 人氣爆棚逆轉勝    NU EST出道於2012年3月15日，團名有著「創立新型態風格音樂」的深層涵意，為Pledis娛樂繼成功打造女團After School後首度推出的男團，由...more
",https://www.books.com.tw/products/0010859857?loc=P_0003_019
20,藝術國度，防彈掀起一場溫柔革命：偶像團體成長蛻變為7個藝術家!BTS用軟性的音樂和舞蹈，引領相互共鳴的阿米軍團，從強勢的大企業和媒體奪回了話語權，溫柔地革了「威權」的命⋯⋯★中文版專屬別冊《我與防彈的祕密手帳》,李志暎,2020-05-20,"
偶像團體成長蛻變為七個藝術家   BTS防彈少年團   是撼動當今社會結構、媒體藝術結構的巨大存在，   固有的社會規律及權力中心因他們而改變了!   防彈的粉絲不是盲目的崇拜追逐，   而是與他們併肩聯手改...more
",https://www.books.com.tw/products/0010858228?loc=P_0003_020
21,歲月釀的檸檬紅茶：快樂小孩方季惟將時光化做美好祝福，寫給終將成為大人的你,方季惟,2020-05-13,"
人生最難的功課是「捨」 但從捨離的苦中才能得到智慧     快樂小孩方季惟首本生命傳記!   「自由自在，歲月靜好」   是她尋覓此生，當下最想要的幸福   「如果不能唱歌了，我活著還為什麼?」那是方季惟199...more
",https://www.books.com.tw/products/0010857104?loc=P_0003_021
22,Never ending dream -hide story- 全,大島暁美,2020-04-29,"
「不久後，會靠CG(Computer Graphics)製作出完美外型的藝人，   我會在不知不覺中淡出。但繼續以hide這個名字演奏。   演奏的音樂還是我作的，但不知不覺中演出者就互換了。   他這番話彷彿看透了20年後的...more
",https://www.books.com.tw/products/0010851205?loc=P_0003_022
23,木曜4超玩：臺灣TOP1網路實境綜藝節目幕後創作秘辛(隨書贈 木曜扇+木曜5週年紀念海報),木曜4超玩,2020-04-28,"
臺灣最具影響力的百萬訂閱 YouTube 頻道 首創「一日體驗各行各業」的新型態網綜實境秀 ──成軍5週年幕後笑淚紀實──   他們，真實體驗各行各業的辛苦，   以正面態度，忠實呈現需被正視的社會問題，帶領觀眾...more
",https://www.books.com.tw/products/0010856244?loc=P_0003_023
24,我愛GOT7：七人七色實力男團,Valerie,2020-03-05,"
魅力滿分、帥氣炸裂!   唱跳創作俱佳的全才男團 ，視覺聽覺一次滿足!    GOT7出道於2014年1月16日，團名意思為「幸運的七個人在一起直到永遠」，為JYP公司繼2PM後暌違五年推出的男團，由2012年曾以JJ Proj...more
",https://www.books.com.tw/products/0010849620?loc=P_0003_024
25,陪妳/妮一起長大：男人帶孩子很可以,那對夫妻（Kim）,2020-02-21,"
誰說男人不能帶孩子?!   擁有250萬粉絲的《那對夫妻》首本陪伴書，   從影片化作文字，寫下育兒路上的甜蜜小事。    那些最不足為外人道的小事，卻是孩子心中無法取代的心靈印記，   這不是一本教養書，而...more
",https://www.books.com.tw/products/0010849291?loc=P_0003_025
26,BTS 防彈少年團,金承顯,2020-02-05,"
‧BTS防彈少年團的出道歷程，身為阿米的粉絲們，不容錯過的收藏品   ‧就算面對網路酸言，一樣也是用最正面且積極的態度迎接。   七個來自不同家庭背景的少年，克服了艱辛的時期，   不放棄地朝著自己夢想勇...more
",https://www.books.com.tw/products/0010846959?loc=P_0003_026
27,BTS 防彈少年團【首刷預購限定青春Fire組】,金承顯,2020-02-05,"
‧BTS防彈少年團的出道歷程，身為阿米的粉絲們，不容錯過的收藏品   ‧就算面對網路酸言，一樣也是用最正面且積極的態度迎接。   七個來自不同家庭背景的少年，克服了艱辛的時期，   不放棄地朝著自己夢想勇...more
",https://www.books.com.tw/products/0010846962?loc=P_0003_027
28,白嘉莉 回眸,白嘉莉,2020-02-04,"
最美麗的主持人 首度公開她傳奇一生 與 離台後四十一年的神祕面紗   白嘉莉一生充滿傳奇與感動，本書自她的眷村童年說起，經歷出道進入演藝圈，閃嫁黃雙安，從萬眾矚目的巨星努力適應成為賢妻人婦，四十年...more
",https://www.books.com.tw/products/0010845727?loc=P_0003_028
29,比昨天的自己更好,郭彥甫,2019-12-19,"
靜物動起來， 風景停下來。   每天大家都在談藝術，但是何謂藝術?又從何定義?或藝術始終不被定義?一位創造藝術作品的藝術家跟藝術有關嗎?倘若無關，如何創作?如果有關，他能自在的創作嗎?畢卡索曾說：「我...more
",https://www.books.com.tw/products/0010842933?loc=P_0003_029
30,有你的旅程：黃氏兄弟寫真紀實,黃氏兄弟,2019-11-25,"
百萬訂閱YouTuber黃氏兄弟首本寫真書，頻道拍攝心路歷程與極祕幕後完整公開 菲律賓宿霧拍攝，麥克坦島、薄荷島美景全入鏡X臉紅心跳帥氣雙人寫真解放登場   一點點的厭世、頑皮，   極度誠懇、無害、溫暖~ ...more
",https://www.books.com.tw/products/0010838711?loc=P_0003_030
