,書名,作者,出版日期,內容介紹,網址
1,鋼彈兵器大觀 機動戰士鋼彈NT篇,HOBBY JAPAN編輯部,2020-10-27,"
「如果下次投胎轉世的話，我希望能變成小鳥⋯⋯」 步上不同命運的奇蹟之子們，最終將迎來什麼樣的結局? 與鋼彈同行，一同邁向新人類神話的終點!    本書是以2018年11月上映的電影版《機動戰士鋼彈NT》為主題...more
",https://www.books.com.tw/products/0010873937?loc=P_0003_001
2,PYGMALION 令人心醉惑溺的女性人物模型塗裝技法,田川弘,2020-10-20,"
在此想要以客觀的角度來為各位介紹本書的作者田川弘。    不怕各位誤解，田川弘他熱愛人偶(人物模型)。這個行為本身屬於個人的嗜好，並非什麼特別奇怪的事情。比方說有人會把自己的愛車當作「夥伴」，小心...more
",https://www.books.com.tw/products/0010874871?loc=P_0003_002
3,袖珍屋製作入門 昭和通商店街,"ASAMI（ミニ厨房庵）,シック．スカート,ふるはしいさこ,ゆりこ,土屋靜,安田隆志,宮崎由香里,小島隆雄,岸本加代子,河合朝子（ミニ厨房庵）,河合行雄（ミニ厨房庵）,田口裕子",2020-09-01,"
~走進夏日傍晚的昭和街道，重拾過去的單純美好時光~    在那個還沒有網路和手機、燈光昏黃、充滿人情味的年代──   陳列著懷舊零食和玩具的雜貨店，是小學生放學後的聚集地；   接近中午時，家常自助餐店擺...more
",https://www.books.com.tw/products/0010868414?loc=P_0003_003
4,軍事情景模型製作指南,Armour modelling編輯部,2020-08-24,"
~不只戰車，更要如實還原戰場百態~   軍事模型系列第二彈、正式推出!   凡是戰車登場之作，必定伴隨足以烘托氣勢的造景──這可以說是模型界眾所周知的常識，也是不同於其他模型類別的特點。   提到戰車模型...more
",https://www.books.com.tw/products/0010867546?loc=P_0003_004
5,人像模型百科全書：模型製作技法,"David Arroba,Dmitry Fesechko,Krzysztof Kobalczyk,Roman Gruba,Rubén Martínez Arribas",2020-04-01,"
教您如何運用美術基本概念，讓人像模型塗裝作品更顯獨特吸睛   ◎介紹不同於日系動漫公仔，強調筆塗繪畫風格的歐系人像塗裝，是更貼近藝術的模型。   ◎收錄5位不同風格的歐洲微縮模型彩繪大師之圖文教學示...more
",https://www.books.com.tw/products/0010853727?loc=P_0003_005
6,小島隆雄の袖珍屋教本,小島隆雄,2020-03-26,"
隱藏於細節的真實感，   卻是賦予作品沉穩表現時不可或缺的元素    模型師在完成一項作品時，會對什麼問題感到難以抉擇?   模型師在準備前置作業時，又會做什麼樣的思考?   透過精湛的技藝，將構思轉變為...more
",https://www.books.com.tw/products/0010852349?loc=P_0003_006
7,SCULPTORS 02 原創造型&原型作品集之世界觀,,2020-03-26,"
~創造力爆棚的造型VISUAL BOOK第二彈~   原型師的腦袋裡都在想什麼?   什麼樣的WORLDVIEW、人物設定才能創造出獨特作品?   27位頂尖藝術家的靈感發想初公開!    數位建模時代來臨，   原型的世界將面臨何...more
",https://www.books.com.tw/products/0010852406?loc=P_0003_007
8,空箱職人傳授零食空盒模型密技,HARUKIRU,2020-03-26,"
Twitter追蹤人數超過40萬人 超人氣空箱職人的首本著作!!   將商標當成重點、讓建築物插圖產生深度、   以成分標示增添趣味……空盒模型的魅力盡在書中!   本書將介紹作者至今發表過的作品，   並且刊載5件連...more
",https://www.books.com.tw/products/0010852884?loc=P_0003_008
9,Dolly bird Taiwan vol.2 甜美人偶娃娃特輯,Hobby Japan,2020-03-13,"
這次送上的是「Hug Me Poi」與「cocoriang動物人偶」以及「黏土娃」的2大特集，可動式的短手、短腳動物玩偶，約可放在手掌中心的尺寸設計，這就是可愛的Hug Me Poi，也是cocoriang的動物玩偶系列大特集派...more
",https://www.books.com.tw/products/0010851214?loc=P_0003_009
10,軍事模型製作教範：以色列戰車篇,HOBBY JAPAN編輯部,2020-02-26,"
~擁有特殊魅力的以色列戰車，是模型玩家絕對不能錯過的主題~   自1948年建國以來，以色列的歷史幾乎等同於戰爭的歷史，    在這樣的嚴苛背景下，以色列軍不斷改造現有戰車，讓戰車進化再進化!   驚人的配...more
",https://www.books.com.tw/products/0010850122?loc=P_0003_010
