,書名,作者,出版日期,內容介紹,網址
1,再貴也有人買!我的第一本手作品牌經營教科書,松戶明美,2018-08-29,"
自我風格建立‧價格定位‧鐵粉經營‧強效行銷‧活動推廣 達人們熱銷不敗的訣竅，不藏私全揭露!   身為手作家的你，是否也有這些煩惱?   □ 作品沒有比較差，但為什麼賣不出去呢?   □ 要怎麼維持每個月銷售額的...more
",https://www.books.com.tw/products/0010796508?loc=P_0003_001
2,馬麻自己做的哦!親手為孩子打造可愛藝品的手作書,糖粒兒,2018-05-03,"
3大類主題 實用家居、親子遊戲、打扮穿著 36個作品 步驟圖文解說+成品照片，輕鬆上手   本書是網路人氣部落格「糖媽」撰寫的創意手工製作書，   書中詳細介紹如何使用隨手可見的材料，和孩子一起互動合作...more
",https://www.books.com.tw/products/0010785645?loc=P_0003_002
3,柚子的生活雜貨改造日記,柚子,2018-01-30,"
會玩起改造，大概是在用於大創購買的四個A3相框，做成大窗框放在小吧台後開始，除了實用，更是滿足長期一直想在小吧台上放窗框的夢想!那時才發現原來小小的相框，改造後不只是相框，是能夠成為居家裝飾中...more
",https://www.books.com.tw/products/0010778199?loc=P_0003_003
4,夢想成真!喚醒你的手作魂：從興趣到販售的必作事項100,田中正志,2017-08-28,"
夢想如果不去做，它就永遠只會是夢想。 起頭了之後，或許短期內看不到成功，但它會改變你什麼。     過去手作因為沒有太多出售的管道，而被視為「會花錢的興趣」，   但如今創意市集、文創產業的蓬勃發展...more
",https://www.books.com.tw/products/0010762834?loc=P_0003_004
5,簡單製作獨具魅力的設計小品：透過水泥、石膏、黏土、布料、天然材料及廢物利用創造6種素材的反轉魅力,裵榮珠,2017-07-27,"
想動手裝飾一成不變的家中環境嗎?   書中用想像不到的材料，製作成想像不到的設計裝飾小物，   看似冷酷的水泥卻變身散發燭光的燭台，   栽種綠色植物的花盆和花瓶也將與眾不同，   潔白乾淨的石膏加入香...more
",https://www.books.com.tw/products/0010759801?loc=P_0003_005
6,雜貨迷必收!森林系小小雜貨布置點子100,主婦と生活社,2017-07-06,"
近年來，時尚室內設計最不可或缺的就是袖珍雜貨。   例如，展示櫃中成群的小山羊，   布置成窗邊的小鄉鎮。   將收藏已久的飾品作成娃娃屋後掛在牆面上……   只有巴掌大小、袖珍無比的小雜貨，   卻能夠使...more
",https://www.books.com.tw/products/0010757471?loc=P_0003_006
7,手作人最愛的自創生活雜貨筆記書【完全保存版】,みのむし子,2017-01-05,"
Mushiko’s Ideas巧思100% × 創意無限大 × 日常木作森呼吸!   mushiko’s DIY point   1.運用100日圓的銅板雜貨進行DIY改造!   2.原木色 × 仿舊塗裝，刷出溫暖的自然風居家色調。   3......more
",https://www.books.com.tw/products/0010739984?loc=P_0003_007
8,媽媽和我一起做手工,"朴香美,金民己",2016-09-26,"
書中收錄許多孩子跟媽媽能一起共同製作的簡單小物，可以讓孩子幫忙作品上色或用木工膠水黏貼自己挑選的釦子、珠子等，增加親子間互動。作品雖然可以用裁縫機快速地完成，邊跟孩子聊天邊慢慢縫製，這樣的親...more
",https://www.books.com.tw/products/0010729182?loc=P_0003_008
9,週休二日居家設計,李廣宙,2016-08-26,"
簡單幾個小步驟，打造手作懷舊風週末在家總是太無聊?想做實用的東西卻不知道怎麼做?想改造家裡風格卻不知從何下手?不用擔心，本書以懷舊復古風，教您將家中布置得典雅可愛。書中分別以客廳、餐廳和浴廁三...more
",https://www.books.com.tw/products/0010727723?loc=P_0003_009
10,北歐雜貨設計手帖：100 SCANDINAVIAN CRAFT& DESIGN BOOK,長田結香里,2016-03-29,"
好想天天在一起的設計好物!     一塊以樹幹直接製成、不規則形狀的白樺木砧板，   一只在海邊跳蚤市場發現的鮮黃色單柄鍋，   不管是新品還是二手貨，無論是名家設計單品或是庶民家常日用品，   在北歐，...more
",https://www.books.com.tw/products/0010710011?loc=P_0003_010
11,動手作雜貨玩布置：自然風簡單家飾DIY,foglia,2016-02-02,"
想布置居家卻沒有預算嗎? 不會木工也能輕鬆DIY?   foglia老師的改造空間小魔法，   以文具、廚具、回收包裝變化改裝，就能簡單製作出質感單品，   小小銅板價即可學會超實用手作，搭配空間配置圖，   將室...more
",https://www.books.com.tw/products/0010705108?loc=P_0003_011
12,簡易手作 古董雜貨‧居家小物,留美幸,2015-10-28,"
不需花費大筆預算，只要一點小改造   生活中的小物、廢棄物立即煥然一新   製作過程 Step by Step，輕鬆好上手!   自從玩多肉植物後，就開始對各式各樣的雜貨產生興趣，起初也買了不少小飾品、容器。有一...more
",https://www.books.com.tw/products/0010695004?loc=P_0003_012
13,簡單入味‧趣味手感雜貨日日作 HANDMADE ZAKKA & TOYS,TUESDAY,2015-10-05,"
隨手取材‧創作力爆發 生活化の手作就是要簡單又好玩!   來看看活躍於世界各地、各領域的手作人&設計師，如何利用生活的各式素材，重新組合創作出充滿趣味雜貨小物吧!把手作的精神帶入生活中，讓生活充滿了...more
",https://www.books.com.tw/products/0010691477?loc=P_0003_013
14,OMG!超質感!超便宜!40款49元顏值100%手作雜貨,峰川AYUMI,2015-06-08,"
超神改裝術，讓你難以置信它是49元商品!! 本書收錄40件雜貨的改造作法，超過200張的步驟圖解，新手也能輕鬆完成。   *單調的托特包，加上蕾絲，馬上變成浪漫巴黎風。   *兩個分隔抽屜，以金屬零件組合，就...more
",https://www.books.com.tw/products/0010676732?loc=P_0003_014
15,牛奶盒作の!美麗布盒設計60選：清爽收納x空間點綴の好點子,BOUTIQUE-SHA,2015-04-12,"
簡單勞作妙招DIY! (牛奶盒+瓦楞紙)x零碼布=美麗の布盒雜貨   來玩剪貼勞作吧!簡約家飾店&zakka小店裡擺設的收納盒、桌上小物盒、功能收納椅，都能在家輕鬆動手作!方盒、圓盒、多寶盒、隙縫櫃、小矮凳……經...more
",https://www.books.com.tw/products/0010671281?loc=P_0003_015
16,復刻回憶：簡單好作有溫度のBrocante手作小雜貨,柳美菜子,2015-03-10,"
「既然無法丟棄，那就讓它重生再利用吧!」 以創意改造身邊的物件，讓每一天的生活都是樂趣之所在。 請帶著再創造的心情使用物品，自家的室內裝飾就從這裡開始! ──柳 美菜子    ★特別附贈200個以上手作雜貨...more
",https://www.books.com.tw/products/0010667449?loc=P_0003_016
17,台南自轉人生：管他什麼「全球化」或「小確幸」!文創風、老屋新生、日常感，在地生活的44種均衡美好,編輯部,2014-10-25,"
文化底蘊‧飲食風格‧民間技藝‧人文資產 藝術展演‧城市再造‧老屋改建‧文創夢想 移住台南的各式理由!   現在開始轉換「在地 ╳ 他方」交錯視野，由44幅移住風景、101條私房路線、123種展開新生活的方式，開啟...more
",https://www.books.com.tw/products/0010650229?loc=P_0003_017
