,書名,作者,出版日期,內容介紹,網址
1,我的香港足球綠皮書,李德能,2020-09-18,"
「本地波仲有得搞嗎?」這是不少香港球迷心中的疑問，也是資深足球評述員李德能很想提供答案的問題。為此，他提出了一份不一樣的「香港足球綠皮書」，跟大家分享他對香港足球多年來的觀察所得到的一些具有...more
",https://www.books.com.tw/products/0010871414?loc=P_0003_001
2,不死玫瑰：戴瑞克‧羅斯,"山姆‧史密斯,戴瑞克‧羅斯",2020-09-16,"
※AMAZON分類榜百大暢銷好書※ 玫瑰不死，飆風再起， 傳奇球星戴瑞克‧羅斯唯一親筆自傳!   他天性沉默寡言，但他用場上的表現說明一切。   他帶領曼菲斯大學參加NCAA冠軍賽，獲得芝加哥公牛隊第一輪指名，贏...more
",https://www.books.com.tw/products/0010869693?loc=P_0003_002
3,永恒班霸：精工足球隊五十,"劉偉強,張遠,莫逸風",2020-09-11,"
精工足球隊是香港足球歷史上最成功的球隊之一，創立於1970年，期間共取得超過40項賽事獎盃，連續7年奪得甲組足球聯賽冠軍，至今仍未有球隊打破紀錄。    1986年，精工退出香港球壇，今日仍然有很多球迷談...more
",https://www.books.com.tw/products/0010870696?loc=P_0003_003
4,NBA X MBA：36位NBA巨星球場上的職場生存和自我管理智慧(附NBA球星書衣海報，四款隨機出貨),紀坪,2020-09-02,"
◎隨書附贈NBA球星漫畫家「看光光」精心繪製球星書衣海報，四款海報隨機出貨!   ◎每一位NBA球員就是一堂MBA課   ◎第一次發現，原來可以這樣解讀NBA   在球場上追求勝利，在商場上講求獲利，不一樣的競爭場...more
",https://www.books.com.tw/products/0010868208?loc=P_0003_004
5,歐洲國家盃歷史1960-2016,傑拉德等,2020-09-01,"
期待、熱血、遺憾、感動!歐洲國家盃賽事歷史紀錄，重新點燃球迷心中的足球魂!    ◎詳實的文字、豐富的照片，最精采的歐國盃賽事經典回顧，重溫最扣人心弦感動畫面!   ◎精選歷屆歐國盃趣聞軼事，讓讀者更深...more
",https://www.books.com.tw/products/0010868585?loc=P_0003_005
6,籃球之神與最接近神的男人(共2冊),張佳瑋,2020-08-28,"
同樣執著於勝利的個性，   同樣嚴以律己的態度，   在籃球之神華麗的演出後，   能與之相比的，唯有黑曼巴!...more
",https://www.books.com.tw/products/0010868337?loc=P_0003_006
7,梅西：百轉千變的足球王者(隨書附贈「獅王梅西」精美書衣海報),霍爾迪‧彭提,2020-08-12,"
入圍《每日電訊報》年度最佳傳記類書籍， 英國《旁觀者》雜誌、西班牙《國家報》、《先鋒報》齊聲盛讚!   「如果能變成梅西該有多好，只要五秒鐘就好，拜託讓我知道那是什麼感覺。」──哈維爾‧馬斯切拉諾(J...more
",https://www.books.com.tw/products/0010866263?loc=P_0003_007
8,統治NBA的王者訓練：NBA勇士王朝背後的造王者!調教萌神Curry、死神KD、飆風玫瑰，從頂尖球員蛻變成偉大球星的秘密關鍵,羅伯‧麥克拉納漢,2020-07-29,"
「年度三分球紀錄王」史蒂芬.柯瑞，專序背書 最受王牌球星信任的訓練師，完整公開MVP球星的訓練祕辛 鬼神球員如何突破極限，統治NBA成就籃壇霸業!   別以為天賦才華就足以勝出，   唯有超越極限的「完美重...more
",https://www.books.com.tw/products/0010864804?loc=P_0003_008
9,籃板：邁可.喬丹如史詩般的征戰人生,鮑伯．格林,2020-07-10,"
★ 全美暢銷書《飛人歲月》作者鮑勃.格林之作!   「許久以來，人人都把我看成是──我不曉得你會用什麼字眼，」。「物體?產品?不管他們怎麼看我，我漸漸也以同樣方式看待自己，在我自己眼中我也漸漸成為物體...more
",https://www.books.com.tw/products/0010863149?loc=P_0003_009
10,野球.人生：別無所「球」的追夢人,曾文誠,2020-07-10,"
「這些人不是職棒明星，也不是大家熟知的公眾人物，只是平凡人，但他們的棒球故事在我看來極其不平凡，聽他們故事可以感受到強大的生命力」──曾文誠   【野球人的故事】   跟曾公一起尋找野球人!   這些人...more
",https://www.books.com.tw/products/0010863439?loc=P_0003_010
11,邁可.喬丹最偉大的50場經典球賽,鮑伯．康德,2020-06-10,"
★ 美國亞馬遜5顆星評價!   「不管任何時期，沒有人能與喬丹相提並論，毫無疑問的，他是有史以來最偉大的籃球員。有些人的身體條件和他一樣優異，有些人投籃比他準確，許多人比他更強壯，但是沒有人像他一...more
",https://www.books.com.tw/products/0010859819?loc=P_0003_011
