,書名,作者,出版日期,內容介紹,網址
1,單車‧部落‧縱貫線~不是最近，卻是最美的距離：21條路線穿越台灣南北原鄉，深遊190個部落祕境(增訂版),陳忠利,2020-09-03,"
全世界都知道，Google街景車能夠為眾人拍下全世界的風景，但是隱藏在狹小巷弄內的特色景致，卻只能仰賴Google街景三輪車! 同樣的，我們可以舒舒服服地駕駛休旅車，賞遊膾炙人口的名勝景點，但卻永遠深入不...more
",https://www.books.com.tw/products/0010868101?loc=P_0003_001
2,BiCYCLE CLUB 國際中文版 70,中華民國自行車騎士協會,2020-08-31,"
Strade Bianche 2020, Siena, Italy. Postponed the race may have been, but the race was a brilliant edition, won by Wout V......more
",https://www.books.com.tw/products/0010868845?loc=P_0003_002
3,騎出去!歐洲長途限時挑戰全紀錄：台灣第一本單車歐洲長途限時挑戰紀錄書,胡山河,2020-07-15,"
從來沒想過，騎個單車會騎到國外參加這種長距離挑戰活動，當然也沒想過，就這樣騎出樂趣，甚至還會出書來介紹這活動的魅力所在，朋友常說：你海外挑戰所拍的過程照片都非常精彩，何不出書讓更多有興趣的車...more
",https://www.books.com.tw/products/0010864904?loc=P_0003_003
4,BiCYCLE CLUB 國際中文版 69,中華民國自行車騎士協會,2020-06-18,"
102nd Tour de France, Stage 20. Chris Froome (GB) in the Yellow Jersey tackles Alpe d Huez, riding through an ocean of f......more
",https://www.books.com.tw/products/0010860972?loc=P_0003_004
5,一萬八千公里的冒險,王毅興,2020-05-01,"
讓阿興用行動與冒險的精神，代替您的眼睛體驗澳洲環澳之旅。   教您如何精細規劃長途旅行。   用實際行動，把澳洲在地文化以客觀角度，解析臺灣現況之日記散文。   買車教戰守則、景點實用資訊。   一萬八...more
",https://www.books.com.tw/products/0010856240?loc=P_0003_005
6,BiCYCLE CLUB國際中文版 68,中華民國自行車騎士協會,2020-04-22,"
BC雜誌五月號VOL68封面簡介   向自行車三大賽之環義賽致敬!粉紅色是五月環義賽的代表色，象徵堅定的態度與勇往直前的精神。...more
",https://www.books.com.tw/products/0010857237?loc=P_0003_006
7,BiCYCLE CLUB國際中文版 67,日本枻出版社編輯部,2020-03-05,"
BiCYCLE CLUB國際中文版，在臺灣發行進入第12年。這本深受日本騎車朋友的喜愛，是日本發行量第一名的雜誌有37年歷史。2020年開始，由日本枻出版社授權中華民國自行車騎士協會在台灣發行。...more
",https://www.books.com.tw/products/0010850007?loc=P_0003_007
8,鐵馬款款行：十場自行車的隨心浪遊,微笑台灣編輯團隊,2019-12-04,"
走路走不遠，開車又沒法想停就停，單車15公里慢速恰恰好，搭配雙鐵更自由，   不管是城市或鄉村，都有鐵馬旅伴陪你浪跡天涯。   一個人、一群人、親子或情侶，都可以從中找到屬於自己偏愛的風格路線，   ...more
",https://www.books.com.tw/products/0010841941?loc=P_0003_008
9,劫後騎跡：蔡正勝騎出自在人生,蔡正勝,2019-08-13,"
我想改變自己的人生!   不希望生命會有遺憾!   66歲「不老騎士」蔡正勝，空難墜機後騎出自在人生。   1992年挑戰絲路之旅，卻在甘肅省定西市縣境內遭遇到空難，奇蹟發生，空難墜機卻大難不死。但老天爺卻...more
",https://www.books.com.tw/products/0010830412?loc=P_0003_009
10,出來騎，總是要環的!：分段環島秋冬攻略,丹尼爾,2019-08-01,"
『把握當下，回憶無價。』―丹尼爾   『轉動人生，熱血騎行，自己的風景靠自己踩。』―蔡真真   台灣有著單車王國的美稱，所以有人說台灣用騎的最美，用騎的最能用心感受台灣這塊美麗土地的生命力，哪您還再...more
",https://www.books.com.tw/products/0010833382?loc=P_0003_010
11,出來騎，總是要環的!分段環島春夏攻略,丹尼爾,2019-08-01,"
『把握當下，回憶無價。』―丹尼爾   『健人，就是要腳勤。』―侯仲庭   台灣有著單車王國的美稱，所以有人說台灣用騎的最美，用騎的最能用心感受台灣這塊美麗土地的生命力，哪您還再等什麼呢?   自行車環台...more
",https://www.books.com.tw/products/0010833386?loc=P_0003_011
