,書名,作者,出版日期,內容介紹,網址
1,燃燒跑魂：世界50大經典路跑賽,托拜亞斯．繆斯,2020-11-11,"
★全球50場此生必跑的精采賽事 ★美國亞馬遜 4.5 顆星評鑑   50場經典賽事精華完整收錄：從跑者的夢幻賽事：紐約馬拉松、倫敦馬拉松；到有趣瘋狂的路跑賽：背妻路跑、殭屍路跑；還有最自虐的賽事：撒哈拉沙...more
",https://www.books.com.tw/products/0010874825?loc=P_0003_001
2,天無絕人之路,"凱文．桑德斯,鮑伯．達頓",2020-11-11,"
★ 美國亞馬遜5顆星滿分好評!   ★ 美國前總統布希撰序推薦!     「每個人的心中都有一場期待已久的賽事，能夠如願去完成這場比賽的意義比拿到真正的金牌更具有價值!」，「天無絕人之路!」這句話是凱文.桑德...more
",https://www.books.com.tw/products/0010874960?loc=P_0003_002
3,超級跑者：最後的也能跑第一,"狄克．朝姆,麥克．賽立茲克",2020-10-08,"
★ 美國亞馬遜4顆星好評! ★ 狄克‧朝姆於1976年成為第一位以義肢完成紐約市馬拉松比賽的選手，並在1980年成為首位在波蘭完成100公里超級賽事的截肢者!   狄克‧朝姆在二十四歲時因發生一場意外而失去了一條腿...more
",https://www.books.com.tw/products/0010871637?loc=P_0003_003
4,會游、會騎、會跑，但你會英文嗎?,潘勇俊,2020-10-07,"
作者身為鐵人出外世界各地比賽時，日常遇到種種情境運用英文的一本工具書   內容有13個章節在國外比賽時會運用到的情境式對話，外加一些鐵人專業名詞，一本實用的工具書。  本書特色    本書設計比照鐵人...more
",https://www.books.com.tw/products/0010872265?loc=P_0003_004
5,漢森馬拉松訓練法：跑出你的最佳成績,"凱文．漢森,凱斯．漢森,盧克．漢弗萊",2020-09-15,"
提供突破個人馬拉松紀錄的專業指南 讓許多跑者受用無窮的黃金訓練計畫    漢森訓練法(Hanson Method)源自1992年，當時漢森兄弟(Kevin & Keith Hanson，凱斯和凱文.漢森)認為當時的馬拉松訓練計畫已經過時...more
",https://www.books.com.tw/products/0010869286?loc=P_0003_005
6,做個有智慧的跑者：科學化跑步訓練與線上 AI 輔助系統,"林玉瓊,王順正",2020-08-17,"
[從運動生理的角度出發, 以科學研究成果為根據]    科學化跑步訓練包括瞭解跑步潛能、選定跑步訓練方法、選擇合適跑步技術、進行各項輔助訓練、瞭解跑鞋等裝備的效益、飲食與運動傷害知識、分析訓練狀況、...more
",https://www.books.com.tw/products/0010865987?loc=P_0003_006
7,無傷跑法,"戴劍松,鄭家軒",2020-06-30,"
本書由慧跑聯合創始人戴劍松、鄭家軒傾心創作，以通俗易懂的語言，配上三百多張專業跑步教練真人實拍圖片，圖文並茂地講解了專業可靠的跑步知識與技能，為讀者提供了可循證、體系化的無傷跑步解決方案。例...more
",https://www.books.com.tw/products/0010870062?loc=P_0003_007
8,最強跑步分析全書：顛覆舊有「常識」及「姿勢」，打造適合跑步的身體,弘山 勉,2020-06-29,"
即使是忙碌的上班族也能 快速、 持久、 輕鬆地跑步。 運用科學途徑設計出跑步方法「弘山理論」， 受到許多希望提升個人表現的市民跑者支持。   超高效率的跑法是什麼?   不少跑者都為了無法有效率地跑步而...more
",https://www.books.com.tw/products/0010861581?loc=P_0003_008
9,我跑，故我在：16位職人跑者的馬場人生,鄭匡寓,2020-06-16,"
「跑步的時候，才覺得是為自己而活。」 以跑步實踐「職人精神」，感受自身的「真實存在」; 在汗水和眼淚下，市民跑者和競技選手的馬場追尋; 十六位跑者，十六個故事，十六種體悟。   《我跑，故我在：16位...more
",https://www.books.com.tw/products/0010860059?loc=P_0003_009
10,專業教練量身打造!適合市民跑者的100日馬拉松訓練計畫：設定不同目標!完跑‧破4‧破3，逐步提升成績,金 哲彥,2020-05-27,"
任何人都能更輕鬆、更安全地締造自己的新紀錄!   由深受奧運選手信賴的專業教練金哲彥所帶來的   最終版馬拉松訓練計畫!   跑步不僅僅是一種運動，在全球路跑活動盛行的現在，許多人跑步是為了證明自己、...more
",https://www.books.com.tw/products/0010858646?loc=P_0003_010
11,正念跑步,麥肯琪・L・哈維,2020-05-26,"
你曾遭遇跑者最害怕的「撞牆期」嗎? 或是突然面臨天候、環境極度惡劣的野跑， 無預警狀況讓你措手不及? 如果你在重大比賽前夕或跑步過程中， 曾感受到巨大的焦慮、恐慌， 甚至懷疑自己沒有辦法跑完全程── ...more
",https://www.books.com.tw/products/0010858892?loc=P_0003_011
12,極耐力：解密心智、身體與人類表現的極限彈性,艾力克斯‧哈欽森,2020-04-29,"
極限，是一種錯覺 是大腦和「越來越想喊停的渴望」的不斷對抗   無論是短跑衝刺、超級馬拉松，   還是高山攻頂、雪地拓荒，甚或高熱礦井採礦，   耐力，幾乎是所有體能領域中達成偉大表現的基礎。   人類...more
",https://www.books.com.tw/products/0010855577?loc=P_0003_012
13,跑過、煩惱過，才能發現的事。,大迫傑,2020-03-10,"
日本馬拉松紀錄保持人內心糾葛後催生的思考心得   大迫傑如是說：   「我跑步的時候非常重視自己一個人的時光，所以總是在跑步的時候找到答案。」   「跑步是一件很孤獨、很辛苦的事。有時候也會為接下來...more
",https://www.books.com.tw/products/0010850435?loc=P_0003_013
14,我在肯亞跑步的日子：揭開地球上最善跑民族的奧祕,亞德哈羅南德‧芬恩,2020-03-07,"
在世界一小角的肯亞， 有人努力打拚賺的錢只能買到麵包和水， 但為什麼這裡卻聚集了全世界最優秀的跑者、教練和訓練營， 所有想突破跑步成績的人都要來這朝聖? 李再立，臺北市體育局局長 李偉文，作家 林...more
",https://www.books.com.tw/products/0010850750?loc=P_0003_014
15,起跑吧!：寫給女生的跑步入門書,"劉凱琳,陳國璋",2020-01-21,"
專為香港人寫的跑步書，無論是從零開始學跑步，還是想改善技巧、提升速度，都能輕鬆掌握，跑出健康身體﹗   萬事起頭難，怎樣開始學習跑步?   想跑步卻又擔心小腿會變粗?   我是初學者，怎樣的速度才適合...more
",https://www.books.com.tw/products/0010847626?loc=P_0003_015
16,跑過荒野：奔跑如何讓我們成為人,威霸．克雷根－里德,2019-11-15,"
「人，天生就是要跑，但我們都跑錯了!」《國家地理雜誌》作者專訪下了這個標題。「若把跑步視為一種緩慢、如冥想般的訓練，而不是競技運動，那跑步能提供的好處其實多更多，」威霸如是說。「追根究柢，跑...more
",https://www.books.com.tw/products/0010838508?loc=P_0003_016
17,Jay的跑步筆記：矽谷工程師激勵上萬人的科學化訓練與生活哲學,許立杰,2019-11-13,"
台灣跑者最有共鳴的「Jay的跑步筆記」第一本書，寫給想開心跑又想破PB的你!   ★台灣跑者最喜歡看的跑步粉絲團★   ★矽谷工程師市民跑者→全馬238半菁英選手★   ──他的文字鼓舞了所有市民跑者──   「跑步的目...more
",https://www.books.com.tw/products/0010838685?loc=P_0003_017
18,1045追夢的距離(精裝),"張弦,李曉,陳世偵",2019-10-25,"
世界浩蕩，迎風奔跑，從北跑到南，從山跑到海，從白跑到黑。   這個過程中充滿汗水、痛苦、崩潰與掙扎，唯獨，沒有放棄。逾千公里的跋涉過程中，感知身體的躍動、傾聽肌體的呼吸、咀嚼心靈的感悟，甚至穿...more
",https://www.books.com.tw/products/0010837927?loc=P_0003_018
19,超馬跑者的崛起：人類耐力與意志的極限挑戰,亞德哈羅南德•芬恩,2019-10-22,"
「越痛苦，越快樂!」 「跑者之道」作者最新力作-- 深入超馬的天地，探索、紀錄這群挑戰人類極限的跑者， 一個絕對會令你大開眼界的狂野世界! 「你去瘋狂的地方，就會遇見瘋狂的人。」   超級馬拉松曾經只...more
",https://www.books.com.tw/products/0010836511?loc=P_0003_019
