,書名,作者,出版日期,內容介紹,網址
1,疼痛、復健與肌力訓練全書：亞斯診療法教你一次只練一塊肌肉，揮別惱人代償問題，讓真正需要鍛鍊的肌肉變強壯!,米契爾‧亞斯,2020-10-26,"
一次只鍛鍊一塊肌肉，才是真正零代償、零風險的肌力訓練    ◇惠森復健科診所院長梁瑋真醫師專業審定，大讚：「這真的是一本很好的書!」   ◇健行、瑜伽、爬山、上健身房前的先修班，所有想運動強身的人行前...more
",https://www.books.com.tw/products/0010873575?loc=P_0003_001
2,想死不如健身!改變一生的超科學理由：破除99%肌力訓練迷思、疑慮的終極動力手冊,"久保孝史,泰史特龍",2020-10-07,"
最後一次下定決心! 號召114萬追蹤者/日本狂銷13萬冊/幫助無數人「化想法為動能」 ★本世紀最神奇的力量，60天就能看見效果★   必須「馬上開始」的科學實證 ╳ 絕處逢生的6個漫畫實錄   「幸好加入健身房之前...more
",https://www.books.com.tw/products/0010871800?loc=P_0003_002
3,強肌健身訓練攻略：《健身新手重訓攻略》+《強肌深蹲》【二合一鍛鍊套組】,"亞倫．霍什格,荒川裕志",2020-09-29,"
健身、增肌、重訓、深蹲，已成為熱門顯學， 也是許多現代人的主要休閒活動， 該怎麼鍛鍊，才能達到效果? 不管是一般健身新手、重訓愛好者、健身教練、運動員等專家， 本套書將能提供重要指引。   ◆《健身...more
",https://www.books.com.tw/products/0010871151?loc=P_0003_003
4,進階肌力訓練解剖聖經 2：高手只做不說的關鍵檔案 (附 加大手繪肌肉解剖圖海報),"Frederic Delavier,Michael Gundill",2020-09-28,"
繼前作《進階肌力訓練解剖聖經》針對精選運動的肌肉解剖與動作做了深入的剖析，本書《進階肌力訓練解剖聖經 2 - 高手只做不說的關鍵檔案》再將範圍擴大，系統性的介紹前書未列入的運動，並為健身者面臨的...more
",https://www.books.com.tw/products/0010870365?loc=P_0003_004
5,醫護鐵人台灣經典賽事全攻略：知名路跑、馬拉松、自行車、越野賽、長泳、鐵人三項耐力型賽事運動防護重點解析,陳彥良,2020-09-28,"
★ 全球第1本專門介紹台灣耐力型運動賽事及賽事防護的著作   ★ 精選30多項舉辦3屆以上且獲參賽者高評價的台灣賽事，逐一分析   ★ 醫護鐵人長年經驗，專業分享    馬拉松/路跑、自行車、游泳和鐵人三項常見...more
",https://www.books.com.tw/products/0010871276?loc=P_0003_005
6,打造髖關節全角度活動力,高岡英夫,2020-09-25,"
~讓髖關節在三度空間中靈活運轉，提升運動表現力!~ 以「髖關節腦」理論為基礎 介紹發揮「跑」、「打擊」、「投擲」、「踢」爆發力的50種訓練體操 打造世界頂尖選手等級的運動表現!    髖關節為什麼能讓運...more
",https://www.books.com.tw/products/0010871188?loc=P_0003_006
7,運動科學訓練攻略,潘梓竣,2020-09-22,"
.超過60組訓練示範   .高強度間歇訓練(HIIT)專題，拆解全球健身熱潮   .詳細介紹各種提升表現的運動營養飲食策略   .適合運動員、教練及體育老師參考，制定高效能的訓練計劃   運動從來是個不斷求進的過程...more
",https://www.books.com.tw/products/0010872068?loc=P_0003_007
8,麥克史東阻力訓練全書：美國國家肌力與體能協會創辦人；美國奧運訓練中心總監，完整傳授教練與自主訓練的一切知識,"威廉．A．山德斯,梅格．史東,麥克．史東",2020-09-09,"
英國肌力與體能協會(UKSCA)體能教練考試指定用書 美國國家肌力與體能學會(NSCA)共同創辦人 美國奧運訓練中心首席 運動員運動表現研究第一人 訓練出無數知名教練的殿堂級大師 肌力與體能訓練領域教父級人物...more
",https://www.books.com.tw/products/0010869032?loc=P_0003_008
9,我愛，我強大：我和你，再一次愛上了我們，筋肉媽媽從筋膜到心靈的修復課,筋肉媽媽,2020-09-04,"
鍛鍊，不該是用力壓榨身體；   堅強，要先擁抱自己的脆弱。    當人生被意外襲擊時，你有能力承接嗎?   身體上的痛、情感上的痛……，這些痛，都藏在筋膜之中。   跟著筋肉媽媽一起伸展放鬆，   沒有解決不...more
",https://www.books.com.tw/products/0010867569?loc=P_0003_009
10,筋膜放鬆修復全書：10大部位 × 25個修復動作，專業筋膜治療師教你徒手舒緩緊繃，有效釋放疼痛,阿曼達．奧斯華,2020-09-04,"
英國亞馬遜 ★★★★★ 5顆星推薦 ──《肌筋膜健身全書》作者羅伯特‧施萊普專文推薦──   如果你深受慢性疼痛所苦，這就是你最需要的書!   跑者、治療師、運動員、健身愛好者等皆適用!   以放鬆筋膜為基礎，治療...more
",https://www.books.com.tw/products/0010868215?loc=P_0003_010
11,運動1分鐘=45分鐘，HIIT訓練全書：全世界醫生都矚目的劃時代運動法，一天4分鐘，就能改善糖尿病、高血壓、釋放疲勞、增強腦力,川田浩志,2020-09-02,"
給沒空運動忙碌現代人的最有效率健身法——HIIT! 1分鐘 HIIT，增肌減脂效果相當於 45 分鐘慢跑 與TABATA不同，全新設計的HIIT 超簡單、超快速、在家就可以自己做、不用做到氣喘吁吁就有效!   如果你每天都非...more
",https://www.books.com.tw/products/0010868422?loc=P_0003_011
12,健身新手重訓攻略：槓片啞鈴×阻力帶×健身器材，新手必學的五大重訓，教你正確施力、精準增肌,荒川裕志,2020-08-27,"
只要按圖索驥，新手也能自己練 自宅訓練、器材鍛鍊，健身新手必學的五大重訓課， 教你用對工具、正確施力、練對肌肉、有效增肌    健身房裡滿滿的器材，不知從何練起?   如何在家自己鍛鍊?還能達到健身器...more
",https://www.books.com.tw/products/0010867753?loc=P_0003_012
13,HIIT後燃運動：鍛鍊5分鐘，24小時持續燒脂瘦身不中斷,門脇妃斗未,2020-08-18,"
你可能不知道，   離開健身房以後、睡覺的時間，有些人的身體依然不停的燃燒脂肪、持續瘦身!    日韓、歐美部落客風靡的強效鍛鍊!   運動後，刺激身體持續燃燒脂肪24小時的───HIIT運動。    7天瘦3公斤不...more
",https://www.books.com.tw/products/0010866352?loc=P_0003_013
14,全世界第一有效的核心訓練,中野・詹姆士・修一,2020-08-01,"
若早一點有這本書，我會省下許多復健費......   你不知不覺養成的習慣──   V動不動就靠著牆或欄杆。   V坐在桌前就把手肘撐在桌上不可。   V身體無法保持正中狀態。   V老是彎腰駝背。   V站起來時一定要...more
",https://www.books.com.tw/products/0010865566?loc=P_0003_014
15,坂詰式正確肌力訓練教科書,坂詰真二,2020-07-24,"
~姿勢錯誤，練再多都沒用~   本書收錄300幅真人動作示範圖   教你用正確的姿勢，集中刺激目標肌肉   用最小的努力，達到最大成果!   ★一天3分鐘，在家就能有效鍛鍊肌肉!★   「花了大把時間和金錢上健身房...more
",https://www.books.com.tw/products/0010864819?loc=P_0003_015
16,圖解版.下半身肌力鍛鍊法：日本首席體適能教練，為你輕鬆打造逆齡抗老×燃脂塑身×擺脫痠痛的健康體質,中野‧詹姆士‧修一,2020-07-06,"
★在日銷售突破35萬冊! ★日本首席體適能訓練師，曾任桌球選手福原愛與羽球選手藤井瑞希指導教練。   久坐不動的上班族，   享用的美食彷彿都直接化為身上的脂肪，下肢也超容易水腫!   明明才剛年過30，卻深...more
",https://www.books.com.tw/products/0010862556?loc=P_0003_016
17,肌少成疾：肌少症專家聯手傳授保健X營養X鍛鍊，搶救肌少症，強健下半生,"林宗慶,許碧惠,陳昭蓉",2020-06-17,"
「肌少症」已成高齡社會最熱門、關注的議題；  臺灣進入高齡社會，千萬別讓「肌少症」成為你失能的原因!   40歲開始，身體肌肉便開始流失，並隨年紀增長而加速。   根據統計，臺灣65歲以上的長者，每10名...more
",https://www.books.com.tw/products/0010861106?loc=P_0003_017
18,Ashlee陪你用健身改造自己：20組背腰臀腿訓練×7日健身課程，增肌燃脂.居家徒手訓練攻略【附QR Code健身示範影片】,Ashlee,2020-06-04,"
──美麗，無須妥協── 32萬粉絲追隨，人氣健身Youtuber，增肌燃脂.居家徒手訓練攻略 懂吃懂練，做自己的健美女神，妳可以又美麗又強大!   Ashlee，討厭運動、討厭流汗，體育課總是裝病躲在樹蔭下乘涼。身高1...more
",https://www.books.com.tw/products/0010859657?loc=P_0003_018
19,抗老化，你需要大重量訓練：怪獸訓練總教練何立安以科學化的訓練，幫助你提升肌力、骨質、神經系統，逆轉老化,何立安,2020-05-27,"
肌力訓練，不是競技運動員的專利，也不是可有可無的休閒嗜好； 肌力訓練，是現代人維持終身健康與強壯的最佳途徑。  運動科學專家 何立安博士，攜手70歲雙親，親自見證。     生活在高齡化社會裡的現代人...more
",https://www.books.com.tw/products/0010858359?loc=P_0003_019
20,籃球肌力訓練教科書,吉本完明,2020-05-26,"
~實戰必備，運動員專屬的高強度肌力鍛鍊指南~ 強壯體格與敏捷速度只能擇一?日本青少年代表隊訓練員將告訴你： 唯有強化體能，才有機會登上世界舞台!    籃球這項競技，網羅了運動所需的「跑步、瞄準投擲、...more
",https://www.books.com.tw/products/0010858934?loc=P_0003_020
21,調控力量：肌力及體能的科學理論與實證,"保羅．康福特,安東尼．特納",2020-05-15,"
~S&C必備的肌力科學~ ★怪獸肌力及體能訓練中心總教練何立安、國立臺灣大學外文系講師王啟安聯合審定 ★怪獸肌力及體能訓練中心總教練何立安 審定序   肌力與體能訓練(Strength and Conditioning簡稱S&C)是...more
",https://www.books.com.tw/products/0010857257?loc=P_0003_021
22,運動傷害完全復健指南：從修護傷痛至恢復運動表現，國家級防護員提供最完善的照護技術與訓練系統，讓你順利重返賽場,蘇．法松,2020-04-09,"
這是一本全面的導覽書籍，帶你綜觀從復健到運動表現的過程中可以使用的實務工具、技術及系統，幫助你建立一套可以因運動員情形不同而調整的復健模式，並在與其他專業合作的過程中找到自己的定位。本書將帶...more
",https://www.books.com.tw/products/0010853773?loc=P_0003_022
23,肌肉系統伸展訓練：不再運動傷害、遠離舊傷、強化肌群、不疼痛的80組最適強度運動,羅永武,2020-02-13,"
都幾歲了，還要這樣拚?   一輩子都為別人而活，   這時候開始學著為自己   當自己的主人，為自己而運動    ◎純粹為自己的運動祕笈   肌肉與骨骼系統疾病總有一天會老化，錯誤的生活習慣所造成的傷害更大!...more
",https://www.books.com.tw/products/0010849227?loc=P_0003_023
24,傳奇教練丹約翰的肌力體能訓練金律：40年淬煉的42則鍛練心法，教你回歸根本，檢視心志、目標、課表……，建立簡單又有效的運動生活,丹．約翰,2020-02-06,"
「唯有健身和健心並重，才能達到真正的訓練。」 功能性訓練專家麥克.波羅伊、艾爾文.科斯葛羅夫一致推崇 亞馬遜近三百位讀者4.8顆星好評、goodreads千位讀者盛讚 美國頂尖肌力與體能界教練丹.約翰 作品首...more
",https://www.books.com.tw/products/0010847387?loc=P_0003_024
