,書名,作者,出版日期,內容介紹,網址
1,敢教日月換新天：香港反貪先鋒的崢嶸歲月,張炳良,2020-09-11,"
「香港勝在有ICAC」，這是1997年廉政公署的宣傳口號，深入民心，廉潔已成為香港社會一個重要核心價值。但曾幾何時，行賄、付黑錢小費乃香港人日常生活的一部分。創立只有四十多年的廉政公署能成功移風易俗...more
",https://www.books.com.tw/products/0010870706?loc=P_0003_001
2,政治整合的模式,,2020-09-03,"
政治整合是政治個體結合為政治共同體的過程。就層級上而言，這個經過整合而來的結合體可以是地方、都會或省級、國家、及區域或全球性；至於整合的進行，可以在共同體之間，也可以是在共同體自己的內部。  ...more
",https://www.books.com.tw/products/0010868964?loc=P_0003_002
3,國安法 廿三條 安全與自由?：國家安全法之立法及比較研究,"尹國華,李浩然,王靜",2020-08-07,"
《基本法》第23條立法的原意，是以禁止叛國、分裂國家、煽動叛亂、顛覆中央政府及竊取國家機密、外國政治性組織或團體在香港特區進行活動，以及香港特區政治性組織或團體與外國的政治性組織或團體建立聯繫...more
",https://www.books.com.tw/products/0010867093?loc=P_0003_003
4,香港立法機關關於政制發展的辯論(第六卷)：第三次政改(2013-2016),,2020-08-07,"
1980年代中英談判啟動後，香港的政制發展——包括行政長官和立法會議員的產生辦法——作為一種特殊憲制安排，持續引發香港社會深入討論，香港的立法機關——包括回歸前的立法局和回歸後的立法會——也對該問題進行...more
",https://www.books.com.tw/products/0010867094?loc=P_0003_004
5,徹底圖解世界各國政治制度：一次搞懂5大洲23個國家，一手掌握全球動向,"Condex情報研究所,串田誠一",2020-07-29,"
拒絕了解政治的人，會被更糟糕的人統治， 遠離政治並不會帶來安全和幸福!   政治的主角是人民，   人民的生活就是政治，   不談政治並不會讓生活變好。   臺灣正積極參與世界，   身為臺灣人怎能不懷疑、...more
",https://www.books.com.tw/products/0010864533?loc=P_0003_005
6,尷尬：香港社會還未進入一國兩制的議題,呂大樂,2020-07-01,"
香港爆發因「反修例」風波而出現的社會、政治危機之後，在新的政治氣氛底下，討論一國兩制的議程，已發生了根本的改變。一國兩制這個題目還值得討論嗎?在好些人的口中，一國兩制早已拋出窗外。    2019 年...more
",https://www.books.com.tw/products/0010872468?loc=P_0003_006
7,Stakeholders in 2047：香港未來說明書 (第2冊),「Stakeholders in 2047: 香港未來說明書」團隊,2020-06-11,"
獻給每一位香港人​   【2019年，香港學者與香港未來主人翁的真實對話紀錄】    2019年的香港充滿傷痛，百萬市民在持續近半年的示威活動中歸納出「五大訴求」，但當中對未來的想像卻有濃淡之分，不宜化約。...more
",https://www.books.com.tw/products/0010859927?loc=P_0003_007
8,香港立法機關關於政制發展的辯論(第五卷)第二次政改(2007-2010),"強世功,袁陽陽",2020-05-29,"
1980年代中英談判啟動後，香港的政制發展——包括行政長官和立法會議員的產生辦法——作為一種特殊憲制安排，持續引發香港社會深入討論，香港的立法機關——包括回歸前的立法局和回歸後的立法會——也對該問題進行...more
",https://www.books.com.tw/products/0010860427?loc=P_0003_008
9,九評共產黨(平裝版),大紀元系列社論,2020-04-22,"
《九評共產黨》的九篇社論深入分析共產黨的歷史與本質，從道德、文化及社會等各個層面講清共產黨的根柢及其來源。   縱觀八十多年的中國共產黨歷史，一路伴隨著謊言、饑荒、獨裁、鬥爭等手法來鞏固政權，...more
",https://www.books.com.tw/products/0010855623?loc=P_0003_009
10,國境邊陲的治安與秩序：港澳警政比較,"何家騏,林玉鳳",2020-04-10,"
警察研究有何重要?一本讀懂香港與澳門、回歸前和後警政的沿革與異同。   很多人認為香港警察過去一陣子是亞洲最專業及廉潔的警隊，回歸以後還是嗎?甚麼因素令到它的反腐工作那麼成功?   港英殖民地時代的...more
",https://www.books.com.tw/products/0010854665?loc=P_0003_010
11,【POD】修憲風雲錄：凍省秘辛,呂學樟,2020-04-10,"
...more
",https://www.books.com.tw/products/0010855470?loc=P_0003_011
12,香港立法機關關於政制發展的辯論(第四卷)：第一次政改(2003-2005),,2020-03-13,"
1980年代中英談判啟動後，香港的政制發展——包括行政長官和立法會議員的產生辦法——作為一種特殊憲制安排，持續引發香港社會深入討論，香港的立法機關——包括回歸前的立法局和回歸後的立法會——也對該問題進行...more
",https://www.books.com.tw/products/0010852163?loc=P_0003_012
13,東西文明與政治體制的交涉與會通：若干學說與個案的探討,謝政諭,2020-03-05,"
審視東西文化的交涉過程，本文認為「交涉」含有對抗甚至是衝突，更應含有合作、對話乃至會通議題，因此日本大阪的知名學府關西大學就以「東西文化交涉研究所」作為探討東西文明的過去、現在與未來。人類文...more
",https://www.books.com.tw/products/0010852065?loc=P_0003_013
