,書名,作者,出版日期,內容介紹,網址
1,解嚴之前的禁書,廖為民,2020-10-21,"
勇敢向有光處前行 民主的黎明到來前 禁書交織出的台灣民主奮鬥史   知名禁書研究者.黨外運動史活字典廖為民   為台灣歷史留下紀錄的「禁書系列」最新力作   從1949年5月19日頒布〈戒嚴令〉，至1987年7月15...more
",https://www.books.com.tw/products/0010873762?loc=P_0003_001
2,戰後美日臺關係關鍵50年1945-1995(修訂版),王鍵,2020-10-01,"
▏從威權走向民主，1995年故總統 李登輝訪問美國， 美中台三邊情勢產生微妙變化，台灣開始走出與前面五十年截然不同的道路 ▏   從1945年台灣光復後至1995年，這50年間台灣與中國、美國、日本的政治與經濟關...more
",https://www.books.com.tw/products/0010872970?loc=P_0003_002
3,通往自由之路：美國共和黨的理想、墮落，及其如何被保守主義意識形態綁架?,海瑟‧理察遜,2020-07-08,"
解放黑奴、人人均富，原為共和黨創黨初衷。 為何如今淪為財閥企業、反智、白人至上主義的代言人!? 從林肯、羅斯福，到雷根與布希， 探索共和黨意識形態180度大翻轉的原因，從中透視美國的光明與黑暗。   ...more
",https://www.books.com.tw/products/0010862701?loc=P_0003_003
4,暴政史：20 世紀的權力與民眾,徐賁,2020-07-01,"
在人類歷史的任何一個時期，人們遭受的暴政之害都遠甚於他們所受的自由之益，然而，奇怪的是，討論自由的書籍數不勝數，而剖析暴政的書籍卻少之又少。這種學術關注的失衡一直延續至今。儘管歷史上暴政頻繁...more
",https://www.books.com.tw/products/0010872438?loc=P_0003_004
5,霸權興衰史：1500至2000年的經濟變遷與軍事衝突 (5版),保羅．甘迺迪,2020-04-28,"
本書綜述西元1500年以來英、法、西班牙等國的盛衰興亡，並且分析1945年以來世界局勢的發展變化，同時預測了未來世界的趨勢。作者指出，美蘇兩強走向衰落是無可免的，世界已進入多元權力時代；美國、蘇聯、...more
",https://www.books.com.tw/products/0010856305?loc=P_0003_005
6,台獨脈絡記(增訂版),許介鱗,2020-02-24,"
‧日皇領導東南亞「獨立」?   ‧蔣介石是天皇的救星嗎?   ‧台獨是從日本「分家」的嗎?    ‧日本掠奪糧食與二二八事變有關嗎?   ‧歐洲擴張史與美國如何稱霸世界?   ‧中國崛起史如何引起中美貿易戰?   ‧「日台...more
",https://www.books.com.tw/products/0010849725?loc=P_0003_006
7,新中國憲法發展70年,,2020-02-21,"
自1949年通過《中國人民政治協商會議共同綱領》以來，中華人民共和國憲法歷經1954年制定，1975 年、1978 年和1982 年三次全面修改，1979年、1980年、1988年、1993年、1999年、2004年和2018年七次局部修改....more
",https://www.books.com.tw/products/0010850101?loc=P_0003_007
8,中國的現代國家構造(上卷、中卷、下卷),任劍濤,2020-02-21,"
本書創作前後經歷近二十年。全書旨在讓讀者明白中國建構現代國家過程的背景、面對的問題、解決的方法及發展的前景。...more
",https://www.books.com.tw/products/0010850150?loc=P_0003_008
9,中國政治思想專題研究集(簡體書),孫廣德,2020-02-21,"
《中國政治思想專題研究集》是一本探究先秦儒家、道家、墨家、法家與其後繼者，以及清末民初學者之兩千多年來中國政治思想家與學者所關注之重要政治議題的書籍，這些議題包括政權轉移理論、君臣民理論、天...more
",https://www.books.com.tw/products/0010850154?loc=P_0003_009
10,大漠案揭密：一段塵封已久的兵援北葉門外交祕辛,劉忠武,2020-02-17,"
◆ 大漠案是大漠總長沈一鳴於40年前所執行的一項兵援中東的秘密任務，該專案在1990年結束後，軍方仍以極機密予以保密數十年，直到近年才開始解密。   ◆ 大漠案，是一項絕對機密的軍事任務，為維繫著與沙烏...more
",https://www.books.com.tw/products/0010848071?loc=P_0003_010
11,狂飆一夢：台灣民主化與沒有歷史的人,,2020-02-05,"
|你很了解台灣民主化的故事嗎?|   從曾心儀與康惟壤聆聽-   台灣民主運動史，   看不見卻依舊存在的勇者之歌   他們在街頭搖旗吶喊，他們與軍警肉身對峙，   他們書讀得不高，卻行俠仗義，   為台灣民主爭...more
",https://www.books.com.tw/products/0010846125?loc=P_0003_011
12,國際橋牌社的時代：90年代台灣民主化歷程傳奇故事˙原創戲劇,"吳崑玉,張鐵志,石芳瑜,陳德愉",2020-01-22,"
歷史不遠!走過信仰與背叛的年代 是什麼定義了我們的愛與絕望?   80年代末，台灣解嚴、柏林圍牆倒塌，蘇聯解體，中國發生了天安門事件。90年代初，全世界正在形成冷戰後的新秩序，東西方陣營融冰後展開接觸...more
",https://www.books.com.tw/products/0010846677?loc=P_0003_012
13,國旗的世界史：旗幟的力量與政治,提姆．馬歇爾,2020-01-08,"
85個以上國家及伊斯蘭國、LGBTQ社群、海盜等旗幟的研究 充滿有趣的軼事和細節，對全世界旗幟詳盡而華麗的巡禮   數千年來，旗幟代表我們的希望與夢想。我們織造國旗、毀滅國旗，高舉國旗前進。到了二十一...more
",https://www.books.com.tw/products/0010845035?loc=P_0003_013
14,圖解中華人民共和國史(第二版),周子峰,2019-12-01,"
圖說共和國歷史，再現七十年風雲。   從中華人民共和國成立到三大改造完成，從整風反右到文革浩劫，從十一屆三中全會到中共十九大，七十年曲折歷程，脈絡清晰可見；既寫輝煌成就，又講沉痛教訓，引人深入...more
",https://www.books.com.tw/products/0010847950?loc=P_0003_014
15,Violence and Emancipation in Colonial Ideology,Rohan B. E. Price,2019-12-01,"
Using the insurrection by the Malayan Communist Party (1948–1960) as an example, this book argues that resorting to viol......more
",https://www.books.com.tw/products/0010865233?loc=P_0003_015
16,美麗島後的禁書,廖為民,2019-10-16,"
一張查禁公文，一段台灣史 從禁書看台灣的民主化進程   〈台灣地區戒嚴時期出版物管制辦法〉陰影下   前仆後繼以文字戰鬥的黨外青春   1979年12月10日國際人權日發生在高雄的美麗島事件(又稱為高雄事件)，...more
",https://www.books.com.tw/products/0010837076?loc=P_0003_016
17,全球化的時代：無政府主義，與反殖民想像,班納迪克．安德森,2019-10-02,"
貧富差距，階級剝奪，政治失序… 十九世紀末就像今天，｢全球化」帶來更大的不平等。 於是，人類史上第一次，反抗者們也彼此連結起來，讓反抗運動｢全球化」!   最有既視感的歷史與比較政治研究   《想像的共...more
",https://www.books.com.tw/products/0010835098?loc=P_0003_017
18,赤裸裸的共產黨：共產主義如何危害自由世界,柯立安‧斯考森,2019-09-11,"
剝下共產主義「進步理念」的外衣   《赤裸裸的共產黨》會讓你不寒而慄，一部倒著讀的《共產黨宣言》   《赤裸裸的共產黨》是一部保守主義的經典作品，暢銷美國長達半個世紀，銷量累積二百多萬冊。   該書...more
",https://www.books.com.tw/products/0010832903?loc=P_0003_018
19,第三波：二十世紀末的民主化浪潮(4版),塞繆爾．杭廷頓,2019-08-28,"
十九世紀以來，全球性民主化潮流有三波，從一九七四年葡萄牙政變開始以迄目前，即屬第三波的範疇。此一波民主革命帶動三十多個國家進行政治變革，從威權轉型到民主，這可能是本世紀晚期最重要的政治趨勢。...more
",https://www.books.com.tw/products/0010832451?loc=P_0003_019
20,論李維羅馬史,馬基維利,2019-08-28,"
馬基維利的《君王論》獻給麥迪奇家族的君主。六年後完成的《論李維羅馬史》，獻書對象不再是君主之輩，而是具備君主才德的出類拔萃之士。   他從提圖斯.李維的《羅馬史》看出一條「沒有人踩過的新途徑」，...more
",https://www.books.com.tw/products/0010832455?loc=P_0003_020
21,民主台灣的彰化推手群像,,2019-08-01,"
台灣從威權走向民主，從黨外、民主進步到政黨輪替，是許多民主前輩犧牲自由，甚至是用生命換來的。1987年解除戒嚴前後，到2000年第一次政黨輪替，是台灣街頭運動風起雲湧的年代，參與者除了檯面上的政治人...more
",https://www.books.com.tw/products/0010832680?loc=P_0003_021
22,港英時代：英國殖民管治術(增修版),鄺健銘,2019-07-25,"
倫敦做到的，北京為甚麼做不到，或不願意做?   回顧155年港英管治術，   剖析當今香港「人心未歸」、   中國無法成功管治「世界香港」的深層次原因。   新增終章：從全球史視野看九七之後香港管治模式轉變...more
",https://www.books.com.tw/products/0010828846?loc=P_0003_022
23,希臘人的故事III ：新勢力崛起,塩野七生,2019-05-28,"
塩野七生最後一本歷史大作!描繪亞歷山大如何燃盡他短短32年的生命，建立起橫跨東西兩方的大帝國，為「希臘人的故事」系列寫下完美最終章。   伯羅奔尼撒戰爭之後，古希臘世界處於一片混亂之中；各個城邦內...more
",https://www.books.com.tw/products/0010823355?loc=P_0003_023
24,希臘人的故事II ：民主政治的成熟和崩壞,塩野七生,2019-03-28,"
為什麼雅典的黃金時代會一閃而逝?探討雅典城邦逐漸衰落的歷史大作──《希臘人的故事 Ⅱ》   在優秀的領導者──伯里克里斯的運籌帷幄下，不但成功抵抗波斯入侵，也充分利用「提落同盟」的資金，為雅典城邦開闢...more
",https://www.books.com.tw/products/0010817596?loc=P_0003_024
25,希臘人的故事I：民主政體之萌芽,塩野七生,2019-02-28,"
《羅馬人的故事》作者最新力作   一個精彩的新系列揭開序幕，描繪了羅馬偉大的前輩們──希臘人的故事。   生活在高山圍繞、島嶼破碎的惡劣地理環境之下，古希臘人如何運用他們高尚的智慧創造出諸神的世界和...more
",https://www.books.com.tw/products/0010815215?loc=P_0003_025
26,臺灣研究新跨越.政治思辨,張文生,2019-02-22,"
1895年清政府被迫割讓臺灣，進一步激發了中國人變法圖強的堅定意志。115年以來，兩岸中國人為此不懈努力，經歷了無數的挫折，也走了許多彎路。回顧過去的歷史，我們可以總結出許多經驗和教訓，其中知識的...more
",https://www.books.com.tw/products/0010815042?loc=P_0003_026
27,百合與玫瑰：中古至近代早期英法王權的發展,"劉慧,李若庸,林美香,秦曼儀,陳秀鳳",2019-02-14,"
這世界依然是個被施了魔法的大花園──馬克斯.韋伯(Max Weber, 1864-1920)   百合與玫瑰的討論，可凸顯英、法王權研究中三個面向：第一，英、法王室在花卉圖像上彼此的借用，反映了兩國綿密而複雜的政治關係...more
",https://www.books.com.tw/products/0010812994?loc=P_0003_027
28,"How the Red Sun Rose：The Origins and Development of the Yan’an Rectification Movement, 1930–1945","Guo Jian (TRN),Hua Gao,Stacey Mosher (TRN)",2019-02-01,"
This work offers the most comprehensive account of the origin and consequences of the Yan’an Rectification Movement from......more
",https://www.books.com.tw/products/0010813668?loc=P_0003_028
29,臺灣輿論議題與政治文化變遷,鄒振東,2019-01-25,"
本書以政治文化的符號為切入點，透過考察光復以來臺灣輿論議題的演變，揭示臺灣政治文化的變遷，探討輿論議題與政治文化的互動關係模式。   全書共分四章：   第一章 「省籍議題」——臺灣政治文化的情感符...more
",https://www.books.com.tw/products/0010813237?loc=P_0003_029
30,當代臺灣女性參政研究,林小芳,2019-01-25,"
近年來，大量女性活躍於政治舞臺上，成為臺灣政壇上引人注目的現象。婦女在各項選舉中的自主性投票意識提高，參與公職選舉的人數有明顯增加，女性參選與當選比率在逐步上升。當廣大女性選民用選票展現力量...more
",https://www.books.com.tw/products/0010813240?loc=P_0003_030
31,中國共產黨黨代會歷史細節：從一大到十八大,李穎,2018-11-23,"
中國共產黨黨代會召開的時間間隔，從建黨早期大致每年一次，到17年、11年、13年、4年一次，再到黨的十二大後固定每5年一次；黨代會的會址，從上海、廣州、武漢，到莫斯科、延安，最後到北京——這種時空變化...more
",https://www.books.com.tw/products/0010806201?loc=P_0003_031
32,大外交(上),季辛吉,2018-10-12,"
★ 美國亞馬遜4.5顆星評價   【無涉道德、不講感情、惟國家利益至上】   從可敬的對手的眼光中看自己——季辛吉   這是將世界視為大棋盤的美國外交教父季辛吉最受爭議、也是一生最重要的一部著作，他以自己的...more
",https://www.books.com.tw/products/0010800819?loc=P_0003_032
33,大外交(下),季辛吉,2018-10-12,"
★ 美國亞馬遜4.5顆星評價   【無涉道德、不講感情、惟國家利益至上】   從可敬的對手的眼光中看自己——季辛吉   這是將世界視為大棋盤的美國外交教父季辛吉最受爭議、也是一生最重要的一部著作，他以自己的...more
",https://www.books.com.tw/products/0010800823?loc=P_0003_033
34,美國金權,珍‧梅爾,2018-09-27,"
買下媒體、買下大學、買到美國總統。   直到有一天，   連「美國」都被「他們」買下來。   ◎「美式民主」黑幕I：當右翼財閥準備入主《時代》   寇氏兄弟(Koch brothers)，富比世第八大富豪，是美國第二大...more
",https://www.books.com.tw/products/0010799341?loc=P_0003_034
35,迢迢民主路上的自由呼聲：臺灣民主改革文獻選輯(精裝),"林瓊華,莊天賜,薛化元,蘇瑞鏘,陳君愷",2018-07-01,"
本書集合臺灣史學者林瓊華、陳君愷、莊天賜、薛化元、蘇瑞鏘等人，選編1920年代起至2014年臺灣史上重要歷史文獻，並撰寫背景說明、文獻解題，介紹臺灣民主改革路上，追求自由權利伸張的種種意見，呈現台灣...more
",https://www.books.com.tw/products/0010797939?loc=P_0003_035
36,臺灣政黨政治發展史,王筱瑩,2018-05-25,"
台灣地區，歷史形成複雜、地理位置重要、居民思想獨特，決定了台灣之於中國大陸有著特殊的戰略位置、政治作用和經濟價值，台灣的這種特殊性不僅影響著中國近現代歷史的發展進程，更影響著當今中國的發展大...more
",https://www.books.com.tw/products/0010788688?loc=P_0003_036
37,臺灣的邊政研究七十年,劉學銚,2018-05-18,"
臺灣的邊疆研究與蒙藏委員會之歷史緣由，由曾任蒙藏委員會委員兼主任秘書的作者詳盡其事。   中國自古以來就是由多民族所共建而成，基此，邊疆地區各少數民族的歷史、語文、地理、習俗、宗教信仰、傳統政...more
",https://www.books.com.tw/products/0010787573?loc=P_0003_037
38,總統直選與民主臺灣,"劉義周,吳玉山,張俊雄,曾永權,朱雲漢,李登輝,江宜樺,游盈隆,臺灣研究基金會,蘇起,許信良,詹春柏,邱義仁,陳忠信,陳水扁,黃煌雄",2018-03-28,"
被各媒體喻為「史上最狂的研討會」文集 集結影響總統直選二十年來的政壇名人 為臺灣此刻的「民主憲政體制」提供良好的反思與創見   由臺灣研究基金會策劃主辦、國家圖書館合辦的「總統直選與民主臺灣學術...more
",https://www.books.com.tw/products/0010783072?loc=P_0003_038
39,從蔣介石引退到李登輝下台,閻愈政,2018-01-04,"
作者在台港星等地媒體從業50餘年，見證1949年前後至今的政治歷程。   本書是作者迄今的唯一著作，簡捷明確，說理獨特，六十多年的歷史，順手拈來，盡付雲淡風清!...more
",https://www.books.com.tw/products/0010776188?loc=P_0003_039
40,台灣禁書的故事,廖為民,2017-03-01,"
火種。新苗。 你所不知道或遺忘的，書的故事，也是時代的故事 禁書，台灣特有種出土重光   本書挑選敘述的黨外禁書，從一九六六年七月十八日遭禁的《中國文化的展望》(殷海光)，至一九七九年十二月二十二...more
",https://www.books.com.tw/products/0010745583?loc=P_0003_040
41,中國政治二千年,張純明,2017-02-28,"
本書一九四○年由商務印書館初版。作者以中西文化的視野和洗練生動的文筆，指出中國自秦漢到現代中國政治的特點和動向，把中國二千年紛繁的傳統政治文化，概括得清晰而深刻，具有極強的穿透力。...more
",https://www.books.com.tw/products/0010743709?loc=P_0003_041
42,台灣客家政治風雲錄,何來美,2017-02-22,"
他有「膽識」敢述別人所不敢，而他下苦功，能挖掘他人所不能者。──李喬   《台灣客家政治風雲錄》作者何來美筆法平實，考證嚴謹，詮釋分析有理有據，評論針砭鏗鏘有力，是第一本台灣客家政治風雲全紀錄!  ...more
",https://www.books.com.tw/products/0010744201?loc=P_0003_042
43,香港思潮：本土意識的興起與爭議,李怡,2017-01-25,"
作者是從事寫作和編輯工作六十年的傳媒人，在不同階段都置身於香港思潮的翻滾中，觀察和作出評論。近幾年來，香港興起了本土意識的社會思潮，這股思潮在網絡上，尤其在年輕人中，尤顯洶湧。   本書於二○一...more
",https://www.books.com.tw/products/0010742315?loc=P_0003_043
44,在世界與我之間,塔納哈希．科茨,2016-10-10,"
二○一五美國國家圖書獎非文學類得主   紐約時報、華爾街日報、洛杉磯時報排行榜第一名   紐約時報書評‧歐普拉雜誌‧華盛頓郵報‧時人雜誌‧娛樂週刊‧Vogue‧洛杉磯時報‧舊金山紀事報‧芝加哥論壇報‧紐約雜誌‧新...more
",https://www.books.com.tw/products/0010730115?loc=P_0003_044
45,西洋政治思想與法思想史 (第三篇中)近現代政治思想,張正修,2016-06-01,"
本書特色   本書所處理的部分有很多是屬於科學政治學的部分，例如本書從實證主義發展的角度來探討實證政治學的發展，其中華萊士與邊特利是科學政治學的先驅，本書更進一步介紹了以行為科學理論為基礎的芝...more
",https://www.books.com.tw/products/0010721411?loc=P_0003_045
46,中古政治制度 上冊,侯建新,2016-05-01,"
本書通過對西歐中世紀和中國中古政治制度的分析，發現它們之間的相同和相異之處；考察它們對民眾生活和經濟社會運動的影響，以及對兩種社會不同發展前途的影響。在世界各個地區的政治制度中，中古時代西歐...more
",https://www.books.com.tw/products/0010750619?loc=P_0003_046
