,書名,作者,出版日期,內容介紹,網址
1,節慶與傳播：七夕文化,,2020-10-16,"
七夕是中國歷史悠久的傳統節慶，早自先秦時代的《詩經》已有記述天上牛郎星及織女星，日後更演變成為七夕節。自二○○六年，國務院把七夕節列為首批非物質文化遺產，二○一九年，廣州市道教協會與香港泓澄仙...more
",https://www.books.com.tw/products/0010874135?loc=P_0003_001
2,淮南子神話與古代地理知識,高麗珍,2020-08-01,"
以「人文主義地理學」為橋梁，跨接科學與人文，解讀古代神話所隱含的世界意象。    ◎藉《淮南子》神話，管窺古人的「環境識覺」。   ◎以「人文主義地理學」的視角，整合自然與人文兩大知識領域，重新審視...more
",https://www.books.com.tw/products/0010865530?loc=P_0003_002
3,敦煌學概論,姜亮夫,2020-07-28,"
敦煌莫高窟藏經洞重新面世後，大量珍貴古代寫本流失海外，在世界上，敦煌學迅速形成。然而早期國內學者卻寥若晨星，遠赴歐洲尋訪敦煌寫卷的更屈指可數，其中就有姜亮夫先生。   姜亮夫先生是中國第一位在...more
",https://www.books.com.tw/products/0010863946?loc=P_0003_003
4,賜官講怪獸,劉天賜,2020-07-13,"
賜官在二十年前已對中外怪獸妖精興趣濃厚，研讀範圍甚廣，延伸到歷史、神話、宗教、民俗學、民族學、考古學、金石學、文字學、符號學、象徵學等領域，尤其着迷於那些能引起想像力的怪獸，從中思索神話傳說...more
",https://www.books.com.tw/products/0010874149?loc=P_0003_004
5,太魯閣族神話與傳說,田哲益（達西烏拉彎‧畢馬）,2020-07-10,"
古代，太魯閣族人用弓箭想要把太陽射下來，結果射偏了，射到了太陽的邊緣。有一箭射到太陽下方的一角，發生了連續的大爆炸，這一角爆裂的岩塊分別四處散落，宇宙至此有了大大小小的星辰散布著。另一箭也射...more
",https://www.books.com.tw/products/0010863433?loc=P_0003_005
6,令人理解不能的婚俗：突破想像的婚嫁趣事,"趙惠玲,金躍軍",2020-07-10,"
上百個趣味婚嫁風俗 傳統是陋習，還是大有深意?   西漢司馬遷《史記•補三皇本紀》：「太皞庖犧氏，風姓，代燧人氏繼天而王……於是始制嫁娶，以儷皮為禮。」   唐杜佑《通典禮典》：「遂皇始有夫婦之道，伏...more
",https://www.books.com.tw/products/0010864093?loc=P_0003_006
7,了解伊斯蘭,奧斯曼．楊興本,2020-05-29,"
雖然在香港的華人社會裡，伊斯蘭教從來不是主流宗教，但假若放眼世界，自然無法忽視這個約有十八億人口的穆斯林群體。   「生活的方方面面都與信仰息息相關。」是本書作者兼伊斯蘭教教長奧斯曼.楊興本經常...more
",https://www.books.com.tw/products/0010860430?loc=P_0003_007
8,泰雅生活誌：泰雅耆老口述歷史,楊馥祤,2020-05-12,"
記錄復興區泰雅族耆老們如何在那個動盪的時代，   順應變遷，演繹出獨有的生活型態。   2018年作者楊馥祤因綠際會拜訪復興區泰雅族十位耆老，   以口述歷史方式記錄了泰雅族人因應時代而演繹形成的生活型...more
",https://www.books.com.tw/products/0010857535?loc=P_0003_008
9,尋找台灣味：東南亞X台灣兩地的農業記事,地理角團隊,2020-05-05,"
台灣在哪裡? 不在島內的純正台灣味， 而在與世界的連結上。   這不是一本講述台灣之光、正宗在地食材的飲食書。作者們透過九個與農業相關的故事，想要揭示更複雜、歧義，卻真正運作的如實世界。透過田野調...more
",https://www.books.com.tw/products/0010856115?loc=P_0003_009
10,俗：文化，習俗，傳統，禁忌,"劉燁,趙惠玲",2020-04-10,"
◎你知道，農曆七月七號，其實不是情人節，而是「女兒節」嗎?   ◎十二生肖中，華人最推崇龍，大家都盼望生個龍年寶寶，那你知道哪個生肖的禁忌最多嗎?   ◎嫦娥其實被冤枉了幾千年?!她並沒有偷走仙丹?!   ◎...more
",https://www.books.com.tw/products/0010855025?loc=P_0003_010
11,日本人不說但外國人一定要懂的禮儀：用筷有十八禁忌、送禮最好附熨斗?七百年歷史的禮儀宗家告訴你，連陌生人看了也按讚的舉止。,小笠原敬承斎,2020-03-27,"
◎進入室內要脫鞋，我穿絲襪怎麼辦?日本人什麼場合都會送禮、都要鞠躬嗎?   ◎如何優雅的吃烤魚、蝦、墨魚?可別扒筷、夾筷、淚筷……還沒開動就失禮。   ◎去神社的參拜禮儀：洗手、漱口、過鳥居、搖鈴，你真的...more
",https://www.books.com.tw/products/0010852219?loc=P_0003_011
12,The Unruly New Territories,Malcolm Merry,2020-03-20,"
At the end of the nineteenth century a slice of imperial China was abruptly incorporated into the British Crown Colony o......more
",https://www.books.com.tw/products/0010852759?loc=P_0003_012
13,The First Estates,Roger Nissim,2020-03-20,"
The First Estates shows the impact on Hong Kong’s urban history of Fairview Park and Hong Lok Yuen, the earliest example......more
",https://www.books.com.tw/products/0010852763?loc=P_0003_013
14,特搜!臺灣都市傳說,謝宜安,2020-03-11,"
傳說就是這樣煉成的!   你還記得嗎?   人面魚、多腿雞、日治刑場、辛亥隧道、蔣公銅像⋯⋯   破解十三則曾經席捲臺灣人生活的都市傳說。    ★完整爬梳事件始末，細密追究，還原時空。   ★紀實照片+PAPARAYA...more
",https://www.books.com.tw/products/0010851187?loc=P_0003_014
15,探索越南文化本色：從系統及類型論的視角,陳玉添,2020-03-01,"
《探索越南文化本色》原書在越南是研究越南文化者必讀的經典著作，有系統地探討越南人的民族特色。本書高達40萬字，耗時8年由國立成功大學翻譯出版。    《探索越南文化本色：從系統及類型論的視角Explori...more
",https://www.books.com.tw/products/0010850214?loc=P_0003_015
16,布農族四社神話與傳說：濁水溪上游祕境傳說,"全妙雲,田哲益",2020-02-12,"
小矮人很厲害，他們經常與布農族人作戰……善於使用弓箭，躲在土裡面，有的躲在草叢裡，布農族人不知道他們藏身在那裡，他們會突然從樹上射擊布農族人，有時候從土裡面冒出來，也會從草叢裡面發箭突擊布農族...more
",https://www.books.com.tw/products/0010848810?loc=P_0003_016
17,生死學概論(2版),郭慧娟,2020-02-10,"
生死之間：愛是一切的答案    本書以臺灣社會的本土生命價值觀、風土人情、宗教精神信仰、喪葬風俗習慣及死亡相關處遇等為基礎背景，旨在撰寫一本完全符合臺灣本土需求及現代核心價值的生死學教科書。內容...more
",https://www.books.com.tw/products/0010853415?loc=P_0003_017
18,為何建制民族誌如此強大?：解碼日常生活的權力遊戲,"唐文慧,廖珮如,張恒豪,張麗珍,林昱瑄,程婉若,許可依,郭姵妤,陳正芬,黃明華,黃綉雯,齊偉先",2020-02-07,"
「……那張重大傷病卡會將已付的部份負擔退錢回來，我同事說呼吸器要裝二十一天以後才能申請，我算一下我爸開刀到今天是十七天，剩四天就可以申請，我要求四天後再拔!要不然我的經濟負擔好重!」   「你爸嘴...more
",https://www.books.com.tw/products/0010848780?loc=P_0003_018
19,寶島搜神(隨書附贈全彩門神秦叔寶、尉遲恭書衣海報),角斯,2020-01-22,"
12個月的神明聖誕千秋、108則神明傳說故事、45尊臺灣人熟悉的神明、17尊動物神獸與器物崇拜 神明的紙上行旅+傳說與民俗趣聞，用圖像入門臺灣神明世界。 黃震南(藏書家、金鼎獎得主)：神來之筆，勾勒出傳統...more
",https://www.books.com.tw/products/0010847586?loc=P_0003_019
20,Misafalo.播種.萌芽：阿美族文化的傳與承,"呂鈺秀,少多宜‧篩代,徐啟賢,朱柔若,林志興,汪秋一,蔡中涵,陳振勛,高淑娟",2020-01-15,"
「阿美族學的一小步，是阿美族社會發展的一大步。」   建立阿美族學並非要標新立異，甚至閉門造車，而是依據阿美族社會發展的需求，以及學術研究之發展趨勢應運而生，以尋求阿美族學研究的新平臺、機會和...more
",https://www.books.com.tw/products/0010846801?loc=P_0003_020
