,書名,作者,出版日期,內容介紹,網址
1,中華人民共和國香港特別行政區維護國家安全法,三聯出版社編輯部,2020-10-08,"
《中華人民共和國香港特別行政區維護國家安全法》，於2020年6月30日第十三屆全國人民代表大會常務委員會第二十次會議通過，並經中華人民共和主席習近平簽署主席令，公佈施行。    本書為《中華人民共和國...more
",https://www.books.com.tw/products/0010873395?loc=P_0003_001
2,中華人民共和國香港特別行政區基本法,三聯出版社編輯部,2020-10-08,"
本書為《中華人民共和國香港特別行政區基本法》法律文本。所選底本權威，並已結合實際對附件三“在香港特別行政區實施的全國性法律”增加第十四條，即“國安法”相關內容。...more
",https://www.books.com.tw/products/0010873397?loc=P_0003_002
3,異見的自由：美國憲法增修條文第一條與言論自由的保障,安東尼‧路易斯,2020-09-30,"
言論自由是民主政府合法性的泉源。 也是約束政府惡行最有效的機制!   有「美國第十位大法官」之美譽的兩屆普立茲獎得主，   從美國憲法增修條文第一條的詮釋與應用，   探索言論自由的保障從何而來?言論自...more
",https://www.books.com.tw/products/0010867481?loc=P_0003_003
4,逆權佔地,梁守肫,2020-09-22,"
「天」、「地」、「人」這三個元素構成了逆權佔地的不同情況。逆權佔地意即逆權管有他人的土地，佔地者可引用《時效條例》取得所佔的土地。此法理的原意是避免土地長期荒置，浪費天然資源。    可是香港寸...more
",https://www.books.com.tw/products/0010872095?loc=P_0003_004
5,日本刑事訴訟法之翻譯與實務略述,李春福,2020-08-25,"
我國近代法律繼受及其法學文字，日本一直是影響我國刑事訴訟法之發展；例如早期從「職權主義」、「當事人主義」、「單一性、同一性」、「起訴狀一本主義」、「傳聞法則」、「證據開示」、「再審」、「既判...more
",https://www.books.com.tw/products/0010871345?loc=P_0003_005
6,保險法,張俊岩,2020-07-01,"
自1980年代中國恢復國內保險業務以來，中國的保險市場一直快速發展。為了確保保險市場健康發展及避免市場上的違規行為，1995年，《中國人民共和國保險法》頒佈實施，以規範保險市場及保障投保人、被保險人...more
",https://www.books.com.tw/products/0010870046?loc=P_0003_006
7,中華人民共和國民法典,,2020-07-01,"
《中華人民共和國民法典》共7編、1,260條，各編依次為總則、物權、合同、人格權、婚姻家庭、繼承、侵權責任，以及附則，將於2021年1月於內地實施。《民法典》的編纂，完善民事法律規範，保障私有權利。隨...more
",https://www.books.com.tw/products/0010870047?loc=P_0003_007
8,高階白領勞工之工作時間除外適用制度：四國之比較,"侯岳宏,傅柏翔,張義德,郭玲惠,韓仕賢",2020-06-01,"
近年來工時問題受到社會許多矚目，也引起許多爭議。特別是對於高階白領在工作時間除外適用，也是重要的討論焦點之一。各國對於此議題也有一些不同的規範方式。    因此，臺北大學法律學院比較法資料中心透...more
",https://www.books.com.tw/products/0010861500?loc=P_0003_008
9,中國法治之路,李步雲,2020-06-01,"
什麼是中國法治之路?李步雲認為中國要走法治之路，國家就要依據一部充分體現現代文明的憲法進行治理，以實現一系列民主原則與制度為主要內容，以厲行法治為基本保證，以充分實現最廣泛的人權為目的。而一...more
",https://www.books.com.tw/products/0010870037?loc=P_0003_009
10,法治中國之建構,郭道暉,2020-06-01,"
甚麼是「民主」、「共和」與「憲政」?法理學、法哲學和部門法哲學又該如何區分?法學的專有名詞似乎很深奧，與我們的日常生活距離很遠，但其實法學並不是艱深、沉悶的同義詞，更不是高不可攀的領域。   中...more
",https://www.books.com.tw/products/0010870038?loc=P_0003_010
