,書名,作者,出版日期,內容介紹,網址
1,圖解實用民事法律(2版),游敏傑,2020-10-28,"
以民事法律為中心，將生活中所有會遇到的法律問題，分門別類地用佐以圖解來解說。不論是作為學習，或者是解決在職場上、家庭中遇到的困難，本書的內容都能立刻給予幫助。   ●用淺顯易懂的敘述方式來說明，...more
",https://www.books.com.tw/products/0010874202?loc=P_0003_001
2,66張圖讀懂法律通識課：不花錢找律師，職場、租屋、消費……等 50個疑難雜症都能自己搞定!,優渥客,2020-10-26,"
★2021最強法律防身術★   江湖走跳你早晚相堵ㄟ丟，   你需要這本超簡單，   蒐集各種有趣案例的工具書。   ◎別說你用不到!這年頭職場、買賣、人情上的陷阱無所不在   本書將最常見的生活糾紛，分為5大面向...more
",https://www.books.com.tw/products/0010873055?loc=P_0003_002
3,公寓大廈公設點移交實務(六版),徐源德,2020-10-06,"
建築物整體涉及多種專業，而建築物的設備、設施若在某一環節有誤，則該建物不僅無法達到安全、便利的基本機能，對於住戶甚至有危害的潛在風險。因此，當一幢公寓大廈新建落成時，建設公司首要面臨的挑戰，...more
",https://www.books.com.tw/products/0010873048?loc=P_0003_003
4,當心!孩子一不小心就觸法：專業律師親授預防孩子誤闖法律禁區的33堂課,連世昌,2020-09-28,"
「不知者無罪」，再也不能當作免死金牌! 在「不知法不免責」的狀況下， 法律常識，寧可「知」在前， 也不要「錯」在懊悔之後!   嘻鬧的口頭禪：白痴、笨蛋、大肥豬、神經病……   己犯公然侮辱罪?   網路隨...more
",https://www.books.com.tw/products/0010871576?loc=P_0003_004
5,親屬：案例式(十三版),郭欽銘,2020-09-25,"
作者任教期間，發現採用傳統理論之教學方式，不易引起學生學習之興趣，但如以淺顯易懂的文字表現及案例式的講授方式，則較容易讓初學者引起學習興趣並激勵思考日常生活問題，進而達到「學以致用」之效果。...more
",https://www.books.com.tw/products/0010871382?loc=P_0003_005
6,訴訟書狀範例(7版),"吳光陸,周家寅,孫慧敏,李永然,王國棟,許啟龍,鄧又輔",2020-09-10,"
向法院請求處理事務，往往須以「書狀」來表達。這些書狀的撰擬關涉當事人之權益甚鉅，倘措詞稍有不當，嚴重者會影響訴訟勝負之結果；輕微者亦將鬧出極大的笑話。所以書狀的撰擬必須慎重臨之。   書狀既然...more
",https://www.books.com.tw/products/0010871362?loc=P_0003_006
7,從〈兒童權利公約〉到〈兒少權法〉的增修變革析論,"林淑女,王順民,陳麗芬",2020-09-09,"
書名取為《從〈兒童權利公約〉到〈兒少權法〉的增修變革析論》，點明出來本書的撰寫構思和論述架構，主要是依循「支持性」、「補充性」、「保護性」及「替代性」等兒少福利服務範疇的屬性概念，對照於〈兒...more
",https://www.books.com.tw/products/0010870327?loc=P_0003_007
8,不動產估價體系(三版),許文昌,2020-09-01,"
本次改版，新增容積率不同之量化修正、容積率對地價之影響、持分產權估價等資料，務使本書內容豐富且符合實用。    從個人不動產之買賣、租賃、貸款，乃至於國家之房地稅收、資產活化、徵收補償，均與估價...more
",https://www.books.com.tw/products/0010870782?loc=P_0003_008
9,職場與法律,鄭津津,2020-09-01,"
本書將職場中常發生的法律問題，分為「勞動契約」、「離職、解僱與資遣費」、「工資」、「工作時間」、「勞工退休制度」、「職業災害」與「就業平等」等七個單元。每一個單元中再細分為若干主題，輔以生活...more
",https://www.books.com.tw/products/0010871077?loc=P_0003_009
10,交通事故處理程序實用版,柯育奇,2020-09-01,"
發生車禍怎麼辦?不用慌張，本書教您冷靜應對，順利圓滿!    ◎以淺顯易懂的敘述，介紹車禍所面臨的相關法律、保險、鑑定、調解等流程，並搭配圖表解說，閱讀起來更輕鬆。   ◎針對車禍事故被害人如何維護自...more
",https://www.books.com.tw/products/0010868906?loc=P_0003_010
11,著作權法案例解析(五版),簡啟煜,2020-09-01,"
本書除以平實簡潔文字，深入淺出介紹著作權理論，使讀者能無障礙的即時進入著作權領域外，大量佐以精心挑選之實務及學說見解，以及作者律師執業二十餘年來共七十餘則之案例精華，置入相關章節之中，以期能...more
",https://www.books.com.tw/products/0010870787?loc=P_0003_011
12,專業人資，不做違法解僱,曾翔,2020-09-01,"
台灣第一本詳盡說明「解僱」該怎麼做的法律書籍，勞資雙方都應該看!    ◎以淺顯的方式告訴讀者，我國的法制是如何檢視解僱究竟是否合法。   ◎企業人資處理人員解僱時不可或缺的法律工具書。   ◎人資必須重...more
",https://www.books.com.tw/products/0010867153?loc=P_0003_012
