,書名,作者,出版日期,內容介紹,網址
1,你知道我的感覺很好：披頭四、普魯斯特、希區考克的快樂找尋,梁濃剛,2020-11-07,"
香港知名影評家、文化評論人梁濃剛 時隔多年、醞釀真情的最新著作    敬!未完的人生，因為你知道我的感覺很好。 作者引述披頭四成員約翰.藍儂的一句歌詞：「你知道我的感覺很好。」作為書名。感覺好與不好...more
",https://www.books.com.tw/products/0010873682?loc=P_0002_001
2,全球化的過去與未來：從舊石器時代到數位時代，地理、技術與制度如何改寫人類萬年的歷史,傑佛瑞．薩克斯,2020-10-29,"
極端氣候、重度汙染、貧富不均、戰爭風險， 我們正站在第三次世界大戰的邊緣。 當人類來到生存的關鍵時刻， 翻開七萬年的歷史，我們是否能借古鑑今，開啟永續的大門?    《槍炮、病菌與鋼鐵》作者賈德・戴...more
",https://www.books.com.tw/products/0010873834?loc=P_0002_002
3,人類三部曲(3冊，獨家加贈「無時效週誌筆記本」)：人類大歷史、人類大命運、21世紀的21堂課,哈拉瑞,2020-10-27,"
《人類大歷史》《人類大命運》《21世紀的21堂課》 全球暢銷2,000萬冊 翻譯超過50種語言 連天才們都驚艷不已的曠世傑作 當代全球思想指標 哈拉瑞 最精準犀利的見解 歐巴馬、比爾.蓋茲、祖克柏、康納曼……重...more
",https://www.books.com.tw/products/0010873897?loc=P_0002_003
4,如果「那一天」終於來了……：侏儸紀公園開幕、全球網路斷線、海裡再也沒有魚……從政治、科技、環境分析19則虛實交錯的奇思異想,麥克．波爾,2020-09-30,"
用追根究柢的精神分析極端事件的可能性，以想像力消除焦慮， 帶你沉浸式體驗「永生難忘」的19種荒謬場景! 現實版的《如果這樣，會怎樣?》、全球版的《危難求生手冊》 《未來產業》、《解密iPhone》、《拯...more
",https://www.books.com.tw/products/0010870640?loc=P_0002_004
5,情感資本主義：從情感獨裁到情感救贖,駱穎佳,2020-08-31,"
人非草木，但卻總是提不起勁去關心別人或社會時事?職場上總要維持平穩情緒，甚或要透支愉快感覺以展露笑容來照顧客人與上司，為工作場所營造輕鬆的氣氛。與此同時，從小到大都有不同的目標需要追趕，讀書...more
",https://www.books.com.tw/products/0010872035?loc=P_0002_005
6,研究方法：社會科學與生醫方法論,張紹勳,2020-08-25,"
✦研究生案頭必備專書✦   全面拆解問題意識、分析架構、採用方法   讓你融會貫通學術研究的What→Why→How   隨書附贈 資料檔光碟   研究方法，是每一位研究生必須學會的基本工具能力。   無論研究主題為何，...more
",https://www.books.com.tw/products/0010869466?loc=P_0002_006
7,尋常的社會設計：一位任性社會學者的選物展,鄭陸霖,2020-08-12,"
拿起工具，成為更完整的自己! 設計時代的自我啟蒙，重新丈量我們與物的距離 一位到地的社會學者，一股道地的設計新思潮   *一本為後人類的「設計時代」所寫，融入哲學，社會學，人類學的「設計新思潮」。 ...more
",https://www.books.com.tw/products/0010866264?loc=P_0002_007
8,社會學的想像：從「個人的煩惱」連結到「社會的公共議題」，歡迎來到社會學的世界!,米爾斯,2020-08-04,"
★社會學最負盛名啟蒙書★ ★當代美國文明最重要的批評家★ ★社會學領域最經典、最暢銷名著問世60年紀念版★   在一個沒有任何人能置身事外的時代，   重要的是：認識到每個人在這樣的世界中身處何處。   用社...more
",https://www.books.com.tw/products/0010865650?loc=P_0002_008
9,後疫情時代的關鍵趨勢：新冠肺炎重塑世界的五大思維,伊凡．克雷斯戴,2020-07-31,"
搶先全球英文版 版權已售全球 日本、英國、法國、德國、西班牙、義大利、荷蘭等18國 臺灣大學政治學系兼任教授 楊永明專文導讀    來到後疫情時代，我們真的有解答了嗎?    2020年全球因為一隻新冠病毒天...more
",https://www.books.com.tw/products/0010864901?loc=P_0002_009
10,很基本的教養套書(共六冊)：圖解經濟學+ 圖解哲學+圖解心理學+圖解社會學+圖解世界史+圖解台灣史,"吳逸驊,小松田直,曾寶瑩,李忠謙,溫美珍",2020-07-16,"
圖解經濟學(修訂版) 沒人教但早該懂的社會運作基本概念  當資源‧時間都有限，該如何權衡得失做分配? .知道改善全球暖化刻不容緩，卻總是希望冷氣可以冷一點? .工作與休閒的比例怎麼拿捏，薪水要用來換新手...more
",https://www.books.com.tw/products/0010863268?loc=P_0002_010
