,書名,作者,出版日期,內容介紹,網址
1,人生路引：我從閱讀中練就的28個基本功,楊斯棓,2020-10-01,"
環球演講熱血醫師、閱讀引路人楊斯棓，誠摯醞釀五年的第一本書!    面對無法快轉或倒退的人生時鐘，   他以前人智慧為樁，個人經驗為網，   轉化28本經典好書的智慧，   幫助你在人生關卡中找到方法活下來...more
",https://www.books.com.tw/products/0010870626?loc=P_0002_001
2,大編時代：文學、出版與編輯論,,2020-09-10,"
副刊X圖書X雜誌X學報   作家X批評家X編輯X出版社   寧為大編，勿任小編   學者專家與著名編輯，為你剖析出版故事及文學因緣   各大學為因應時代變化與學用合一之籲求，近年間陸續規畫部分課程轉型，「出版...more
",https://www.books.com.tw/products/0010869882?loc=P_0002_002
3,愛書人：2000本書、超過47個世界級書店、36個圖書館，療癒畫風插圖，喚起你的閱讀魂,珍‧蒙特,2020-09-01,"
對你來說，在一個理想的書架上，會想一輩子都擺著的書籍是哪幾本?    書蟲推薦各年齡都可閱讀的當代經典、值得閱讀的傑作，   讓你的待讀書單暴增3倍量；   除了這些好書，一些關於書的有趣小常識，愛書的...more
",https://www.books.com.tw/products/0010867861?loc=P_0002_003
4,讀書帶領有新招：用繪本、書籍、影像打造美好共讀習慣,曹春燕,2020-07-08,"
閱讀帶領vs.共讀X社群學習，心法全解密!   |Point1|達人零藏私揭秘，讀書帶領的功能、類型等，   |Point2|說明帶領者及參與者的角色定位、任務、心態準備等，   |Point3|活動設計、材料準備，及帶領討論的...more
",https://www.books.com.tw/products/0010862456?loc=P_0002_004
5,只有讀「書」能抵達的境界：雖然知識、資訊唾手可得，但只有「閱讀一本書」的過程，才能鍛鍊思考力、人格與素養,齋藤孝,2020-06-24,"
觀看說書影片、閱讀網路文章都無法取代讀書， 因為讀「書」最大的作用， 不在吸收資訊，而在「體驗」!   ★ 上市短短6個月16刷，銷售突破155,000冊   ★ 日本亞馬遜讀書法暢銷榜第1名   ★ 收錄40本嚴選書單...more
",https://www.books.com.tw/products/0010861472?loc=P_0002_005
6,牧羊人讀書筆記,朱敬一,2020-05-04,"
菩薩不住相布施，其功德不可思量   朱敬一大使傳授「外交官不住相讀書法」   其功效不可思量   朱敬一，身上掛滿總統科學獎、中央研究院最年輕院士、美國國家科學院海外院士等無數學術勲章。他是國際知名...more
",https://www.books.com.tw/products/0010855896?loc=P_0002_006
7,牧羊人讀書筆記【限量作者親簽版】,朱敬一,2020-05-04,"
菩薩不住相布施，其功德不可思量   朱敬一大使傳授「外交官不住相讀書法」   其功效不可思量   朱敬一，身上掛滿總統科學獎、中央研究院最年輕院士、美國國家科學院海外院士等無數學術勲章。他是國際知名...more
",https://www.books.com.tw/products/0010855899?loc=P_0002_007
8,日本第一速讀王教你讀得快，記得住，月讀30本的超強讀書術,角田和將,2020-04-09,"
透過快速閱讀，不僅閱讀和時間的量與質會改變， 還能將「書本知識」內化成「自身技能」，讓自己高速成長! 日本亞馬遜「讀書法」TOP5暢銷書! 所有人都適用，在最短時間記住大量內容的驚人讀書術! 15萬人實...more
",https://www.books.com.tw/products/0010853784?loc=P_0002_008
9,超圖解 世界名著 101,,2020-04-01,"
~縱橫職場必備!概覽世界名著，增進基礎人文素養!~ 生動插畫演繹古今中外經典文學.政經.歷史哲學名著 從零開始，2小時快速掌握101本世界名著!   聽到「世界名著」這個詞彙，你是否也會回想起，   在遙遠的...more
",https://www.books.com.tw/products/0010853124?loc=P_0002_009
10,讀懂一本書：3300萬會員、22億次收聽「樊登讀書」創始人知識變能力的祕密完整公開,樊登,2020-04-01,"
讀書不是為了賺錢，但學會讀書，才會越來越值錢!   創造22億次收聽數、吸引3300萬註冊會員愛上書的「樊登讀書」創始人讀書心法完整公開   能力培養、思維改建、精選書籍、梳理內容、抓住核心   全方位的知...more
",https://www.books.com.tw/products/0010852600?loc=P_0002_010
11,此乃書之大敵： 十九世紀知名藏書家，帶領讀者重回紙本書黃金時代的書籍保存軼事之旅。,威廉．布雷德斯,2020-03-25,"
火的攻擊、水的侵擾，沒有煤氣，乾燥的空氣會摧毀裝幀， 煤氣的高溫又會把書悶壞，更不要說那些以書為食，「飽讀詩書」的書蟲了。 有天災，有人禍，很久很久以前的愛書之人，得要面對無數的「書之大敵」! ...more
",https://www.books.com.tw/products/0010852399?loc=P_0002_011
12,教你讀懂文學的27堂課(三版),湯瑪斯‧佛斯特,2020-03-11,"
文學閱讀的解答之書 27堂紙上文學課，讓你成為非一般讀者   湯瑪斯.佛斯特以超過20年的豐富教學經驗，告訴我們如何閱讀，如何尋找模式與象徵。閱讀是一項極度燒腦的工作，需要靠著直覺與感受，與熟悉文學...more
",https://www.books.com.tw/products/0010851080?loc=P_0002_012
13,香港舊書店地圖(增訂版),黃曉南,2020-02-01,"
資訊科技日新千里，隨時代進步書種繁多，於一片書海競爭之中，大部分書籍於一般書店上架不久，可能從此沉入歷史長河，遭到冷待甚至退書。    幸運是舊書店(亦即二手書店)為它們提供寄居場所，部分書籍亦因...more
",https://www.books.com.tw/products/0010859816?loc=P_0002_013
14,飛越宇宙人間,吳豐山,2020-01-20,"
生而為人，該如何看待、經營自己的生命?除了盡情享受人間的美好，更要有慈悲為懷，真誠地與同類和平非戰，扶弱濟傾，相濡以沫的精神，並透徹生與死、剛與柔、美與醜、善與惡、虛與實、陰與陽、物質與精神...more
",https://www.books.com.tw/products/0010847731?loc=P_0002_014
15,現代臺灣地區的出版文化與社會變遷(1950-2010),雷碧秀,2020-01-13,"
探討現代臺灣地區出版產業，以具體的出版實例，梳理東西文化在臺灣地區如何碰撞與交流，傳播新知的物質基礎如何發生變化，新式出版如數位出版如何改變人們的認識與知識結構，新知的傳播如何影響了社會階層...more
",https://www.books.com.tw/products/0010845300?loc=P_0002_015
16,書評職人：失憶時代的點書,范銘如,2019-12-23,"
在急速失憶的當代社會， 千萬別任由流光淹沒了認識這些好書的機緣， 在滑膩了無聊資訊頁面的某天，請來點書。   范銘如教授，四十篇文學文化評論，最新結集!   所謂書評職人，讀寫不只為推薦，更要有「被...more
",https://www.books.com.tw/products/0010843575?loc=P_0002_016
17,大學圖書館的創新思維,劉吉軒,2019-11-27,"
圖書館的本質是人類知識傳承與再造的一種儲備中介輔助機制，圖書館蒐集各種書寫紀錄、長期保存累積，再由求知者的閱讀領會，完成知識的傳遞擴散與深化再造，而提升文明演化的速度。    網際網路數位時代，...more
",https://www.books.com.tw/products/0010840532?loc=P_0002_017
18,回家吧!迷失在數位閱讀裡的你：認知神經學家寫給螢幕時代讀者的九封信,瑪莉安・沃夫,2019-11-09,"
美國Amazon教育哲學類排行冠軍 認知神經學家、兒童發展專家瑪莉安・沃夫(Maryanne Wolf) 研究閱讀與大腦十餘年最新力作 ・你能夠專心讀書半小時不滑手機嗎? ・你更相信Google或維基，更甚於相信自己? ・你...more
",https://www.books.com.tw/products/0010838952?loc=P_0002_018
19,讀癮者的告解：文學巨著幾乎沒看過；沒給期限，一本書也看不完；有本書買了十年才翻開……怎樣?我就是正宗的讀癮患者,安妮．博吉爾,2019-10-28,"
◎有個國三老師，6年來看了6遍《暮光之城》。但她說：「請不要告訴我的學生。」   ◎有個讀者沉迷於描寫消防隊的言情小說，封面上得有猛男，她還堅持只看紙本。   ◎作者15歲就買了一本粉紅色的《簡愛》，但...more
",https://www.books.com.tw/products/0010837342?loc=P_0002_019
20,訪書回憶錄,鍾芳玲,2019-10-03,"
讀書是享受、寫書是療癒、   說書是樂趣、訪書最歡喜!   在書之宇宙裡，我們都是愛好真善美樂的子民。   華文世界第一位近距離描繪西方書店的作家，引起日後二十年書店書寫風潮的書女鍾芳玲，長期撰寫「有...more
",https://www.books.com.tw/products/0010834534?loc=P_0002_020
21,用書脫魯的一生閱讀術,宋怡慧,2019-10-02,"
十二年國教課綱正式上路，   如何用閱讀培養核心素養、啟動自學能力?   宋怡慧老師爲你量身打造，用書為生命「脫魯」的三面二十力。   教改的洪流來勢洶洶，素養導向的學習趨勢成為主流，教學現場的教師以...more
",https://www.books.com.tw/products/0010835042?loc=P_0002_021
22,編輯這種病：記那些折磨過我的大牌作家們【出版十週年紀念版】,見城徹,2019-09-17,"
《編集者という病い》 ——————出版十週年紀念版—————— 創社20多年打造超過20本百萬暢銷書 日本出版界傳奇人物‧暢銷書之神見城徹的豪邁自敘 『作家內心哪裡有傷口， 我就朝那裡開刀!』   這些話，他們只對見...more
",https://www.books.com.tw/products/0010833060?loc=P_0002_022
23,書店不屈宣言(首刷限量X台灣限定 獨立書店手寫珍藏海報 + 精美書籤),田口久美子,2019-09-07,"
超過20家台灣獨立書店感動推薦 日本亞馬遜評價4.5顆星  如果有一天，書店永遠消失， 你再也看不到承載著文字重量的紙本書……  田口久美子不只是樂在熱愛的書本當中， 更像母親般守護著它們──谷川俊太郎 ▍首...more
",https://www.books.com.tw/products/0010832696?loc=P_0002_023
24,閱讀，看見希望：改變台灣閱讀教育的推手 愛的書庫,陳鳳麗,2019-09-06,"
愛的書庫運作15年，成立303座，累積借閱人次突破5000萬!怎麼做到的?    企業、老師、物流司機、替代役、志工……，16位深耕校園共讀、愛心奉獻者的真情告白    「愛的書庫」於二○○五年四月成立，從第一座到...more
",https://www.books.com.tw/products/0010832822?loc=P_0002_024
25,素養.閱讀,,2019-09-03,"
閱讀，可以擴充知識、開拓心靈，是一種內在自我的學習方式；   素養，則是自抒性靈、溝通人我，是一種與外界和諧共處的方式。   青年學子置身現今多元的社會思潮，面對龐雜混亂的資訊內容，應當如何獨立思...more
",https://www.books.com.tw/products/0010833433?loc=P_0002_025
26,讀書這個荒野,見城徹,2019-09-01,"
一旦開始認真思考如何活，必然會從閱讀中找到活路。於是，   他以血洗血，在讀書這個荒野上橫衝直撞。   21年內創造21本百萬暢銷書的讀書狂人。   書本，是在你身邊，最便宜的人生開拓武器。   如何讓讀書...more
",https://www.books.com.tw/products/0010831795?loc=P_0002_026
27,讀書的價值,森博嗣,2019-07-03,"
發現閱讀的價值   讓自己的視野更深、更廣、更自由   為什麼在今天這個時代，書依舊無法被取代?   《全部成為F》人氣推理小說家森博嗣   帶你窺探閱讀的本質   「理科系」推理小說家森博嗣，   從小就不愛...more
",https://www.books.com.tw/products/0010826439?loc=P_0002_027
28,東學西漸：北美東亞圖書館1868–2008,,2019-07-01,"
本書是美國亞洲研究學會(Association for Asian Studies)2010年推出的一本力作，是迄今最為全面地介紹北美大學東亞圖書館、美國國會圖書館以及東亞典藏流傳及分布情況的專著，由包括加州大學柏克萊分校斯...more
",https://www.books.com.tw/products/0010831487?loc=P_0002_028
29,愛字的人：因為你對書的愛情，我們存在,"李偉麟,虹風(沙貓),陳安弦",2019-06-17,"
十年紀念的最後一本書，《愛字的人：因為你對書的愛情，我們存在》，亦是「書店閱讀圖像」的最後一塊拼圖。維持著第一手訪談實錄的形式，我們邀請不同世代的讀者親自現身，來跟大家說，他們如何透過作品與...more
",https://www.books.com.tw/products/0010824792?loc=P_0002_029
30,海明威才沒有這麼說：名言真正的作者，佳句背後的真相,迦森‧奧托爾,2019-06-12,"
名言界的福爾摩斯，鍵盤上的柯南   真正的作者――只有一個!   這本書還了我一個清白!――海明威……沒有這麼說。   「能力越大責任越大。」是蜘蛛人說的?彼得帕克覺得惶恐、覺得壓力山大!   「給孩子魚，不如教...more
",https://www.books.com.tw/products/0010823871?loc=P_0002_030
31,讀解力：主管的連珠炮指令、客戶的嘀咕意見、長到厭世的報告、煽動性網路文字，該怎麼掃視，看出對方到底在跟我說什麼。,吉田裕子,2019-06-03,"
你也有以下這些困擾嗎?   ◎閱讀資料的速度很慢，人家給的東西越詳細，我加班時間越長。   ◎沒有讀懂文字的意思就簽約，讓自己陷於不利的處境。   ◎看不懂客戶寫來的電子郵件，用心反覆用電話提問，反而讓...more
",https://www.books.com.tw/products/0010822453?loc=P_0002_031
