,書名,作者,出版日期,內容介紹,網址
1,蜜蜂小姐寫字母【觸摸翻翻遊戲書】,Make Believe Ideas Ltd.,2020-11-01,"
跟著蜜蜂小姐的飛行路徑，動動小手指寫出每個小寫字母吧!    蜜蜂小姐在旅途中認識大寫英文字母，並學會書寫英文小寫字母，請幫忙她成為一名拼寫高手。翻閱每一頁，利用手指沿著凹槽的路徑練習寫出26個小...more
",https://www.books.com.tw/products/0010874133?loc=P_0003_001
2,蝸牛先生學數數【觸摸翻翻遊戲書】,Make Believe Ideas Ltd.,2020-11-01,"
跟著蝸牛先生一起從1數到10，並把郵件送給他的朋友!    每麗的花園裡，蝸牛先生依序拜訪編號1~10的房子，把信件送給可愛的動物朋友。翻閱每一頁，利用手指沿著凹槽的路徑練習寫數字1~10，學習數字變得簡單...more
",https://www.books.com.tw/products/0010874136?loc=P_0003_002
3,是誰躲起來了?(三版),大西悟,2020-11-01,"
遊戲式的圖畫書，訓練幼兒的圖像認知與對細節的記憶統合能力    狗、老虎、河馬、斑馬、袋鼠、獅子、兔子……   哇!有好多動物排排站耶!   咦?怎麼有些動物不見了?   猜猜看，是誰躲起來了?   奇怪，有的動...more
",https://www.books.com.tw/products/0010874207?loc=P_0003_003
4,猜一猜，這是誰?(二版),G. V. 傑納頓,2020-11-01,"
特別為一歲半以上的寶寶設計的驚奇翻翻書 結合可愛造形與辨識遊戲，增進寶寶的探索能力與認知概念    明明是完全不一樣的動物，卻有共同的特徵!   猜猜看，蜜蜂和斑馬哪裡很像?蜘蛛和章魚又是哪裡很像呢? ...more
",https://www.books.com.tw/products/0010874210?loc=P_0003_004
5,Baby數字動物軟積木：FOOD超人*新版*,風車編輯群,2020-10-28,"
最適合寶寶的安全彈性軟積木! 搭配60面可愛幼幼認知圖案    本產品含有10種不同顏色的軟積木，正方形6面皆有不同的圖案，讓孩子們在玩樂的同時，也能認識數字和動物、建立對色彩的基本認知，透過特別的紋...more
",https://www.books.com.tw/products/0010874360?loc=P_0003_005
6,1歲Baby配對拼圖：水果篇,小時報編輯部,2020-10-27,"
為什麼Baby需要水果配對拼圖 ?    ●語言的發展、詞彙的累積   一歲到一歲半的孩子正處於單字期，不斷的累積字彙，與已認知的物品做連結。此時幼兒能說一些簡單的詞彙，如：「蘋果。」    ●手眼協調   一歲...more
",https://www.books.com.tw/products/0010872033?loc=P_0003_006
7,1歲Baby配對拼圖：動物篇,小時報編輯部,2020-10-27,"
為什麼Baby需要動物配對拼圖 ?    ●語言的發展、詞彙的累積   一歲到一歲半的孩子正處於單字期，不斷的累積字彙，與已認知的物品做連結。此時幼兒能說一些簡單的詞彙，如：「大象。」    ●視覺辨識能力、...more
",https://www.books.com.tw/products/0010872034?loc=P_0003_007
8,寶寶認知小書 ：ㄅㄆㄇ(新版),人類文化,2020-10-09,"
本書以可愛鮮豔的圖像呈現每個注音符號，吸引孩子學習，並標示兩個相關語詞，奠定幼兒拼音基礎。每一個注音符號都有清楚的筆順示範，孩子可以用手指頭跟著筆順練習寫字。逗趣的寶寶順口溜單元，更能讓孩子...more
",https://www.books.com.tw/products/0010873082?loc=P_0003_008
9,寶寶認知小書：ABC(新版),人類文化,2020-10-09,"
學習美語一點都不難，本書以可愛鮮豔的圖像呈現每個英文字母，吸引孩子學習，此外，並標示兩個相關單字，奠定幼兒英文單字基礎。每一個英文字母都有清楚的筆順示範，孩子可以用手指頭跟著筆順練習寫字。我...more
",https://www.books.com.tw/products/0010873077?loc=P_0003_009
10,寶寶認知小書：123(新版),人類文化,2020-10-09,"
將幼兒較難理解的數目字，以可愛的動物數量化，讓幼兒更容易將數字與數量結合，達到學習效果。每一個數字都有清楚的筆順示範，孩子可以用手指頭跟著筆順練習寫字。活潑有趣的數一數、數字迷宮、數字捉迷藏...more
",https://www.books.com.tw/products/0010873083?loc=P_0003_010
11,什麼這麼香?用鼻子看的書,Mr Iwi,2020-10-02,"
來聞聞7種水果的香味吧!  這是一本── 眼睛可以看、嘴巴可以讀、 雙手可以搓、鼻子可以聞， 讓孩子運用最多感官的遊戲書!    生活中有許多迷人的香味，尤其是水果香，更是讓人難以抗拒!你聞過哪些水果的味...more
",https://www.books.com.tw/products/0010871619?loc=P_0003_011
