,書名,作者,出版日期,內容介紹,網址
1,臺南小王子,子魚,2020-11-02,"
≡小說家楊富閔，真誠推荐≡ 一顆心可以柔美，可以剛毅。 對文字的敏銳，對生活的省思， 都來自童年那有意無意的灌溉。──子魚    臺南囝仔的童年往事，有歡樂、有悲傷、有淘氣、有驚嚇。   看似嘻笑平凡的背...more
",https://www.books.com.tw/products/0010874032?loc=P_0003_001
2,如果生命是一則故事,,2020-11-01,"
衝破迷霧・做最好的自己! 寫給青少年的17堂生命必修課    ★17篇橫跨古今的經典故事及散文   內容深入淺出，引導讀者窺探生命的智慧，體悟人生的哲理。   ★17個核心價值思辨   每篇故事皆設計有引導思考單...more
",https://www.books.com.tw/products/0010873896?loc=P_0003_002
3,逆風高飛的翅膀,寧寧,2020-11-01,"
亞維的故事，隨時隨地都在你我的身旁發生!   弱勢是一種錯誤嗎?家境不好就活該被欺負?   這時候，你會選擇當個旁觀者?共犯?還是仗義直言?   跟著爸爸媽媽從原鄉部落來到台北謀生的亞維，   在班上成為同學...more
",https://www.books.com.tw/products/0010874191?loc=P_0003_003
4,妖怪藥局大拍賣(新版),伊藤充子,2020-10-14,"
當孤僻小氣的獨居婆婆，遇上可愛又可憐的妖怪….. 原來，關懷別人、使人開心，自己才能真正快樂! 妖怪藥局的一場大拍賣，讓你心中注入滿滿的幸福!   ☆榮獲日本產經兒童出版文化獎•JR獎   ☆日本全國學校圖書...more
",https://www.books.com.tw/products/0010873078?loc=P_0003_004
5,從漫畫裡跳出來的男孩,管家琪,2020-08-28,"
有小朋友問過我，關於這本《從漫畫裡跳出來的男孩》，說「小伍是來自漫畫世界，為什麼你不寫漫畫世界裡那些英雄角色，而是寫一個路人甲?」我想，大概是因為我一直覺得自己就是一個路人甲吧。    其實，每...more
",https://www.books.com.tw/products/0010867242?loc=P_0003_005
6,蘋果山丘上的貝絲【美國蒙特梭利教育之母經典兒童文學.華德福中小學推薦書單】,桃樂絲‧肯非爾德‧費雪,2020-08-26,"
美國十大影響力、蒙特梭利教育之母── 桃樂絲.肯非爾德.費雪經典兒童文學 陪伴孩子走過成長的酸甜苦澀，幫助家長覺察對孩子的教養模式 在故事中學習獨立、自主，培養孩子的自信、勇氣   ★在經典成長故事中...more
",https://www.books.com.tw/products/0010867486?loc=P_0003_006
7,我要我的雕刻刀,劉健屏,2020-08-01,"
這部作品是通過父親的雙眼去觀察兒子的生活，   並對兒子的生活進行記錄。   由於採用日記體，父親(同時又是作者)在觀察兒子生活的同時，   可以隨時把自己的所思所想記錄下來，   可以在兒子現在的每一天...more
",https://www.books.com.tw/products/0010864606?loc=P_0003_007
8,笨蛋天才,黃漢龍,2020-08-01,"
適性揚才，數學白癡也能成為數學大師! 法國一代數學家埃爾米特生平故事改編 融入成績至上、校園霸凌、性別刻板印象等現代教育議題 為升學體制下的孩子與家長開創更多可能性  生來就右腳殘疾，一輩子與拐杖...more
",https://www.books.com.tw/products/0010864926?loc=P_0003_008
9,大衛威廉幽默成長小說1~6,大衛．威廉,2020-08-01,"
●英國百萬暢銷小說作家 ●被譽為幽默大師羅爾德達爾接班人 ●國外媒體好評、英國亞馬遜網路書店五顆星超高人氣推薦   《神偷阿嬤》   每到週末，小班就會被爸媽扔到阿嬤家去，兩人大眼瞪小眼、晚餐是超難喝...more
",https://www.books.com.tw/products/0010865539?loc=P_0003_009
10,孩子精 媽媽驚：運動員兒子給校長媽媽的震撼教育,"林玫伶,許元耕",2020-07-03,"
顛覆傳統教養法，親子溝通再進化── 孩子精明，爸媽免驚!親子想法不同，正常!   別人搶搭「升學直達車」，他偏偏要轉車，甚至還中途下車……   看校長媽媽與兒子如何佛系溝通，度過一個又一個的成長考驗。   ...more
",https://www.books.com.tw/products/0010861873?loc=P_0003_010
