,書名,作者,出版日期,內容介紹,網址
1,小手大經典橋梁書‧世界篇(共五冊/不分售)：騎鵝歷險記、愛的教育、小意達的花、年輕的國王、懶洋洋的噴火龍,"周惠玲,安徒生,施養慧,王爾德,肯尼斯‧葛拉罕,艾德蒙多‧德‧亞米契斯,賽爾瑪‧拉格洛夫,陳宏淑,黃筱茵",2020-11-04,"
世界經典童話 + 名家私房配方 + 插畫家精心調味 = 給孩子的第一套閱讀能量棒!   《騎鵝歷險記》   第一位女性諾貝爾文學獎得主賽爾瑪‧拉格洛夫，奠定北歐兒童文學里程碑之作，跟著小男孩尼爾斯騎上大白鵝...more
",https://www.books.com.tw/products/0010874362?loc=P_0003_001
2,百年之家,路易斯,2020-10-30,"
「安徒生大獎」得主、義大利國寶插畫大師英諾桑提傾力之作 獨立出版商圖書獎金獎 亞馬遜五顆星推薦 ★★★★★ 「一幢百年樓房如何走過百年孤寂、再以新樣貌重生」   義大利國寶大師與美國詩人路易斯攜手，以細...more
",https://www.books.com.tw/products/0010874172?loc=P_0003_002
3,再見小紅帽,費里奇,2020-10-30,"
「國際安徒生大獎」得主英諾桑提， 再次以獨特的繪本語言，打造魔幻寫實的城市童話。   孩子，靠近一點，讓我為你們編織一個故事。   小紅帽來到二十一世紀，   走進以水泥為枝幹，磚塊為樹葉的都市叢林。...more
",https://www.books.com.tw/products/0010874175?loc=P_0003_003
4,玩扭蛋.聽故事：伊索寓言一把抓,伊索,2020-10-30,"
【一體成形扭蛋機 ✦ 超值故事驚喜包】 ❝ 自己的玩具自己做，剪刀、膠水全不用! ❞ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ ◈ 〔玩具 ❖ 動畫 ❖ 閱讀 ❖ 有聲書〕 【有聲繪本】+【DIY迷你扭蛋機】+【50mm彩色大扭蛋x5】+【精彩動.....more
",https://www.books.com.tw/products/0010874179?loc=P_0003_004
5,糖果姐姐說故事：魯賓遜漂流記(3CD),金明瑋,2020-10-30,"
一個悖逆的青年，放掉舒適生活，硬是要出海冒險，他會遭遇些什麼險況?    當他遇上暴風雨，船身破損，僅有他一個人倖存，被浪打到一個荒島上時，孤單的他怎麼生存?    作者筆下，魯賓遜是一個有血有肉、活...more
",https://www.books.com.tw/products/0010874240?loc=P_0003_005
6,李崇建X甘耀明故事想想：透明人+藍眼叔叔(共2冊)(獨家親簽版),"李崇建,甘耀明",2020-10-29,"
薩提爾教主李崇建x金鼎奬作家甘耀明 攜手開創兒童小說新視野 首波主打「生命教育」與「環境保育」二部曲 透過輕快幽默卻富有人文關懷與生命哲思的故事情節， 帶領孩子從閱讀中培養思辨力與想像力!    小瓦...more
",https://www.books.com.tw/products/0010874031?loc=P_0003_006
7,魔咒不靈公主5：意外的魔法旅行,伊莉莎白‧道森‧貝克,2020-10-22,"
★﹝美國獨立書商嚴選76本好書﹞推薦作者★ ★美國暢銷兒童小說《青蛙公主》(The Frog Princess)系列作者★ ★全新熱賣人氣童話系列★ ★學校圖書館期刊‧精選推薦兒童小說★    天靈靈地靈靈魔咒對小安公主就是不...more
",https://www.books.com.tw/products/0010873212?loc=P_0003_007
8,童話夢工場：美女愛野獸(隨書附贈：可愛人物貼紙、成語魔法書、心情留言卡),"維倫紐夫,耿啟文",2020-10-15,"
{童話夢工場}系列 ☆你沒看過的《美女愛野獸》!一起來去魔咒城堡探險☆  風靡學界~人氣熱銷兒童小說‧夢幻風潮席捲港台!    ☆最具創意童話改編☆   ☆ 超可愛人物插畫☆   ☆ 閱讀+實用詞、成語學習☆    漂亮而堅...more
",https://www.books.com.tw/products/0010872689?loc=P_0003_008
9,穿越夢工場7 追捕羅賓漢,耿啟文,2020-09-22,"
加加看到非洲貧窮兒童的苦況，決定以偵探學會的名義為他們籌款，可是用盡各種方法都不見成效，喵喵便帶她穿越到中世紀的英國，向羅賓漢偷師。...more
",https://www.books.com.tw/products/0010872116?loc=P_0003_009
10,童話夢工場之漫畫大作戰5 懶惰公主加油吧!,花生,2020-09-22,"
全新故事，爆笑演繹!    延續《童話夢工場》大世界，   披露童話村內日常生活故事，   一眾經典角色，大玩crossover!    《童話夢工場》自推出後深受小讀者及學界歡迎，多次榮登暢銷童書榜，總銷量已突破3...more
",https://www.books.com.tw/products/0010872138?loc=P_0003_010
11,顛覆童話1+1禮物組：【顛覆童話1-4集套書】加贈【童話玩國-遊戲書1-3套書】,"莎拉‧梅林諾斯基,霍爾迪‧帕萊特",2020-09-21,"
顛覆童話1+1禮物組： ~給孩子的超值讀本禮物組合~  ◆一次閱遊兩大創意童話王國x 7個顛覆故事x動畫+美勞◆    ‧內含：   顛覆童話1-4集套書↓   《白雪公主救王子》   《灰姑娘穿不下玻璃鞋》   《甩掉尾巴的...more
",https://www.books.com.tw/products/0010870163?loc=P_0003_011
12,超馬童話大冒險7 我愛你,"亞平,劉思源,林世仁,王家珍,王文華,王淑芬,賴曉珍,顏志豪",2020-09-16,"
主題式童話 看8位童話名家攜手出任務 馬拉松長跑╳挑戰8場次 第七回合 ~吸引(我愛你)~   1號童話〈火星來的動物園：麋鹿奶奶迷路了〉   火星動物園警察局來了個迷路的麋鹿奶奶，問她住哪裡，回答不知道；問...more
",https://www.books.com.tw/products/0010869685?loc=P_0003_012
13,童話小百科：365床邊故事─夏(典藏版),人類文化編輯部,2020-09-11,"
好故事是一盞燈，在月色朦朧的夜晚，照亮了世界的每一個角落，同時也照亮了孩子純潔的心靈；好故事是一把鑰匙，為孩子打開一扇扇門，讓他們在七彩的世界中盡情的飛翔，捕捉愛與美、真實與善良。   聽故事...more
",https://www.books.com.tw/products/0010870350?loc=P_0003_013
14,貓卡卡的裁縫店故事套書(全套兩冊),亞平,2020-09-07,"
◆◆◆高人氣校園焦點◆◆◆ 歡迎光臨時尚又溫暖的裁縫店!   好故事提升閱讀力，潛移默化品格涵養   裁縫師貓卡卡以溫暖、為人著想的心，   讓手上的針與線成為實現夢想的魔法棒!   貓卡卡的裁縫店1   貓卡卡的...more
",https://www.books.com.tw/products/0010868204?loc=P_0003_014
15,狐狸爸爸萬歲50週年紀念版(附贈全球獨家著色書衣),羅德‧達爾,2020-09-07,"
歡慶《狐狸爸爸萬歲》問世50週年! ★全球獨家著色書衣★    如何擁有?拆下書衣，翻到背面，盡情在黑白線稿上揮灑創意。   任何人都能製作專屬自己的書衣!    在一個山谷裡，有三個農場，主人分別是柏吉斯、...more
",https://www.books.com.tw/products/0010869290?loc=P_0003_015
16,木偶奇遇記,卡洛‧科洛迪,2020-09-02,"
《木偶奇遇記》是一本寓言故事，他描述了木偶皮諾丘從一個淘氣、懶惰、愛說謊、不愛讀書學習的小木偶，如何變成一個愛讀書、懂禮貌、會孝敬長輩、關愛他人的好孩子。故事內容十分符合兒童們的天性，也向孩...more
",https://www.books.com.tw/products/0010869612?loc=P_0003_016
