,書名,作者,出版日期,內容介紹,網址
1,少年讀紅樓夢(三)青春大觀園,"楊奕成,鄭宗弦",2020-10-30,"
整合國學、強化閱讀理解， 用「學習的生命觀」讀《紅樓夢》、學素養   知名兒童文學作家鄭宗弦 X 中文博士楊奕成 改寫.領讀    少兒小說家鄭宗弦針對原著的空白作改寫，   中文博士楊奕成做伏線的提示，並...more
",https://www.books.com.tw/products/0010874015?loc=P_0003_001
2,少年讀紅樓夢(四)愁眉嘆冷月,"楊奕成,鄭宗弦",2020-10-30,"
整合國學、強化閱讀理解， 用「學習的生命觀」讀《紅樓夢》、學素養   知名兒童文學作家鄭宗弦 X 中文博士楊奕成 改寫.領讀    少兒小說家鄭宗弦針對原著的空白作改寫，   中文博士楊奕成做伏線的提示，並...more
",https://www.books.com.tw/products/0010874104?loc=P_0003_002
3,少年讀紅樓夢(一)仙子有奇緣,"楊奕成,鄭宗弦",2020-10-30,"
整合國學、強化閱讀理解， 用「學習的生命觀」讀《紅樓夢》、學素養    知名兒童文學作家鄭宗弦 X 中文博士楊奕成 改寫.領讀    少兒小說家鄭宗弦針對原著的空白作改寫，   中文博士楊奕成做伏線的提示，...more
",https://www.books.com.tw/products/0010874106?loc=P_0003_003
4,少年讀紅樓夢(二)才子佳人書,"楊奕成,鄭宗弦",2020-10-30,"
整合國學、強化閱讀理解， 用「學習的生命觀」讀《紅樓夢》、學素養    知名兒童文學作家鄭宗弦 X 中文博士楊奕成 改寫.領讀    少兒小說家鄭宗弦針對原著的空白作改寫，   中文博士楊奕成做伏線的提示，...more
",https://www.books.com.tw/products/0010874107?loc=P_0003_004
5,少年讀紅樓夢(五)花落水自流,"楊奕成,鄭宗弦",2020-10-30,"
整合國學、強化閱讀理解， 用「學習的生命觀」讀《紅樓夢》、學素養    知名兒童文學作家鄭宗弦 X 中文博士楊奕成 改寫.領讀    少兒小說家鄭宗弦針對原著的空白作改寫，   中文博士楊奕成做伏線的提示，...more
",https://www.books.com.tw/products/0010874108?loc=P_0003_005
6,少年讀紅樓夢(全套五冊/鄭宗弦.楊奕成改寫領讀),"楊奕成,鄭宗弦",2020-10-30,"
整合國學、強化閱讀理解， 用「學習的生命觀」讀《紅樓夢》、學素養    套書專屬 ‧ 透明PET彩印曹氏風箏典藏書籤    曹氏風箏的創始人就是曹雪芹，這種風箏藝術源於曹雪芹所著的《南鷂北鳶考工志》一書，...more
",https://www.books.com.tw/products/0010874012?loc=P_0003_006
7,唐詩宋詞90首(3),吳秉真,2020-09-28,"
唐詩宋詞，從古至今就一直出現在孩子們學校的課本裡，所以是我們每個人成長中必定會接觸，也會花心思去背誦的。而且接觸唐詩宋詞的原因很簡單，幾乎都是為了應付考試。   時至今日，我們的孩子依然在背著...more
",https://www.books.com.tw/products/0010871718?loc=P_0003_007
8,我會念弟子規有聲學習書：FOOD超人(新版),風車編輯群,2020-08-24,"
弟子規，聖人訓，小朋友，一起來讀弟子規吧!   ● 分段念謠漸進式學會弟子規：45段分段式念謠，讓初學的小朋友可以跟著每一段落念一念，循序漸進學會弟子規，奠定語文基礎。   ● 連續播放反覆練習，加強記...more
",https://www.books.com.tw/products/0010869127?loc=P_0003_008
9,阿亮老師趣說中國歷史：遠古~秦漢,莊典亮,2020-08-07,"
河水是文明的搖籃，在奔騰的黃河與長江畔，   華夏文明盛開五千年的璀璨。   盤古開天，女蝸造人，   神話迷霧的背後，是文明演進的歷史長廊。   上古賢君堯、舜、禹，   青銅三代夏、商、周，   興衰更迭...more
",https://www.books.com.tw/products/0010866409?loc=P_0003_009
10,唐詩宋詞90首(2),吳秉真,2020-08-05,"
唐詩宋詞，從古至今就一直出現在孩子們學校的課本裡，所以是我們每個人成長中必定會接觸，也會花心思去背誦的。而且接觸唐詩宋詞的原因很簡單，幾乎都是為了應付考試。    時至今日，我們的孩子依然在背著...more
",https://www.books.com.tw/products/0010864802?loc=P_0003_010
11,巧讀楊家將,"熊大木,高欣",2020-06-29,"
經典著作優秀改寫，全白話無障礙讀本，內含精美手繪插圖，人物、典故、成語、知識點隨文注釋，是一版適合青少年閱讀的國學入門書。    《楊家將演義》是英雄傳奇小說最具代表性的作品之一。該書敘述的是北...more
",https://www.books.com.tw/products/0010862495?loc=P_0003_011
12,巧讀聊齋志異,"蒲松齡,高欣",2020-06-29,"
經典著作優秀改寫，全白話無障礙讀本，內含精美手繪插圖，人物、典故、成語、知識點隨文注釋，是一版適合青少年閱讀的國學入門書。    《聊齋志異》是清初的一部文言短篇小說集，共收小說近五百篇，或講民...more
",https://www.books.com.tw/products/0010862499?loc=P_0003_012
13,唐詩宋詞90首(1),吳秉真,2020-05-27,"
唐詩宋詞，從古至今就一直出現在孩子們學校的課本裡，所以是我們每個人成長中必定會接觸，也會花心思去背誦的。而且接觸唐詩宋詞的原因很簡單，幾乎都是為了應付考試。    時至今日，我們的孩子依然在背著...more
",https://www.books.com.tw/products/0010859719?loc=P_0003_013
14,阿亮老師趣說中國歷史 晚清~當代,,2020-05-25,"
東亞第一的古老帝國將迎來現代浪潮與革新，接踵而至的列強侵略下，積弱不振的中國亟須奮起反擊。   維新、立憲與革命；拳亂、民變與戰亂；科技與思想的現代化，譜寫近代中國越過漫漫歷史長河，轉型現代國...more
",https://www.books.com.tw/products/0010859617?loc=P_0003_014
15,經典傳奇故事：每天十分鐘，換孩子讀給你聽,馬景賢,2020-05-04,"
繼最受讀者喜愛的暢銷好書《林良爺爺的700字故事》、 《林海音奶奶的80個伊索寓言》之後， 睽違10年再次推出文學大師說經典系列! 國家文藝獎作家——馬景賢爺爺讓孩子愛上古典文學的壓箱寶   千年淬鍊，十六...more
",https://www.books.com.tw/products/0010856285?loc=P_0003_015
16,白話注音三字經(二冊),,2020-04-13,"
欣賞古人經典智慧，提升自我人文素養   《三字經》是中國古代學塾的兒童啟蒙教材，內容包含甚廣，舉凡天文地理、科學常識、歷史知識、人格教育、品德培養、生活倫理等，均包含在其中。在《三字經》的字字...more
",https://www.books.com.tw/products/0010855126?loc=P_0003_016
17,我的第一套世界文學16 三國演義,羅貫中,2020-04-01,"
中國四大奇書之一 三國遊戲迷加分必讀!   東漢末年，朝廷腐敗，民不聊生，各路英雄豪傑憑著智謀、勇力或運氣崛起，名士獻計鬥智，猛將英勇殺敵。後由魏、蜀、吳三分天下，展開中國歷史上分裂混亂，卻又有...more
",https://www.books.com.tw/products/0010853158?loc=P_0003_017
18,中國經典文學：四大名著 水滸傳,施耐庵,2020-03-27,"
《水滸傳》是古典文學中最具史詩性的作品之一，也是中國歷史上最早用白話文寫成的章回體小說之一。全書描寫北宋末年已宋江為首的108條好漢在梁山起義，以及聚義之後接受招安、四處征戰的故事。小說深刻揭...more
",https://www.books.com.tw/products/0010853846?loc=P_0003_018
19,中國經典文學：四大名著 紅樓夢,曹雪芹,2020-03-27,"
《紅樓夢》原名《石頭記》，中國古典小說巔峰之作，中國封建社會的百科全書，傳統文化的集大成者。小說以賈、史、王、薛四大家族的興衰為背景，以賈寶玉、林黛玉、薛寶釵的愛情婚姻故事為主線，歌頌追求光...more
",https://www.books.com.tw/products/0010853849?loc=P_0003_019
20,一生不能錯過的中國神話故事集,周聖凱,2020-03-03,"
中國傳統神話內容豐富，流傳甚廣， 對世界起源、神佛和英雄的刻畫更是栩栩如生……   神話故事歷久彌新，值得您細細品味，一讀再讀。...more
",https://www.books.com.tw/products/0010851512?loc=P_0003_020
21,阿亮老師趣說中國歷史〈參〉：宋元~盛清,莊典亮,2020-02-05,"
中國的歷史，終於跳脫由漢人擔綱主角的戲碼，   蒙古族、滿族，開闊了中國人的眼界，   也讓中國在世界的舞臺上初試啼聲、嶄露頭角。   縱橫交錯的經濟脈絡，你來我往的文化交流，為近代中國打下穩固的根...more
",https://www.books.com.tw/products/0010848307?loc=P_0003_021
22,一生不能錯過的中國傳奇故事集,周聖凱,2020-02-03,"
紹興香糕是浙江有名的糕點，   傳說，浙江香糕的來歷還跟呂洞賓有關呢!   傳奇故事歷久彌新，值得您細細品味，一讀再讀。...more
",https://www.books.com.tw/products/0010848563?loc=P_0003_022
23,西遊記(經典名著彩繪版),"吳承恩,魯冰",2020-01-21,"
120幅精緻藝術插畫，搭配中國知名作家魯冰之筆 重新詮釋華人世界最受大人與孩童喜愛的神魔奇幻小說《西遊記》，中國古典文學中歷久彌新、影響深遠的經典之作 在「忍苦求成的人生意義」，從追尋→歷難→成功→...more
",https://www.books.com.tw/products/0010846749?loc=P_0003_023
24,我會念唐詩有聲學習書(新版)：FOOD超人,風車編輯群,2020-01-21,"
小手按一按，念一念唐詩，體會優美的詩詞意境，並奠定國學基礎!    全書共45首古典詩詞，並附有符合意境的精美圖畫和淺顯易懂的白話文注釋以及有趣的亮閃閃LED燈，搭配每首詩的有聲按鍵，讓孩子更加理解詩...more
",https://www.books.com.tw/products/0010848165?loc=P_0003_024
25,阿亮老師趣說中國歷史：魏晉南北朝~隋唐,莊典亮,2019-11-14,"
這是中國歷史上最紛亂的時期，   卻也是最輝煌的盛世。   宦官、外戚輪流當主角的戲碼不斷上演，   明君、忠臣也在歷史的洪流中不斷出現，   交替編織出一段段扣人心弦、感人肺腑的歷史故事。 本書特色   ...more
",https://www.books.com.tw/products/0010840680?loc=P_0003_025
26,唐詩：(中英雙語),,2019-09-01,"
「國學經典彩繪」精選國學啟蒙經典的精華篇章，配以精練的注釋及相應的簡短英文釋義，是一套適合孩子閱讀欣賞的國學經典啟蒙書系，包含《三字經》《千家詩》《增廣賢文》《弟子規》《宋詞》《唐詩》。 本...more
",https://www.books.com.tw/products/0010831528?loc=P_0003_026
27,西遊記,"吳承恩,莊典亮",2019-08-30,"
歷經十四年，走過十萬八千里，只為取得普渡眾生的經書......   一個上鬧天宮、下搗地府的石猴，一位意志堅定、全心向佛的僧侶，一隻好吃懶做、貪愛美色的豬，一個面目猙獰、心眼老實的河妖，還有一匹會說...more
",https://www.books.com.tw/products/0010830748?loc=P_0003_027
28,語文小百科：來唸唐詩(附CD),人類文化編輯部,2019-08-16,"
聽著優美的曲調，跟著活潑的節奏，孩子們大聲唱出寓意深遠的唐詩。   *有注音 本書特色   1.精選42首唐詩，搭配輕快的曲調，以唸唱的方式學習，孩子很快就記住，並在過程中提升語文能力。   2.生動的情境...more
",https://www.books.com.tw/products/0010831044?loc=P_0003_028
29,從三國看智慧,閣林編輯小組,2019-08-16,"
三國故事充滿想像，知識百科多元學習， 以現代眼光創意剖析《三國演義》傳奇故事， 帶你探索人生意涵和智慧。   個性影響人生也決定成就，   三國時代人才輩出，有些趁勢而起，有些卻籍籍無名；   讓我們...more
",https://www.books.com.tw/products/0010831129?loc=P_0003_029
30,從三國看三十六計(上),"閣林編輯小組,陳維東",2019-08-16,"
三國故事充滿想像，知識百科多元學習，   以現代眼光創意剖析《三國演義》傳奇故事，   帶你探索人生意涵和智慧。   看諸葛亮「順手牽羊」輕鬆奪取三郡，   看張飛借酒裝瘋，使出「打草驚蛇」之計擒劉岱。...more
",https://www.books.com.tw/products/0010831130?loc=P_0003_030
31,西遊記的組織與管理,閣林編輯小組,2019-08-16,"
西遊取經充滿想像，知識百科多元學習， 以現代眼光創意剖析《西遊記》神怪故事， 帶你探索人生意涵和智慧。   看唐僧的堅定與領導、悟空的機智與勇氣、   八戒的活力與幽默、沙僧的協調與負責，   共同激...more
",https://www.books.com.tw/products/0010831131?loc=P_0003_031
32,從三國看戰役,閣林編輯小組,2019-08-16,"
三國故事充滿想像，知識百科多元學習， 以現代眼光創意剖析《三國演義》傳奇故事， 帶你探索人生意涵和智慧。   三國時代連年征戰，戰爭的成敗往往影響群雄的勢力消長，   每一場壯烈的戰役背後，包含了多...more
",https://www.books.com.tw/products/0010831132?loc=P_0003_032
33,三國經典再現,閣林編輯小組,2019-08-16,"
三國故事充滿想像，知識百科多元學習， 以現代眼光創意剖析《三國演義》傳奇故事， 帶你探索人生意涵和智慧。   關羽「千里走單騎」、「過五關斬六將」，   諸葛亮「草船借箭」、「借東風」……。   精彩絕...more
",https://www.books.com.tw/products/0010831133?loc=P_0003_033
