,書名,作者,出版日期,內容介紹,網址
1,出發吧!哲學時空旅行1：從泰利斯到尼采，改變世界的思想是如何誕生的?,李英逸,2020-11-11,"
乘著時光機，回到哲學誕生的那一天! 越讀越有趣!發掘西洋哲學的知識與奧祕! 本書講述了50位古代、近代、現代赫赫有名的西方哲學家們的思想。 以漫畫形式構成，容易感到困難的哲學概念一下子變得生動有趣! ...more
",https://www.books.com.tw/products/0010873654?loc=P_0003_001
2,葛瑞的囧日記1-7集套書,傑夫．肯尼,2020-11-06,"
點子實驗王葛瑞+各種突發意外=寫不完的囧日記! 讀葛瑞的爆笑成長故事，紓解你的生活壓力! 幽默囧爆，讓人笑到翻滾噴淚的奇書! 漫畫式圖像，無障礙學習口語化、生活化英文!   ◎全系列書籍全球印量超過200,0...more
",https://www.books.com.tw/products/0010815679?loc=P_0003_002
3,臺南小王子,子魚,2020-11-02,"
≡小說家楊富閔，真誠推荐≡ 一顆心可以柔美，可以剛毅。 對文字的敏銳，對生活的省思， 都來自童年那有意無意的灌溉。──子魚    臺南囝仔的童年往事，有歡樂、有悲傷、有淘氣、有驚嚇。   看似嘻笑平凡的背...more
",https://www.books.com.tw/products/0010874032?loc=P_0003_003
4,科學日誌366：一日10分鐘，解答生活中無所不在的「為什麼」!,長沼毅,2020-11-01,"
新課綱科學核心素養必備百科 從生命到宇宙，一天破解一個你最想知道的科學大祕密! ★日本暢銷自然科學兒童讀物★    ◎ 亞馬遜讀者5顆星滿分好評。   ◎ 中小學生培養「自然科學能力」最佳讀物。   ◎ 完整函蓋...more
",https://www.books.com.tw/products/0010874764?loc=P_0003_004
5,理科日誌366：一日10分鐘，解答生活中無所不在的「為什麼」!,小森榮治,2020-11-01,"
新課綱培養科學素養首選小百科! 每天花十分鐘，讓孩子對自然產生高度興趣 ◆日本亞馬遜熱銷系列書籍◆    ●海獅、海豹、海狗有什麼不一樣呢?   ●如果在地上挖洞，可以通到地球的另一端嗎?   ●月球正在逐漸遠...more
",https://www.books.com.tw/products/0010874771?loc=P_0003_005
6,出發吧!科學冒險1：從舊石器時代到觀測彗星的飛躍科學史,"林亨旭,金泰寬",2020-10-28,"
天才物理學家愛因斯坦帶路! 上從天文、歷史，下至物理、化學， 帶領孩子亙穿古今，探索趣味世界， 深入瞭解100個改變科學史的大事件!    ★為什麼地球是圓的，地面卻是平的?   ★某些物體放在水中，為什麼會...more
",https://www.books.com.tw/products/0010873653?loc=P_0003_006
7,超好玩!部首拼字遊戲書(人體卷‧動作卷)【附動字遊戲卡】,,2020-10-28,"
利用部首與部件玩造字 讓你3秒鐘多學一個國字的無敵速學法 用「拼」的認識國字家族，最快最有趣!   許多國字家族是從字根來做延伸，可以找出許多「兄弟姊妹」，例如：   人+止=企   人+二+小=余   走+召=...more
",https://www.books.com.tw/products/0010874565?loc=P_0003_007
8,給7-11歲孩子的哲學大哉問2,安蘇菲．席拉爾,2020-10-28,"
2020年度文化部 中小學生優良課外讀物推介 《給7-11歲孩子的哲學大哉問》 第二集來啦!  不用出國，就能跟法國小朋友一起學哲學! 法國兒童哲學專家奧斯卡‧柏尼菲✕榮查理‧佩提耶顧問指導 《哲學的力量》作者...more
",https://www.books.com.tw/products/0010873185?loc=P_0003_008
9,放學後的街口事件,傑森．雷諾茲,2020-10-27,"
走路回家從來不只是走路回家， 它是自由自在的探險，人與人之間迸發出來的悲歡事件    就像所有最精彩的故事那樣，這個故事即將以一輛校車從天而降開場。可是沒有人看到事情是怎麼發生的，因為大家都忙著...more
",https://www.books.com.tw/products/0010874063?loc=P_0003_009
10,伊羅寓言：國王貓,羅智強,2020-10-25,"
第一則 貓與魚 ? ?    馬本來是池塘的國王，貓批評馬無法增加魚群的糧食，也沒有改善池塘的水質，是個無能的國王。魚群們相信了貓，於是趕走了馬，轉而擁戴貓當國王，成了國王貓。    國王貓並未增加魚群...more
",https://www.books.com.tw/products/0010873625?loc=P_0003_010
