,書名,作者,出版日期,內容介紹,網址
1,狸貓哥與動物們,石黑亞矢子,2020-11-10,"
▍石黑亞矢子的最新著作! ▍  十二生肖與山上的動物們齊聚在這 奇妙非凡的動物繪本裡。    很久很久以前，有十二匹野獸獲選成為神的使者，這些野獸被稱為十二生肖。   他們仗著自己是神的使者，就擺出一副高...more
",https://www.books.com.tw/products/0010874448?loc=P_0003_001
2,愛閱讀的富蘭克林套書(2冊),珍‧坎貝爾,2020-11-05,"
小女孩、一隻龍、一間會飛的書店 冒險激盪出美麗真摯的友誼    歡迎來到飛天書店，   讓飛龍為你大聲朗讀……   一起闖進童話故事，   展開一場奇妙的童話之旅    *有注音   *適讀年齡：4歲以上...more
",https://www.books.com.tw/products/0010874620?loc=P_0003_002
3,小鳶的寶石任務,鄭辰穎,2020-11-01,"
◎孩子親近海洋文化的第一本繪本：探訪基隆港文化、迎向國際、蓄積世界公民的能量。   ◎隨書附贈「基隆港」導讀摺頁及學習單：導覽基隆港人文地景，及基隆深美國小顧翠琴老師精心設計的延伸學習單。    一...more
",https://www.books.com.tw/products/0010873651?loc=P_0003_003
4,不給糖，就乖乖!,林纓,2020-10-29,"
不給糖，就乖乖! 趕快交出糖果，不然我就會幫你把家裡打掃乾淨! 我會幫你洗碗、掃地、曬衣服…… 我甚至還會對你說出「那三個字」! 嘿嘿，知道害怕了吧?    【故事介紹】   今天是小怪最期待、一年一度的萬...more
",https://www.books.com.tw/products/0010874083?loc=P_0003_004
5,想寫好故事的小貝,凌拂,2020-10-16,"
寫作很難嗎?要從哪開始下筆呢?繆思女神在哪? 究竟寫作，是怎麼一回事?   推動校園閱讀不遺餘力的凌拂，以溫婉的心和童趣的文字，漸進式引導出學寫文章的樂趣。藉由毛毛和小貝兩人對於「寫故事」的對話、從...more
",https://www.books.com.tw/products/0010873095?loc=P_0003_005
6,想看冬天的燕子,菲利普‧喬丹諾,2020-10-16,"
「與眾不同」需要一點好奇心、想像力和勇氣，   跟著義大利知名插畫家菲利普‧喬丹諾的畫筆，   陪伴孩子在探索世界的旅途中踏出挑戰的第一步!    夏天過去了，燕子們將要離開森林，飛往溫暖的南方……   但...more
",https://www.books.com.tw/products/0010872845?loc=P_0003_006
7,喀嚓喀嚓爺爺的恐龍王國(新版),松岡達英,2020-10-08,"
日本科學繪本大師松岡達英的第一本剪紙繪本。 一隻慈母龍寶寶被放到恐龍劇場中，開始尋找媽媽的探險旅程…    老爺爺一邊喀嚓喀嚓剪紙，一邊做出了恐龍王國的紙雕劇場。舞台的佈景是草木茂密的森林，小昆蟲...more
",https://www.books.com.tw/products/0010872898?loc=P_0003_007
8,小白熊的廚神冒險,"尤爾迪斯‧道加文斯,馬丁斯‧西爾邁斯",2020-10-07,"
冒險故事和創意食譜的美妙結合 獻給所有熱愛美食、喜歡自己動手料理的大廚和小廚!    小白熊是村裡唯一有六隻爪子的北極熊，雖然爸爸是哲學家、媽媽是可麗餅公主，他卻仍不知道自己長大以後該做什麼。直到...more
",https://www.books.com.tw/products/0010871651?loc=P_0003_008
9,說個故事給龍聽,海倫‧杜契提,2020-10-07,"
★入圍2017年奧斯卡圖書獎，英國各界好評推薦，已翻譯成14國語言!   ★閱讀比用武器戰鬥更強大，平凡人也可以用智慧戰勝怪獸!   ★愛看書的小騎士，遇上愛聽故事的龍，顛覆傳統的角色，帶給孩子飄散書香的冒...more
",https://www.books.com.tw/products/0010871995?loc=P_0003_009
10,如果我是設計師【三合一套書】：《如果我是汽車設計師》+《如果我是房子設計師》 《如果我是學校設計師》,克里斯．范杜森,2020-10-07,"
如果讓孩子來設計想要的汽車、房子和學校， 會是什麼樣子呢? 一本完全顛覆你的認知、創意無極限的新奇繪本 激發小小發明家天馬行空的想像力與創造力!   ★好萊塢媒體揭露，即將改編成電影   ★亞馬遜5顆星超...more
",https://www.books.com.tw/products/0010872669?loc=P_0003_010
11,紅牆外面是什麼(精裝),布麗塔．泰肯特拉普,2020-10-02,"
★ 世界知名畫家，法蘭克福全球繪畫獎得主——布麗塔‧泰肯特拉普之作! ★ 榮獲中國圖書館學會評選「年度十佳繪本」! ★ 入選年度最受千萬網友喜愛十大兒童文學童書! ★ 入選搜狐專家推薦童書榜! ★ 亞馬遜書店5顆...more
",https://www.books.com.tw/products/0010871602?loc=P_0003_011
12,奇幻王國手提故事書【原創繪本故事】,,2020-10-01,"
閃亮手提故事書 7個原創童話，隨身帶著走!   這個美麗的手提故事集，裡面有7個獨特的故事，每個故事都有令人難忘的角色， 當你拿起手提包在旅途中閱讀時，會遇到芭蕾舞巨星、飢餓的巨龍和一群美人魚探險家...more
",https://www.books.com.tw/products/0010871064?loc=P_0003_012
13,神奇魔法手提故事書【原創繪本故事】,,2020-10-01,"
閃亮手提故事書 7個原創童話，隨身帶著走!   這個漂亮的手提故事集，裡面有7個獨特的故事，每個故事都有令人難忘的角色， 當你拿起手提包在旅途中閱讀時，會遇到神奇的獨角獸、美麗的魔法精靈和被寵壞的公...more
",https://www.books.com.tw/products/0010871067?loc=P_0003_013
