,書名,作者,出版日期,內容介紹,網址
1,童遊英文字母趣：ABC(附QR Code),銀河文化編輯部,2020-11-04,"
邊看邊聽邊學的最佳首選英文字母書 圓角厚紙書設計，方便攜帶不易損壞 26個英文字母 ╳ 52個英文單字 ╳ 52張可愛插圖    將單字圖像放進字首，加深孩子的對單字的印象，將英文字母大小寫接置於書中，可以讓...more
",https://www.books.com.tw/products/0010874103?loc=P_0003_001
2,PiPi老師，我們來寫ABC：學齡前趣味ABC字母練習簿，超大字母大小寫筆順練習╳單字認讀與發音練習╳字母與單字皆附英語發音 QR Code，隨掃隨聽!,,2020-10-01,"
超大字母練習! 讓小肌肉還不靈敏的孩子放手練習字母筆順， 打好學習英語的基石!   ◎大型字母描線圖、紙質堅韌不易破   本書為A4大開本尺寸，滿版的超大字母描線圖，能讓孩子毫無顧忌地練習英文字母，不論...more
",https://www.books.com.tw/products/0010871056?loc=P_0003_002
3,Hello Kitty 英文練寫學習卡,吳惠姍,2020-08-13,"
跟可愛的KITTY一起練習A~Z的英文字母怎麼寫吧~有超卡哇伊的圖案讓小朋友認識單字!內含36張識字卡，有著清晰、大字體的英文字母標準寫法和相關單字詞語等，活潑可愛的圖案能加深學習印象!特殊上光設計，用...more
",https://www.books.com.tw/products/0010868035?loc=P_0003_003
4,ABC：FOOD超人寶貝學前練習,風車編輯群,2020-08-03,"
N次寫、N次擦， 啟發幼兒的學習樂趣，一起來學ABC吧!   以有趣好玩的方式引發孩子的學習興趣，讓孩子輕鬆認識ABC，每個字母提供書寫範例，並說明筆畫順序，以可愛的插圖搭配基礎字彙，讓學習更上一層樓。...more
",https://www.books.com.tw/products/0010866283?loc=P_0003_004
5,國中必學1200英語單字練習簿,,2020-05-01,"
累積單字量，為英語能力打下基礎!    精選國中必背1200個單字，讓孩子用標準英文字體練習書寫，加深記憶，為英語學習打好基礎。  本書特點    ★依照格線輔助練習書寫，邊寫邊背，輕鬆記憶。   ★精選1200個...more
",https://www.books.com.tw/products/0010856078?loc=P_0003_005
6,兒童益智教具 找找看ABC (附加識字卡功能),東雨文化編輯部,2020-04-13,"
☆視知覺學習‧益智教具☆☆ 訓練孩子的視知覺，同時也可以當作識字卡使用!   ◆三大主題   視覺搜尋 + 英語學習 + 專注力訓練   ◆內容物：   30張遊戲卡、2張解答   ◆內含四種學習運用題型   →→進行﹝英文字母...more
",https://www.books.com.tw/products/0010854312?loc=P_0003_006
7,國小必學500英語單字練習簿,,2020-04-01,"
初學先打好基礎，讓學習更有效率!   精選國小必背500個單字，讓孩子用標準英文字體練習書寫，加深記憶，為英語學習打好基礎。 本書特點   ★依照描線範例書寫，加上格線輔助，學習真輕鬆。   ★精選500個教...more
",https://www.books.com.tw/products/0010852726?loc=P_0003_007
8,大寫&小寫英文字母運筆練習簿,,2020-04-01,"
學齡前打好基礎，英語學習好輕鬆!    內容包含字母大、小寫正確筆順範例，練習用標準字體書寫，為初學英語打好基礎，提升學習自信心。  本書特點    ★先記憶英文字母正確筆順，然後實際書寫加深印象。   ★...more
",https://www.books.com.tw/products/0010852727?loc=P_0003_008
9,ABC點讀學習寶盒(內附ABC認知圖典*1、100單字圖鑑點讀書*1、ABC點讀掛圖*1、注音點讀卡*1、六首經典英文兒歌*1、波波狗點讀筆*1),,2019-09-06,"
單詞╳情境╳遊戲╳發音 600個中英單詞、60題互動遊戲 14個生活場景、英語慢速發音   親愛的爸媽你/妳也有這些困擾嗎…   「我們家寶貝應該幾歲開始學英文最適合呢?」   「外面的補習費都好貴阿!」   「如果自...more
",https://www.books.com.tw/products/0010834715?loc=P_0003_009
10,寶寶認知小書：ABC,人類文化編輯部,2019-08-23,"
本書特色   學習美語一點都不難，本書以可愛鮮豔的圖像呈現每個英文字母，吸引孩子學習，此外，並標示兩個相關單字，奠定幼兒英文單字基礎。每一個英文字母都有清楚的筆順示範，孩子可以用手指頭跟著筆順...more
",https://www.books.com.tw/products/0010832176?loc=P_0003_010
