,書名,作者,出版日期,內容介紹,網址
1,彗星之夜,法蘭茲．霍樂,2020-03-27,"
★榮獲2016年拉滕芬格爾文學獎提名!   ★瑞士知名繪本作家與安徒生獎提名插畫家合作的奇幻作品!   ★和主角兄妹一同乘著彗星，穿越時空回到兩千年前，踏上奇幻旅程!    「這是座奇怪的山谷──」      尤納和莫...more
",https://www.books.com.tw/products/0010853288?loc=P_0003_001
2,打油詩之校園大祕寶,蔡明昌,2017-05-01,"
傳說中晴雨社區的晴雨國小裡，藏著神祕的寶藏。而寶藏唯一的線索是一首打油詩：   『晴天堆，雨天推，堆了又推，推了又堆。一堆一推大風吹，風往哪裡吹，球往那裡飛，進了乾隆花瓶裡，轉轉轉一定對。』   ...more
",https://www.books.com.tw/products/0010753895?loc=P_0003_002
3,沒什麼大事(二版),林淑玟,2017-03-24,"
在酷熱的暑假天，到底有什麼大事，驚動了整個小鎮的大人小孩?   有一對雙胞胎兄弟，偷偷瞞著媽媽溜去大水塘游泳，無意間成了一件震驚小鎮案件的目擊者。夾在媽媽、同學、警察和金錢之間，到底還會發生什麼...more
",https://www.books.com.tw/products/0010746595?loc=P_0003_003
4,玩偶奇幻歷險記,陳昱達,2016-12-22,"
跟著玩偶騎士與小白馬一起開始華麗又刺激的冒險吧!   ◎特殊有趣的角色、一段段刺激有趣的遭遇，一場你絕不能錯過的奇幻冒險。   ◎《玩偶奇幻歷險記》貼圖同步上架，手機掃描附錄QR Code即可下載。   被丟...more
",https://www.books.com.tw/products/0010738592?loc=P_0003_004
5,出發!航向世界千年文化,陳愷褘,2016-11-10,"
★這是一本建構世界觀的入門書，介紹世界上豐富的民族、多元的宗教與精采的文化!   ★本書有系統的串起了流傳千年的古老文化，讀起來一氣呵成又有節奏，讓孩子在最短時間內了解從遠古流傳下來的世界文化!   ...more
",https://www.books.com.tw/products/0010733954?loc=P_0003_005
6,歡樂聖誕趣味童詩繪本,安娜‧卡薩利斯,2016-11-10,"
義大利知名的插畫大師托尼•沃爾夫，用溫暖細緻的筆觸， 將聖誕節天馬行空的幻想，一一活靈活現的勾勒出來。   48首精彩的童詩，帶給孩子不同的驚奇，   爸爸媽媽每天說一個溫馨的小故事，   便能讓孩子感...more
",https://www.books.com.tw/products/0010734791?loc=P_0003_006
7,最後一根火柴,王文華,2016-08-01,"
如果你有一根魔法火柴，點亮它，你會看到什麼?   是美麗不實的幻想?還是向前邁進的希望?   三位王子在寒冷的冬夜，幫助了孤苦貧困的小女孩。小女孩分別給了他們一根火柴，作為踏上旅途的祝福。   大王子走...more
",https://www.books.com.tw/products/0010723506?loc=P_0003_007
8,趣味故事(1片CD),世一編輯部,2016-06-16,"
本書含〈媽祖〉、〈月下老人〉、〈牛郎織女〉等6則趣味的民間故事，故事情 節簡單有趣、圖畫生動活潑，隨書附贈一片故事CD，讓孩子容易閱讀之虞，也能體驗聽故事的樂趣，透過故事激發孩子的想像力，並培養...more
",https://www.books.com.tw/products/0010720161?loc=P_0003_008
9,童話運動會：自大的蚊子,"九色芬,九色芬媽咪",2016-05-05,"
「自大的蚊子」是如何被消滅?   「頭腦大力丸」到底好不好吃?   「願望的願望」該怎麼實現呢?   ……。      每個故事都是媽咪從孩子的成長樹上，一一採擷下來的經驗果子。   希望大小朋友吃進肚子裡，可以...more
",https://www.books.com.tw/products/0010713797?loc=P_0003_009
10,從前從前有個小木偶,王文華,2016-02-01,"
櫻桃爺爺做的家具遠近馳名，有一天，他正打算砍樹，哎呀哎呀，樹竟然叫了起來。      「把我做成人吧!我一定是最乖最乖的小木偶。」      小木偶做好了，他立志要成為誠實的好孩子，可是他不但搞砸了櫻桃...more
",https://www.books.com.tw/products/0010704112?loc=P_0003_010
11,伊索寓言：狼來了沒,"伊索,程怡菁",2015-12-16,"
來看烏龜和兔子賽跑，誰能率先抵達終點?欺騙村人「狼來了」的牧羊童，會不會遇到大野狼，自食惡果呢?還有想飛的烏龜，能不能達成夢想，學會飛翔的秘訣......本書精選《伊索寓言》中最為經典的故事38則，以...more
",https://www.books.com.tw/products/0010700571?loc=P_0003_011
12,瘋狂紙上派對書：《聖誕秀》+《歌手帕洛的大秘密》,飛寶編輯部,2015-12-15,"
課外之餘的好玩伴 給六至十歲，想要補強閱讀能力的小孩子 從圖畫到文字，創意想像多更多    假期來了要做什麼?就是要歡樂啊!不然要幹嘛?!在輕鬆愉快的氣氛中，讓孩子願意和大家一起唱歌，一起跳舞，一起翻...more
",https://www.books.com.tw/products/0010699893?loc=P_0003_012
13,好兒童喜樂故事集,馬思威,2015-08-01,"
本書為注音版彩圖品德故事，專為10歲以下的兒童精心設計。改編自美國著名作家馬思威(Arthur S. Maxwell)的床邊故事系列叢書 (BEDTIME STORIES)，故事內容全採自於日常生活常發生的點點滴滴，雖然與我們現...more
",https://www.books.com.tw/products/0010683712?loc=P_0003_013
