,書名,作者,出版日期,內容介紹,網址
1,恐龍小百科II,梅洛琳,2020-10-13,"
五角龍跟三角龍的頭哪一個比較大?   偷蛋龍是偷誰的蛋?   繼恐龍小百科之後，小朋友最喜歡的恐龍，又回來了!這次恐龍小百科II囊括了侏儸紀與白堊紀44種不重複恐龍，全彩精美圖像及恐龍小知識，搭配「非知...more
",https://www.books.com.tw/products/0010873877?loc=P_0003_001
2,知識百科：恐龍世界大揭祕,人類文化編輯部,2020-09-11,"
本書特色    暴龍為什麼又叫霸王龍? 角鼻龍的鼻角有什麼作用? 偷蛋龍到底偷了誰的蛋?   角鼻龍的鼻角有什麼作用? 世界上真的有恐龍墳墓嗎?   誰是侏儸紀公園的大明星呢?    1. 本書詳細介紹數十隻恐龍的特...more
",https://www.books.com.tw/products/0010870356?loc=P_0003_002
3,兒童百科(48)：恐龍小百科(典藏新版),小紅花童書工作室,2020-08-14,"
什麼恐龍的體型最大?   什麼恐龍能在空中飛?   哪一種恐龍凶狠殘暴大家都怕?   哪一種恐龍有好幾百顆牙齒?    在很久以前，恐龍曾是地球的主宰，恐龍小百科精選60種恐龍，詳細介紹恐龍所生活的年代及生活...more
",https://www.books.com.tw/products/0010868488?loc=P_0003_003
4,恐龍小百科,"葉家雯,陳維瑩",2020-08-13,"
原來翼手龍不是恐龍? 原來暴龍的視力很好?    小朋友最喜歡的恐龍、最具代表性的恐龍，通通都在恐龍小百科裡!全書共介紹35種恐龍、2種魚龍、3種翼龍與3種巨大海生爬蟲類，生存年代標示清楚，中文譯名搭配...more
",https://www.books.com.tw/products/0010868037?loc=P_0003_004
5,新恐龍：如果恐龍沒有滅絕的假想圖鑑,道格爾‧狄克森,2020-07-29,"
距今6600萬年前，   一顆巨大的隕石衝撞地球──   據說恐龍們受此影響而絕種消失。   但是……   如果隕石未曾撞上地球，恐龍們並未絕跡的話，牠們會演化成什麼模樣呢?   這是一本關於恐龍族群未曾滅絕並繼續...more
",https://www.books.com.tw/products/0010865279?loc=P_0003_005
6,最強爭霸：恐龍 誰是王者,土屋健,2020-07-24,"
本書根據至今已知曉的恐龍們其各式各樣的資料數據，舉辦恐龍間的模擬「比賽」。不單只有恐龍。如果在這場爭奪戰中，將中生代的空中主角翼龍也加進來的話，將會如何發展呢?    距今約2億5200萬年前開始，直...more
",https://www.books.com.tw/products/0010865428?loc=P_0003_006
7,世界恐龍地圖：把書變成地球儀!,Louise Forshaw,2020-07-14,"
第一本把恐龍和地球儀合而為一的恐龍認知地圖書!    本書以活潑輕快的語氣向孩子介紹恐龍興盛的三個時期：三疊紀、侏儸紀、白堊紀，讓孩子跟著本書回到遠古時期的地球，認識地球中生代的王者!    閱讀《世...more
",https://www.books.com.tw/products/0010863859?loc=P_0003_007
8,悠哉悠哉恐龍圖鑑,加藤太一,2020-06-12,"
一窺恐龍的世界 看恐龍如何在四格漫畫中， 大、搞、破、壞!    解說超過60種以上的恐龍，不但有咕嚕咕嚕大快朵頤、吃飯細嚼慢嚥好好吃的類型，還有展翅高飛任我行、優游自在好快樂的古生物。輕鬆看四格漫...more
",https://www.books.com.tw/products/0010860442?loc=P_0003_008
9,白堊紀恐龍圖鑑大百科(暢銷回饋版),"邢立達,韓雨江",2020-05-06,"
白堊紀是因該年代歐洲西部的地層主要為白堊沉積而得名，是中生代的最後一個紀，也是顯生宙最長的一個階段，長達8000萬年。白堊紀是界於侏羅紀和古近紀之間的地質時代，約1億4500萬年前到6600萬年前之間。 ...more
",https://www.books.com.tw/products/0010857072?loc=P_0003_009
10,長頸恐龍歷險記(附雙面恐龍大海報),Jangsu Hanuulso,2020-04-10,"
●本書不僅介紹超級長頸恐龍-馬門溪龍的特徵，並以生動的故事述說馬門溪龍因氣候變化，遷移南方的驚險歷程。   ●讓孩子透過故事瞭解恐龍的食性與生態，並體悟到地球的氣候變化對大自然會產生什麼樣的影響，...more
",https://www.books.com.tw/products/0010853718?loc=P_0003_010
11,世界真有趣!探索恐龍與神秘史前世界,艾曼紐•帕羅瓦西恩,2020-04-01,"
★法國最暢銷的經典百科，專業科普團隊精心打造!   ★全球翻譯多國語言版本，風靡歐美亞洲多個國家!   ★豐富插圖 + 精彩解說，深入淺出幫助知識學習!   一次了解所有和恐龍與史前世界有關的「為什麼」!   ‧...more
",https://www.books.com.tw/products/0010852679?loc=P_0003_011
12,真實尺寸的古生物圖鑑˙中生代篇【隨書贈侏羅紀長圓頂龍70x50cm全彩珍藏海報】,土屋健,2020-04-01,"
★出版訊息一公布，讀者齊聲歡呼：「終於等到了!」   ★大人小孩搶讀的《真實尺寸的古生物圖鑑》系列第二彈，恐龍時代重磅登場!   ★超值贈品：侏羅紀長圓頂龍 B2(70x50cm)全彩珍藏大海報!   引爆視覺大震撼...more
",https://www.books.com.tw/products/0010852889?loc=P_0003_012
13,恐龍世界尋寶記,阿沾,2020-03-06,"
某天早晨，森之星小學發生了不得了的大事件!整座學校都被可怕的植物占據，後山還出現了超大型的昆蟲……。在世界即將大亂之際，小傑、樂樂和小寶這三個愛冒險的小學生，接受了時光博士的任務，到神祕的恐龍...more
",https://www.books.com.tw/products/0010850833?loc=P_0003_013
14,Inside Out透視小百科：透視霸王龍,丹尼斯．夏茲,2020-03-01,"
108課綱科學素養最佳知識百科   從令人驚奇的細節，探索稱霸白堊紀的恐龍王者—— T-REX 霸王龍   ★霸王龍能跑多快?   ★霸王龍是獵人還是拾荒者?   ★霸王龍和鳥類有什麼關係?   ★霸王龍是變溫動物還是恆溫動...more
",https://www.books.com.tw/products/0010849208?loc=P_0003_014
