,書名,作者,出版日期,內容介紹,網址
1,如何創作一本精彩的繪本：輕鬆學會說故事的小撇步，你也能成為繪本大師!,湯瑪士．瑞杰可,2020-08-12,"
一般來說，插畫家…… ˙ 提供兒童想像的空間與層層的意義 ˙ 給予兒童意義與形象之間的連結 ˙ 提升兒童連結能力與審美觀   捷克知名插畫家湯瑪士‧瑞杰可(Tomáš Řízek)可要跟讀者談談藝術和插畫，透過多年對藝...more
",https://www.books.com.tw/products/0010866747?loc=P_0003_001
2,【動畫好好玩限量套組】轉轉動畫盒+《給孩子的動畫實驗室》,信誼出版社編輯部,2020-07-15,"
【轉轉動畫盒】   動手操作，最有趣的動畫入門遊戲   帶領你一個一個步驟把想像轉化成動畫，立即播放你的創意!    動畫世界裡，想像力無邊無際，得以把天馬行空的想法實體化，這種「把不可能變成可能」的...more
",https://www.books.com.tw/products/0010863680?loc=P_0003_002
3,轉轉動畫盒(新版),信誼基金出版社,2020-07-15,"
動手操作，最有趣的動畫入門遊戲 帶領你一個一個步驟把想像轉化成動畫，立即播放你的創意!   動畫世界裡，想像力無邊無際，得以把天馬行空的想法實體化，這種「把不可能變成可能」的發揮空間，真是讓人著...more
",https://www.books.com.tw/products/0010863991?loc=P_0003_003
4,美感遊學團︰名畫與雕塑,斯捷潘卡‧塞卡尼諾娃,2020-07-13,"
世界各地有各種令人目不暇給的名畫與雕塑，你對它們有多少瞭解呢?   名畫《蒙娜麗莎》為甚麼總在看著你笑?   埃及的獅身人面像為甚麼擁有人頭獅身?   兵馬俑栩栩如生，古時的人究竟怎樣製作出如此像真人的...more
",https://www.books.com.tw/products/0010864056?loc=P_0003_004
5,美感遊學團︰世界著名建築,斯捷潘卡‧塞卡尼諾娃,2020-07-13,"
羅馬競技場在古代真的有鬥獸表演?   萬里長城真的有萬里長嗎?   比薩斜塔那麼斜，會不會有一天倒下來啊?   世界上最巨型的菜籃竟然是一座建築物?裏面裝的是不是巨型水果?    打開本書，你就能跟隨鸛鳥菲力...more
",https://www.books.com.tw/products/0010864059?loc=P_0003_005
6,孩子就該從小玩才藝：品客老師以孩子為出發點，從玩樂中學習藝術，讓藝術變成樂趣，培養生活力、啟迪學習力、引爆實作力、激發創造力,品客老師（鄭婷文）,2020-05-28,"
品客老師精心開發! 17堂多元學習必修課+16個在家自學遊戲 生活力×學習力×實作力×創造力 從玩樂中學習藝術，讓藝術變成樂趣!  這麼有趣，藝術用玩的! 藝術讓人散發出與眾不同的氣質， 藝術讓人的生活充滿了...more
",https://www.books.com.tw/products/0010858291?loc=P_0003_006
7,時空遊學團2：穿越畫世界,唐希文,2020-05-26,"
穿越時空尋找梵高   冒險+解謎+惹笑   學習勇敢挑戰自己   童遙跟弟弟童樂闖下彌天大禍了﹗他們將爸爸送給媽媽的生日禮物——梵高名畫《星夜》撕破了，怎算好?   曾參加「時空遊學團」的童遙決定跟童樂和團...more
",https://www.books.com.tw/products/0010859171?loc=P_0003_007
8,歡樂小笛手,林姿均,2020-05-20,"
直笛是除了鋼琴之外，許多學齡兒童第一個接觸的樂器。它很輕巧、很好攜帶，可以輕鬆吹出單旋律，是很多小朋友在童年的時候最喜歡的樂器。《歡樂小笛手》希望能夠延續直笛帶給孩子的快樂氛圍，用手繪插圖的...more
",https://www.books.com.tw/products/0010856745?loc=P_0003_008
9,每個孩子都能學好繪畫,"常青藤爸爸,蘇清華",2020-03-13,"
孩子每個階段的繪畫表現都與他身心和能力的發展息息相關，家長需要做的不是去「教導」，而是去用心地讀懂，耐心地引導。基於家長在孩子繪畫學習中的一系列迷思與困惑，公眾號常青藤爸爸創始人常爸與家庭美...more
",https://www.books.com.tw/products/0010852199?loc=P_0003_009
10,每個孩子都能學好鋼琴,"常青藤爸爸,高橋雅江",2020-03-13,"
孩子學鋼琴，這早已不是什麼新鮮事兒。但家長仍有很多疑問：每個孩子都能學好鋼琴嗎?學鋼琴是為了成為鋼琴家嗎?學鋼琴對於孩子的意義是什麼?基於家長在孩子學習鋼琴過程中的一系列迷思與困惑，公眾號常青...more
",https://www.books.com.tw/products/0010852200?loc=P_0003_010
11,凱蒂的故宮尋寶：跟著凱蒂一起探遊故宮50大寶物,三采文化,2020-01-10,"
*國立故宮博物院×凱蒂，世紀最可愛獨家聯名!   *凱蒂首度以中國風色調呈現(中國紅X中國藍)，與故宮文物完美融合。   *除了翠玉白菜、清明上河圖之外，還有鼻煙壺、青瓷蓮花式溫碗等許多古代寶物收藏在書中...more
",https://www.books.com.tw/products/0010845565?loc=P_0003_011
12,給孩子的動畫實驗室,"艾蜜莉．布林克,蘿拉．貝爾蒙",2019-12-01,"
有趣的手作實驗，讓藝術動起來。 21個停格動畫實驗，發揮創意、玩出驚奇!   不知道該如何向人們表達自己腦中的奇思妙想?熱愛動畫，因而好奇動畫的製作過程?想動手玩創意，讓自己手作的角色變身動畫主角?動...more
",https://www.books.com.tw/products/0010841813?loc=P_0003_012
13,描描貓愛畫畫,曹俊彥,2019-11-01,"
國寶級繪本大師曹俊彥以最精闢的教學與創意經驗，集趣味與啟發性的經典作品，為幼兒開啟畫圖的潛能   《描描貓愛畫畫》集結了國寶級繪本大師曹俊彥經典，重現國語日報連載的漫畫「描描貓」系列。引領每個...more
",https://www.books.com.tw/products/0010838046?loc=P_0003_013
14,做伙來耍紙(精裝+1CD),石晏如,2019-11-01,"
紙有各種材質和樣貌，生活中無所不在。文化中也豐富且迷人：從節慶習俗中的紙製品認識台灣文化；再從剪紙、糊紙等藝術中，看見台灣傳統工藝的全新展現。   紙是幼兒學習過程中經常使用的素材，因此本書首...more
",https://www.books.com.tw/products/0010857902?loc=P_0003_014
15,手繪藝術尋寶記,"張超倫,曾仰賢,林美宏,王玉如",2019-10-24,"
第一本貼近孩子生活的「藝術素養」養成圖文書 在閱讀中「品味藝術×趣味尋寶×手繪紓壓」 讓藝術美感在生活中被閱讀、被探索、被欣賞、被需要…   4位創意無限、熱情洋溢的藝術教師，   集結音樂、視覺、表演...more
",https://www.books.com.tw/products/0010837300?loc=P_0003_015
16,我們都是藝術品,馬克．史柏林,2019-10-01,"
藝術就在生活中，因為不同，所以有趣…… 我們都是獨一無二的藝術品!   想一想，如果我們都長得一樣，   這個世界會有多無趣……   不同的角度、彎曲的形狀、歪七扭八的線條   讓每個人都變成獨一無二的藝術品...more
",https://www.books.com.tw/products/0010835580?loc=P_0003_016
17,貓咪畫家導覽世界美術館藝術旅行,李瑜旼,2019-08-28,"
和貓咪畫家「灰灰」&夢想成為畫家的書妍   一起來趟美術館之旅!   無論是歐洲，還是美國   不必搭飛機就能一探藏身在世界知名美術館中的名畫   ▶美術館是什麼樣的地方呢?   透過輕鬆可愛的圖畫，認識美術...more
",https://www.books.com.tw/products/0010832128?loc=P_0003_017
18,給中小學生的藝術史【全套四冊，含經典英語學習版】：美國最會說故事的校長爺爺，帶你遊遍世界認識偉大名畫、雕塑、建築【全美中小學生指定讀物】(全新增訂版),維吉爾．希利爾,2019-08-07,"
西方家庭必備經典兒童藝術書籍，含全台唯一經典英語學習版 跟著美國最會說故事的校長爺爺，一起認識偉大藝術家的故事! 50位教育人士、讀者一致推薦，國中小學生必讀「跨領域」、「知識性」讀物 嚴選近200...more
",https://www.books.com.tw/products/0010829644?loc=P_0003_018
19,以藝術之名毀了這本書吧!,麥可．巴菲爾德,2019-05-01,"
風靡全球16國，STEAM入門最佳書籍! 漫畫形式x綜合式主題x有趣紙模型!  108年課綱STEAM教育上路，您還在煩惱該為孩子挑選哪些讀物嗎? 就讓「毀了這本書!」系列帶領您的孩子馳騁於書中的奇幻知識國度吧! 認...more
",https://www.books.com.tw/products/0010819902?loc=P_0003_019
