,書名,作者,出版日期,內容介紹,網址
1,葛瑞的囧日記1-7集套書,傑夫．肯尼,2020-11-06,"
點子實驗王葛瑞+各種突發意外=寫不完的囧日記! 讀葛瑞的爆笑成長故事，紓解你的生活壓力! 幽默囧爆，讓人笑到翻滾噴淚的奇書! 漫畫式圖像，無障礙學習口語化、生活化英文!   ◎全系列書籍全球印量超過200,0...more
",https://www.books.com.tw/products/0010815679?loc=P_0003_001
2,童遊英文趣：親子共學週計畫，每週都有新發現(附QR Code),郭欣伊（Vicky Kuo）,2020-11-04,"
52個主題 ╳ 312個單字 ╳ 468張插圖 學習單 ╳ 繪本+歌曲 ╳ 互動式桌遊 每天十分鐘，慢慢玩出英文力    ★每天十分鐘，適應英語情境，奠定英文基礎   精心設計52個孩子喜歡的情境主題，經由468張可愛活潑的插...more
",https://www.books.com.tw/products/0010873939?loc=P_0003_002
3,木偶奇遇記(中英雙語典藏版),卡洛．科洛迪,2020-11-01,"
一本唯一受全世界父母親青睞的故事：壞孩子讀了都會變成好孩子!   「不可以說謊喔!說謊的小孩鼻子會變長。」   ★ 全世界已翻譯超過250種文字。   ★ 義大利首次發行便創下「一百萬」本銷售佳績。   木匠老...more
",https://www.books.com.tw/products/0010874054?loc=P_0003_003
4,一問一答說英語!雙向互動式對話書：用英語聊不停，提升孩子字彙力及表達力!(隨書附美籍外師錄製互動問答MP3),MIS編輯部,2020-11-01,"
跟著動物萌角色一起學，英語會話不無聊! 用問答式英語句說出生活大小事，雙向互動不冷場   ‧30則超Q生活情境短篇漫畫，沒有學習的沉重感，輕鬆進入學習主題   ‧用英語句說日常生活發生的事，一問一答的句...more
",https://www.books.com.tw/products/0010874153?loc=P_0003_004
5,雞皮疙瘩43：你嚇不倒我!,R.L.史坦恩,2020-10-24,"
已譯成32種語言版本‧全球銷量突破400,000,000冊! 史上最暢銷的系列叢書，繁中版全新上市! ‧金氏世界紀錄2000、2001年全世界最暢銷兒童書作家──R.L.史坦恩成名代表作。 ‧作者連續三年以本系列叢書，獲選為...more
",https://www.books.com.tw/products/0010873441?loc=P_0003_005
6,英文兒歌玩起來：創意律動大探索(內含DVD×1+親子手冊×1),卜凱蒂,2020-10-16,"
英文教學經歷超過20的超人氣老師Teacher KTV   專門為台灣孩子精選八首經典兒歌，設計烏克麗麗和弦+身體律動操。   帶著孩子用表演學英文，一同創造快樂童年時光!    內附DVD×1+親子律動唱遊手冊×1    【D...more
",https://www.books.com.tw/products/0010874036?loc=P_0003_006
7,LiveKids英語生命教育繪本故事集(全6書)+LiveABC智慧點讀筆16G(Type-C充電版) 超值組合,LiveABC編輯群,2020-10-08,"
◎全彩圖像繪本◎生命教育故事 ◎親子陪伴共讀 ◎良善品格陶冶◎正確習慣養成 ◎內省能力塑造   透過閱讀故事，讓孩子了解生命價值   透過陪伴共讀，養成孩子正確人生觀   透過本套生命教育繪本故事集，奠定孩子...more
",https://www.books.com.tw/products/0010873436?loc=P_0003_007
8,Kids互動英語系列 (全4書)+LiveABC智慧點讀筆16G(Type-C充電版) 超值組合,LiveABC編輯群,2020-10-08,"
1.適用程度   7~12歲國小學生、基礎英語學習者，本書適用於『GEPT Kids』、『劍橋兒童英語認證』、『師德兒童英檢』、『Anglia國際英檢』等兒童英語檢定輔助教材。       2.學習目標   建立基礎的英語能力...more
",https://www.books.com.tw/products/0010873439?loc=P_0003_008
9,英文單字不用背!看漫畫就能輕鬆學會英文單字,Terry E. Kim,2020-10-01,"
親愛的爸媽，別擔心靠自己教不出雙語寶寶， 無論孩子是學齡前、還是學齡後，這本書通通都適用!    學齡前─漫畫閱讀好輕鬆，核心單字快速學習   學齡後─情境主題學習應用，搭配音檔雙效吸收    看漫畫也能...more
",https://www.books.com.tw/products/0010871149?loc=P_0003_009
10,兒童的學習54之破解機械人的秘密,"《兒童的學習》編輯部,蘇慧怡,郭天寶,陳秉坤,黎慧嫻",2020-09-22,"
學習專題：破解機械人的秘密   隨著科技的發展，機械人其實已經不再是只存在於科幻作品中的虛構角色。在我們的日常生活入面，機械人扮演了很多重要的角色。今期就為你介紹現實與動漫機械人的各種可能與不...more
",https://www.books.com.tw/products/0010872102?loc=P_0003_010
