,書名,作者,出版日期,內容介紹,網址
1,失落的一角 中英雙語雋永典藏版,謝爾．希爾弗斯坦,2020-11-05,"
★跨越半世紀、感動上億人的經典繪本 ★作者基金會獨家授權‧40位名人齊聲推薦 ★品味原文之美，珍藏繪本大師謝爾.希爾弗斯坦的經典之作 ──中英雙語雋永典藏版── ~讓你思索一生的經典哲思繪本~ 最簡單的圓，卻...more
",https://www.books.com.tw/products/0010874344?loc=P_0003_001
2,失落的一角遇見大圓滿 中英雙語雋永典藏版,謝爾．希爾弗斯坦,2020-11-05,"
★跨越半世紀、感動上億人的經典繪本 ★作者基金會獨家授權‧40位名人齊聲推薦 ★品味原文之美，珍藏繪本大師謝爾.希爾弗斯坦的經典之作 ──中英雙語雋永典藏版── ~讓你思索一生的經典哲思繪本~ 最簡單的圓，卻...more
",https://www.books.com.tw/products/0010874345?loc=P_0003_002
3,世界少年文學必讀經典60：老人與海,"區國強,海明威",2020-10-01,"
挑戰生命意志的海上對決    身懷捕魚絕技的老人，從小就開始跑船，自認為是一個天生的漁夫。年輕時，他膂力過人，如今垂垂老矣，但仍是一個硬漢。    小男孩跟著老人的船捕魚，但老人彷彿被詛咒一般，已經...more
",https://www.books.com.tw/products/0010871537?loc=P_0003_003
4,魔女宅急便特別篇1與琪琪相遇的人們(繁體中文版首度出版),角野榮子,2020-09-26,"
繁體中文版首度出版 國際安徒生大獎得主 角野榮子代表作 即使不會飛、不會隱身 每個人都有屬於自己的魔法 總是為琪琪打氣、熱情開朗的麵包店索娜太太，竟有著讓人鼻酸的童年故事。市長先生的懼高症如何不...more
",https://www.books.com.tw/products/0010870418?loc=P_0003_004
5,魔女宅急便特別篇2黑貓吉吉的故事(繁體中文版首度出版),角野榮子,2020-09-26,"
繁體中文版首度出版 國際安徒生大獎得主 角野榮子代表作 牠是哥哥，也是好朋友，偶爾也會欺負琪琪….. 只有黑貓吉吉才知道的魔女童年! 魔女琪琪出生了!與她相伴的小黑貓來到家裡，卻始終看這個小嬰兒不順眼...more
",https://www.books.com.tw/products/0010870419?loc=P_0003_005
6,精選少年名著套書(水孩子、沙之精靈、怒海餘生，共三冊),"伊蒂絲．內斯比特,查爾斯．金斯萊,魯德亞德．吉卜林",2020-09-23,"
精選少年名著，反映真實的人生故事!    《水孩子》，本書闡述〝溫暖幸福的水底與殘忍無情的凡間〞形成鮮明的對比，也抒發作者的人道主義理想。同時，作者將豐富的知識與奇特的想像力融合，使本書帶有濃厚...more
",https://www.books.com.tw/products/0010869979?loc=P_0003_006
7,秘密花園,法蘭西絲‧霍森‧柏納特,2020-09-23,"
不討喜的印度女孩瑪麗 暴躁易怒的小王爺柯林 受動物和孩子喜愛的狄肯 悲觀的駝背莊園主人克萊文 神秘的「魔法」正在花園中悄悄進行!    因為一場瘟疫，脾氣古怪、不受任何人喜歡的瑪麗‧蘭諾克斯失去了雙親...more
",https://www.books.com.tw/products/0010871258?loc=P_0003_007
8,列那狐的故事：機智狐狸的不凡一生,M．H．吉羅夫人,2020-09-23,"
市民V.S.貴族 明爭暗鬥的動物王國    狐狸列那由於意外解救了獅王，因此從市民晉升為男爵，並賜居在馬貝渡的一座宏偉城堡裡。此後，他處心積慮地接近那些握有權勢的動物，企圖將他們扳倒，建立一個平等的...more
",https://www.books.com.tw/products/0010869980?loc=P_0003_008
9,小王子,安托萬·德·聖修伯里,2020-09-22,"
《小王子》(法語：Le Petit Prince、英語：The Little Prince)，是法國貴族作家、詩人、飛行員先驅安托萬·德·聖修伯里創作的最著名的小說，發表於1943年。作為法語書籍中擁有最多讀者和譯本的小說，《小王...more
",https://www.books.com.tw/products/0010872067?loc=P_0003_009
10,愛的教育(精裝版),艾德蒙多．德．亞米契斯,2020-09-08,"
義大利最著名的兒童文學作品 全球三十多種語言譯本，暢銷超過二千萬冊 多次改編成動畫、影集和電影 本書譯者三度榮獲義大利總統勳章    恩里科是義大利一名三年級的小學生，從開學的第一天起，他認識了老...more
",https://www.books.com.tw/products/0010868309?loc=P_0003_010
11,魔女宅急便5魔法的歇腳樹,角野榮子,2020-09-03,"
國際安徒生大獎得主 角野榮子代表作 尋找大海的鑰匙、傳遞幸福的頭紗…… 會飛行的魔女，送來世界上最療癒的宅急便 奇怪，吉吉說的話怎麼愈來愈難懂?咦，掃帚也開始不聽使喚?琪琪就要滿二十歲了，魔法卻好像...more
",https://www.books.com.tw/products/0010867601?loc=P_0003_011
12,魔女宅急便6各自的旅程(繁體中文版首度出版),角野榮子,2020-09-03,"
國際安徒生大獎得主 角野榮子代表作 歡迎魔女的寶寶誕生 迎接下一次嶄新的旅程 琪琪和蜻蜓生下了名叫托托的男孩與名叫妮妮的女孩，兩個孩子今年都是十一歲。沒錯，他們是雙胞胎，身為魔女的女兒，妮妮遲遲...more
",https://www.books.com.tw/products/0010867602?loc=P_0003_012
