,書名,作者,出版日期,內容介紹,網址
1,2021初等、地方五等[經建行政]套書(贈法學大意小法典),三民補習班名師群,2020-10-23,"
【適用對象】   這套《初等、地方五等[經建行政]套書》適用於報考以下類科的考生：   .初等考試經建行政類科。   .地方特考五等經建行政類科。    【考試資訊及初五等經建行政類科簡介】   地方特考五等不...more
",https://www.books.com.tw/products/0010874581?loc=P_0003_001
2,2021初等、地方五等[經建行政]速成套書(贈公民搶分小法典),三民補習班名師群,2020-10-23,"
【適用對象】   這套《初等、地方五等[經建行政]套書》適用於報考以下類科的考生：   .初等考試經建行政類科。   .地方特考五等經建行政類科。    【考試資訊及初五等經建行政類科簡介】   地方特考五等不...more
",https://www.books.com.tw/products/0010874586?loc=P_0003_002
3,初等五等/台電僱員/自來水評價人員考試【行政學題庫：精選題庫.完全攻略】(核心試題高效演練.歷屆考題完善解析)(4版),"太閣,平海勝",2020-10-22,"
☆考前衝刺‧最佳自我演練題本☆ ☆核心考點‧輕鬆高效一網打盡☆ ☆歷屆試題‧溫故知新完善精解☆ 本書特色   本書係專為報考公務人員初等五等、台電新進僱員、自來水公司評價人員考試的考生，所精心編寫的模擬題...more
",https://www.books.com.tw/products/0010874489?loc=P_0003_003
4,最詳盡試題解析 2021全新 初考/五等「歷屆題庫完全攻略」：「教育行政」套書,"吳嶽,徐萍,林沂,林育綺,程書云",2020-10-20,"
★最詳盡試題解析：2021全新大改版★   宏典文化初考/五等「歷屆題庫完全攻略」系列-收錄題數最多，解析最完整，十年來協助無數考生金榜題名。是您備戰初考/五等絕不可或缺的「考古題資料庫」!   ★批踢踢鄉...more
",https://www.books.com.tw/products/0010514373?loc=P_0003_004
5,最詳盡試題解析 2021全新初考五等「歷屆題庫完全攻略」：教育法規大意(解析對應最新修法),程書云,2020-10-20,"
★最詳盡試題解析：2021全新大改版★   宏典文化初考/五等「歷屆題庫完全攻略」系列-收錄題數最多，解析最完整，十年來協助無數考生金榜題名。是您備戰初考/五等絕不可或缺的「考古題資料庫」!   ★批踢踢鄉...more
",https://www.books.com.tw/products/0010454324?loc=P_0003_005
6,2021地方五等[戶政]題庫套書，全套共4680題，題題詳解(贈公職英文單字[基礎篇]),三民補習班名師群,2020-10-16,"
【適用對象】   這套《地方五等[戶政]題庫套書》適用於報考地方特考五等戶政類科的考生。   【考試資訊及報考利多】   地方特考五等不限學歷，凡是年滿18歲的中華民國國民皆可報考。該考試每年固定舉辦，...more
",https://www.books.com.tw/products/0010873912?loc=P_0003_006
7,"2021初等/地方/司法五等/鐵路佐級[共同科目]題庫套書(題數高達3015題,100%題題詳解)",三民補習班名師群,2020-10-16,"
★奪分，就靠大量演練試題!   ★2021年初等/地方/司法五等/鐵路佐級[共同科目]題庫套書，內含：國文題庫+英文題庫+公民題庫   ★題庫總題數高達3,015題，100%題題解析!    【常見問答】   Q1：這套書包含哪幾...more
",https://www.books.com.tw/products/0010873918?loc=P_0003_007
8,這題會考!戶籍法規大意,林毅,2020-10-15,"
本書特色   ■收錄歷年經典海量考題，全面詳解，釐清概念。   ■法條關鍵字考點上色，加強記憶。   ■適合四、五等戶政類科考生快速複習，熟讀可立即應考。...more
",https://www.books.com.tw/products/0010874177?loc=P_0003_008
9,這題會考!行政學大意(四版),"利澤,子炘",2020-10-15,"
本書特色    ‧參酌考選部公布的命題大綱編纂，緊扣考試趨勢。   ‧主題式歸納，依學習狀況補強，準備考試有效率。   ‧全面解析，不只練考古題還能全面提升應考實力。   ‧表格綜合統整，呈現必讀概念。   ‧...more
",https://www.books.com.tw/products/0010874173?loc=P_0003_009
10,2021法學大意搶分小法典(精選法條+重點標示+歷屆試題)(初等/五等/鐵路佐級適用)(八版),三民補習班名師群,2020-10-05,"
★2020年第二次全新改版，收錄最新修正法條!   ★四大類22種法規彙整!   ★101~109年初考/鐵路佐級/司法人員五等歷屆試題演練，掌握命題趨勢及條文!    【常見問答】   Q1：請問本書是最新的法規嗎?   A1：本...more
",https://www.books.com.tw/products/0010873360?loc=P_0003_010
