,書名,作者,出版日期,內容介紹,網址
1,2021逼真!電工機械(電機機械)模擬題庫+歷年試題：收錄共1348題，輔以圖示，不用死記〔六版〕(鐵路特考/高員級/員級/佐級),,2020-10-30,"
本書之編著是本著能達成事半功倍的成效，以最省的時間來建立完整的電工(電機)機械備考知識與解題能力，必能強化有關電工(電機)機械諸項大考之得分上榜實力。因此，分成「主題式實力加強題庫」、「全範圍綜...more
",https://www.books.com.tw/products/0010873476?loc=P_0003_001
2,鐵路特考2021試題大補帖【鐵路運輸學大意(適用佐級)】(99~109年試題)(測驗題型),百官網公職師資群,2020-10-23,"
本書專為【鐵路特考】考生出版的解題書，完整收錄鐵路特考佐級【鐵路運輸學大意】99~109年共十一年試題解析。   適用鐵路特考【佐級】類科：運輸營業、場站調車 本書特色   1.補班名師解題，不用三顧茅廬...more
",https://www.books.com.tw/products/0010874772?loc=P_0003_002
3,2021 鐵路法(含概要、大意)：考前重點速瞄‧關鍵無遺漏〔十一版〕(鐵路特考(高員三級、員級、佐級 )\台鐵營運人員甄試),,2020-10-20,"
◎考前30分鐘速瞄‧考前衝刺無遺漏    鐵路相關法規內容多且不容易記憶，除了平時的用心準備外，如何在考前快速有效的複習重點法規也十分重要。因此，作者將常考的法規彙整成「鐵路法考前30分鐘速描」，並將...more
",https://www.books.com.tw/products/0010874223?loc=P_0003_003
4,2021年鐵路特考「金榜直達」【鐵路英文】(鐵路專用詞彙片語匯編，歷屆試題完整精析)(13版),郭靖,2020-10-19,"
☆鐡佐熱門單字片語詞彙例句☆ ☆文法重點式整理，深入解說重要語法概念☆ ☆歷屆試題收錄全精析☆   一、本書特色   內容整理    字彙與動詞片語搭配詳細例句，方便讀者閱讀。   文法重點式整理，深入解說重要...more
",https://www.books.com.tw/products/0010874491?loc=P_0003_004
5,"2021初等/地方/司法五等/鐵路佐級[共同科目]題庫套書(題數高達3015題,100%題題詳解)",三民補習班名師群,2020-10-16,"
★奪分，就靠大量演練試題!   ★2021年初等/地方/司法五等/鐵路佐級[共同科目]題庫套書，內含：國文題庫+英文題庫+公民題庫   ★題庫總題數高達3,015題，100%題題解析!    【常見問答】   Q1：這套書包含哪幾...more
",https://www.books.com.tw/products/0010873918?loc=P_0003_005
6,鐵路特考2021試題大補帖【法學大意(適用佐級)】(103~109年試題)(測驗題型),百官網公職師資群,2020-10-12,"
本書專為【鐵路特考】考生出版的解題書，完整收錄鐵路特考佐級【法學大意】103~109年共七年試題解析。   適用鐵路特考【佐級】類科：事務管理 本書特色   1.補班名師解題，不用三顧茅廬立即獲得大師精準考...more
",https://www.books.com.tw/products/0010873638?loc=P_0003_006
7,2021[共同科目]超效套書(鐵路員級、司法四等、普考適用)國文+英文+法學知識(憲法+法學緒論),三民補習班名師群,2020-10-08,"
★2021年[共同科目]超效套書，最新版!   每科1書，共3本：國文+英文+法學知識(憲法+法學緒論)   ★最新修正法條收錄!   ★獨家贈品★法學知識搶分小法典(1本)：收集102~108年相關考試試題，精選法條+重點標示+...more
",https://www.books.com.tw/products/0010873346?loc=P_0003_007
8,鐵路特考2021試題大補帖【鐵路法大意(適用佐級)】(102~109年試題)(測驗題型),百官網公職師資群,2020-10-05,"
本書專為【鐵路特考】考生出版的解題書，完整收錄鐵路特考佐級【鐵路法大意】102~109年共八年試題解析。   適用鐵路特考【佐級】類科：場站調車  本書特色    1.補班名師解題，不用三顧茅廬立即獲得大師精...more
",https://www.books.com.tw/products/0010873147?loc=P_0003_008
9,2021電工機械(電機機械)實戰秘笈-鐵路特考：豐富圖表，完整建立知識體系(六版)[高員級/員級/佐級],鄭祥瑞,2020-09-30,"
本書之編著是本著能達成事半功倍的成效，以最省的時間來建立完整的電工機械(電機機械)考知識與解題能力，必能有助強化有關電工機械諸項大考之得分上榜實力。   本書分成11章強化研習，每章必有圖，每節必...more
",https://www.books.com.tw/products/0010871566?loc=P_0003_009
10,2021逼真!基本電學(含大意)模擬題庫+歷年試題-鐵路特考：收錄共1642題，輔以圖示，不用死記(十一版)(員級/佐級/台鐵營運人員),陸冠奇,2020-09-30,"
◎模擬題庫涵蓋觀念、計算、問答題型，內容真材實料   ◎全書共1642題，輔以圖示解題，不用死記   ◎收錄106~109年相關試題解析，加強複習有效率    本書內容架構簡介如下：   1.重點精要整理：課文部份將考...more
",https://www.books.com.tw/products/0010871568?loc=P_0003_010
