,書名,作者,出版日期,內容介紹,網址
1,國營事業(民法)密集班單科線上教學函授課程(教學影片+上課講義+板書),陳泫,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864303?loc=P_0003_001
2,國民營﹝寫作滿分寶典﹞論文高分題庫〔國民營-台電/中油/中鋼/中華電信/捷運〕,"尚榜,高朋",2020-06-30,"
◎快速上手‧精編高分秘訣   「論文」是國文考科的重心，想在該科拿高分，必須掌握四項準備要訣：勤加閱讀、蒐羅整理、模擬練習、思路清晰。透過四項累積功夫，能使文章言之有物，甚至能別出心裁，達到文思...more
",https://www.books.com.tw/products/0010863198?loc=P_0003_002
3,台電公司新進僱用人員(養成班)(輸配電學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),陳毅,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862762?loc=P_0003_003
4,台電公司新進僱用人員(養成班)(環境科學)密集班單科線上教學函授課程(教學影片+上課講義+板書),林弘,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862763?loc=P_0003_004
5,台電公司新進僱用人員(養成班)(電工機械)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),陳睿,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862765?loc=P_0003_005
6,台電公司新進僱用人員(養成班)(電子學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),高分,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862768?loc=P_0003_006
7,台電公司新進僱用人員(養成班)(測量學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),"季良,陳博士",2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862769?loc=P_0003_007
8,台電公司新進僱用人員(養成班)(工程力學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),姜瑋,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862771?loc=P_0003_008
9,台電公司新進僱用人員(養成班)(土木施工學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),許聆,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862772?loc=P_0003_009
10,台電公司新進僱用人員(養成班)(機械原理)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),李易,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862775?loc=P_0003_010
11,台電公司新進僱用人員(養成班)(國文(作文與測驗))密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),"徐鴻,程頤",2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862779?loc=P_0003_011
12,台電公司新進僱用人員(養成班)(英文)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),"廖柏州,雪薇",2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862783?loc=P_0003_012
13,台電公司新進僱用人員(養成班)(基本電學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),曾強,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862786?loc=P_0003_013
14,台電公司新進僱用人員(養成班)(企業管理(含申論題進階課程))密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),陳亮,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862788?loc=P_0003_014
15,台電公司新進僱用人員(養成班)(法學知識(法律常識))密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),王立,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862791?loc=P_0003_015
16,台電公司新進僱用人員(養成班)(行政學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),劉颺,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862795?loc=P_0003_016
17,台電公司新進僱用人員(養成班)(物理)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),林森,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862800?loc=P_0003_017
18,台電公司新進僱用人員(養成班)(化學)密集班(含題庫班)單科線上教學函授課程(教學影片+上課講義+板書),黃世強,2020-06-23,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010862804?loc=P_0003_018
