,書名,作者,出版日期,內容介紹,網址
1,普通型高級中學國文3,,2020-10-21,"
針對108課綱設計， 多位臺灣漫畫/插畫家打造專屬配圖， 貼近生活經驗的選文， 全新設計的「提問」、「寫作練習」等欄位， 一本從「自己」出發，真正與社會、世界接軌的課本。   老師好教、學生好讀，   課...more
",https://www.books.com.tw/products/0010874225?loc=P_0003_001
2,110升大學指定科目考試解題王：國文考科,金凰,2020-09-23,"
飆分版指考歷屆試題，配合詳盡解析，穩扎穩打厚實功力。 ★最速全新改版仿真模擬試題 → 符合最新命題趨勢 ★學界名師逐題解析保證權威 → 精準解析內容詳盡 ★思路引導與錦囊撇步絕對獨家 → 輕鬆掌握解題關鍵 ...more
",https://www.books.com.tw/products/0010871142?loc=P_0003_002
3,醫科國文解題制霸,簡正崇,2020-07-30,"
作者於補教授課國文二十餘年，深感同學欲前往醫學之路的考試中，除了國學的根基要穩固外，還有賴於題目的大量練習。因此歷屆試題的蒐集與作答，絕對不可或缺。於是作者利用課餘，披尋搜討醫學國文考試相關...more
",https://www.books.com.tw/products/0010686523?loc=P_0003_003
4,重量級國學與古文[素養學堂],白白老師,2020-07-30,"
※開闢古代文人穿越劇浪潮   「什麼?蘇洵竟然是知名YouTuber!」   「蘇軾是料理鼠王兼小當家?」   「曾鞏怎麼可能會是萬年國考生?」   這些秘密，都出現在某位YouTube的頻道中，   如今，這位揭露古代文人...more
",https://www.books.com.tw/products/0010866199?loc=P_0003_004
5,國文科歷屆統測試題(含活動夾冊)(三版),,2020-06-30,"
本書依考試年度編排100~109(含補考)學年度統測國文科試題，並附有答案與名師詳細說明的解析。...more
",https://www.books.com.tw/products/0010863542?loc=P_0003_005
6,贏戰102~109年學測歷屆試題國文考科,"伍湘芬,彭元岐,王競,許清龍",2020-06-17,"
贏戰系列，讓你運籌帷幄，決勝千里之外! ●近8年學測歷屆試題，掌握最新考情，不走冤枉路! ●題題名師精解，突破學習盲點，提升解題實力! ●採用Arima Models預測模擬出題，命中必考趨勢! ●雙效複習計畫，強...more
",https://www.books.com.tw/products/0010861212?loc=P_0003_006
7,考古題解答-國立中興大學-進修學士 科目：國文 108,全國考訊編輯部,2020-06-09,"
鑑古知今、加分必讀--   國立中興大學進修學士    【國文】考古題108含詳解，提供您了解學校考試題型及考題方向，熟做考古題，釐清面對考試的正確思路，必能在面對考試時成竹在胸，執筆作答無往不利，進而...more
",https://www.books.com.tw/products/0010861137?loc=P_0003_007
8,考古題解答-國立中興大學-進修學士 科目：中國文化基本教材 108,全國考訊編輯部,2020-06-09,"
鑑古知今、加分必讀--   國立中興大學進修學士    【中國文化基本教材】考古題108含詳解，提供您了解學校考試題型及考題方向，熟做考古題，釐清面對考試的正確思路，必能在面對考試時成竹在胸，執筆作答無...more
",https://www.books.com.tw/products/0010861141?loc=P_0003_008
9,110升大學學科能力測驗國文考科歷屆試題總覽,"伍湘芬,彭元岐,王競,許清龍",2020-05-20,"
親愛的學子~~ 「模擬考成績欠佳」 「試題本太多寫不完，試題的解析像課文一般冗長」 「無法掌握漫天亂飛的考情資訊」…… 你是上述症狀患者嗎?    別擔心!鴻漸文化《學科能力測驗歷屆試題總覽》全系列叢書迅...more
",https://www.books.com.tw/products/0010858599?loc=P_0003_009
10,110年升大學學科測驗解題王：國文考科,"廖筱雯,沈風,董澤,許清龍,金凰",2020-05-13,"
全新進階版   ◎獨立解答本 方便好抽拿的解答別冊，讓同學對照詳解更便利。   ◎詳列出處 掌握命題觀念，實力才得以發揮甚而游刃有餘。   ◎思路引導 一語破解命題核心，將定理及性質重新複習一遍，進而加深...more
",https://www.books.com.tw/products/0010857462?loc=P_0003_010
