,書名,作者,出版日期,內容介紹,網址
1,2021【電機與電子群_電資類】升科大四技(統測/四技二專)_題庫版套書：全範圍綜合模擬考，詳細解析一一突破!,名師作者群,2020-10-05,"
●[2020考上第一志願的唯一選擇]電子學[歷年試題+模擬考][升科大四技]    隨著時代的發展，電子學此一考試科目所包含的範圍也越來越豐富，從基本的電子元件、電源電路、放大電路到常見的運算放大器以及振盪...more
",https://www.books.com.tw/products/0010873267?loc=P_0003_001
2,2021計算機概論[歷年試題+模擬考]-升科大四技：全書1716題‧讓你實力UP!UP!〔十三版〕,甄浩,2020-09-30,"
★全書1716題‧題題破解‧讓你實力UP!UP!    本書針對四技統一入學測驗命題趨勢彙編而成，專供高中職同學參加統一入學測驗、自修參考之用。書中將考試內容透過主題式的考題編排，並提供近年統測試題及逐題解...more
",https://www.books.com.tw/products/0010871565?loc=P_0003_002
3,2021[機械群]升科大四技(統測/四技二專)_題庫版套書：精編25回模擬考題，1169題均有詳解,名師作者群,2020-09-10,"
書名:〔統測機械群〕機件原理[歷年試題+模擬考] [升科大四技]    ★這是市面上收錄題目最齊全的機件原理題庫書，還有附上考前重點整理喔    ◎全書1441題‧題題破解‧讓你實力 UP!UP!   本書蒐集歷屆升科大四...more
",https://www.books.com.tw/products/0010870741?loc=P_0003_003
4,技術高中 電機與電子群基本電學 上 主題式學習講義含解析本(最新版)(附MOSME行動學習一點通),黃慧容,2020-09-08,"
重點集錦：重點表格化整理，清晰詳細、一目了然   例題講解：透過題目講解，協助瞭解題型的重要觀念   跟著做：藉由跟著做題目，加深對題目解題技巧的熟練度   立即評量：立即測驗，測驗自我學習效果   綜...more
",https://www.books.com.tw/products/0010870544?loc=P_0003_004
5,冷凍空調實習：基礎篇(五版),"沈志秋,蕭明哲",2020-09-03,"
一、本冷凍空調實習教材係參考教育部公佈之工業職業學校電機電子群冷凍空調科課程標準做為編輯藍本外，並增加冷凍空調行業訓練所需之行業技術，適用於工業職業學校冷凍空調科及職業訓練冷凍空調科之實習教...more
",https://www.books.com.tw/products/0010872926?loc=P_0003_005
6,汽車空調原理與實習 最新版(第二版) 附MOSME行動學習一點通,蔡燕山,2020-08-26,"
1.全書以專業的理論、實務為導向設計單元，理論與實務並重。   2.全新全彩編排，圖文並茂，有效幫助學習及增強記憶。   3.汽車零組件色彩鮮明，易於辨別與學習。   4.每章附有課後習題及穿插隨堂練習，增...more
",https://www.books.com.tw/products/0010869517?loc=P_0003_006
7,車床實習IV最新版(第二版)(附MOSME行動學習一點通),陳國俊,2020-08-22,"
1.編輯力求簡明易懂、架構完整，期使學生謀得專業理論與實際操作之配合。   2.各章均附有學生實作工作單及工作圖，可供學生依序實習，及作自我評量，提高學習效果。...more
",https://www.books.com.tw/products/0010868551?loc=P_0003_007
8,2021年統測決勝關鍵【電機與電子群_電資類】升科大四技_課文版套書,名師作者群,2020-08-21,"
書名：110統測〔勇奪高分必備〕電子學(含實習)完全攻略〔升科大四技〕〔贈讀書計畫表〕    本書特色如下：    ◎主題統整建立觀念，圖表豐富‧概念分明   本書首先去蕪存菁，將考試重點依章節整理，各章後並...more
",https://www.books.com.tw/products/0010869443?loc=P_0003_008
9,2021年攻克統測利器【機械群】升科大四技_課文版套書,名師作者群,2020-08-21,"
書名:〔統測機械群〕機件原理完全攻略[升科大四技]   ★重點統整‧讓你吸收機件原理精華★   本書適用於升科大四技考試。機件原理在升科大四技考試科目中，是屬於較好拿分之專業科目，為求出題分布平均，每章...more
",https://www.books.com.tw/products/0010869449?loc=P_0003_009
10,2021年圖表解析詳實【電機與電子群_電資類】升科大四技_題庫版套書,名師作者群,2020-08-21,"
書名：[2020考上第一志願的唯一選擇]電子學[歷年試題+模擬考][升科大四技]  本書特色    ◎近年試題‧掌握命題趨勢   本書首先去蕪存菁，從歷屆試題中找出典型題目以供考生練習。而與其他一般書籍不同的是，...more
",https://www.books.com.tw/products/0010869450?loc=P_0003_010
11,汽車底盤原理 附MOSME行動學習一點通,劉耀東,2020-08-19,"
1.本書主要介紹汽車底盤原理，共分五章，包括緒論、汽車傳動系統、煞車系統、懸吊系統、轉向系統等。   2.書本內容採用「以圖為中心」之表現方法，配合圖示、圖說的說明，可使教學事半功倍。   3.本書在各...more
",https://www.books.com.tw/products/0010868534?loc=P_0003_011
12,車床實習Ⅲ最新版(第二版)(附MOSME行動學習一點通),陳國俊,2020-08-19,"
1.編輯力求簡明易懂、架構完整，期使學生謀得專業理論與實際操作之配合。   2.各章均附有學生實作工作單及工作圖，可供學生依序實習，及作自我評量，提高學習效果。...more
",https://www.books.com.tw/products/0010868535?loc=P_0003_012
13,汽油噴射引擎實習 最新版(第二版) 附MOSME行動學習一點通,謝其政,2020-08-18,"
1. 圖文內容豐富，實習步驟清楚易懂!    2. 全彩印刷，圖解精確詳盡。    3. 架構分明：分為「相關知識」與「技能項目」兩部分，為理論與實務結合之教材。「相關知識」專司汽油噴射引擎各系統元件工作原理...more
",https://www.books.com.tw/products/0010868533?loc=P_0003_013
14,〔統測機械群〕機件原理完全攻略[升科大四技](11版),"陳家洛,黃蓉",2020-08-15,"
★重點統整‧讓你吸收機件原理精華★   本書適用於升科大四技考試。機件原理在升科大四技考試科目中，是屬於較好拿分之專業科目，為求出題分布平均，每章一定會出個一題以上。為了讓考生能夠踏實準備本科，將...more
",https://www.books.com.tw/products/0010867718?loc=P_0003_014
15,汽車綜合實習 全 最新版(第二版) 附MOSME行動學習一點通,鄭少康,2020-08-13,"
1.每項技能項目皆有相關知識、實習步驟、注意事項，使學生能循序自學。   2.每實習單元有問題思考，以引導學生思考，活用知能。   3.每實習後有認知評量、技能評量，幫助學生知識與技能並重。...more
",https://www.books.com.tw/products/0010867728?loc=P_0003_015
16,汽車美容 最新版(第二版) 附MOSME行動學習一點通,"游福裕,鄒紹騰",2020-08-07,"
•本書適合中學、 高中年級之汽車科學生，欲學習汽車美容技術者研讀參考使用。   汽車美容業隨著生活水平的提升，普遍為一般民眾接受，且車輛使用者樂於自我服務，鑑於坊間有關汽車美容相關書籍甚少，一般...more
",https://www.books.com.tw/products/0010867726?loc=P_0003_016
17,輸配電學最新版(第二版)(附MOSME行動學習一點通),楊天賜,2020-08-07,"
1.本書可供電機科第三學年，每週授課3節，每學期3學分教學使用，本書同時亦可作普考參考書。   2.本書資料之選擇與排列，除根據編者多年教學經驗外，並參考電力公司及美日等國有關書籍，藉以有系統之傳述...more
",https://www.books.com.tw/products/0010867729?loc=P_0003_017
18,技術高中 電機與電子群基本電學 下 主題式學習講義含解析本(最新版)(附MOSME行動學習一點通),黃慧容,2020-08-07,"
重點集錦 重點以表格化呈現，一目了然。   題型整理 系統化主題分類，快速掌握學習重點。   例題講解 透過題目講解，協助學生瞭解題型的重要觀念。   跟著做 藉由跟著做題目，加深對題目解題技巧的熟練度...more
",https://www.books.com.tw/products/0010867725?loc=P_0003_018
19,2021年掌握解題SOP【電機與電子群_電機類】升科大四技_課文版套書,名師作者群,2020-08-06,"
書名：110統測〔勇奪高分必備〕電子學(含實習)完全攻略〔升科大四技〕〔贈讀書計畫表〕   ◎主題統整建立觀念，圖表豐富‧概念分明   本書首先去蕪存菁，將考試重點依章節整理，各章後並從歷屆試題中找出典...more
",https://www.books.com.tw/products/0010867971?loc=P_0003_019
20,110統測〔勇奪高分必備〕電子學(含實習)完全攻略〔升科大四技〕〔贈讀書計畫表〕,陸冠奇,2020-07-30,"
隨著時代的發展，電子學此一考試科目所包含的範圍也越來越豐富，從基本的電子元件、電源電路、放大電路到常見的運算放大器以及振盪電路等等均包含在內。乍看之下不易準備，但反因課程範圍廣泛，可供命題的...more
",https://www.books.com.tw/products/0010866846?loc=P_0003_020
21,〔統測機械群〕機件原理[歷年試題+模擬考] [升科大四技],,2020-07-30,"
★這是市面上收錄題目最齊全的機件原理題庫書，還有附上考前重點整理喔    ◎全書1441題‧題題破解‧讓你實力 UP!UP!   本書蒐集歷屆升科大四技之重要考題，網羅各類考試之相關考題及各版本教科書之重點精華，...more
",https://www.books.com.tw/products/0010868467?loc=P_0003_021
22,110統測〔高分上榜衝刺秘笈〕基本電學(含實習)完全攻略〔升科大四技〕〔贈讀書計畫表〕,陸冠奇,2020-07-30,"
◎重點整理‧架構清晰易懂   基本電學此一考試科目包含的範圍相當廣泛，乍看之下不易準備，但因課程範圍廣泛，可供命題的重點多，為求出題分布均勻，反不易出現艱深偏僻之題目，使得考試難易度並不如想像中...more
",https://www.books.com.tw/products/0010868898?loc=P_0003_022
23,帶你迎戰統測【統測高分必備】機械製造[歷年試題+模擬考][升科大四技],張千易,2020-07-15,"
★近年試題+主題式題庫+模擬試題=1169題    ★帶你一起破解最新統測試題!給你滿滿即戰力   本書主要為了想在最短時間複習「機械製造」課程的同學而編寫，依據最新公告之課程綱要編寫，主要分三大部分，第一...more
",https://www.books.com.tw/products/0010862797?loc=P_0003_023
24,〔2021統測機械群解題要訣〕機械基礎實習、製圖實習[歷年試題+模擬考],何曜辰,2020-07-15,"
◎近年試題彙編.各類試題大公開   ◎主題式題庫演練.提昇自身應考實力   ◎高分模擬測驗.以戰養戰.經驗值快速提升    機械領域的學生對「機械基礎實習」與「製圖實習」這兩門科目應不陌生，相信在學校的課程...more
",https://www.books.com.tw/products/0010863940?loc=P_0003_024
25,輕課程 用主題範例學運算思維與程式設計：使用Halocode光環板與Scratch3.0(mBlock5)含AIoT應用專題(範例素材download),王麗君,2020-07-09,"
本書運用運算思維架構來進行主題式範例程式設計，依據Halocode的特性，分成Halocode基本功能程式設計、Halocode與角色互動、Halocode與Halocode及其他設備(例如mBot)的互動、Halocode 與人工智慧、物......more
",https://www.books.com.tw/products/0010864353?loc=P_0003_025
26,基本電學實驗 最新版 附贈MOSME行動學習一點通,"謝進發,鄭榮貴,鄭錦鈞",2020-07-02,"
一、各章節首安排內容簡介、本章節次及學習目標，提供學生課前掌握學習重點。   二、全書採用數百幅精緻全彩圖片，說明相關原理，讓學生可以簡易學習艱澀理論。   三、豐富彩圖的完美呈現，結合了照相和繪...more
",https://www.books.com.tw/products/0010863799?loc=P_0003_026
27,〔2021統測機械群搶分關鍵〕機械力學[歷年試題+模擬考,"杜主,湯齊",2020-06-30,"
本書因應最新課程綱要標準，蒐集歷屆升科大四技之重要考題，網羅各類考試之相關考題及各版本教科書之重點精華，規劃全方位試題之總複習題庫，有系統的整理編排，讓考生藉由題庫的練習，能迅速有效地掌握重...more
",https://www.books.com.tw/products/0010862792?loc=P_0003_027
28,[2021收錄最新試題及解析]電工機械完全攻略[升科大四技],鄭祥瑞,2020-06-30,"
本書之編著是本著能幫助讀者達成事半功倍的成效，以最省的時間來建立完整的電工械備考知識與解題能力，必能有助讀者強化升科大統測有關電工機械諸項大考之得分上榜實力。本書分成11章強化研習，每章必有圖...more
",https://www.books.com.tw/products/0010862801?loc=P_0003_028
29,最新電工實習 最新版 附贈MOSME行動學習一點通,"謝進發,鄭榮貴,鄭錦鈞",2020-06-20,"
一、各章節首安排內容簡介、本章節次及學習目標，提供學生課前掌握學習重點。   二、全書採用數百幅精緻全彩圖片，說明相關原理，讓學生可以簡易學習艱澀理論。   三、全書更採用彩圖的完美呈現，結合了照...more
",https://www.books.com.tw/products/0010863800?loc=P_0003_029
30,中古車查定實務,"林季達,盧聖心,郭俊昇,高志渟",2019-12-02,"
本書的編輯主旨在針對近年來國內中古汽車交易日益頻繁，買賣從業人員為數甚多，中古汽車的交易涉及買賣、服務、汽車技術等多種行業別，加上現代汽車配備許多新式裝置，採用電子控制單元，相較於以往，必須...more
",https://www.books.com.tw/products/0010851623?loc=P_0003_030
31,升科大四技機械群專業二淡定高分王含解析(機械製造‧機械基礎實習‧製圖實習)行動學習版(第五版)適用至2021年統測 附贈MOSME行動學習一點通,"李禾,林欣,林英明",2019-10-31,"
1.重點整理：採條列式、有系統的整理出重點。   2.歷屆試題：蒐集10年考題並分配於各章節，穩穩抓住命題趨勢。   3.小試身手：每段重點後規劃小試身手作為立即評量，立即回饋加深印象。   4.整合型必考題...more
",https://www.books.com.tw/products/0010839650?loc=P_0003_031
32,升科大四技機械群機械製造含機械基礎實習淡定高分王含解析 行動學習版(第八版)適用至2021年統測 附贈MOSME行動學習一點通,"林欣,林英明,高賦沅",2019-10-31,"
1.重點整理：採條列式、有系統的整理出重點。   2.公式篇：針對各章之公式集結成篇，方便同學考前作衝刺。   3.歷屆試題彙整：依據歷屆試題趨勢，點出各章節攻讀重點。   4.小試身手：每段重點後規劃小試...more
",https://www.books.com.tw/products/0010839654?loc=P_0003_032
33,升科大四技機械群機械力學升學寶典含解析 行動學習版(第八版)適用至2021年統測 附贈MOSME行動學習一點通,"戴麒,林家瑋,盧浩賢",2019-10-31,"
本書特色   1.考前衝刺：歸納各章命題重點置於本書目錄之前，使同學於閱讀後或考試前30分鐘，再次瀏覽一遍重點，增加考試信心   2.重點整理：各章節內容去蕪存菁，將重要精華作有系統的歸納整理及解說，使...more
",https://www.books.com.tw/products/0010839631?loc=P_0003_033
34,升科大四技機械群機械力學領先講義含解析本 行動學習版(第五版)適用至2021年統測 附贈MOSME行動學習一點通,"孫明華,賴育材",2019-10-30,"
1.條列整理：依照課綱順序編寫，清楚分明   2.內容詳細：有關公式及重要主題均詳細推導，建立完整觀念   3.立即練習：每一單元均有「立即練習」，提供即時測驗   4.綜合評量：每章均附完整練習題目，分成...more
",https://www.books.com.tw/products/0010839642?loc=P_0003_034
35,升科大四技電機與電子群電機類電工機械升學寶典含解析 行動學習版(第八版)適用至2021年統測 附贈MOSME行動學習一點通,黃銘,2019-10-30,"
1.本書配合升學考試中之電工機械，分為四大篇共19章。每章均圖意清晰、條理分明、易懂易記。   2.重點整理：內容去蕪存菁，將精華作有系統的歸納整理及解說，能有效掌握正確的觀念及重點所在。   3.精選範...more
",https://www.books.com.tw/products/0010839632?loc=P_0003_035
36,升科大四技電機與電子群電子學含實習跨越講義含解析 行動學習版(第八版)適用至2021年統測 附贈MOSME行動學習一點通,"林孟郁,邱佳椿",2019-10-30,"
◎依新課綱編寫，適用電機與電子類群同學準備科大四技升學考試用書。   ◎統整條列各課程單元重點內容，能使學生迅速有效掌握基本觀念與原理。   ◎精心蒐集近期歷屆升科大四技試題，深入分析題型與解說，並...more
",https://www.books.com.tw/products/0010839636?loc=P_0003_036
37,升科大四技機械群機械基礎實習淡定高分王含解析 行動學習版(第七版)適用至2021年統測 附贈MOSME行動學習一點通,江元壽,2019-10-30,"
命題趨勢：依據歷屆考題趨勢，點出各章節攻讀重點。   重點整理：將各章節內容重要精華，作有系統的歸納及解說。   歷屆考題：收錄近十年統測試題，瞭解歷屆考題及命題趨勢。   綜合練習：以章為單位進行...more
",https://www.books.com.tw/products/0010839646?loc=P_0003_037
