,書名,作者,出版日期,內容介紹,網址
1,國中生子彈筆記考試法(附「超實用會考題目詳細解析」別冊)：學霸校長教你只要100天，讓各科滿分的K書技巧!,謝龍卿,2020-10-29,"
★他創下全台灣最年輕當上校長的紀錄 ★教你30分鐘學會「會考」高分攻略法   ★學霸校長就是會考試，看看他優異的經歷   ‧雄中、清大和師大的學霸   ‧考彰化師大教育研究所博士班，第一名錄取，第一名成績畢...more
",https://www.books.com.tw/products/0010873492?loc=P_0002_001
2,醫師教你輕鬆考第一：于氏讀書法,于翔宇,2020-10-14,"
你還在畫重點、背口訣，學那些無效的讀書法嗎? 趕快丟掉缺乏效率的學習方法 跟著台灣專科醫師考試第1名的于翔宇醫師輕鬆考第一!   不用練習 不做筆記 不要強記   讓你看得懂、記得住、念得完，輕鬆拿高分!...more
",https://www.books.com.tw/products/0010872958?loc=P_0002_002
3,考典選擇題實戰(上榜考生、補教名師好評推薦),陳膺宇,2020-08-28,"
★書不用全看懂，專注「找碴」，任何考題迎刃而解! ★不要拼命複習，剔除已經會的，精準抓到痛處! ★掌握考試技巧，測驗題考試30天完美勝出!   初考、地方特考五等、鐵路特考佐級、中華郵政(郵局)內外勤、捷...more
",https://www.books.com.tw/products/0010869234?loc=P_0002_003
4,東大學霸沒告訴你的K書密技：史上最強應試技巧全解析!,,2020-08-26,"
高中生必看!! 8名東大學霸教你97種K書方法!! 喜歡用哪種方法任君挑選， 課業成績一定會進步很多喔!   世上的人形形色色。擅長背誦的人、擅長計算的人。能夠持續做著相同作業的人、機伶的人。能夠長時間細...more
",https://www.books.com.tw/products/0010867846?loc=P_0002_004
5,法科不用背：不必死命背，一樣有好成績!一書加三小時雲端課程，超值優惠組,蘇奕,2020-08-08,"
想要報考初五等、地方特考、司法特考、國民營事業、證照考試的考生請注意，   若你準備法科考試有以下症頭：    看不懂、背不完、背了寫不出來   你需要蘇奕老師的《法科不用背》   革命性龍捲風式讀書法...more
",https://www.books.com.tw/products/0010867031?loc=P_0002_005
6,拆解考試的技術：輕鬆高分錄取的黃金學習頻率、讀書筆記技巧,趙胤丞,2020-08-06,"
***幫助你不再害怕考試，打破念不好書的迷思，協助你高效率準備考試，讓你有時間準備考試，順利通過重要考試! ***利用考試，幫助你從業餘到專業，讓你的職涯由你主導，斜槓或晉升都游刃有餘! ***暢銷書《...more
",https://www.books.com.tw/products/0010865450?loc=P_0002_006
7,心智圖法理論與應用(修訂版),孫易新,2020-08-01,"
最適合全球華人使用的心智圖法專書 要成為學習高手、工作達人，就靠心智圖法! ★哈佛與劍橋大學師生、日本管理大師神田昌典、經濟評論家勝間和代強力推薦的思考利器 ★新加坡、韓國、台灣、大陸納入學校教學...more
",https://www.books.com.tw/products/0010863267?loc=P_0002_007
8,記得住，就能翻轉人生：世界盃臺灣記憶教練教你高效記憶。(獨創結合速讀/心智圖/記憶術的331學習法，與記憶教練一起翻轉人生),王聖凱,2020-06-12,"
記憶力不好，過目即忘， 是因為沒有用對方法，將購買銀杏的錢省下吧! 只要跟著本書鍛練腦力， 不管是考場還是職場，都能讓你告別金魚腦。    世界記憶大師東尼‧博贊直屬弟子王聖凱，曾擔任世界腦力錦標賽...more
",https://www.books.com.tw/products/0010861405?loc=P_0002_008
9,國考入門必讀 必勝保證組合包,"王永彰,開心公主,黃柏",2020-05-26,"
*國考YouTuber&零基礎最強素人──連袂出擊   *榮登博客來、金石堂暢銷排行榜   *長年輔導考生上榜，考取率爆表    ◎無差別國考榜單狙擊   國考沒有本科生、非本科生的差別，只有「考上」和「沒考上」的差別...more
",https://www.books.com.tw/products/0010860516?loc=P_0002_009
10,早知道就這樣準備國考：P律師從落榜到上榜的考取秘訣(一品),P律師,2020-05-20,"
給正在考海中浮沉的國考考生   唸這本!做您國考路上的一盞明燈   給徘徊法律學涯中猶疑不決的學生   讀這本，立即重新振作!  好評推薦    賴英照老師×吳俊達律師×董謙老師    P律師以過來人的親身經驗，透...more
",https://www.books.com.tw/products/0010859606?loc=P_0002_010
