,書名,作者,出版日期,內容介紹,網址
1,2021一次考上地政士專業證照(專業科目+國文)：逐條釋義!(地政士),,2020-09-30,"
「專業的你，取得證照一定需要這本!」    ◎主題分類架構知識體系，掌握學習方向   本書依主題式條列編寫，並逐條解析條文，標示必背重點，以口語方式說明條文規定，幫助迅速理解條文結構與邏輯。各條文之...more
",https://www.books.com.tw/products/0010874228?loc=P_0003_001
2,地政新法+全新解題：2021全新改版!地政士(專業科目四合一)─強登速成總整理,強登,2020-09-15,"
★2021全新改版!全系列均由強登老師鉅細靡遺、親自將全書課文/解析內容修訂至「對應最新修法」，再搭配「超棒的重點整理及立即的考題練習」，讓讀者們上了考場能自信下筆，寫出讓閱卷老師眼睛一亮、大方給...more
",https://www.books.com.tw/products/0010670713?loc=P_0003_002
3,頻出條文+試題例：2021地政士實戰小法典(專業科目四合一),強登,2020-09-15,"
★100%考試導向→將試題融入法條→邊看邊寫記憶效果最佳!★   ★上榜必須讀好書★   【工欲善其事，必先利其器】；【考試要上榜，讀本選最強】，這是每位考生的共識。而且大家都知道：【讀了最好的書之後，輕鬆...more
",https://www.books.com.tw/products/0010801831?loc=P_0003_003
4,地政新法+全新解題：2021全新改版!地政士歷屆題庫完全攻略【專業科目四合一+國文】,強登,2020-09-15,"
★2021全新改版!本版四大專業科目均經歷「大幅修法」，看強登老師鉅細靡遺、將全書解析修訂至「對應最新修法」，再搭配從20年以上教學經驗淬煉出的「超強申論題答題秘訣」→每題多拿2-3分，每科多拿8-10分→...more
",https://www.books.com.tw/products/0010578305?loc=P_0003_004
5,不動產稅法VS.節稅實務(四版),黃志偉,2020-09-01,"
本書分土地增值稅、地價稅、田賦、契稅、房屋稅、遺產稅、贈與稅、稅捐稽徵法、不動產奢侈稅、工程受益費等十種稅法，以判決案例解析方式，並佐以合法節稅相關實務要領，協助讀者對稅法能一目了然、融會貫...more
",https://www.books.com.tw/products/0010871692?loc=P_0003_005
6,地政新法+全新解題─2021全新改版!地政士「強登金榜寶典」土地稅法規,強登,2020-08-31,"
★2021全新改版!全系列均由強登老師鉅細靡遺、親自將全書課文/解析內容修訂至「對應最新修法」，再搭配「超棒的重點整理及立即的考題練習」，讓讀者們上了考場能自信下筆，寫出讓閱卷老師眼睛一亮、大方給...more
",https://www.books.com.tw/products/0010659095?loc=P_0003_006
7,地政新法+全新解題─2021全新改版!地政士「強登金榜寶典」土地法規,強登,2020-08-31,"
★2021全新改版!全系列均由強登老師鉅細靡遺、親自將全書課文/解析內容修訂至「對應最新修法」，再搭配「超棒的重點整理及立即的考題練習」，讓讀者們上了考場能自信下筆，寫出讓閱卷老師眼睛一亮、大方給...more
",https://www.books.com.tw/products/0010659097?loc=P_0003_007
8,地政新法+全新解題─2021全新改版!地政士「強登金榜寶典」民法概要與信託法概要,強登,2020-08-31,"
★2021全新改版!全系列均由強登老師鉅細靡遺、親自將全書課文/解析內容修訂至「對應最新修法」，再搭配「超棒的重點整理及立即的考題練習」，讓讀者們上了考場能自信下筆，寫出讓閱卷老師眼睛一亮、大方給...more
",https://www.books.com.tw/products/0010659098?loc=P_0003_008
9,4 power 土地登記(地政士、高普考、三、四等特考考試適用),林育智,2020-08-31,"
本書特色   1.閱讀捷徑：即時提點，導引閱讀，一方面「方便預習」，另一方面「掌握學習」，俾建立優勢力。   2.得分之鑰：剖析焦點，透析意涵，一方面「幫助記憶」，另一方面「揣摩答技」，俾提升應試力。...more
",https://www.books.com.tw/products/0010871326?loc=P_0003_009
10,土地登記(概要)(地政士考試考試適用),薛文,2020-08-31,"
★厚植實力   概念內涵條理分明，輔以觀念體系建立架構，一舉掌握考點脈絡。   ★專題研討   重點章節精選主題式專題研討，深入建構體系概念，厚實答題之技巧與深度。   ★精湛解析   收錄至109年歷屆試題詳...more
",https://www.books.com.tw/products/0010871331?loc=P_0003_010
11,4 power 土地登記(高普考、地政士、三、四等特考考試適用),林育智,2020-08-31,"
本書特色   1.閱讀捷徑：即時提點，導引閱讀，一方面「方便預習」，另一方面「掌握學習」，俾建立優勢力。   2.得分之鑰：剖析焦點，透析意涵，一方面「幫助記憶」，另一方面「揣摩答技」，俾提升應試力。...more
",https://www.books.com.tw/products/0010871340?loc=P_0003_011
12,地政新法+全新解題─2021全新改版!地政士「強登金榜寶典」土地登記實務,強登,2020-08-31,"
★2021全新改版!全系列均由強登老師鉅細靡遺、親自將全書課文/解析內容修訂至「對應最新修法」，再搭配「超棒的重點整理及立即的考題練習」，讓讀者們上了考場能自信下筆，寫出讓閱卷老師眼睛一亮、大方給...more
",https://www.books.com.tw/products/0010659094?loc=P_0003_012
13,地政新法+全新解題─2021全新改版!地政士「強登金榜寶典」套書,強登,2020-08-31,"
★2021全新改版!全系列均由強登老師鉅細靡遺、親自將全書課文/解析內容修訂至「對應最新修法」，再搭配「超棒的重點整理及立即的考題練習」，讓讀者們上了考場能自信下筆，寫出讓閱卷老師眼睛一亮、大方給...more
",https://www.books.com.tw/products/0010659100?loc=P_0003_013
14,3D圖解不動產估價概要,謝志昌,2020-08-27,"
本書特色   準備考試及授課的過程中，深刻體會的是：「記憶力這回事，就像地心引力一樣，不管老年人、中年人或年輕人都無法對抗。」於是作者開始思考要如何減少需要記憶的數量以及如何增加反覆記憶的次數...more
",https://www.books.com.tw/products/0010869256?loc=P_0003_014
15,土地法規,許文昌,2020-08-24,"
本書乃許文昌博士憑藉豐富之教學經驗，針對地政士的需要，彙整出一本最詳實完整的參考用書，內容以表解方式呈現，輔以精選試題，掌握重點及命題趨勢。   本書依據最新修正公布之「地政士法」、「土地徵收...more
",https://www.books.com.tw/products/0010285744?loc=P_0003_015
16,土地登記實務,許文昌,2020-08-24,"
作者憑藉豐富之教學經驗，針對地政士的需要，彙整出一本最詳實完整的參考用書，內容以表解方式呈現，輔以精選試題，掌握重點及命題趨勢。書末並收錄109~104年歷屆試題，提供考生演練。 本書特色   一、表...more
",https://www.books.com.tw/products/0010231127?loc=P_0003_016
