,書名,作者,出版日期,內容介紹,網址
1,這是一本法學英文選擇題,洸曦,2020-10-15,"
本書特色    本書分為四個章節，從法學英文歷屆試題考題科目占比、字首字尾變化規則、分科單字、分科歷屆試題及完整翻譯詳解、完整歷屆試題到單字總表及參考用附件，都是為了讓讀者能夠在法學英文這項科目...more
",https://www.books.com.tw/products/0010874187?loc=P_0003_001
2,就是這本刑法總則體系+解題書(六版),"周易,法夫子",2020-10-15,"
為什麼要買這本?作者告訴你    【體系層次分明】   詳細介紹犯罪審查體系，搭配大量圖表說明，幫讀者完整打底。    【見解介紹完整】   大量收錄近年重要的實務和新近學說見解，考試資訊不漏接。    【作...more
",https://www.books.com.tw/products/0010874190?loc=P_0003_002
3,這是一本證券交易法解題書,希言,2020-10-01,"
為什麼要買這本?作者告訴你   一、本書收錄至少上百題的考題，從基礎的申論題一路到近期的研究所與律師、司法官國家考試綜合實例題型，囊括了證券交易法所有重要爭點相關考題。   二、本書的另外一個特色...more
",https://www.books.com.tw/products/0010872055?loc=P_0003_003
4,呂晟老師開講：行政法(上) 律師.司法官.國考各類科(保成),呂晟,2020-09-22,"
《老師開講 行政法(上)》   行政法又龐大又抽象，光是蒐羅文獻頭就暈了，更何況還要理解和論述運用!怎麼辦?   這時，詳細蒐羅整理行政法大量學說、實務見解等文獻資料，並置入在各章節適當之處的《老師開...more
",https://www.books.com.tw/products/0010873443?loc=P_0003_004
5,票據法解題書,林律師,2020-09-21,"
本書主要蒐羅近20年司法官、法研所、高考法制、民間公證人、調查局票據法之重要實例題型，內容分為四大部分，分別是緒論、總論、本票各論、支票各論，編排上係以較實質意義之票據法體系排列，使讀者從基本...more
",https://www.books.com.tw/products/0010746146?loc=P_0003_005
6,就是這本智慧財產法體系+解題書(2版),"張律師,韋憲",2020-09-21,"
為什麼要買這本?作者告訴你   本書建構專利法、著作權法及商標法體系之初衷，以法條架構為綱要，並充實學說理論及實務見解，並且輔以經典試題的解析，希望此書能不只對讀者準備考試有些許的幫助。也能建立...more
",https://www.books.com.tw/products/0010872060?loc=P_0003_006
7,老師開講-民事訴訟法(上)-2021律師.司法官.各類考試(保成),"宋定翔,王俊翔",2020-09-15,"
《老師開講-民事訴訟法(上)》   戰場有攻防，考場如戰場；以筆為劍，以書為盾   讀策習寫、擊守之間，你已贏下與閱卷老師的戰鬥——   「『如果我是考生，我需要怎樣的資訊整理?』我在撰寫本書的過程中，不...more
",https://www.books.com.tw/products/0010870999?loc=P_0003_007
8,名揚老師開講 國際公法-Minsanity-國考各類科適用(保成)(10版),名揚,2020-09-15,"
《老師開講 國際公法》   國際公法的內容浩瀚無窮，每次要準備這科，頭就暈了!怎麼辦?   這時，由名揚老師絞盡腦汁、思考如何用最短篇幅，盡可能含括最重要基本觀念的《老師開講國際公法》就是助您短期內...more
",https://www.books.com.tw/products/0010870991?loc=P_0003_008
9,民事訴訟法快易通,李後政,2020-09-15,"
這本「快、易、通」，是讓你「很快理解，容易閱讀，融會貫通」的好書!能讓你讀通民事訴訟法，更能讓你全面貫通民法!坊間民事訴訟法教科書早就汗牛充棟了，著者為什麼還要寫這本《民事訴訟法快易通》?    ...more
",https://www.books.com.tw/products/0010870329?loc=P_0003_009
10,這是一本商事法解題書(2版),"果核,果殼",2020-09-10,"
為什麼要買這本?作者告訴你   果殼負責公司法、證券交易法篇章之主要撰寫，果核負責保險法篇章之主要撰寫，然後互相就各題有爭議之處、撰寫架構上討論，點出另一種思維，並呈現給讀者更寬廣的思考。法律的...more
",https://www.books.com.tw/products/0010870744?loc=P_0003_010
