,書名,作者,出版日期,內容介紹,網址
1,[2021收錄104~109年試題解析]消防設備士歷年試題四合一超級詳解,,2020-09-15,"
§消防設備士準備要領    關於設備師/士考試，可說是筆者歷經各種高考專技技師考試之中最難準備者。事實上，就各種技師或特考題目言，其準備方向皆有邏輯可循，要強硬記憶的部分不多；唯獨，消防人員的考題...more
",https://www.books.com.tw/products/0010869913?loc=P_0003_001
2,火災學系統整理(含歷年試題精析)[110年普考消防技術/警察特考/警二技/消佐班][贈送線上測驗系統](15版),夏鵬翔,2020-09-10,"
為了提供關於本科目最正確、最有效率的準備方向，增強自己的應試實力及考試信心。獨家提供「拆字記憶法」，化繁為簡，記不起來不再是令人十分頭痛的問題。「解題技巧」則提供計算題的關鍵要領，使你可以在...more
",https://www.books.com.tw/products/0010869191?loc=P_0003_002
3,火災學(含概要)[2021消防設備士/消防設備師/普考消防技術][獨家贈送學習診斷系統],夏鵬翔,2020-09-05,"
本書的編寫宗旨在於提供本科目最正確、最有效率的準備方向，增強應試實力及考試信心。獨家提供「拆字記憶法」，化繁為簡，記不起來不再是頭痛的問題。「解題技巧」則提供計算題的關鍵要領，在短時間內把答...more
",https://www.books.com.tw/products/0010868835?loc=P_0003_003
4,保安監督人初訓教材,吳武泰,2020-07-07,"
本書參照最新的法規編撰，內容可分為消防常識、火災預防、自衛消防編組、危險物品安全管理法規介紹、危險物品儲運安全基準、場所施工安全基準等章節，並整理相關企劃書供參考，書末更提供自我評量及題庫讓...more
",https://www.books.com.tw/products/0010864240?loc=P_0003_004
5,水與化學系統消防安全設備總整理(5版),"林坤層,林文興",2020-04-14,"
本書之編撰係以大專以上，消防學系大學二、三年級「消防安全設備」科目，教學用書方式編寫。以消防水力學、電工原理、結構力學為理論基礎，各種消防安全設備之構造、動作原理、系統組成與昇位圖、各項檢修...more
",https://www.books.com.tw/products/0010855890?loc=P_0003_005
6,消防安全工程設計(4版),"吳玉祥,呂憶婷,高士峯",2020-04-10,"
◎每篇章節皆有自我評量供讀者檢驗知識 ◎本書有大量圖表，整理過後讓讀者更易吸收 ◎難度高的內容附有註解，讓讀者閱讀時可發揮最佳學習效果 ◎除可作為相關科系上課參考用書，亦適合國家專技考試的準備   本...more
",https://www.books.com.tw/products/0010855272?loc=P_0003_006
7,消防設備師/士證照 全科目套書,"陳達,黃再枝",2020-04-01,"
年滿20歲，專科以上畢業即可報考! 自行創業，年薪上看百萬元以上!    「警報系統消防安全設備設計」   考生在準備警報系統消防安全與設備設計本科目時，往往因各種相關法規與電學理論繁雜而感到手足無措。...more
",https://www.books.com.tw/products/0010854629?loc=P_0003_007
8,消防法規,"潘日南,高賢松",2020-03-16,"
本書之編寫，旨在提供研讀消防法規之入門以輔助讀者準備考試為宗旨，故蒐集各項考題，而目前國家考試，亦以四大法系-消防法、災防法、危險物品及緊急醫療救護為主軸，如能掌握立法意旨，逐條研讀，融會貫...more
",https://www.books.com.tw/products/0010853465?loc=P_0003_008
9,2020年警報與避難系統消防安全設備概要(消防設備士適用),陸維良,2020-02-18,"
【適用對象】   這本《警報與避難系統消防安全設備概要》適用於報考專門職業及技術人員高等暨普通考試消防設備人員考試「消防設備士類科」的考生。   【考試簡介】   消防設備人員考試為中華民國每年固定...more
",https://www.books.com.tw/products/0010850187?loc=P_0003_009
10,火災與爆炸工學,林文興,2020-02-17,"
本書內容適用於消防科系之火災學教科用書，也可以幫助非消防科系考生準備參加各項消防領域的考試。   本書共分九章，第一章至第六章內容，主要是有系統之探討燃燒與火災之學理及觀念，舉凡燃燒與火災現象...more
",https://www.books.com.tw/products/0010850839?loc=P_0003_010
11,2020年消防法規概要(消防設備士適用),廖震,2020-02-10,"
【本書適用】   這本《消防法規概要》適用於報考專門職業及技術人員高等暨普通考試消防設備人員考試「消防設備士類科」的考生   【考試簡介】   消防設備人員考試為中華民國每年固定辦理的專門職業及技術...more
",https://www.books.com.tw/products/0010850192?loc=P_0003_011
12,消防法規精修(上冊),黃再枝,2020-02-10,"
近年公共安全問題倍受重視，消防議題已成不容輕忽的一環!消防法規被視為消防工作的根本原則，是消防各類考科的必考科目，本書除促使深入瞭解業務範圍和核心能力之外，更統籌各大考試最新命題大綱，力求理...more
",https://www.books.com.tw/products/0010851057?loc=P_0003_012
13,消防法規精修(下冊),黃再枝,2020-02-10,"
近年公共安全問題倍受重視，消防議題已成不容輕忽的一環!消防法規被視為消防工作的根本原則，是消防各類考科的必考科目，本書除促使深入瞭解業務範圍和核心能力之外，更統籌各大考試最新命題大綱，力求理...more
",https://www.books.com.tw/products/0010851060?loc=P_0003_013
14,2020市面上內容最齊全的消防工具書 各類場所消防安全設備設置標準釋義(含歷年函示及公告)[消防設備師(士)/消防警察人員/消防業界從業人員],黃培誠,2020-01-30,"
Get it now!!   各類場所消防安全設備設置標準，一本就能搞定>>>   @依最新版設置標準並於各條文中內嵌歷年解釋函令   @消防設備師(士)、消防警察人員、消防業界從業人員必備實務   @圖說皆依標準圖例繪製...more
",https://www.books.com.tw/products/0010848841?loc=P_0003_014
15,圖解消防安全設備認可基準與測試方法暨判定要領,盧守謙,2020-01-28,"
對於國內消防安全設備而言，能透澈了解除熟稔四大系統外，也需了解設備檢修作業基準、認可基準及測試報告書。因此，本書即針對後二者為主題，於編輯上分為五篇，於第一篇列出各國消防機具器材與設備之認可...more
",https://www.books.com.tw/products/0010847244?loc=P_0003_015
16,圖解消防安全設備設置標準(3版),盧守謙,2020-01-28,"
1. 分類引導 輕鬆入門   本書分6章，以條文序列編排，並依法規名稱分總則、消防設計、消防安全設備、公共危險物品等場所消防設計及消防安全設備、附則之條文作圖解，最後將上揭之消防設備師(士)國家考題作...more
",https://www.books.com.tw/products/0010847240?loc=P_0003_016
17,圖解避難系統消防安全設備,盧守謙,2020-01-28,"
從事消防教育工作者，無不思索如何以個別單元或彼此整合單元，使資料具體呈現圖解空間有機形態，以讓學生或讀者更有興趣來探究發掘。欲透澈消防安全設備需熟稔四大系統，也需瞭解設備檢修作業基準、認可基...more
",https://www.books.com.tw/products/0010847245?loc=P_0003_017
18,水系統與化學系統消防安全設備(增修版),陳達,2019-12-31,"
消防隊員深入火場，火災類型眾多，因此更應該深入了解各種相對應的滅火方式。由大東海專業公職國考名師團隊陳達，將各種冗長又繁雜的內容，系統化將所有重點全收錄；並且設立「重點大綱」讓考生方便領略各...more
",https://www.books.com.tw/products/0010613165?loc=P_0003_018
