,書名,作者,出版日期,內容介紹,網址
1,保健食品初級工程師_套書：專業級食品教材，快速catch考試重點,名師作者群,2020-10-05,"
●[2020收錄最新試題及解析]保健食品概論1實務篇 [保健食品初級工程師]  本書特色    1.主題系統化彙整，100%掌握命題趨勢   本書依據考古題類型作主題式編排，均為必考內容，便於讀者準備考試。    2.頻出...more
",https://www.books.com.tw/products/0010873271?loc=P_0003_001
2,2021食品科學概論-保健食品初級工程師：食品科技博士精編，主題系統化彙整,"李明怡,黃馬克",2020-09-30,"
本書緣起   保健食品初級研發人員為經濟部工業局主辦，由財團法人工業技術研究院及食品工業發展研究所進行統籌執行，民間單位由台灣保健食品學會協助辦理，為官方與公、協會共同策劃國內第一張具高度專業...more
",https://www.books.com.tw/products/0010870738?loc=P_0003_002
3,【最新官方試題收錄/詳解】食品品保初級工程師能力鑑定教材：食品品保概論(全新增修訂八版),"郭南,黃賢齊",2020-09-04,"
★增修訂第八版全新發行★   考生注意!準備食品品保初級工程師考試，備考用書當然指名「黃賢齊」老師專業教材。自第1屆考試起即時時緊盯命題方向與最新修法，四大優勢帶您一窺品保工程師考試的全貌：   1. ...more
",https://www.books.com.tw/products/0010759194?loc=P_0003_003
4,【最新官方試題收錄/詳解】食品品保初級工程師能力鑑定教材：食品科學概論(全新增修訂八版),"郭南,黃賢齊",2020-09-04,"
★增修訂第八版全新發行★   考生注意!準備食品品保初級工程師考試，備考用書當然指名「黃賢齊」老師專業教材。自第1屆考試起即時時緊盯命題方向與最新修法，四大優勢帶您一窺品保工程師考試的全貌：   1. ...more
",https://www.books.com.tw/products/0010759195?loc=P_0003_004
5,【最新官方試題收錄/詳解】食品品保初級工程師能力鑑定教材套書(全新增修訂八版),"郭南,黃賢齊",2020-09-04,"
★增修訂第八版全新發行★   考生注意!準備食品品保初級工程師考試，備考用書當然指名「黃賢齊」老師專業教材。自第1屆考試起即時時緊盯命題方向與最新修法，四大優勢帶您一窺品保工程師考試的全貌：   1. ...more
",https://www.books.com.tw/products/0010869958?loc=P_0003_005
6,生物統計學(高普考、地方特考、各類特考、研究所考試適用),王瑋,2020-06-12,"
「生物統計學」的必勝工具    本書完全針對「生物統計學」各類考試，期望不需要給讀者太多繁複的公式推導證明、也不需要太多的定理說明，藉由簡單的解釋與考題範例，就足以輕鬆應付國家考試的生物統計學試...more
",https://www.books.com.tw/products/0010862057?loc=P_0003_006
7,流行病學(高普考試、地方特考、各類相關考試適用),王瑋,2020-06-10,"
「流行病學」的必勝工具    ☆不需繁瑣理論推導，輕鬆打下流行病學基礎   每章節特別企劃「焦點摘要」單元，立即掌握單元重點，學習效率快狠準。    ☆網羅所有國家考試試題，徹底掌握命題焦點   收錄歷年代...more
",https://www.books.com.tw/products/0010862062?loc=P_0003_007
8,2020收錄最新試題及解析 保健食品概論1實務篇 [保健食品初級工程師],"李明怡,黃馬克",2020-05-30,"
◎依主題系統化彙整重要考題，立即掌握考試趨勢 ◎獨家!頻出度&重要度分析，學習效果加倍 ◎收錄最新考題，解析詳盡，輕鬆破解   1. 主題系統化彙整，100%掌握命題趨勢   本書依據考古題類型作主題式編排，均...more
",https://www.books.com.tw/products/0010858250?loc=P_0003_008
9,2020年保健食品概論(保健食品初級工程師適用),王鳳英,2020-04-01,"
【適用對象】   這本《保健食品概論》適用於保健食品初級工程師能力鑑定考試。   【考試介紹】   保健食品工程師能力鑑定係為因應保健產業發展趨勢與人才需要，由經濟部工業局委託工研院結合食品工業發展...more
",https://www.books.com.tw/products/0010854025?loc=P_0003_009
10,最新六合一食品技師歷屆綜合題庫完全解析(食品技師考試適用),"常瑛,阮籍,陳杰",2020-02-29,"
食品技師的必勝工具   ★按考試科目分六章主題，掌握歷屆各科考題   含食品衛生安全與法規、食品加工學、食品分析與檢驗、食品微生物學、食品工廠管理、食品化學，105~108年第一次食品技師考試試題及相關擬...more
",https://www.books.com.tw/products/0010853072?loc=P_0003_010
11,2020公職食品技師榜首編寫 食品技師30天一次攻榜：榜首不傳秘笈大公開[專技高考],黃子寧,2020-02-28,"
◎獨家分析近十年考題趨勢! ◎精編必考150焦點試題，穩拿基本分數! ◎特別企劃「考前30分鐘重點整理」，絕對必讀!   103年第一屆公職食品技師榜首：黃子寧老師 最強力作   按照書中的「讀書計畫表」按部就班...more
",https://www.books.com.tw/products/0010849973?loc=P_0003_011
12,保健食品初級工程師教材：食品科學概論(全新增修訂十一版),"郭南,黃賢齊",2020-01-31,"
★2020全新第十一版 行動學習QR Code導入：線上觀看早年試題與精采解析，作者臉書粉絲團，考試疑難雜症Q&A快速解答。★   因應食安問題及滿足消費者知的權益，衛福部加快修法，本版亦進行全文修訂，增加新法...more
",https://www.books.com.tw/products/0010848277?loc=P_0003_012
13,保健食品初級工程師教材套書(全新增修訂十一版),"郭南,黃賢齊",2020-01-31,"
本商品係保健食品初級工程師專用套書，套書由以下商品組成：   1. 保健食品初級工程師教材：保健食品概論；   2. 保健食品初級工程師教材：食品科學概論。   ★2020全新第十一版 行動學習QR Code導入：線上...more
",https://www.books.com.tw/products/0010829429?loc=P_0003_013
14,保健食品初級工程師教材：保健食品概論(全新增修訂十一版),"郭南,黃賢齊",2020-01-31,"
★2020全新第十一版 行動學習QR Code導入：線上觀看早年試題與精采解析，作者臉書粉絲團，考試疑難雜症Q&A快速解答。★   因應食安問題及滿足消費者知的權益，衛福部加快修法，本版亦進行全文修訂，增加新法...more
",https://www.books.com.tw/products/0010848273?loc=P_0003_014
15,食品營養證照名師黃賢齊親編：營養師歷屆題庫解析(專業科目六合一),黃賢齊,2019-09-26,"
★全新營養師專業科目100%解析!由食品營養證照補教界超高人氣之「頂盛易學網」頂尖名師「黃賢齊」親授破題思惟/解題技巧。收錄近期三屆營養師考試之六大專業科目試題，100%題題解析。讀者可於考前透過解題...more
",https://www.books.com.tw/products/0010835398?loc=P_0003_015
