,書名,作者,出版日期,內容介紹,網址
1,社會工作小辭典(隨身版)(三版),陳思緯,2020-10-23,"
【隨身讀小辭典】不答非所問、不雞同鴨講   *英文索引方便讀者中英文對照查找!   *看不懂專有名詞，勢必與金榜無緣!   完整收錄社會工作的名詞。   一眼看懂題目的意涵，不會答非所問。   527個詞條，讓你...more
",https://www.books.com.tw/products/0010873905?loc=P_0003_001
2,社會政策與社會立法,龍昇,2020-09-03,"
本書係針對社會工作師「社會政策與社會立法」之命題大綱全新整編；有關近年對社會福利政策的推動，包含：全民健康保險法、身心障礙者權益保障法、性別工作平等法、國民年金法、兒童及少年福利與權利保障法...more
",https://www.books.com.tw/products/0010259355?loc=P_0003_002
3,社會工作(含概要) 搶分題庫(九版),陳思緯,2020-08-28,"
一次OK!!! 錄取錄達14.7% 趕快來考喲!   不必通勤跑補習班浪費你的時間，考用名師幫大家把歷屆試題按章節及重要度有系統性的整理好了!陳老師細心地於各申論題逐題提示解題方向，同時亦延伸提醒考生應該注...more
",https://www.books.com.tw/products/0010867954?loc=P_0003_003
4,社政法典：2021社工師.社會行政類科.公幼教保員(一品)(13版),張庭,2020-08-26,"
適用對象   適用準備公職社工師、高普考等社會行政類科相關考試的考生及實務工作者。   使用功效   編排體例.詳盡完整   □立法沿革：揭示立法時程   □星號標示：引導重要條文   □條文要旨：洞悉立法要義  ...more
",https://www.books.com.tw/products/0010869604?loc=P_0003_004
5,社會政策與社會立法(含社會福利服務)(高普考‧社工師‧三、四等特考‧社福特考‧身心障礙特考‧原住民特考‧退除役特考‧升等考考試適用),張庭,2020-07-31,"
※破題研讀─以應試邏輯指引同學研讀章節脈絡，易於記憶與考試   ※焦點剖析─便於探究內容之正確概念，確實掌握題意、贏得高分   ※試題特蒐─歷年考試落點分析，輔以「試題大全」，作精準演練 本書特色   ※彙...more
",https://www.books.com.tw/products/0010866704?loc=P_0003_005
6,知識圖解：社會政策與社會立法(含社會福利服務)主題式混合題庫(高普考.地方特考.社會工作師.社福特考.各類相關考試適用),張庭,2020-06-19,"
★化零為整，融為一體   本書打破以往刻板的編排方式，將「社會福利服務」納入，重新與「社會政策與社會立法」統整安排與分析，以便考生同時因應兩科之準備。    ★三點突破，焦點精華   內容共分四大主題，...more
",https://www.books.com.tw/products/0010862040?loc=P_0003_006
7,專技社工師綜合題庫解析(高考‧三等特考考試適用),張庭,2020-04-30,"
☆完全攻略   名師嚴選、題題精練，五大單元、六大科目25個主題。    ☆試題總覽   各年度考題依主題分類，做完整解說。    ☆解題關鍵   名師精心提點各種題目怎麼寫，才會拿高分!  本書特色    分五大單元...more
",https://www.books.com.tw/products/0010857489?loc=P_0003_007
8,國文(作文)國考必勝寶典,尹宸,2020-03-10,"
「作文」是上榜的關鍵科目，然而，想要拿高分就必須「有效率的閱讀」!本書是本結合資源閱讀和寫作指導的國考作文必勝祕笈，將可解決您面臨到的所有作文難題! 本書特色   第壹篇(基礎篇)——「寫作魔法通」  ...more
",https://www.books.com.tw/products/0010463175?loc=P_0003_008
9,社會工作管理(五版),陳思緯,2020-02-27,"
※陳思緯老師部落格   blog.sina.com.tw/ku_socialwork/   瀏覽人次破72萬   本書適用專技高考社會工作師的考生。「社會工作管理」雖涉及不同的管理科學，但其結構性相當清楚，歷屆考題並無特別刁鑽的考題...more
",https://www.books.com.tw/products/0010850236?loc=P_0003_009
10,少年事件處理法,旭律師,2020-02-18,"
本書特色   有鑒於觀護人、監獄官、心理測驗員、心理輔導員考試範圍，都有少年事件處理法實例題型，本書除依少年事件處理法體系架構編排，講解基本概念外，更囊括高等法院座談會、觀護人座談會以及司法院...more
",https://www.books.com.tw/products/0010850437?loc=P_0003_010
