,書名,作者,出版日期,內容介紹,網址
1,明霖國小課堂評量：自然(3上)南版(109學年),林智隆,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831259?loc=P_0003_001
2,明霖國小課堂評量：自然(5上)南版(109學年),林智隆,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831264?loc=P_0003_002
3,明霖國小課堂評量：自然(3上)翰版(109學年),林智隆,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831265?loc=P_0003_003
4,明霖國小課堂評量：自然(6上)南版(109學年),鄭照明,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831267?loc=P_0003_004
5,明霖國小課堂評量：自然(4上)翰版(109學年),三徑,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831268?loc=P_0003_005
6,明霖國小課堂評量：自然(5上)翰版(109學年),林智隆,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831270?loc=P_0003_006
7,明霖國小課堂評量：自然(6上)翰版(109學年),吳福進,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831273?loc=P_0003_007
8,明霖國小課堂評量：自然(3上)康版(109學年),林智隆,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831286?loc=P_0003_008
9,明霖國小課堂評量：自然(4上)康版(109學年),吳福進,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831287?loc=P_0003_009
10,明霖國小課堂評量：自然(5上)康版(109學年),林志隆,2020-08-01,"
...more
",https://www.books.com.tw/products/0010831288?loc=P_0003_010
11,明霖國小課堂評量：自然(6上)康版(109學年),"三徑,林智隆",2020-08-01,"
...more
",https://www.books.com.tw/products/0010831289?loc=P_0003_011
12,明霖國小課堂評量：自然(4上)南版(109學年),"林智隆,藍宇",2020-08-01,"
...more
",https://www.books.com.tw/products/0010831262?loc=P_0003_012
13,升私中國中全壘打(自然科),資優班教研會,2019-01-21,"
〔私中入學.國中資優班考試 適用〕   國中是另一個新的開始，但也是舊的延續。國中自然是建立在國小自然科的基礎上，如果對國小自然的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「...more
",https://www.books.com.tw/products/0010812680?loc=P_0003_013
14,明霖國小課堂評量：自然(6下)南版(107學年),林智隆,2019-01-01,"
...more
",https://www.books.com.tw/products/0010812757?loc=P_0003_014
15,明霖國小課堂評量：自然(4下)翰版(107學年),林智隆,2019-01-01,"
...more
",https://www.books.com.tw/products/0010812764?loc=P_0003_015
16,明霖國小課堂評量：自然(6下)翰版(107學年),林智隆,2019-01-01,"
...more
",https://www.books.com.tw/products/0010812770?loc=P_0003_016
17,明霖國小課堂評量：自然(4下)康版(107學年),林智隆,2019-01-01,"
...more
",https://www.books.com.tw/products/0010812801?loc=P_0003_017
18,明霖國小課堂評量：自然(6下)康版(107學年),林智隆,2019-01-01,"
...more
",https://www.books.com.tw/products/0010812806?loc=P_0003_018
19,明霖國小課堂評量：自然(4下)南版(107學年),林智隆,2019-01-01,"
...more
",https://www.books.com.tw/products/0010812810?loc=P_0003_019
20,明霖國小課堂評量：自然(5下)南版(107學年),林智隆,2018-12-01,"
...more
",https://www.books.com.tw/products/0010812752?loc=P_0003_020
21,明霖國小課堂評量：自然(3下)翰版(107學年),林志隆,2018-12-01,"
...more
",https://www.books.com.tw/products/0010812762?loc=P_0003_021
22,明霖國小課堂評量：自然(5下)翰版(107學年),"吳福進,林智隆",2018-12-01,"
...more
",https://www.books.com.tw/products/0010812767?loc=P_0003_022
23,明霖國小課堂評量：自然(3下)康版(107學年),"林智隆,黃明",2018-12-01,"
...more
",https://www.books.com.tw/products/0010812799?loc=P_0003_023
24,明霖國小課堂評量：自然(5下)康版(107學年),林智隆,2018-12-01,"
...more
",https://www.books.com.tw/products/0010812803?loc=P_0003_024
25,明霖國小課堂評量：自然(3下)南版(107學年),"林智隆,顏呈宇",2018-12-01,"
...more
",https://www.books.com.tw/products/0010812807?loc=P_0003_025
26,私中入學模擬題庫(自然科),升私中教研會,2018-11-01,"
十二年國教實施以來，因為入學條件逐年變動，提高了小學畢業生將來就讀學校的不確定性，造成許多家長的恐慌。家長唯恐小朋友在免試入學的制度下無法進到理想的中學就讀，因此選擇升學績效卓著的私立中學。...more
",https://www.books.com.tw/products/0010803906?loc=P_0003_026
27,升國中測驗全壘打(自然科)第2版,國中資優班教研會,2017-08-01,"
國中是另一個新的開始，但也是舊的延續。國中自然是建立在國小自然科的基礎上，如果對國小自然的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小...more
",https://www.books.com.tw/products/0010762791?loc=P_0003_027
28,升私中國中入學能力評量(自然科),升私中教研會,2017-08-01,"
國中的自然科是建立在國小自然科的基礎上，如果對國小自然科的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小自然課程的總結複習，及國中一年級...more
",https://www.books.com.tw/products/0010763190?loc=P_0003_028
29,明霖國小課堂評量：自然(3上)南版(106學年),鄭照明,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765867?loc=P_0003_029
30,明霖國小課堂評量：自然(4上)南版(106學年),"林智隆,藍宇",2017-07-31,"
...more
",https://www.books.com.tw/products/0010765868?loc=P_0003_030
31,明霖國小課堂評量：自然(5上)南版(106學年),黃明,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765869?loc=P_0003_031
32,明霖國小課堂評量：自然(6上)南版(106學年),鄭照明,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765870?loc=P_0003_032
33,明霖國小課堂評量：自然(3上)翰版(106學年),三徑,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765889?loc=P_0003_033
34,明霖國小課堂評量：自然(4上)翰版(106學年),三徑,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765890?loc=P_0003_034
35,明霖國小課堂評量：自然(5上)翰版(106學年),"吳福進,林智隆",2017-07-31,"
...more
",https://www.books.com.tw/products/0010765891?loc=P_0003_035
36,明霖國小課堂評量：自然(6上)翰版(106學年),吳福進,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765892?loc=P_0003_036
37,明霖國小課堂評量：自然(3上)康版(106學年),黃明,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765911?loc=P_0003_037
38,明霖國小課堂評量：自然(4上)康版(106學年),吳福進,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765912?loc=P_0003_038
39,明霖國小課堂評量：自然(5上)康版(106學年),藍宇,2017-07-31,"
...more
",https://www.books.com.tw/products/0010765913?loc=P_0003_039
40,明霖國小課堂評量：自然(6上)康版(106學年),"三徑,林智隆",2017-07-31,"
...more
",https://www.books.com.tw/products/0010765914?loc=P_0003_040
41,升國中私中智優先修(自然科)第3版,升國中教研會,2017-03-20,"
九年一貫自然與生活科技課程，整合了生物、理化、地球科學和生活科技，教材的內容延續國小的生活科技，並加深增廣許多生活上的自然科學與科技知識。   本書的編寫即是秉持上述的理念，整理更廣泛、更深入...more
",https://www.books.com.tw/products/0010747738?loc=P_0003_041
42,小小觀察家的自然筆記 1,學習樹研究發展總部,2017-01-25,"
學習樹系列依照十二年一貫課程規劃設計，希望藉由生活周遭觀察到的人事物，以輕鬆閱讀的方式，讓孩童知道平常在學校所學到的，其實是可以跟我們的生活密切結合的。 本書特色   1 配合三年級課本單元，收錄...more
",https://www.books.com.tw/products/0010742579?loc=P_0003_042
43,升國中智力測驗新標竿(自然科)第2版,升國中教研會,2016-08-11,"
私中入學.升國中資優班.國小總複習   私立國中的入學考試和國一新生的資優能力分班測驗中，自然科都佔了舉足輕重的地位；為了進入優秀的私立中學或國中資優班，在自然科的準備上考生切莫掉以輕心。    而...more
",https://www.books.com.tw/products/0010725636?loc=P_0003_043
44,課堂評量：自然(3上)南版,鄭照明,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727082?loc=P_0003_044
45,課堂評量：自然(4上)南版,林智隆、藍宇,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727083?loc=P_0003_045
46,課堂評量：自然(5上)南版,黃明,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727084?loc=P_0003_046
47,課堂評量：自然(6上)南版,鄭照明,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727085?loc=P_0003_047
48,課堂評量：自然(3上)翰版,三徑,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727104?loc=P_0003_048
49,課堂評量：自然(4上)翰版,三徑,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727105?loc=P_0003_049
50,課堂評量：自然(5上)翰版,吳福進,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727106?loc=P_0003_050
51,課堂評量：自然(6上)翰版,吳福進,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727107?loc=P_0003_051
52,課堂評量：自然(3上)康版,黃明,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727126?loc=P_0003_052
53,課堂評量：自然(4上)康版,吳福進,2016-07-31,"
...more
",https://www.books.com.tw/products/0010727127?loc=P_0003_053
