,書名,作者,出版日期,內容介紹,網址
1,【109年最新版】【桃園市環境清潔稽查大隊清潔隊題庫 (環保常識、政風相關法令)】(體能測驗高分圖解，收錄最新年度完整733題題庫與解析)(初版),鼎文名師群,2020-10-08,"
☆清潔隊簡章內容圖解剖析☆ ☆肌力強化體測高分技巧不藏私☆ ☆最新年度甄試題庫完整收錄☆   一、考試簡介    桃園市環境清潔稽查大隊環保清潔隊員再度大規模招考!「109 年清潔隊員甄試」 預計錄取錄取 350 名...more
",https://www.books.com.tw/products/0010873459?loc=P_0003_001
2,【109年最新版】【臺北市環保局儲備駕駛甄試題庫(環保常識及交通規則)】 (收錄環保常識最新年度676題題庫，交通法規707題模擬題庫一網打盡)(初版),鼎文名師群,2020-09-16,"
☆清潔隊簡章內容重點剖析☆ ☆最新年度甄試題庫完整收錄☆ ☆超大份量破千試題常識法規一次掌握☆   臺北市環保局儲備駕駛於 109 年大量招考!109 由臺北市政府環境保護局委託臺北市就業服務處辦理之「109 年儲...more
",https://www.books.com.tw/products/0010871249?loc=P_0003_002
3,【109年對應最新題庫版本】新北市環保局儲備環保車輛駕駛甄試套書(贈題庫網帳號),鼎文公職名師群,2020-08-25,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器!大量試題演練就是...more
",https://www.books.com.tw/products/0010868834?loc=P_0003_003
4,【109年最新版】【新北市儲備環保車輛駕駛題庫 (交通規則及機械常識)】(交通規則及機械常識，收錄最新年度完整707題題庫與解析)(初版),鼎文名師群,2020-08-20,"
☆針對儲備環保車輛駕駛招考內容詳盡剖析☆ ☆高分技巧詳盡解說絕不藏私☆ ☆最新交通規則及機械常識類題庫完整收錄☆   一、考試簡介   新北市環保清潔隊員再度大規模招考!這次招考名額也是新北市升格以來最多...more
",https://www.books.com.tw/products/0010868498?loc=P_0003_004
5,【109年最新版】【新北市環保局儲備清潔隊題庫 (環保常識、廉政及職業安全衛生)】(體能測驗高分圖解，收錄最新年度完整1134題題庫與解析)(初版),鼎文名師群,2020-08-20,"
☆清潔隊簡章內容圖解剖析☆ ☆肌力強化體測高分技巧不藏私☆ ☆最新年度甄試題庫完整收錄☆   一、考試簡介    新北市環保清潔隊員再度大規模招考!這次招考名額也是新北市升格以來最多的一次，「109 年儲備清潔...more
",https://www.books.com.tw/products/0010868497?loc=P_0003_005
6,環保局儲備人員甄試(清潔隊員、駕駛適用)精選題庫全詳解,宏典文化環保局招考對策研究小組,2020-08-05,"
★因應大退休潮，各縣市環保局陸續招考補足清潔隊員與駕駛人力....。搶進薪資好、福利佳的環保局，現在就是最佳時機!★    坊間環保局招考題庫本琳瑯滿目...選擇宏典，滿足您購買題庫最簡單的兩大需求：    ...more
",https://www.books.com.tw/products/0010866741?loc=P_0003_006
7,108年高雄市清潔隊員甄試【環保常識題庫】(公告完整1000題題庫解析，大量模擬試題強化演練)(初版),鼎文編輯群,2019-08-19,"
☆公告1000題庫完整收錄，所有試題附有解析☆ ☆精選模擬試題五回500題大份量收錄☆   高雄市環保清潔隊員於108年大量招考!   高雄市環保清潔隊員大量招考!「108年環保局清潔隊員甄試」，環保局各區清潔隊人力...more
",https://www.books.com.tw/products/0010832000?loc=P_0003_007
8,唐榮公司招考師級(電機)套書(贈題庫網帳號、雲端課程),鼎文公職名師群,2019-08-13,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010831524?loc=P_0003_008
9,外貿協會新進專業人員(機電維護)甄試套書(不含問題分析與解決能力)(贈題庫網帳號、雲端課程),鼎文公職名師群,2019-08-13,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010831526?loc=P_0003_009
10,108年台北市清潔隊員甄試【環保常識題庫】(體能測驗技巧大剖析，公告677題環保常識題庫完整收錄)(初版),鼎文編輯群,2019-07-16,"
☆公告題庫完整收錄，所有試題附有解析☆ ☆獨家肌力訓練、體能測驗高分秘訣大公開☆ ☆精選模擬試題五回500題大份量收錄☆   臺北市環保清潔隊員於108年大量招考!   搶先收錄!! 體能測驗搶分三部曲   Part 1: ...more
",https://www.books.com.tw/products/0010829935?loc=P_0003_010
11,零到一的夢想起飛,鎖國璽,2019-05-01,"
一個位於三萬英尺高空的夢想，它不遙遠，只要你願意努力。   ◎從退伍小菜鳥到合格飛行員，讓想飛的你，擁有勇氣跨出那步追夢之路。   ◎37堂飛行執照的必要地面課程概述與解析，備戰應試的必備寶典。   ◎臺...more
",https://www.books.com.tw/products/0010820196?loc=P_0003_011
12,經濟部工業局招考(環保組-操作維護(約僱人員))套書(不含環工概論)(贈題庫網帳號、雲端課程),鼎文公職名師群,2019-04-19,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器!大量試題演練就是...more
",https://www.books.com.tw/products/0010820638?loc=P_0003_012
13,經濟部工業局招考(環保組-化驗(約僱人員))專業科目(一)套書(贈題庫網帳號、雲端課程),鼎文公職名師群,2019-04-19,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器!大量試題演練就是...more
",https://www.books.com.tw/products/0010820639?loc=P_0003_013
14,空服人員化妝技巧與形象塑造,李勤,2019-02-22,"
空服員，指的是航空運輸行業的服務人員。由於其行業的特殊性，常常被稱做是美的化身。空乘服務是高標準、高質量的優質服務，而空服員則是這種優質服務行業的窗口。在人們的腦海中，「空姐」是美麗的代言人...more
",https://www.books.com.tw/products/0010815051?loc=P_0003_014
15,【2019-2020最新版】瑞秋空姐教室：空服員+地勤100%錄取聖經，髮妝儀態X中英回答X面試技巧X應考流程全攻略,瑞秋,2019-02-14,"
【2019-2020最新版】 O全新增訂，新增16頁精華內容 O最新報考資訊更新 O實際考試流程分析 O最新上榜心得分享 誰適合讀這本書? 想在最短時間內考取空服員、地勤的人 在航空業考試中失敗多次，但想再試一...more
",https://www.books.com.tw/products/0010813004?loc=P_0003_015
16,JO是要飛，空服員應試完勝秘訣：完美履歷*儀態妝髮*面試技巧*口條訓練不藏私全攻略,鄭淇文（Jocelyn）,2018-11-02,"
★儀態影片「話」重點，在家準備也能考上空服員★   ★心態調整、居家練習、題庫模擬，一次全公開★   履歷表已讀不回、平凡人生自我介紹沒有梗、   面試卡關卡很久、團體討論總是嚇到吃手手?   有志一圓航空...more
",https://www.books.com.tw/products/0010804322?loc=P_0003_016
17,凱莉教官教你7週成為空服員,凱莉教官,2018-08-21,"
空服員大哉問   面試前的準備工作── 英文能力培養篇   如何撰寫自傳&自我介紹   機場及機上廣播範例   中英文面試例題   團體討論   英文描述圖片題   空服員常用的機上英文   機場地勤常用英語會話   其...more
",https://www.books.com.tw/products/0010797483?loc=P_0003_017
18,108年漢翔公司招考師級(飛機系統A、B)套書(贈題庫網帳號、雲端課程),鼎文公職名師群,2018-08-02,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010795270?loc=P_0003_018
19,108年漢翔公司招考師級(飛機結構A、B)套書(贈題庫網帳號、雲端課程),鼎文公職名師群,2018-08-02,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010795272?loc=P_0003_019
20,108年漢翔公司招考師級(結構分析A、B)套書(贈題庫網帳號、雲端課程),鼎文公職名師群,2018-08-02,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010795274?loc=P_0003_020
