,書名,作者,出版日期,內容介紹,網址
1,喪屍,小肥波,2020-09-22,"
被控制、被洗腦、被自殺、被變身……   大自然的鬼匠神工，創造出種種意想不到的喪屍動物。   為了生存，牠們可以去到幾盡?    喪屍蟻、喪屍蜂、喪屍鹿、喪屍浣熊……    在弱肉強食的世界，處於劣勢的生物被...more
",https://www.books.com.tw/products/0010872130?loc=P_0003_001
2,動物靈氣療癒,"伊莉莎白‧富爾頓,凱瑟琳‧普拉莎,雀瑞兒‧史瓦茲",2020-08-24,"
~溫和、直覺、安全且強大的能量療法~ 讓愛護動物的人們得以無條件的愛、理解及療癒， 回饋對我們付出許多的動物 ★動物靈氣師、動物溝通師、動物花精師——布貓花園療癒莊園/布媽 推薦專序    靈氣是少數對所...more
",https://www.books.com.tw/products/0010867531?loc=P_0003_002
3,深入最禁忌的消化道之旅,瑪莉．羅曲,2020-07-27,"
→美國最有趣的科普作家瑪莉.羅曲最膾炙人口的著作   →《紐約時報》非文學暢銷書排行榜第二名，盤據非文學排行榜六週   我們大多數人一輩子都沒有正眼瞧過自己身上的器官，那是我們所擁有最珍貴、最神奇的...more
",https://www.books.com.tw/products/0010865341?loc=P_0003_003
4,鷹飛基隆：台灣最美的四季賞鷹秘境,陳世一,2020-07-24,"
讀者獨享：作者親自導覽，到基隆港親賭5公尺內的老鷹飛行秀 隨書回饋：免費線上看「賞鷹達人來解惑」   喚醒世人的黑鳶紀錄片「老鷹想飛」、支持友善生態的「護鷹紅豆」「護鷹米」、一年一度基隆市歡慶的...more
",https://www.books.com.tw/products/0010865411?loc=P_0003_004
5,瑪瑪的最後擁抱：我們所不知道的動物心事,法蘭斯．德瓦爾,2020-07-11,"
探知動物的情緒時，我們將會發現： 他們要訴說的心事，遠比我們所知道的還更多! ★ 榮獲2019筆會╱E·O·威爾遜 文學科學寫作獎 ★ 《時代》雜誌世界最具影響力百大人物 ★《探索》雜誌史上最偉大的47位科學思想...more
",https://www.books.com.tw/products/0010863011?loc=P_0003_005
6,悠哉悠哉危險生物圖鑑,加藤英明,2020-07-10,"
獅子!老虎!眼鏡蛇!遇到這些危險生物該怎麼辦?   讓悠哉悠哉導遊領我們一窺究竟!   為什麼危險生物擁有那些致命武器?!   所有的自然生物，都會為了適應環境而演化，   如此才能在瞬息萬變的世界中生存。   ...more
",https://www.books.com.tw/products/0010863437?loc=P_0003_006
7,打擾了!我們是外來生物：自然界中迷人的反派角色?,Ulaken Volvox,2020-06-29,"
會咬人!還有毒!破壞農作物!   外來種老被當成壞人……   可是，仔細想一想：   就像不轉開水龍頭，就不會有水流出來   如果那些棲息在外國的生物   一開始沒有來到我們生活的地方，就不會變成討厭鬼了?!   ...more
",https://www.books.com.tw/products/0010861590?loc=P_0003_007
8,106個狗狗行為學,藤井聰,2020-06-23,"
~首席訓練師告訴你106個狗狗心聲~ 插畫圖解狗狗的「表情」、「動作」與「行為模式」， 成為家中毛孩最信賴的領袖!    俗話說：「狗是人類最忠實的朋友。」英國也有句諺語：「狗是人生中最好的伴侶。」   ...more
",https://www.books.com.tw/products/0010861727?loc=P_0003_008
9,昆蟲們の超奇葩生活圖鑑：奇葩到令人敬佩的昆蟲生存大作戰,須田研司,2020-05-27,"
水之呼吸× 水中呼吸○ 假面變身× 「變態」變身○ 別小看昆蟲，牠們的技能並不輸給動漫絕招 而且實在是厲害到奇葩的程度了!   昆蟲究竟是哪裡奇葩呢?   「歷史」造就數量   昆蟲大約誕生於距今4億年前，是比...more
",https://www.books.com.tw/products/0010859319?loc=P_0003_009
10,城市養蜂是Bee要的：打造我家的獨居蜂旅館(附蜂之樹旅館),城市方舟工作室,2020-05-16,"
不像蜜蜂， 大多數的蜂其實是獨行俠， 卻同樣是重要的植物授粉者。 在自家放一棟蜂旅館， 讓水泥叢林成為生物友善之地。 世界上約有80%的蜂類是獨居性的，全台灣可辨識的獨居蜂則超過千種以上。可以說，城...more
",https://www.books.com.tw/products/0010857135?loc=P_0003_010
11,城市養蜂是Bee要的：打造我家的獨居蜂旅館,城市方舟工作室,2020-05-14,"
不像蜜蜂， 大多數的蜂其實是獨行俠， 卻同樣是重要的植物授粉者。 在自家放一棟蜂旅館， 讓水泥叢林成為生物友善之地。 世界上約有80%的蜂類是獨居性的，全台灣可辨識的獨居蜂則超過千種以上。可以說，城...more
",https://www.books.com.tw/products/0010857134?loc=P_0003_011
12,山芋頭：部落教室 II,撒古流‧巴瓦瓦隆,2020-04-30,"
不管人在哪裡，部落的教育、文化的傳承都不能省略。──撒古流   這是一本關於排灣族古老智慧的生活哲學，也是國家文藝獎得主撒古流獻給部落、孩子以及這塊土地的人們最美好的禮物!   芋頭田與斜坡上的文化...more
",https://www.books.com.tw/products/0010855993?loc=P_0003_012
13,野鳥生態學堂,陳加盛,2020-04-10,"
以棲地和活動環境作分類，詳介140餘種野鳥生態習性及有趣行為，帶您盡覽鳥類生態之美。   您知道杜鵑科鳥類會將自己的蛋產在其他鳥種巢內，由其代孵、代育嗎?熊鷹築巢於高大樹木的上層，以樹枝築成的巢竟...more
",https://www.books.com.tw/products/0010854092?loc=P_0003_013
