,書名,作者,出版日期,內容介紹,網址
1,圖解你我應了解的核能與核電(改版)：從核能原理細說核電問題和為什麼要廢核,賀立維,2020-09-30,"
核電 ≠ 核能 第一本核能工程專家對核能原理、應用與核電問題的分析專書。 簡單易懂的文字與圖表，讓你快速了解核能、核電、核武的原理、世界各國發展核電的歷史與現況， 並清晰解說核輻射對人類環境造成的...more
",https://www.books.com.tw/products/0010870953?loc=P_0003_001
2,能源大未來：電力產業的新模式──Utility 3.0，將如何改變我們的生活,"伊藤剛,岡本浩,戶田直樹,竹內純子",2020-09-09,"
第三波能源革命── 不用繳電費、不用買家電的電力產業新模式， 打造數位整合的「能源生態圈」!   ◎Utility 3.0是什麼?   能源發展在過去已經歷兩個階段，分別是Utility 1.0與2.0。1.0為受政府規制的電業，2...more
",https://www.books.com.tw/products/0010869014?loc=P_0003_002
3,稀有金屬戰爭,皮特龍,2020-05-28,"
十九世紀是煤炭世紀，   二十世紀是石油世紀，   二十一世紀則是稀有金屬世紀。   稀有金屬戰爭是一種能源戰爭，   是石油能源與綠色能源之間的爭戰。   稀有金屬戰爭是一種環境保護戰爭，   是弄髒的一方...more
",https://www.books.com.tw/products/0010859118?loc=P_0003_003
4,跟著台達節能50%,"林榮堂,王茂榮,邱文禮",2020-04-28,"
面對全球暖化與氣候變遷危機，   台達電子積極投入研發、創新，   致力提升產品能源轉換效率，   是台灣企業學習的典範。   一般企業講到投入節能減碳，都會憂心此舉會增添經營成本與產線壓力，殊不知節能...more
",https://www.books.com.tw/products/0010856365?loc=P_0003_004
5,一張圖讀懂風力發電,牛山泉,2020-03-04,"
5G、AI時代必看入門書   GOOGLE、台積電等各大企業都在研究的綠色能源    ◎第一本圖解專書，由臺灣大學工程科學及海洋工程系教授 林輝政──審訂   ◎臺灣風能學術研討會指定用書    臺灣擁有全世界最看好的...more
",https://www.books.com.tw/products/0010851002?loc=P_0003_005
6,馭風男孩,"坎寬巴,米勒",2019-10-29,"
NETFLIX電影原著小說   角逐奧斯卡最佳國際電影獎 熱門影片   一個人的力量能有多大?   夢想能帶我們到多遠的地方?   十四歲的馬拉威失學小男孩，用想像力與創造力，   造了一座風車，帶來的電力不僅照亮...more
",https://www.books.com.tw/products/0010839728?loc=P_0003_006
7,離岸風電大騙局：蔡政府如何掏空台灣兩兆元,陳立誠,2019-09-01,"
政府的離岸風電政策究竟出了什麼問題?竟然會讓台灣每個家庭被坑20萬元!   ◎作者陳立誠為國內知名能源專家，以最精闢的觀點剖析政府的離岸風電政策出現哪些弊病!   ◎前行政院長張善政特別撰文推薦此書，呼...more
",https://www.books.com.tw/products/0010832260?loc=P_0003_007
8,以核養綠：台灣能源新願景,"廖彥朋,廖惠珠,李敏,杜紫軍,梁啟源,王明鉅,葉宗洸,蔡春鴻,趙嘉崇,郭位,陳立誠,黃宗煌",2019-06-22,"
缺電影響經濟，空汙危害健康! 規劃最佳能源配比，打造綠能低碳、穩定供電的家園 太陽能、火力發電、核能到底有何不同? 「以核養綠」究竟是什麼?再生能源就一定好嗎? 這本書將告訴你答案!   2018年底，台灣...more
",https://www.books.com.tw/products/0010825285?loc=P_0003_008
9,日常生活的能源革命：八個臺灣能源轉型先驅者的故事,"劉怡亭,周桂田,張國暉,徐健銘,李翰林,杜文苓,梁曉昀,楊軒豪,翁渝婷,許令儒,趙家緯,鄭師豪,陳喬琪,陳潁峯,高佩懃,高淑芬,黃翰榆",2019-06-11,"
★首部提出臺灣能源問題應具備的大框架與系統性思考 ★   ★八個先驅者案例，真實看到能源轉型下未來生活可能的樣子★   ★一冊讓全國人民回歸理性、建立共同認知的作品★   ◎為什麼全球許多國家將能源轉型列為...more
",https://www.books.com.tw/products/0010822826?loc=P_0003_009
10,能源，迫在眉睫的抉擇：為人類文明史續命，抑或摧毀人類文明的一場賭注,理查•羅德斯,2019-05-08,"
普立茲獎得主最新力作! 美國Amazon暢銷書No. 1! 《紐約時報》、《華爾街日報》等各大媒體一致讚揚   核災威脅與空汙危機，兩難卻得當機立斷!   能源的決策，台灣人民該如何抉擇?   在幾乎被遺忘的歷史知識...more
",https://www.books.com.tw/products/0010820915?loc=P_0003_010
