,書名,作者,出版日期,內容介紹,網址
1,Algebra,楊蓉昌,2019-10-24,"
任教於美國洛杉磯華裔數學老師編撰， 美國Amazon、連鎖書店、學校……等暢銷好評!   簡單易學!適合SAT, ACT, GRE, GMAT, NTE and H.S Exit相關考試!   Simple and Easy to Stud......more
",https://www.books.com.tw/products/0010839150?loc=P_0003_001
2,Beginning Algebra,楊蓉昌,2019-10-24,"
任教於美國洛杉磯華裔數學老師編撰，   美國Amazon、連鎖書店、學校……等暢銷好評!   簡單易學!適合SAT, ACT, NTE, CBEST, STAR and CAT, H.S Exit相關考試!   Simple and Eas......more
",https://www.books.com.tw/products/0010839148?loc=P_0003_002
3,數學解題Know How(代數&機率統計),孫唯洺,2019-08-28,"
翻天覆地想不到，輕鬆解題找Know How!   大考都出哪些關鍵題型?   如何光速複習完高中三年的數學?   誰來給我一個高效率的準備方向!!!   Don t worry~你沒想到的，Know How都幫你想到了!   《解題Know......more
",https://www.books.com.tw/products/0010832215?loc=P_0003_003
4,線性代(第四版),"劉麗,吳曦,杜之韓",2018-12-14,"
《線性代數(第四版)》編者以長期的經濟數學教學之經驗積累對本課程的邏輯結構及內容的詳、略、取、捨作了精心的安排，使之更利於課程的講授與學習。在習題的編排上採取分節編題，每章有綜合複習題的編題方...more
",https://www.books.com.tw/products/0010809072?loc=P_0003_004
5,應用線性代數,"吳榮厚,楊精松,莊紹容",2014-11-20,"
本書的編寫力求深入淺出，結構嚴謹以及理論與實用的配合，全書分成基礎篇(1章~6章)與應用篇(7章~8章)。而本書附有*號之章節對商管學院各系的學生可以不教。   這本「應用線性代數」概括地介紹線性代數入門...more
",https://www.books.com.tw/products/0010657617?loc=P_0003_005
6,改變世界的17個方程式,伊恩．史都華,2013-09-07,"
當代最會說故事的數學家&英國皇家學會成員：伊恩.史都華 運算、觀測、相互的挑戰與傳承；古往今來的科學家們， 創造出17條方程式，聯手翻轉了地球的中心，也改變了現代世界的樣貌!   ★英國亞馬遜科普數學...more
",https://www.books.com.tw/products/0010598561?loc=P_0003_006
7,深入淺出代數,Tracey Pilone、Dan Pilone,2011-11-16,"
你將從本書學到什麼?   即使拼命用功成績還是不見好轉，你累了嗎?高中代數絕不能當掉，要不然你的手機就拿不回來了嗎?只要你有心學好代數，《深入淺出代數》這本書就是為你而設計的。本書到處充滿具有吸引...more
",https://www.books.com.tw/products/0010525276?loc=P_0003_007
8,魔法數學下—向量.線性代數,王擎天、傑哥、偉賀鈞,2010-10-26,"
本書特色   這是一本可隨身攜帶，即時複習的獨家數學重點筆記。   很多人在學習數學時，只會死記一大堆定律與公式，但一碰上題目時就會不知從何下手。有鑑於此，本書特針對學科能力測驗、指定科目考試，將...more
",https://www.books.com.tw/products/0010485867?loc=P_0003_008
9,世界第一簡單線性代數,高橋信,2010-04-27,"
突破你對線性代數的困難想像，輕鬆理解線性代數，增強未來競爭力!   漫畫→圖解→解說世界第一簡單線性代數   還在煩惱完全聽不懂線性代數嗎?   基礎練習比什麼都重要，計算困難這一點全都是誤解!   打棒球...more
",https://www.books.com.tw/products/0010467562?loc=P_0003_009
10,線性代數(第二版),江大成、林俊昱、陳常侃,2009-10-20,"
本書適用於矩陣導向型課程，根據我們的經驗，此類課程能更有效的增進對線性代數觀念的理解並滿足各學科學生之所需。課程一開始將先探討矩陣、向量、及線性方程組，並逐漸引入更複雜的觀念及原則如線性獨立...more
",https://www.books.com.tw/products/0010453619?loc=P_0003_010
11,線性代數(第二版),董佳璋、張廷政、王焜潔、王紀瑞、龔昶元,2009-05-08,"
本書綜合數位資深教授多年的教學心得，使用簡單的解說方式，深入淺出及循序漸進地介紹線性代數所代表之涵義；其中並以網頁的方式秀出近年來研究所的熱門考題以供讀者使用，更有Matlab軟體於題目計算上的應...more
",https://www.books.com.tw/products/0010438293?loc=P_0003_011
12,線性代數習題詳解4e,FRIEDBERG,2006-10-01,"
...more
",https://www.books.com.tw/products/0010347565?loc=P_0003_012
13,線性代數導論(Kolman： Introductory Linear Algebra： An Applied First Course 8/e ’05)<8>,Kolman,2005-08-24,"
本書介紹線性代數的主要課題及其重要的應用，內容包含線性方程組與矩陣、行列式、n維向量、向量空間、特徵值與特徵向量、線性轉換的特性與應用等，文中集結了所有基本線性代數的精華主題，同時為使數學推...more
",https://www.books.com.tw/products/0010309310?loc=P_0003_013
14,應用線性代數,"于耀揚,楊瀚",2005-08-10,"
「線性代數」的數學基礎在各種應用領域上具有其重要性。在理工或商管學院，「線性代數」是相當基礎且重要的核心課程之一。在升學考試方面，目前電機、電子、光電、資訊與通訊、應數、工管與統計等等研究所...more
",https://www.books.com.tw/products/0010312556?loc=P_0003_014
15,數學中的代數問題(奧林匹克叢書),張堯、冷崗松、沈文選,2005-06-01,"
本書除了深入進行奧林匹克數學與數學奧林匹克教育理論研究外，還將作者們多年累積的輔導講座資料進行了全面、系統的整理，以專題講座的形式編寫成了這套專題研究叢書，分幾何、代數、組合三本。   這些豐...more
",https://www.books.com.tw/products/0010309413?loc=P_0003_015
16,線性代數(修訂版),謝志雄,2004-03-01,"
鑒於線性代數為一門應用極廣的科目，因此本書在編寫上把抽象的理論具體應用在實際例子中詳加敘述，理論與應用並重而使各領域的讀者在參考上能夠各取所需。內容深入(在理論上)淺出(在實用例子上)並具備良好...more
",https://www.books.com.tw/products/0010377571?loc=P_0003_016
17,藺大夫 MAC完全自救手冊,藺德,1997-04-20,"
...more
",https://www.books.com.tw/products/0010037567?loc=P_0003_017
18,近世代數導引,麥克疑著,1997-01-15,"
...more
",https://www.books.com.tw/products/0010063152?loc=P_0003_018
19,抽象代數：方法導引(修訂版),徐誠浩,1996-10-01,"
《抽象代數─方法導引》著重介紹抽象代數基礎理論，(包括群、環、體、格與擴域)中的各種解題方法與技巧，並配有近200個例題和300多道習題(基本上有提示或答案)，所列出的約90個比較重要的定理是讀者心須掌...more
",https://www.books.com.tw/products/0010119083?loc=P_0003_019
20,ILLUSTRATOR 5.0/5.5指南,Deke McClelland,1996-08-10,"
...more
",https://www.books.com.tw/products/0010042338?loc=P_0003_020
21,Mac插圖軟件大檢閱,戴頓,1995-01-10,"
...more
",https://www.books.com.tw/products/0010013956?loc=P_0003_021
