,書名,作者,出版日期,內容介紹,網址
1,快速掌握小學六年幾何概念：日本補教界名師提升孩子解題能力的祕訣大公開,"西村則康（Nishimura Noriyasu）,辻義夫（Tsuji Yoshio）",2020-10-28,"
自己不擅長數學，沒有自信教孩子……。 要是被孩子問到我最不擅長的問題怎麼辦……?    相信不少家長有「不擅長幾何」、「不擅長算數」、「不擅長解應用題」的困擾。   因為自己也不會教，所以只好把小朋友送...more
",https://www.books.com.tw/products/0010873660?loc=P_0003_001
2,拓樸學超入門：從克萊茵瓶到宇宙的形狀,"今野紀雄,名倉真紀",2020-02-05,"
解釋超導體、量子力學   2016年諾貝爾物理學獎，就是以拓樸概念解開物質的奧秘!    馬克杯和甜甜圈竟然是相同的形狀?   如何一筆畫完成柯尼斯堡七橋?   映射、流形與扭結   從曲面幾何猜想宇宙形狀   解開...more
",https://www.books.com.tw/products/0010848281?loc=P_0003_002
3,藝數摺學：18堂從2D到3D的「摺紙數學課」，讓幾何從抽象變具體，發現數學的實用、趣味與美(對應108十二年國教新課綱),李政憲,2019-08-31,"
【第一本搭配台灣十二年國教108新課綱的數學摺紙學習書】 學幾何不必憑空想像、背公式， 全台最大線上數學摺紙共備社團「藝數摺學」創辦人、2019年師鐸獎得主李政憲老師 帶你實際動手做出一個個精采摺紙，...more
",https://www.books.com.tw/products/0010831720?loc=P_0003_003
4,黃金比例：1.61803...的祕密(經典再現版),李維歐,2019-05-29,"
無論建築、繪畫或人體身形，   這是讓人類瘋狂迷戀的數字......   哪些符合黃金比例?   ●兔子繁殖   ●玫瑰花瓣   ●鸚鵡螺的外殼   ●鳳梨的外皮鱗片   ●巨大星系   ●金字塔   ●達文西名畫   ●股市指數波動 ...more
",https://www.books.com.tw/products/0010822546?loc=P_0003_004
5,數學解題Know How(幾何),孫唯洺,2018-08-08,"
翻天覆地想不到，輕鬆解題找Know How!   大考都出哪些關鍵題型?   如何光速複習完高中三年的數學?   誰來給我一個高效率的準備方向!!!   Don’t worry~你沒想到的，Know How都幫你想到了!   《解題Know......more
",https://www.books.com.tw/products/0010795314?loc=P_0003_005
6,數學摺紙計畫：30個課程活動探索,"游森棚,湯瑪斯．赫爾",2018-06-06,"
數學權威湯瑪斯‧赫爾經典著作 探索摺紙的奧妙 品味數學之美   美國最受歡迎的新罕布夏學院數學夏令營，   每年精英備出，也是申請美國頂尖大學的強力籌碼。    新罕布夏學院數學夏令營名師，   西新英格蘭...more
",https://www.books.com.tw/products/0010788202?loc=P_0003_006
7,摺紙幾何學：60種特殊摺紙,前川淳,2018-04-03,"
摺紙×幾何學 享譽全球的摺紙數學 世界摺紙粉絲引頸期盼的經典作品集中文版!   以『前川定理』、『剛性摺疊』聞名世界的日本摺紙大師前川淳，   代表作品『惡魔』號稱眾人爭相模仿的摺紙界最強創作。   大...more
",https://www.books.com.tw/products/0010783266?loc=P_0003_007
8,千古圓錐曲線探源,林鳳美,2018-01-15,"
為什麼會有圓錐曲線?   數學家腦中的圓錐曲線是什麼?   只有拋物線才有準線嗎?   雙曲線為什麼不是拋物線?   學習幾何的捷徑是什麼?   圓錐曲線有什麼用途?   高中數學圓錐曲線屬於弱化單元，提供的知識只...more
",https://www.books.com.tw/products/0010775519?loc=P_0003_008
9,圖解向量與解析幾何,"吳作樂,吳秉翰",2017-10-28,"
★解決向量在老師與學生內心的疙瘩。   ★難道一定要用物理概念才能學會數學向量嗎?   ★內積、外積在數學與物理各自是什麼意思?   本書是為了解決一段人對向量的大量疑惑。因為從物理的功、力矩定義導入向量...more
",https://www.books.com.tw/products/0010768844?loc=P_0003_009
10,初中資優生的解析幾何學(二版),楊維哲,2017-07-07,"
「思考比學習更重要；思考才是真正的學習」   數學大師楊維哲教授特地為想成為初中資優生的人而編寫，   內容著重觀念的理解和思考，完全顛覆傳統採取強迫記憶的模式，   藉由獨特的教學風格讓你突破自我...more
",https://www.books.com.tw/products/0010757957?loc=P_0003_010
11,摺紙玩數學：日本摺紙大師的幾何學教育,芳賀和夫,2016-04-08,"
遊戲探索幾何   建構數學的三維世界   享譽全球的摺紙數學   在台第一本專書     附贈專用摺線色紙冊!      遊樂、藝術、科學的交點   新概念數學遊戲書      日本名師芳賀和夫開創的摺紙數學，   以趣味...more
",https://www.books.com.tw/products/0010711140?loc=P_0003_011
12,阿草的圓錐曲線,曹亮吉,2016-02-26,"
我們在國中時學到平面幾何，到了高中時學圓錐曲線。前者採用(綜合)幾何的方法，後者則採用坐標幾何的方法，因此前者很有幾何味道，後者則淡的多，甚至沒有。古代的圓錐截痕，需要以平面幾何為基礎，更需要...more
",https://www.books.com.tw/products/0010707647?loc=P_0003_012
13,古代天文學中的幾何方法,"張海潮,沈貽婷",2015-06-05,"
我們在國中所學的平面幾何，高中所學的三角幾何和坐標幾何依序代表西方幾何學發展的三次躍進。平面幾何由歐幾里得(300B.C)總結埃及、巴比倫、古希臘的經驗而集大成。托勒密(A.D.100)為了量天而發展(球面)...more
",https://www.books.com.tw/products/0010677657?loc=P_0003_013
14,黃金比例：1.618...世界上最美的數字(新版),李維歐,2014-06-12,"
這是一個關於植物、藝術、建築、繪畫、詩歌…… 讓你驚嘆造物主神奇的數字!   黃金比例是什麼?   ‧兔子的生育?   ‧玫瑰花瓣?   ‧鸚鵡螺的外殼?   ‧鳳梨的外皮鱗片?   ‧巨大星系?   ‧達文西名畫《蒙娜麗莎的...more
",https://www.books.com.tw/products/0010638053?loc=P_0003_014
15,3小時讀通幾何,岡部恆治、本丸諒,2013-06-27,"
日本數學協會副會長，教你從簡單的圖形入門，將幾何帶入數列、濃度的運算，挑戰圓與π的不可思議，認識畢達哥拉斯定理與三角函數的智慧，進而敲開微積分大門!   「只要會畫圖，就會幾何!」   「證明題不再...more
",https://www.books.com.tw/products/0010591816?loc=P_0003_015
16,神秘的第二個黃金比例,陳英雄,2012-11-01,"
新發現的「母子三角形定理」(經中央研究院証實的新定理)中垂線三角形的終極定理古希腊哲學家兼數學家柏拉圖(Plato)對數學的看法「數學是放諸四海而皆準，且沒有時間性，他的存在乃是一種客觀的事實，獨立...more
",https://www.books.com.tw/products/0010567645?loc=P_0003_016
