,書名,作者,出版日期,內容介紹,網址
1,101道乘法遊戲‧玩出數學腦：挑戰你的極限!100+腦力全開的乘法益智遊戲，考驗數理力、專注力和邏輯思考力!,葛瑞斯‧摩爾,2020-11-01,"
★ 亞馬遜讀者4.7顆星好評推薦   ★ 貼近童心的題目與插畫，大人小孩都能從中找到樂趣，新鮮感不斷   ★ 解謎時間只需數分鐘，通學、通勤等零碎時間皆可隨心所欲隨時挑戰   ★ 超過100道乘法益智謎題，正等著...more
",https://www.books.com.tw/products/0010874248?loc=P_0003_001
2,誰說不能從武俠學數學?,李開周,2020-10-13,"
如果大俠懂數學，就能成為天下第一?    ‧《笑傲江湖》岳靈珊「屈指一算」就擊敗泰山派高手?   ‧恆山派賣幾匹馬能列出「聯立方程式」?   ‧《倚天屠龍記》張無忌被成崑誤導後就懂「負負得正」?   ‧《水滸傳...more
",https://www.books.com.tw/products/0010872014?loc=P_0003_002
3,誰說不能從武俠學數學、物理、化學?【全三冊】,李開周,2020-10-13,"
《誰說不能從武俠學數學?》   如果大俠懂數學，就能成為天下第一?   ‧《笑傲江湖》岳靈珊「屈指一算」就擊敗泰山派高手?   ‧《倚天屠龍記》張無忌被成崑誤導後就懂「負負得正」?   ‧《射鵰英雄傳》瑛姑如...more
",https://www.books.com.tw/products/0010872022?loc=P_0003_003
4,面積迷宮 Vol. 2 進階篇：玩轉數理腦，+-x÷邏輯解謎,"村上綾一,稲葉直貴",2020-10-05,"
數理系思考激盪解謎遊戲第2彈 讓人上癮的四則運算×二維空間100問 面積邏輯訓練思考力、鍛鍊好腦力!    .有效活化腦部的解謎訓練   →適合需要邏輯能力的商務人士活化思考力   .超越計算力之上的思考風暴   ...more
",https://www.books.com.tw/products/0010871592?loc=P_0003_004
5,啟動數學腦這樣學：43則活化思考、提升數感的實用趣味題,佐佐木 淳,2020-09-02,"
培養敏銳的數學感受，數學力輕鬆UP!   「理解並分析生活情境中的數學問題」是數學素養的重要訴求，   面對日常生活中無所不在的數學，你的數學腦開始運轉了嗎?   日本高人氣的數學教官帶領你看見日常中大...more
",https://www.books.com.tw/products/0010868089?loc=P_0003_005
6,攸關貧富與生死的數學,葉茲,2020-08-26,"
沒有人完全不懂數學!一本寫給非數學人的數學書    ➣DNA檢測到底有多準確?   ➣疾病篩檢陽性，為什麼最好再測一次?   ➣怎麼利用37%法則，做出最好的選擇?    許多人覺得數學太難，在學校上課時就下意識排斥...more
",https://www.books.com.tw/products/0010867978?loc=P_0003_006
7,奠定數學領域基礎!從1開始的數學啟蒙書：虛數‧證明,吉田武,2020-08-10,"
從數學培養邏輯思考! 從演繹和歸納的思考方式認識數學推理。 配合108課綱數學領域核心理念 讓孩子喜歡上數學、對數學世界產生興趣 自然而然地促進數學思維的發展!   學習數學時，通常會從學習「數」開始。...more
",https://www.books.com.tw/products/0010865275?loc=P_0003_007
8,面積迷宮 Vol.1入門篇：玩轉數理腦，+-x÷邏輯解謎,"村上綾一,稲葉直貴",2020-08-03,"
由數理科專班開發結合面積思考的創新數學迷宮 比數讀更靈活、有挑戰的思考激盪 四則運算×二維空間 全新謎解遊戲新誕生!   ★面積迷宮是什麼?   日本的ELCAMINO數理專科班專收高中以下的學生，他們以數學奧...more
",https://www.books.com.tw/products/0010865290?loc=P_0003_008
9,魔數術學、逆轉騙數、反轉千數三本套書,莊惟棟,2020-07-30,"
【魔數三部曲】：【逆轉騙數】—【魔數術學】—【反轉千數】 這是數學科普小說暢銷作家莊惟棟的套書作品。 【魔數術學】是第一本短篇創作，考量到現在孩子多喜歡3C產品的視覺刺激，因此在創作【魔數術學】時...more
",https://www.books.com.tw/products/0010864650?loc=P_0003_009
10,反轉千數,莊惟棟,2020-07-30,"
享受閱讀、推理、魔數、解謎的樂趣。 這並不是讓人只看一次的書，而是一本會令人在無意間想起的書，會想重溫其中的故事、想複習魔數，也許在人生回望中，都能想起它曾帶出什麼魔幻驚喜，一支筆、一張紙，...more
",https://www.books.com.tw/products/0010864648?loc=P_0003_010
