,書名,作者,出版日期,內容介紹,網址
1,超弦理論：與支配宇宙萬物的數學式 人人伽利略18,日本Newton Press,2020-10-16,"
宇宙之始到底是什麼樣子?   物質的最小零件是弦?   宇宙萬物一切能用一個數學式闡明?   超弦理論就是終極理論?    愛因斯坦的相對論與多位科學家建立的量子論，是20世紀物理學的兩大革命。相對論是與時間...more
",https://www.books.com.tw/products/0010873109?loc=P_0003_001
2,人人伽利略暢銷精選 理化篇：《週期表》+《化學》+《物理》+《量子》,日本Newton Press,2020-09-09,"
★高中先修&打穩學科基礎必備!用最精美的圖解，建構學習的橋梁，經典物理+化學套書一次學好學滿!   ★日本牛頓獨家授權，專業圖解化繁為簡，輕鬆好讀容易學習!   ★人人伽利略暢銷套書，全系列熱銷中!   完全...more
",https://www.books.com.tw/products/0010869852?loc=P_0003_002
3,圖解悖論大百科：鍛練邏輯思考的50則悖論‧人人伽利略15,日本Newton Press,2020-08-05,"
★50則廣泛領域的弔詭悖論讓你燒腦燒不停! 列舉知名悖論如電車難題、雙生子悖論、費米悖論、時空悖論等等，帶領讀者一探究竟! ★日本牛頓獨家授權，以精美圖解幫助理解，適合當作休閒讀物培養邏輯思考的能力...more
",https://www.books.com.tw/products/0010865571?loc=P_0003_003
4,免死背!圖解物理強棒教室：史上第一本結合理論、實驗和思維導圖，看圖記憶，快速理解、過目不忘，3分鐘飆漲理科學習力,,2020-07-29,"
融合古今中外知名物理家理論，符合現代考試趨勢， 史上第一本將理論、實驗結合思維導圖的學習方式 看圖記憶，快速理解、過目不忘， 3分鐘飆漲理科學習力，在考場充分發揮實力   親子共讀、課外補充、增長...more
",https://www.books.com.tw/products/0010865817?loc=P_0003_004
5,看懂元素週期表，掌握生命奧祕：醫學博士帶你輕鬆了解從宇宙到人體的運作原理,吉田隆嘉,2020-07-15,"
從宇宙到人體，生命是怎麼形成的? ──原來我們和星星，都是元素的產物。 走進元素周期表的美麗世界，重新認識和我們生活與健康息息相關的元素。   醫學博士告訴你：不必背誦複雜的名稱和性質，只需掌握簡單...more
",https://www.books.com.tw/products/0010863284?loc=P_0003_005
6,統一場論(四版),胡萬炯,2020-07-01,"
約翰霍普金斯大學博士透過嚴謹的數理推導， 深入淺出探討二十一世紀物理學的兩朵烏雲──暗物質與暗能量    ◎作者以其雙博士學識及任職無數物理、化學及數學相關機構專業，做出嚴謹數理推導。    ◎新版提出...more
",https://www.books.com.tw/products/0010862263?loc=P_0003_006
7,圖解有趣的生活物理學：零概念也能樂在其中的99個實用物理知識,川村康文,2020-06-29,"
AMAZON5星推薦! \讀者反應大好評/ 學習物理的敲門磚，讓不擅長物理的你也能一秒樂在其中 對日常生活也超有幫助!   離心力   支點、施力點、抗力點   重力   槓桿原理   無人機與遙控飛機的差別   電力的瞬...more
",https://www.books.com.tw/products/0010861639?loc=P_0003_007
8,量子論縱覽：從量子論的基本概念到量子電腦 人人伽利略12,日本Newton Press,2020-06-22,"
★簡單介紹「量子電腦」和「量子遙傳」應用概念與未來挑戰   ★適合初接觸量子論的大學生以及想念理工的國高中生作為入門讀物   ★圖文並茂，釐清基礎概念，廣泛介紹量子論的應用   ★書中也介紹了「薛丁格的...more
",https://www.books.com.tw/products/0010861265?loc=P_0003_008
9,國中.高中物理：徹底了解萬物運行的規則!人人伽利略11,日本Newton Press,2020-06-17,"
★日本牛頓獨家授權《人人伽利略》系列★ ★日本亞馬遜4顆星好評推薦★ ★高解析度精美圖片解說，知名教授親自監修審訂★ ★日本goo RANKING BOOK【考生必讀的20本人氣物理書】入選★   覺得物理只能靠死背，撐過...more
",https://www.books.com.tw/products/0010860953?loc=P_0003_009
10,萬物理論(三版),胡萬炯,2020-05-01,"
新版萬物理論提出新原子核模型，完善原子論，為學術研究貢獻諸多重要補充，並向大師致敬。   ◎作者將自己英文原書中化學、地科以及生物部分的精華集結出版中文版本，與中文讀者分享科研成果。   ◎與《統一...more
",https://www.books.com.tw/products/0010855492?loc=P_0003_010
