,書名,作者,出版日期,內容介紹,網址
1,超簡單!室內設計圖拿筆就能畫(二版),吉爾．羅南,2020-02-26,"
想裝潢新家空間? 欲裝修廚房或改變臥室的設計? 但徒有想法卻不知如何進行? 自己動手畫出你的居家美夢吧!   透過作者的專業解說，你將發現，原來自己動手畫設計圖，竟然可以這麼簡單!   本書正是開啟你居家...more
",https://www.books.com.tw/products/0010849721?loc=P_0003_001
2,裝修監督與驗收(驗樓王03),詹濟南,2019-12-12,"
當業主決定為家居進行翻新工作，即意味着一段裝修工程將近展開。就詹濟南(詹sir)過往經驗，裝修工程在工期、額外費用、手工品質、用料等都經常發生爭執，業主與裝修公司各執一詞，互指對方不是，結果爛尾...more
",https://www.books.com.tw/products/0010528448?loc=P_0003_002
3,室內設計師的烘焙成交學：打造行銷業務傲人的品牌力量(暢銷回饋版),豐力富,2019-12-06,"
☛☛博誌嚴選!首版熱銷數千本，佳評如潮!回饋發行!☛☛   ♛開間公司，你需要…   室內設計是屬於量身打造的產業，需由雙方認可才能執行。成立一家設計公司，其中的重點就是「人脈」，本書就是要幫您開闢全新的...more
",https://www.books.com.tw/products/0010842325?loc=P_0003_003
4,家的建築，傳承、創作、複述、重新閱讀,大雄設計Snuper Design,2018-11-15,"
大雄設計回歸設計的原點， 試圖尋覓可以被停留、依附、共同記憶或是欣賞的可能性， 找到文化與歷史的注入，當代與前衛的共存， 萃取記憶的歷程，將最小的因子化做最大的結果， 醞釀抽象與意象，寓情于景、...more
",https://www.books.com.tw/products/0010804097?loc=P_0003_004
5,超簡單!立體透視畫法一學就會(二版),吉爾‧羅南,2018-01-31,"
總羨慕別人隨手就能畫，自己想畫卻始終不知從何開始? 隨手素描周遭景物，明明很用心觀察，作品卻老是哪裡不對勁? 無論是想學會畫畫的新手，或是想畫出更棒創作的老手， 就從深入學習透視技法開始吧!   作...more
",https://www.books.com.tw/products/0010776977?loc=P_0003_005
6,空間型態大數據：Space Syntax應用教科書,黃慶輝,2017-09-09,"
☆ 全球同步!國內第一本以量化解析與數位呈現生活環境教學文本 ☆ 全面探討室內、建築及都市設計與人群活動的交互關係 ☆ 中原大學補助出版 ☆ 全書內含軟體實際操作教學影片連結 透過數據運算， 開創真正人性...more
",https://www.books.com.tw/products/0010763159?loc=P_0003_006
7,Interior World vol.74 國際中文版 食飲空間 Cafe Shop & Restaurant,"Archiworld Co.,Ltd",2015-11-04,"
超優質! 韓國室內設計書 中文版   收錄世界各地咖啡館與餐廳的經典設計案例，讓你感受設計者的用心和巧思，享受這場完美的視覺饗宴。   讓設計建構美學‧讓美學貼近生活‧讓生活充滿創意   本書除了室內設計...more
",https://www.books.com.tw/products/0010694804?loc=P_0003_007
8,室內設計師的烘焙成交學：打造行銷業務傲人的品牌力量,豐力富,2015-07-01,"
開間公司，你需要…   室內設計是屬量身打造的產業，是需由雙方認可才能執行。成立一家設計公司其中的承軸重點就是「人脈」，本書就是要幫您開闢全新的事業道路。   醒來吧!室內設計師   拋棄舊有的陋習，...more
",https://www.books.com.tw/products/0010680197?loc=P_0003_008
9,Interior World vol.84 國際中文版 食飲空間 Cafe & Restaurant,Archiworld Co. Ltd,2015-04-29,"
超優質! 韓國室內設計書 中文版   收錄世界各地咖啡館與餐廳的經典設計案例，讓你感受設計者的用心和巧思，享受這場完美的視覺饗宴。   讓設計建構美學‧讓美學貼近生活‧讓生活充滿創意   本書除了室內設計...more
",https://www.books.com.tw/products/0010673419?loc=P_0003_009
10,手繪透視圖麥克筆快速表現技法：室內透視完全解題,胡維哲,2014-10-08,"
本書內容包含透視圖基礎與技術士透視圖考題分析，所以不但是考試用書也是室內設計業相關從業人員、室內設計系學生必備工具書。   1、為了幫助大家對透視圖學習，本書特別著重於「快速打稿步驟」與「快速上...more
",https://www.books.com.tw/products/0010652190?loc=P_0003_010
