,書名,作者,出版日期,內容介紹,網址
1,重生之路：基礎設施的死與生，全球經典案例圖解,"WillipodiA都巿研究團隊,賴伯威",2020-11-05,"
基礎工程的發展與人類文明的演進息息相關， 本研究試圖釐清基礎工程的迭代關係， 並探索未來再利用方向。   國立交通大學建築研究所副教授兼所長 侯君昊 專文推薦   「重生」這個詞的意思，根據某宗教經典...more
",https://www.books.com.tw/products/0010873935?loc=P_0003_001
2,閱讀黃崗：侗族村寨地景紀實,"劉娟娟,宋鈺紅,張景堯,彭文惠,陳永興",2020-10-21,"
走訪中國保存八百年的傳統村落─貴州黃崗侗族村寨   打破貴州「天無三日晴，地無三里平，人無三兩銀」貧困印象!    中原大學景觀學系彭文惠主任、張景堯建築師、陳永興建築師、西南林業大學風景園林系劉娟...more
",https://www.books.com.tw/products/0010873976?loc=P_0003_002
3,老屋顏與鐵窗花【桌曆套組】首刷限量2021年美好時代鐵窗花桌曆：被遺忘的「台灣元素」——承載台灣傳統文化、世代歷史、民居生活的人情風景,老屋顏（辛永勝、楊朝景）,2020-09-30,"
一部最扎實的全台鐵窗花踏查紀錄 ★致力蒐集老宅建築元素的知名團隊「老屋顏」， 首度出版「台灣鐵窗花」主題專書! ★海外鐵窗花登場!同場加映日本大阪鐵窗花迷俱樂部、星馬古城成果 老屋顏成立以來第一次! ...more
",https://www.books.com.tw/products/0010870956?loc=P_0003_003
4,老屋顏與鐵窗花：被遺忘的「台灣元素」——承載台灣傳統文化、世代歷史、民居生活的人情風景,老屋顏（辛永勝、楊朝景）,2020-09-30,"
一部最扎實的全台鐵窗花踏查紀錄 鐵窗花有如一道家徽，承載著家與時代的記憶， 更是一部半世紀台灣常民日記! ★致力蒐集老宅建築元素的知名團隊「老屋顏」， 首度出版「台灣鐵窗花」主題專書! ★海外鐵窗花...more
",https://www.books.com.tw/products/0010870955?loc=P_0003_004
5,老屋新顏：走過百年歷史的特色古建築，在巧思下活化再利用的台灣價值,橫山 透,2020-09-18,"
※ 超過百年歲月老屋，透過活化再利用的20個MIT台灣價值展現   ※ 前後來台取材50次的日本旅人，道出最動人的歷史典故   ※ 連結橫跨一世紀的台日共同回憶，重新認識這片土地的真誠魅力   ※ 台灣獨家全彩印刷...more
",https://www.books.com.tw/products/0010869776?loc=P_0003_005
6,世界教堂建築巡禮：一個建築學者的朝聖散,謝宗哲,2020-09-18,"
建築學者謝宗哲，親身造訪世界各地令人讚嘆的教堂建築，以他獨到的眼光與人文品味，用文字和攝影細述當下的感動與體驗。   本書收錄了謝宗哲十九篇建築散記，從知名的歐洲教堂：聖家堂、聖彼得大教堂、聖...more
",https://www.books.com.tw/products/0010869676?loc=P_0003_006
7,毗陵吳氏園林錄,薛煥炳,2020-09-11,"
本書介紹了常州吳氏家族在明清兩代建造的二十餘座園林，作者經翻閱典籍與實地考察，探索吳氏園林的創始與變遷，同時講述了吳氏家族與其親友在其家園中的交遊活動。  推薦書評    我相信，明代止園及其常州...more
",https://www.books.com.tw/products/0010870710?loc=P_0003_007
8,木構造-山邊豐彥集大成套書(共三冊)：木構造全書+木構造耐震技術+木構造,山邊豐彥,2020-09-10,"
木建築時代已來臨!你準備好了嗎? 世界頂尖日本木構造權威40年實務套書 木結構系統╳木材專業知識╳頂尖工法， 木建築專業人材不容錯過的必讀之作 單書介紹↓↓↓ 冊一《木構造全書：世界頂尖日本木構造權威40年...more
",https://www.books.com.tw/products/0010869000?loc=P_0003_008
9,新建築與流派,童寯,2020-09-01,"
本書是著名的建築大師童寯先生積多年之力，經反復修改而寫成的一部西方現代建築簡史，在上個世紀八十年代曾經享有盛譽，中國幾代建築師都曾受惠於這部小書。在書中，童寯教授總結了19世紀中葉以來建築的演...more
",https://www.books.com.tw/products/0010867308?loc=P_0003_009
10,從紫禁城到故宮：營建、藝術、史事,單士元,2020-09-01,"
單士元先生與故宮結緣七十年，是著名文物專家、古建築保護專家。本書傾注了他寶貴的學識與經歷。全書自鼎建紫禁城而始，將紫禁城的營建制度、營建過程、宮殿的建築藝術佈局以及紫禁城中發生的歷史事件貫穿...more
",https://www.books.com.tw/products/0010867310?loc=P_0003_010
11,熱濕氣候的人居熱環境：建築風土設計的第一課(三版),林憲德,2020-08-31,"
台灣永續城鄉叢書之二   本書取名「熱濕氣候的人居熱環境」，從風土建築、環境氣候到建築節能，是集我從事本土建築研究的精華。本書尤其致力於反省歐美寒帶建築風格與高科技設備的迷失，是一本立足於亞熱...more
",https://www.books.com.tw/products/0010869945?loc=P_0003_011
12,圖釋香港中式建築(第二版),蘇萬興,2020-08-21,"
‧一樑一柱，以至一條小扶木，是如何合力撐起整座木造建築?   ‧屋脊上的驁魚、海馬、仙人，除了含義各異，還可防止瓦件滑落?   ‧老建築前一幅獨立的牆壁，原來是為風水學上的擋煞而建?   香港現存的中式建...more
",https://www.books.com.tw/products/0010868688?loc=P_0003_012
13,台灣住宅建築獎作品集,,2020-08-20,"
居住是人類的最基本需求，建造適居的住宅，應是建築的核心，也應是建築師工作的終極關懷。本書收錄3~7屆通過台灣住宅建築獎初選與獲獎作品共53件，從中可看見台灣建築師的設計能量以及出色的住宅建築。...more
",https://www.books.com.tw/products/0010867994?loc=P_0003_013
14,敦泰本善,,2020-08-14,"
新一代的國際級建築與室內設計的新詮釋和標竿，值得細細品味與鑑賞!   以人為本 敦泰傳家 此心安處 即為吾鄉   經典建築之所以能觸動人心，永世留傳，除了恢宏外觀，雋永輪廓之外，更在其為居住者處處著想...more
",https://www.books.com.tw/products/0010867291?loc=P_0003_014
15,金窩、銀窩、狗窩：一段追尋「舒適」的住宅建築發展史,黎辛斯基,2020-08-01,"
「啊，舒服莫過宅在家!」——珍.奧斯汀 任何一個想買屋或蓋房子的人，都該先讀讀這本書。── AMAZON讀者 ◎ 建築美學大師漢寶德專文推薦 ◎國際建築大獎「文森斯庫里獎」得主 ◎建築思想家黎辛斯基成名作2020全...more
",https://www.books.com.tw/products/0010865078?loc=P_0003_015
16,生態建築可以怎麼做?：預測設計，一個人造與自然共存的願景,楊經文,2020-07-29,"
國際知名馬來西亞華裔建築師楊經文(Ken Yeang)親自撰述， 獻給業界人士、普羅大眾之專業權威又淺顯易懂秒上手的生態建築圖文書!   「在五十位有能力拯救地球的人士當中，楊經文(Ken Yeang)是其中之一。」─...more
",https://www.books.com.tw/products/0010864635?loc=P_0003_016
17,和園悅色：日式經典庭園賞析,"佐土原博嗣,台北市景觀工程商業同業公會,吳發添,呂嘉和,李佳威,李再源,游象全,蔡秀瓊,藍麗珠,郭中端,黃祺峯",2020-07-27,"
「和園悅色——日式經典庭園賞析」一書，諸位筆者以多年實地觀察與賞析的切入點，將已蔚為經典的日式著名景觀庭園為藍本，富考究的元素解析，將日式庭園景觀美學抽絲剝繭一番，整理出其廣受世界各地愛戴的理...more
",https://www.books.com.tw/products/0010865191?loc=P_0003_017
18,澳門媽閣石刻,"蔣美賢,鄧駿捷",2020-07-17,"
澳門媽閣，地處澳門半島東南隅。明代始立廟祀媽祖，今名曰媽祖閣，俗稱媽祖廟。此一山一廟，融為媽祖景觀，是澳門的旅遊勝景之一。   本書旨在介紹澳門媽閣的二十四首石刻詩及若干石刻題詞、匾聯、題記和...more
",https://www.books.com.tw/products/0010865054?loc=P_0003_018
19,中國文人園林,陳從周,2020-07-17,"
中國古典園林實為「文人園」。士大夫、文人、畫家或造園家秉承明清文化傳統，設計、建造、擁有文人園。他們敏詩善文，能寫會畫，兼工戲曲，皆欲避喧囂以歸自然。正如陳從周先生所言，園之築出於文思，園之...more
",https://www.books.com.tw/products/0010865064?loc=P_0003_019
20,秘境小屋+小屋典藏卡(限量套組),札克‧可倫,2020-07-06,"
心裡住著一座桃花源 飽覽世界之最、遺世獨立小屋 典藏讓人掉淚、心跳不已圖卡   獻給每一位曾想要放慢生活腳步、   人間蒸發到世界角落靜一靜、   深吸一口大自然的氣息的你……   從270幅照片中嚴選出最吸...more
",https://www.books.com.tw/products/0010861114?loc=P_0003_020
21,風景園林快題設計:設計方法與案例分析(彩色版),韋昳,2020-06-19,"
現今有很多優秀的景觀設計師都在探討一個問題，如何才能在最短的時間裡表現出一個好的景觀設計效果?在景觀設計行業中，手繪是學習和工作中不可或缺的技能，貫穿景觀方案的設計過程。電腦3D表現有著很大的...more
",https://www.books.com.tw/products/0010862139?loc=P_0003_021
22,圖說中國古建築：建築史家的五十年手札,張馭寰,2020-06-16,"
100則最簡明扼要的中國古典建築基礎知識   為什麼中國古建築不論大小都以「間」為單位?   藻井和斗拱確實很美觀，但有實際功能嗎?   為什麼古代的城牆多半是方形?   塔林和塔群完全是兩回事?   北京四合院...more
",https://www.books.com.tw/products/0010860065?loc=P_0003_022
23,2020iF金獎精選與設計作品,住宅美學編輯部,2020-06-08,"
年復一年，臺灣的設計師與品牌企業屢次在 iF 設計大獎中展示他們的非凡技術。今年收穫前所未有的成果!有超過 180 種的產品和概念，因卓越的設計能力而榮獲 IF 設計大獎 2020。打破了臺灣歷年來的紀錄!創造...more
",https://www.books.com.tw/products/0010859194?loc=P_0003_023
24,水電工程工料單價分析實務(上),陳志泰,2020-06-01,"
本書寫作之基本目的，係在於提供國內廣大的機電從業人員能真正了解「工」與「料」內容之分析，有助釐清日常工作中常因諸多(一式)工程，而顯無力審核之感，就內容方面而言，本書共有11章，有管線、電氣、弱...more
",https://www.books.com.tw/products/0010392263?loc=P_0003_024
