,書名,作者,出版日期,內容介紹,網址
1,室內安全防災概論,"林雨君,柯一青",2020-10-01,"
公共工程+醫院醫療品質專家，聯手打造一般與特殊場域通用的室內安全防災聖經!    ★這不只是一本室內防災教材，更是一本人人必讀的防災知識手冊!   ◎防災重點 + 醫療品質，跨領域知識的結合與進化。   ◎法...more
",https://www.books.com.tw/products/0010871641?loc=P_0003_001
2,築覺 V：閱讀紐約建築,建築遊人,2020-09-11,"
歡迎來到紐約!這裡是國際金融中心，這裡是不夜城，這裡是無數電影的取景地，來自全世界的人都想在這裡實現夢想。而紐約的建築，既具有商業大都會的特質，又匯聚環球大師的風格與創意，每個街頭巷尾都能帶...more
",https://www.books.com.tw/products/0010870694?loc=P_0003_002
3,建築環境控制系列(Ⅰ)建築物理概論【四版】,陳啟中,2020-07-31,"
一般建築科學所通稱之「建築環境」可分為「建築物理」及「建築設備」等兩大部份。「建築物理」之內容包括了氣候、空氣、熱、光、聲音等與居住有關之物理現象，並且以自然人為控制之手法來達到居住者舒適、...more
",https://www.books.com.tw/products/0010868264?loc=P_0003_003
4,達爾文進城來了：新物種誕生!都市叢林如何驅動演化?,曼諾‧許特惠森,2020-07-04,"
――――當達爾文演化論深入現代都市叢林，生物在高樓林立的人口密集區如何展現驚人的演化?――――  達爾文認為，演化是緩慢運作的過程，在人類短暫的一生中不可能觀察到。 但事實上，就這麼一次，他錯了。 透過...more
",https://www.books.com.tw/products/0010862474?loc=P_0003_004
5,森林康養步道設計與實踐,"付而康,李西,黃遠祥",2020-05-29,"
隨著現代社會越來越快的生活節奏，我們正在慢慢喪失一些原本需要用身體去衡量、用慢行去感受、用自然荒野體驗來認識的純真世界。面對此情此景，我們迫切需要探索新的方式、新的載體來實現回歸自然的渴望，...more
",https://www.books.com.tw/products/0010860145?loc=P_0003_005
6,Environmental Science：A Study of Interrelationsh 15/e,"Bradley Smith,Eldon Enger",2019-01-01,"
This full-color, introductory environmental science text is known for being concise, conceptual, and value-priced. The a......more
",https://www.books.com.tw/products/0010795800?loc=P_0003_006
7,從搖籃到搖籃：綠色經濟的設計提案【暢銷修訂版】,"威廉．麥唐諾,麥克．布朗嘉",2018-04-25,"
★ 博客來選書、誠品選書、金石堂強力推薦 ★ ★ 誠品暢銷榜 ★    好的設計就像大自然，沒有浪費這回事!   想像一下，河流想要怎樣的肥皂?櫻桃樹又會怎樣設計一棟房子?   在大自然裡，沒有需要丟棄的東西——當...more
",https://www.books.com.tw/products/0010780283?loc=P_0003_007
8,海港城市的縫合線：高雄臨港線鐵路的空間變遷,邱柏翔,2017-11-20,"
高雄市立歷史博物館 高雄研究叢刊   臨港線的貨運功能已走入歷史，局部的路線如今也逐漸轉為輕軌捷運，許多沒看過臨港線運作的年輕一輩已難以想像，或逐漸遺忘輕軌過去的前身。   高雄港區長年以來皆屬管...more
",https://www.books.com.tw/products/0010771845?loc=P_0003_008
9,BIM技術與趨勢：台灣建築資訊模型協會2017年專刊,"何欽欽,侯權鍵,林景賢,江志雲,汪孟欣,王儷靜,王紹宏,王靜芬,田宏鈞,陳予全",2017-10-11,"
BIM是一頭不斷長大的大象， 摸到哪裡就會認為這就是大象的全部， 而且隨著時間推移，大象在進化，也長得不太一樣， 所以需要有許多不同的觀點，才可以逐漸了解。   台灣從2008年開始，BIM邁入蓬勃發展的階...more
",https://www.books.com.tw/products/0010766570?loc=P_0003_009
10,衛生下水道施工與標準作業程序(上)(附光碟)(增修二版),倪至寬,2017-05-31,"
台北市及高雄市污水下水道接管率成效卓著，但是其他縣市之接管率仍在個位數字，況且污水下水道普及率為提升國家競爭力及生活品質之重要指標，所以，行政院核列污水下水道接管率為施政重點。因此，污水下水...more
",https://www.books.com.tw/products/0010767623?loc=P_0003_010
11,水高級處理及再利用【修訂二版】,"張添晉,朱敬平,歐陽嶠暉,游勝傑,莊順興,蔡勇斌,陳筱華",2017-03-01,"
本書特色   氣候變遷下，降雨豐枯震盪加劇，   傳統水資源供應穩定度備受挑戰!   解決供水不足問題，再生水資源為擴大水資源利用之最佳方案   台灣地區降雨量雖豐沛，但因降雨時空分配不均且流失極快之影...more
",https://www.books.com.tw/products/0010763610?loc=P_0003_011
12,土壤地下水污染場址的風險評估與管理：挑戰與機會,風險評估專書編寫小組,2016-09-21,"
...more
",https://www.books.com.tw/products/0010732111?loc=P_0003_012
13,土壤及地下水整治技術,葉琮裕,2016-09-14,"
...more
",https://www.books.com.tw/products/0010730443?loc=P_0003_013
14,築夢・河之濱 高屏溪溪流生態公園營造實錄,,2015-02-01,"
高屏溪溪流生態公園 十年信義區計畫 四月的高樹,天氣酷熱異常,我站在高屏溪溪流生態公園基地高處, 從至高點眺望,注視著前方。這 裡是綠意一片的農耕區域,莫拉克風 災後,這裡成為荖濃溪溪底。現在,這裡是兼...more
",https://www.books.com.tw/products/0010670449?loc=P_0003_014
15,江水悠悠：水利工程學家治水記,沈學汶,2015-01-01,"
水是天賦之物，能帶來洪水，也能引起乾旱；水更是權力代表，全球水資源鬥爭激烈，為了發展，人與水爭地，亦因人用水量增加，又與別國或其他生物爭水。   美國加州大學柏克萊分校土木工程學系榮譽教授沈學...more
",https://www.books.com.tw/products/0010683108?loc=P_0003_015
16,環保人 回收物,陳世慧,2013-05-04,"
...more
",https://www.books.com.tw/products/0010584910?loc=P_0003_016
17,讓城市更清潔：垃圾發電的發展與政策,薛鳳旋、夏北成、許志樺、李燕怡,2011-06-01,"
擴大內需，加大城市化和工業化是中國未來30年的主要國策，清潔能源和都市固體廢物的處理，是高度城市化和城市空間狹小的香港需要迫切解決的問題。   日本大地震，能源危機又再次逼近!   本書深入研究並分...more
",https://www.books.com.tw/products/0010515370?loc=P_0003_017
18,一家人好天氣,陳曉蕾、劉倩瑜,2010-09-01,"
人與自然萬物，都身處同一個家。合力紓緩氣候變化--   盧冠廷：天台的陽光   區紀復：快樂因為需要少   溫巧儀：兩年沒購物   陳佩貞：廚餘變清潔劑?   陳師傅：沒有修不好的電器   林麗珊：小紅圈大過天 ...more
",https://www.books.com.tw/products/0010548727?loc=P_0003_018
19,營建工程工料單價分析手冊,楊新乾,2009-10-01,"
...more
",https://www.books.com.tw/products/0010392212?loc=P_0003_019
20,環境科學,,2009-09-18,"
良好舒適的生活環境是每一個國民所追求的目標，但是要保護生活環境的品質則有賴正確的環保觀念，以及在日常生活中確實地身體力行。在已邁入二十一世紀的人類社會中，環境保護不僅是現代公民應具備的基本知...more
",https://www.books.com.tw/products/0010448986?loc=P_0003_020
21,污染防治與環境管理,吳濟華、汪明生、周明顯、洪英榮、洪崇軒、洪萬隆、袁中新、高明瑞、眭台生、黃俊英、楊芳玲、楊金鐘、樓基中、謝建台,2009-09-18,"
環境污染問題的背景原因錯綜複雜，而其解決之道則端賴污染防治技術及環境管理之緊密結合，才能達成二十一世紀環境保護與污染改善之目標。   本書內容涵蓋「環境分析」、「污染防治」、「環境管理」三個主...more
",https://www.books.com.tw/products/0010452820?loc=P_0003_021
22,衛生下水道施工與標準作業程序(下),倪至寬,2009-07-15,"
台北市及高雄市污水下水道接管率成效卓著，但是其他縣市之接管率仍在個位數字，況且污水下水道普及率為提升國家競爭力及生活品質之重要指標，所以，行政院核列污水下水道接管率為施政重點。因此，污水下水...more
",https://www.books.com.tw/products/0010443883?loc=P_0003_022
23,都是愛迪生惹的禍：光害,林憲德、趙又嬋,2009-01-19,"
啟動零光害生活革命，省電減碳、救生態、救健康!   昔日愛迪生點亮第一盞電燈的偉大發明，不料竟淪落為今天人類破壞環境的光害元兇! .過多又超亮的粗暴照明，引發失眠、頭痛、致癌危機 .不斷複製的城市光...more
",https://www.books.com.tw/products/0010424730?loc=P_0003_023
24,生態設計學,辛．凡得來恩,2009-01-16,"
前瞻《世界又熱又平又擠》十年的經典! 一場最具投資效益、各行各業爭相投入的設計革新 正在世界各地如火如荼蔓延中…… 讓人類與自然一起恢復健康 生態設計學 讓地球永續的創意法則 中文版新增台灣生態組織...more
",https://www.books.com.tw/products/0010424541?loc=P_0003_024
