,書名,作者,出版日期,內容介紹,網址
1,教你如何寫出遊戲劇本(第二版)：從基礎學習角色、架構、文章的創作秘訣,佐佐木智廣,2020-10-22,"
開始創作有趣又使人著迷的遊戲劇本!    ★日本長銷的遊戲劇本入門書。   ★知名遊戲製作人以淺顯易懂的方式逐步解析傳授各種撰寫遊戲劇本上的訣竅。   ★獨立工作室或目標成為遊戲劇本家入門時不可或缺的工具...more
",https://www.books.com.tw/products/0010873236?loc=P_0003_001
2,淡入：影視劇本格式與寫作,王瑋,2020-10-20,"
積累個人超過二十年的影視劇本寫作與教學經驗，參考、整理美國相關影視編劇教學書籍，並閱讀、考覈、分析數十本美式電影劇本後，以美式劇本的格式與寫作方法為標準，輔以台灣/華文劇本的慣用習慣，寫成本...more
",https://www.books.com.tw/products/0010873451?loc=P_0003_002
3,俗女養成記：第一季影視劇本書,"嚴藝文,范芷綺,華視,黃馨萱",2020-09-26,"
二〇一九下半年討論度最高的台灣戲劇    「這輩子其實很長，長到你可以跌倒再站起來，做夢又醒過來。   這輩子其實很短，短得你沒時間再去勉強自己，沒時間再去討厭你自己。」   不是淑女又怎樣?    *隨書...more
",https://www.books.com.tw/products/0010870793?loc=P_0003_003
4,國家級任務：BEHIND THE癲,東方昇,2020-09-22,"
八十多集《國家級任務》幕後花絮   片外露出《國家級任務》最鮮為人知一面   帶你重新認識東方昇...more
",https://www.books.com.tw/products/0010872113?loc=P_0003_004
5,45個人格原型：從神話模型到心理分析，幫助你了解人性，並打造獨一無二的角色與故事,維多利亞•琳恩•施密特,2020-09-09,"
對心理學家來說，原型像一種心理指紋，能夠揭示個人的人格細節。 對創作者來說，原型是打造栩栩如生角色的藍圖。   什麼是「原型」(archetype)?   它是一系列超越文化疆界、舉世通用的無意識形象模式，存...more
",https://www.books.com.tw/products/0010869278?loc=P_0003_005
6,麗晶卡拉OK的最後一夜,詹傑,2020-09-08,"
*台灣原汁原味原創劇本書   *金鐘編劇最暖心劇作   *擁有11種結局的唯一機會   *絕對值得收藏    一首寫給港都基隆的時代情歌，勾勒那些被大雨澆熄的故事   以及那個她們曾經浪擲青春、難以割捨的基隆港都...more
",https://www.books.com.tw/products/0010868320?loc=P_0003_006
7,【編劇大師班套書】(3冊)：《故事寫作大師班》、《故事的解剖》、《對白的解剖》,"約翰．特魯比,羅伯特．麥基",2020-08-03,"
本套書組合：《故事寫作大師班》、《故事的解剖》、《對白的解剖》(3冊)   《故事寫作大師班》   全美最佳劇本寫作課程講義大公開   你私人的故事教練，   了解你所有弱點與挫折，   讓你終於可以完成一個...more
",https://www.books.com.tw/products/0010865337?loc=P_0003_007
8,神奇之書：超越想像的圖解創意寫作指南(絕世擴充版),傑夫‧凡德米爾,2020-07-30,"
世界第一本圖像化寫作工具書 跨越現實與想像的界線，打造無邊際的說故事能力 【軌跡獎、英國科幻協會獎最佳非虛構書籍】 ★隨書加贈「科幻文學的演進」圖像海報★   《神奇之書》是一本絢麗的故事寫作技法全...more
",https://www.books.com.tw/products/0010864725?loc=P_0003_008
9,金主才不要好萊塢的冷飯：讓人徹夜追劇的劇本這樣寫!,卡爾‧伊格萊西亞斯,2020-07-06,"
打破你的課堂迷思，注入情感、感動業主才是劇本過稿的關鍵! 想靠寫作發大財? 專業劇本審稿員在這裡為你打造職業編劇養成班!   奧斯卡得主──艾齊瓦.高斯曼(Akiva Goldsman)曾說：「寫劇本就像是服裝設計，...more
",https://www.books.com.tw/products/0010863059?loc=P_0003_009
10,編劇魂：說故事是本能，寫劇本沒有教條，用文學素養和科學思維孕育你的傑作,小野,2020-07-02,"
★「臺灣新浪潮電影重要推手」首次公開四十年編劇心法， 科學方法直指核心，突破框架激發潛能。★ 編劇是可以教的嗎?說故事有沒有通則? 故事大綱要寫多長?劇本有所謂的「格式」嗎? 正邪對抗、角色轉變是鐵律...more
",https://www.books.com.tw/products/0010861907?loc=P_0003_010
11,千面英雄：70年經典新編紀念版，從神話學心理學到好萊塢編劇王道,喬瑟夫．坎伯,2020-06-03,"
《時代》雜誌評選「創刊以來最具影響力100本英文好書」之一 建立影響世界通俗文化的「英雄旅程」模型、 影響好萊塢編劇理論之70年經典新版上市 ◆   不只催生影視、文學中各大經典英雄角色   更以神話心理...more
",https://www.books.com.tw/products/0010859659?loc=P_0003_011
12,好萊塢劇本標準格式：華納編劇權威11堂課，如何把好故事寫成一部成功劇本(附標準尺寸劇本別冊),克里斯多福．萊利,2020-04-16,"
好萊塢最權威劇本格式指南，中文版終於問世!  為什麼你的劇本總是被退貨?為什麼製片一翻開就想闔上? 問題不在內容，讓專業編劇告訴你── 你從格式上就輸了!  好萊塢每年都有數以萬計的劇本誕生，但是你知道...more
",https://www.books.com.tw/products/0010847919?loc=P_0003_012
13,別讓你的劇本遜斃了!：搶救你的故事100法則(二版),威廉•M•艾克斯,2020-03-16,"
※原《你的劇本遜斃了!》   好萊塢編劇教練告訴你，搶救你的劇本100法則   史上最有價值的毒舌建言   一舉掃除劇本裡的「故事癌」   《先讓英雄救貓咪》作者布萊克˙史奈德指定必讀!    •你的故事只有你自己...more
",https://www.books.com.tw/products/0010851576?loc=P_0003_013
14,寄生上流-分鏡書：每一幕都起雞皮疙瘩!奉俊昊手繪162幕分鏡書,奉俊昊,2020-02-04,"
「我的電影和分鏡圖幾乎沒有兩樣!」 162幕奉俊昊手繪分鏡，每一幕都讓你起雞皮疙瘩! 100%紙上電影，給創意工作者的靈感聖經   【精密的場景/鬼才導演驚人的腦內劇場】   *韓國最會說故事的人──奉俊昊的工...more
",https://www.books.com.tw/products/0010846413?loc=P_0003_014
15,寄生上流：原著劇本：導演訪談+一刀未剪劇本書,"奉俊昊,韓珍元",2020-02-04,"
「劇本會一直不斷地改變，就像有生命的生物。」   一刀未剪，說出電影來不及說的故事!   令人毛骨悚然的秘密，完整鋪陳《寄生上流》的細膩轉折，   抽絲剝繭看2019第一神片，奉俊昊最完整的創意呈現   ★原...more
",https://www.books.com.tw/products/0010846548?loc=P_0003_015
