,書名,作者,出版日期,內容介紹,網址
1,紫砂小史,陳傳席,2020-07-03,"
一壺一味，鑒古今紫砂演變，品千年文人茶心   梳理千年紫砂演變歷史   盤點製壺大師及代表工匠   圖解紫砂名作、審美細節   一書在手，縱覽逾千年來文人與紫砂壺之間的清典雅趣   本書是對中國紫砂藝術從...more
",https://www.books.com.tw/products/0010863553?loc=P_0003_001
2,瓷器故鄉：瓷器文化與藝術特色,李俊勇,2020-02-07,"
從中國陶瓷發展史來看，一般把「陶瓷」這個名詞一分為二，為陶和瓷兩大類。經過高溫燒成、胎體燒結程度較為緻密、釉色品質優良的黏土或瓷石製品才被稱為「瓷器」。   早在商代，中國就出現了原始青瓷，隨...more
",https://www.books.com.tw/products/0010849143?loc=P_0003_002
3,天然大漆：漆器文化與藝術特色,李文靜,2019-12-27,"
中國古代有漆國之稱，最早的發現在河姆渡遺址中，一些陶器和木器的遺痕有發亮的漆皮，經鑑定距今有七八千年的歷史。   夏商時期，漆器被廣泛應用，當時的漆工藝已經成了一項專門的手工業。   秦代漆器製作...more
",https://www.books.com.tw/products/0010845206?loc=P_0003_003
4,台灣陶瓷年鑑：2019,台灣陶瓷工業同業公會,2019-12-23,"
陶瓷產品，在你我生活之中無所不在! 涵蓋建築陶瓷、衛浴陶瓷、藝術陶瓷、日用陶瓷、工業和精密陶瓷等五大項產品， 從建築、公共工程、公共空間到居家空間與生活用品等等， 不只關乎實用機能、生活美學，更...more
",https://www.books.com.tw/products/0010843893?loc=P_0003_004
5,饒玉：宋代饒州窯青白瓷,紹逸堂,2019-07-01,"
饒州窯即景德鎮窯，因宋時景德鎮屬饒州府管轄，故名。   饒州窯在宋代就已經是景德鎮窯的正式稱謂。朱琰《陶說》載：""饒州府浮梁縣西興鄉景德鎮，水土宜窯，鎮設自宋景德中，因名。置監鎮，奉御董造，饒州...more
",https://www.books.com.tw/products/0010840037?loc=P_0003_005
6,瓷上中國：景德鎮「瓷都」文化物語,胡平,2019-03-01,"
本書以「瓷都」景德鎮的瓷器燒造歷史為切入點，講述了中國瓷器的文化與歷史，還記錄下當代景德鎮的文創產業。千年窯火，誕生了青花瓷等極具代表性的中國瓷器，光耀世界。作者用筆勾勒出一幅壯觀、令人激動...more
",https://www.books.com.tw/products/0010815359?loc=P_0003_006
7,瓷耀世界：器以載道傳揚瓷韻風華,程庸,2019-01-18,"
《瓷耀世界》依據歷史文獻記錄、考古及各類館藏實物資料和學界研究成果，較為清晰地梳理了自漢唐至明清中國瓷器經由陸上絲綢之路和海上陶瓷之路走向世界的情形，講述了中國瓷器與技藝的外傳，對古代世界各...more
",https://www.books.com.tw/products/0010811790?loc=P_0003_007
8,瓷上文化：東西方造物觀的神祕鏈接,鄭雲雲,2019-01-18,"
縱觀歷史，無論王朝如何更迭，但中國的文化江山屹立不倒。這是中華文明的驕傲，也是民族之魂。自古以來的民族精英，均以繼承和發揚文化為己任。中國陶瓷與中國漢字一樣，所承載的文化因素，展開來看，就是...more
",https://www.books.com.tw/products/0010811794?loc=P_0003_008
9,瓷行天下：千年帝王意志下的瓷路滄桑,胡辛,2019-01-18,"
本書寫作獨闢蹊徑，通過考察漢唐至明清歷代帝王、王朝政治直接或間接施加於瓷器、瓷業和瓷器外銷的影響、作用，別出心裁地梳理出了一條不同於通行著作體例與風格的中國瓷器外銷主線，體現了作者作為一位文...more
",https://www.books.com.tw/products/0010811797?loc=P_0003_009
10,亙古漆香(中英對照),"林元茂,馬彪",2018-07-13,"
本書圖文並舉，目的在於讓讀者從形、色、香、雅等四個方面，逐件地欣賞漆器藏品，同時感受中國傳統漆器文化知識的樂趣。書中展示了民間收藏的百餘件漆器精品，使用中英文雙語的說明、闡述，以饗海內外讀者...more
",https://www.books.com.tw/products/0010792883?loc=P_0003_010
