,書名,作者,出版日期,內容介紹,網址
1,「當高更遇上塞尚」對決套書：This is 高更、This is 塞尚,"喬治‧洛丹,喬蕊拉．安德魯斯",2020-10-29,"
「我很清楚，我是偉大的藝術家。因為我所經歷的苦難成就了我。」——保羅.高更   「我想要畫到死為止。」——保羅.塞尚   一八六○年代，在法國興起的新畫風──印象派，名稱由來雖出於藝壇主流的反諷，卻意外成...more
",https://www.books.com.tw/products/0010872993?loc=P_0003_001
2,This is 高更,喬治‧洛丹,2020-10-29,"
「我很清楚，我是偉大的藝術家。因為我所經歷的苦難成就了我。」——保羅.高更   對高更而言，藝術家是能夠透徹地看穿事物表象，並提煉出其中生命奧秘的人。   一八九○至九一年間，他繪製了一幅自畫像，畫中...more
",https://www.books.com.tw/products/0010872998?loc=P_0003_002
3,畫師之路：黃金的藝術人生,黃金,2020-09-11,"
曾幾何時，戲院流行懸掛外牆大型廣告畫，宣傳公映電影。這些戲院廣告畫，面積敞大，途人注目；投身這行業三十多年的黄金師傅，正是戲院廣告畫師中的翹楚。    本書記下黃金一生畫師之路。    他前半生都離...more
",https://www.books.com.tw/products/0010870708?loc=P_0003_003
4,千年一問CHEN UEN：鄭問紀錄片(全書),"陳怡靜,黃麗如",2020-09-02,"
一個人，創造一個江湖 他的作品，讓我們跟千古英雄有了共同的呼吸 風靡亞洲的漫畫家 鄭問 謹獻給所有對夢想赤誠的你    致敬鄭問   重磅級的訪談陣容   台灣╱張大春、林崇漢、馬利(郝明義)、黃健和、黃強...more
",https://www.books.com.tw/products/0010868003?loc=P_0003_004
5,從0開始圖解達文西,陳彬彬,2020-09-01,"
你一定要認識   世間絕無僅有的文藝奇才「達文西」   歐洲文藝復興時期的全能大師──達文西，   從小在繪畫方面就展現出過人的才華，在自然學術研究方面更是一位傑出的科學家與發明家。   他獨創的繪畫技法...more
",https://www.books.com.tw/products/0010868393?loc=P_0003_005
6,從心所欲：蘇曼殊詩畫論稿,黃永健,2020-08-24,"
本書從一代詩僧蘇曼殊的生平時代及其禪學思想出發，以他的繪畫作為研究標的，對他的思想、繪畫、繪畫觀念以及藝術成就進行較為全面的梳理；通過深入分析和適當概述，對蘇曼殊的身分定位、繪畫風格及文化價...more
",https://www.books.com.tw/products/0010867227?loc=P_0003_006
7,聽.寫 霍剛,"鄭乃銘,霍剛",2020-08-20,"
《聽|寫 霍剛》這本書，一開始就定調在⋯從霍學剛到霍剛，而不是在提論他的藝術創作。   時間；在霍剛身上似乎都很緩調。有誰會像他?他33歲赴歐，再回到台灣是83歲，整整50年；他生活在義大利米蘭。他18歲...more
",https://www.books.com.tw/products/0010868128?loc=P_0003_007
8,仙女日常奇緣：藝術家倪瑞宏的女子妄想,倪瑞宏,2020-07-30,"
玉皇大帝何時來接我? 低而不俗‧趣味惡搞 臺北美術獎入選藝術家 倪瑞宏的圖解仙女手冊  …………隨書附………… ☆仙女精美拉頁、仙女沙龍美照、仙女桃花改運法☆   「對我來說，好的藝術家就是創作高級垃圾的人類，...more
",https://www.books.com.tw/products/0010864440?loc=P_0003_008
9,This is 塞尚,喬蕊拉．安德魯斯,2020-06-29,"
「我想要畫到死為止。」——保羅.塞尚      詩人里爾克(Rainer Maria Rilke)說：「大師離世之後，我到處追隨他的蹤跡。」    塞尚是世界公認的偉大畫家，他的藝術成就在於挑戰繪畫傳統，並開創了繪畫藝術的...more
",https://www.books.com.tw/products/0010861013?loc=P_0003_009
10,黑暗中求光的反派畫師卡拉瓦喬：雅俗共賞的超寫實暴力美學，開啟巴洛克時代充滿戲劇張力的「明暗對照法」,金祥根,2020-05-27,"
魔鬼代言，藝術天使 與米開朗基羅齊名， 畫作珍貴到連羅浮宮都買不起， 雅俗共賞的超寫實暴力美學   卡拉瓦喬，藝術界的天才，一個時代的偶像，也是後世傳頌的永恆宗師   開啟巴洛克時代充滿戲劇張力的「...more
",https://www.books.com.tw/products/0010859702?loc=P_0003_010
11,亨利‧達格，被遺棄的天才，及其碎片：集純真與褻瀆於一身的非主流藝術家，無人知曉的癲狂與孤獨一生,吉姆‧艾雷居,2020-04-30,"
「亨利‧達格是我最喜歡的畫家之一。」──奈良美智 他驚世駭俗的畫作，為他引來戀童癖與性虐待的污名 但他的墓碑所銘刻的，卻是「藝術家與孩童的守護者」 他是二十世紀受誤解最深的藝術家、被世人背叛的天才...more
",https://www.books.com.tw/products/0010855566?loc=P_0003_011
12,手塚番：我曾伺候過漫畫之神,佐藤敏章,2020-04-30,"
●被譽為「漫畫之神」的手塚治虫，一起工作過的編輯第一手訪談!   ●面對死線的大師真面目以及經典神作的創作祕密!   ●漫畫名家安達充、高橋留美子、竹熊健太郎絕贊推薦!   ●收錄神之前助手、漫畫大師石坂啟...more
",https://www.books.com.tw/products/0010855791?loc=P_0003_012
13,梵谷與日本：東西方文明相互衝擊的世紀之交，一位偉大藝術家的日本足跡,原田舞葉,2020-04-29,"
文森・梵谷逝世130週年紀念出版 「浮世繪，是灌溉我藝術的泉源。」——Vincent Van Gogh   ★傳奇畫家X日本浮世繪   一段繪畫史上最令人驚嘆的邂逅!   ★藝術說書人 謝哲青——好評推薦   〈特別收錄〉   ❶梵谷...more
",https://www.books.com.tw/products/0010855555?loc=P_0003_013
14,Love in the Moment,Karen Chien,2020-04-01,"
Leland Lee is an internationally renowned artist who has held exhibitions in more than a dozen countries in Europe, Asia......more
",https://www.books.com.tw/products/0010853649?loc=P_0003_014
15,解碼梵谷：看圖秒懂大藝術家(2020新版),蘇菲・柯林斯,2020-03-03,"
很多人都知道梵谷是個19世紀的荷蘭藝術家，是後印象派運動的主導者之一，畫了世界名畫〈向日葵〉，還割掉了自己一隻耳朵。但大家也許不知道，他一輩子創作了2100件藝術品，卻只賣出一幅畫；他的作品〈嘉舍...more
",https://www.books.com.tw/products/0010850686?loc=P_0003_015
16,玉齋鑒藏記：王南屏先生事略,王樸仁,2020-02-21,"
王南屏先生(一九二四――一九八五)，號玉齋，原籍江蘇常州，是二十世紀活躍於中國乃至海外的知名書畫鑒藏家。玉齋所藏重要宋元書畫，如米芾《向太后挽詞貼》、宋徽宗《四禽圖卷》和王安石《楞嚴經旨要卷》等...more
",https://www.books.com.tw/products/0010850109?loc=P_0003_016
17,嫋嫋.清音.陳敬輝(附DVD),施慧明,2019-12-10,"
陳敬輝(1911-1968)   陳敬輝出生在牧師家庭，襁褓時過繼給舅舅陳清義為養子，成為馬偕家族的一員。四歲時隨養父赴日，後考入京都市立美術工藝學校和京都繪畫專門學校，奠定深厚的藝術根基。他在學時期即展...more
",https://www.books.com.tw/products/0010841142?loc=P_0003_017
18,絕對.奇安.趙春翔(附DVD),郭博州,2019-12-10,"
趙春翔(1910-1991)   趙春翔出生於頗負名望的書香世家，自小從父親學習書畫，熟讀四書五經，奠定傳統中國繪畫的基礎。就讀杭州藝專藝術系，師從林風眠、潘天壽；來臺後與李仲生、朱德群等人舉行現代畫聯展...more
",https://www.books.com.tw/products/0010841145?loc=P_0003_018
19,蓬萊.大觀.鄉原古統(附DVD),林育淳,2019-12-10,"
鄉原古統(1887-1965)   在臺灣度過三十歲至五十歲人生精華歲月的鄉原古統，本名堀江藤一郎，1887年出生於日本長野縣松本市。1910年東京美術學校畢業之後，前往京都女子師範學校任教。穩重的他，也極具冒險...more
",https://www.books.com.tw/products/0010841147?loc=P_0003_019
20,迴旋.婉約.黃潤色(附DVD),蕭瓊瑞,2019-12-10,"
黃潤色(1937-2013)   黃潤色是戰後以抽象繪畫成名畫壇的第一位臺灣女性藝術家，她也是「東方畫會」的成員，以迴旋、婉約的繪畫風格，受到畫壇矚目。   出身彰化的黃潤色，二十歲時即師從楊啟東學習基礎水...more
",https://www.books.com.tw/products/0010841153?loc=P_0003_020
21,礦夫.掘夢.蔣瑞坑(附DVD),李欽賢,2019-12-10,"
蔣瑞坑(1922-2007)   1922年蔣瑞坑生於瑞芳，與倪蔣懷為叔姪關係。1938年自公學校畢業，進入叔叔的礦場工作，並與洪瑞麟在此相遇，從而誘發他前往東京習畫，返臺後又回到原來職場，展開長達四十年的礦工歲...more
",https://www.books.com.tw/products/0010841187?loc=P_0003_021
22,綠舍.創型.莊世和(附DVD),蔣伯欣,2019-12-10,"
莊世和(1923-)   莊世和1923年生於臺南，幼年即隨家庭遷居屏東。就讀潮州公學校期間，愛好繪事的天分被日籍教師發掘鼓勵，開始以函授方式，接受日本內地的插畫與漫畫教學。1938年赴東京川端畫學校日本畫科...more
",https://www.books.com.tw/products/0010841188?loc=P_0003_022
23,曼妙.彩影.沈哲哉(附DVD),潘襎,2019-12-10,"
沈哲哉(1926-2017)   1926年出生於臺南的沈哲哉，創作生涯橫跨戰前與戰後美術界。就讀臺南州立臺南第二中學校時跟隨廖繼春學畫，深刻領略廖繼春的色彩表現精髓，十六歲即入選臺陽美展，1943年入選第6屆臺...more
",https://www.books.com.tw/products/0010841189?loc=P_0003_023
24,春望.遠航.秦松(附DVD),白適銘,2019-12-10,"
秦 松(1932-2007)   秦松出生於安徽，來臺後就讀於臺灣省立臺北師範學校藝術科，之後隨李仲生習畫，為「現代版畫會」的創始人之一，1959年加入「東方畫會」；同一年，其版畫〈太陽節〉獲第5屆巴西聖保羅雙...more
",https://www.books.com.tw/products/0010841191?loc=P_0003_024
25,微象.鏡映.姚慶章(附DVD),劉永仁,2019-12-10,"
姚慶章(1941-2000)   姚慶章出生於雲林西螺，四歲遷居臺中，1961年考進臺灣省立師範大學藝術系。1965年畢業後於國立臺灣藝術館舉行首次個展。1970年姚慶章赴美國紐約闖蕩，感受到當時紐約的藝術氛圍，尤其...more
",https://www.books.com.tw/products/0010841193?loc=P_0003_025
26,尊嚴.容顏.哈古(附DVD),盧梅芬,2019-12-10,"
哈古(1943-)   哈古出身於卑南族卡撒發干部落(Kasavakan，現今行政區為臺東縣臺東市建和里)的頭目家族。哈古雕刻的核心想法是，希望透過雕刻重建頭目與族群的尊嚴，其創作主題主要為族人與市井小民之容顏...more
",https://www.books.com.tw/products/0010841195?loc=P_0003_026
27,浦澤直樹 畫啊畫啊無止盡(全),浦澤直樹,2019-11-19,"
★收錄漫畫大師‧浦澤直樹出道30年來的創作歷程。   從《YAWARA! 以柔克剛》、《Monster 怪物》、《20世紀少年》到《BILLY BAT 比利蝙蝠》，一次又一次帶來震撼人心故事的大師創作訪談集!   浦澤直樹是漫畫...more
",https://www.books.com.tw/products/0010839921?loc=P_0003_027
