,書名,作者,出版日期,內容介紹,網址
1,掌上美術館(四)喵茶物語,周薇妮,2020-12-05,"
【掌上美術館】是由有度出版所推出的立體手作誌。第四輯《喵茶物語》，一共有四款由貓與茶所組成的立體場景。分別是代表中國茶文化的【文士的獨飲】，代表日本茶文化的【侘寂的一杯】，代表土耳其茶文化的...more
",https://www.books.com.tw/products/0010874687?loc=P_0003_001
2,掌上美術館(三)東瀛巨匠,陳柔安,2020-12-05,"
【掌上美術館】是由有度出版所推出的立體手作誌。第三輯《東瀛巨匠》，一共收錄江戶時代四幅浮世繪經典畫作，分別是歌川廣重的【大橋安宅驟雨】與【宮‧熱田神事】，以及葛飾北齋的【神奈川沖‧浪裏】與【甲...more
",https://www.books.com.tw/products/0010874684?loc=P_0003_002
3,掌上美術館(一)西洋巨匠,"沈嘉柔,陳柔安",2020-11-05,"
【掌上美術館】是由有度出版所推出的立體手作誌。第一輯《西洋巨匠》，共有梵谷的【星空】，林布蘭的【夜巡】，米勒的【拾穗】，以及孟克的【吶喊】，四幅大師的經典名畫。   《星夜》是荷蘭後印象畫派巨...more
",https://www.books.com.tw/products/0010874685?loc=P_0003_003
4,掌上美術館(二)四季之花,"沈嘉柔,陳柔安",2020-11-05,"
【掌上美術館】是由有度出版所推出的立體手作誌。第二輯《四季之花》，共有代表春季的【幽蘭】，夏季的【荷韻】，秋季的【採菊】，以及冬季的【望梅】，四幅大師的經典名畫。   所謂是「奇花異卉，艷麗榮...more
",https://www.books.com.tw/products/0010874688?loc=P_0003_004
5,丹青耀風華：承繼.開創.膠彩藝術,"李貞慧,林彥良,魯漢平",2020-10-27,"
膠彩藝術是臺中地區極具代表性與不可或缺的藝術領域。膠彩畫的正名者林之助早年於臺中成立「臺灣省膠彩畫協會」，中南部第一所擁有美術科系的東海大學成立時，也首創將膠彩畫課程正式納入學院教學體系，積...more
",https://www.books.com.tw/products/0010873163?loc=P_0003_005
6,世界名畫鑑賞入門：品味101幅西洋藝術經典之美,陳馨儀,2020-10-01,"
畫家故事×創作背景×專業賞析   66位畫家、101幅你不能不知道的大師作品   一網打盡跨越7個世紀的藝術經典之作!   本書精選101幅必須看懂的世界經典名畫，上自14世紀解放與覺醒的文藝復興時期，下至20世紀...more
",https://www.books.com.tw/products/0010871396?loc=P_0003_006
7,用視覺心理學看懂名畫的祕密：誰操控了你的感官?從光源、輪廓、意圖到構造，22堂透視「視覺魅力」的鑑賞認知課,三浦佳世,2020-09-02,"
在沒有心理學的年代，畫家就是最早的心理學家! ──名畫為什麼有魅力?── 心理學博士Step by Step帶你發現「操控感官」的知覺線索   * 市面上第1本「視覺心理鑑賞」專書!美術館實戰手冊   * 打造美學素養的22...more
",https://www.books.com.tw/products/0010868052?loc=P_0003_007
8,你不可不知道的101位中國畫家及其作品(二版),黃可萱,2020-08-24,"
看101位赫赫有名的中國畫家，如何揮灑墨筆，推動千年的美術巨輪 全新修訂，附獨家整理「中國美術史圖表」    中國繪畫美學不同於西洋藝術的迷人之處，在於它猶似鏡花水月，虛影寫意的創作方式，自然流露其...more
",https://www.books.com.tw/products/0010867283?loc=P_0003_008
9,華彩人生：孫澤清水彩紀念展,,2020-08-01,"
孫澤清老師水彩創作以花卉、風景、靜物為主，借助水彩媒介，運用繪畫語言與熟練的技巧，找到表達思想和內心情感的方法，秉持著「看不膩的畫就是好畫」理念，以希望畫出「一看再看的畫作」之理想。臺中市政...more
",https://www.books.com.tw/products/0010872308?loc=P_0003_009
10,你不可不知道的300幅名畫及其畫家與畫派(六版),許汝紘,2020-07-20,"
★ 暢銷十二年，經典不敗的藝術入門書 ★ ★ 海外授權多國的台灣本土西洋藝術入門 ★   這是一本帶領全年齡讀者進入西方藝術殿堂的必備書   您將學習如何欣賞藝術作品、了解畫家風格與流派   這是一本到博物館...more
",https://www.books.com.tw/products/0010863618?loc=P_0003_010
