,書名,作者,出版日期,內容介紹,網址
1,編舞筆記,強納森‧布洛斯,2020-08-05,"
國際知名舞蹈家、編舞家強納森‧布洛斯(Jonathan Burrows)認為舞蹈是與自己身體的思考方式進行的一場對話。他反思自己多年來的舞蹈生涯與創作經驗，以及帶領舞蹈工作坊的討論內容，詳細寫下創作、醞釀創意...more
",https://www.books.com.tw/products/0010865016?loc=P_0003_001
2,舞蹈與美學賞析：舞蹈通識、體驗與實踐,張瓊方,2020-03-01,"
舞蹈包含身體動作的訓練與鍛鍊，如何作為表達、演繹與藝術呈現的方式；因此，舞蹈的課程牽涉許多廣泛可探討的題材，也可作為人生基本素養的養成素材：對於美的見解，看待美好與表達的基本涵養，修練方式與...more
",https://www.books.com.tw/products/0010854114?loc=P_0003_002
3,50則非知不可的舞蹈欣賞概念,陳蒨蒨,2019-10-28,"
一幅畫，我們「看」到它的鮮豔色彩；一首歌，我們「聽」見它的悅耳動人；一件雕塑，我們「觸」摸到它的鬼斧神工。而一段舞蹈表演，除了可以看見舞者華美的服裝、聽見高潮迭起的背景音樂，更能用心感觸到，...more
",https://www.books.com.tw/products/0010838635?loc=P_0003_003
4,大野一雄：魂之糧x練習時的言語,"大野一雄,大野慶人",2018-11-16,"
大野一雄在華文世界第一本中文譯作   圖文並茂，從中深入大野一雄的哲學與舞踏的世界   「所謂舞踏的場所即是母親的腹中。生與死是緊密相連的一體，就如同人的出生必然也有死亡跟隨，總是內含著矛盾，而我...more
",https://www.books.com.tw/products/0010805368?loc=P_0003_004
5,舞蹈管理和製作的理論與實踐,"李艾倩,陳蒨蒨",2018-09-15,"
這本書不僅能為教授和學習舞蹈管理的專業人士提供大量的實用指南，而且還能為喜愛舞蹈的朋友們提供不少圈內的祕密。──歐建平教授   本書是一份學習筆記，書中毫無保留的提供了許多寶貴的實務經驗，相信能...more
",https://www.books.com.tw/products/0010799538?loc=P_0003_005
6,思與行：一個舞蹈社會實踐課的門道,"張中煖,王筑筠,王雲幼",2018-08-01,"
本書由北藝大舞蹈學院張中煖及王雲幼兩位老師所開授的「舞蹈社會實踐」博士班課程。透過文獻閱讀、實踐規劃、評判性反思等引導讓同學間互相學習，開拓舞蹈研究視野；並透過理論與實務的結合，擴展舞蹈應用...more
",https://www.books.com.tw/products/0010821541?loc=P_0003_006
7,2018說文蹈舞 淬煉‧粹煉,,2018-06-01,"
國立臺灣藝術大學舞蹈學系定於2018年05月26日(六)，舉辦 【2018說文蹈舞—舞蹈學術研討會】，本次會議將透過跨領域的研究與探索，在編創、展演，立論及教學實作中發現新機，並與當代社會脈動結合，呈現超越...more
",https://www.books.com.tw/products/0010821329?loc=P_0003_007
8,落日之舞：台灣舞蹈藝術拓荒者的境遇與突破1920-1950,徐瑋瑩,2018-01-19,"
從日本帝國趨於日落的太平洋戰爭後期，到國民政府遷台前的短暫暮光之際   台灣舞蹈藝術曾如夕陽中的幾抹雲彩，燦亮、多變、絢麗……   台灣精緻化、舞台化的舞蹈表演藝術，在觀念與形式上是殖民現代化的成果...more
",https://www.books.com.tw/products/0010775522?loc=P_0003_008
9,向舞者致敬：全球頂尖舞團的過去、現在與未來(五版),歐建平,2017-05-26,"
世界上的人都是怎麼在跳舞的? 從日本歌舞伎到好萊塢歌舞片，從踮著腳的芭蕾到裸足踏地的印度舞……。 全球十二個國家的舞蹈發展過程與重要舞團， 要了解舞動的世界，就從這裡開始!   舞蹈時間   早在舞蹈成...more
",https://www.books.com.tw/products/0010752580?loc=P_0003_009
10,2016說文蹈舞 舞蹈的創新與詮釋,國立臺灣藝術大學舞蹈學系,2016-06-01,"
本次會議活動邀請南華大學客座教授韓國首席宮廷樂舞舞者沈淑慶教授，講授專題『朝鮮樂舞』，以及邀請交通大學應用藝術研究所謝啟民副教授講授專題『組織動作的藝術』、天津音樂學院吳少卿老師分享『學院派...more
",https://www.books.com.tw/products/0010726874?loc=P_0003_010
11,向舞者致敬：全球頂尖舞團的過去、現在與未來(四版),歐建平,2015-09-30,"
世界上的人都是怎麼在跳舞的? 從日本歌舞伎到好萊塢歌舞片，從踮著腳的芭蕾到裸足踏地的印度舞……。 本書介紹全球十二個國家的舞蹈發展過程與重要舞團， 要了解舞動的世界，就從這裡開始! 舞蹈時間   早在...more
",https://www.books.com.tw/products/0010690937?loc=P_0003_011
12,疊韻：讓邊界消失，一場哲學家與舞蹈家的思辨之旅,"尚－路克．南希,瑪蒂德．莫尼葉",2015-02-05,"
《疊韻》是一場試驗，哲學與舞蹈的表達模式在此相會。 也許，它將帶領我們走向各種藝術之間相通(或不相通)的地方。  一場歷時近一年的即興對談， 沒有目的或野心，只有往返運動所需的輕， 因為沒有這種輕...more
",https://www.books.com.tw/products/0010663934?loc=P_0003_012
13,說文蹈舞2014：舞藝‧舞生‧新思潮,國立臺灣藝術大學舞蹈學系,2015-01-01,"
此次活動徵集國內大學舞蹈學系師生共同發表研究論文，其中包含探討舞作的創作理念分析、舞者肢體訓練及表演的特質運用，此外還有對舞蹈教學與課程之研究及舞蹈創作歷程理念等多面向探討，藉由此研討會提供...more
",https://www.books.com.tw/products/0010675976?loc=P_0003_013
