,書名,作者,出版日期,內容介紹,網址
1,生き甲斐：在當下，發現美與不美,瑪麗．藤本,2020-11-07,"
從日裔語言學家&英國攝影大師之眼，穿透日本從生到死的究極美學 43個日本美學關鍵詞 × 30幅極簡主義攝影圖像 沒有事物是永恆或無瑕的。 從出生到死亡、從醜陋到優雅、從殘缺到完美，生命的每一層次都如實...more
",https://www.books.com.tw/products/0010874730?loc=P_0003_001
2,圖解合成器入門,松前公高,2020-11-05,"
合成器是創造聲音&音樂可能性的最佳利器。在電子音樂當道的時代，絕對是音樂人必使用的創作工具。 合成器不僅可以模仿真實樂器，更是創造非現實中的聲音的佼佼者，真正是完全由創作者定義音色。  現代的數...more
",https://www.books.com.tw/products/0010874340?loc=P_0003_002
3,印象派全書：一本書看懂代表畫家及300多幅傑作，依時序了解關鍵事件與重要觀念，全面掌握一場藝術革命運動的演進全貌,薇若妮卡．布呂葉．歐貝爾托,2020-11-05,"
全面收錄印象派大師畫作， 以時間、空間、人物、事件勾勒出完整時代場景， 立體化呈現這場改變西方藝術的運動 莫內、雷諾瓦、竇加、羅丹、塞尚、梵谷等印象派藝術家在19世紀下半葉紛紛登上舞臺，他們用行...more
",https://www.books.com.tw/products/0010874332?loc=P_0003_003
4,裸樹與非雲：藝術創作腦中渾沌的曝光,陳柏源,2020-11-01,"
一邊創作，一邊思考創作!透過邏輯辯證思考，探討渾沌思考形態與藝術能量的展現!   ◎一位新生代藝術家提供對藝術創作思考的專業剖析及相關作品。   ◎將自己處於技術的極限之上，用不同思考方式審視創作題材...more
",https://www.books.com.tw/products/0010874681?loc=P_0003_004
5,超現實主義宣言,"安德列．布勒東,耿一偉",2020-10-31,"
「當超現實比現實還現實，發表一份破時代的宣言也是剛好而已。」 「超前幻想部署」第一人，催動新世紀藝術革命的經典文獻! 達利的扭曲時鐘、米羅的點線鳥群、畢卡索的幾何女子 都「超」越了「現實」! 今年...more
",https://www.books.com.tw/products/0010873850?loc=P_0003_005
6,文藝心理學,朱光潛,2020-10-28,"
作者在《談美》中說：要先看幾十部書才敢下筆寫本書一章，但「卻不露一些費力的痕跡」，其文字「像行雲流水，自在極了」(朱自清)。。   全書「把文藝的創作和欣賞當作心理的事實去研究，從事實中歸納出一...more
",https://www.books.com.tw/products/0010874189?loc=P_0003_006
7,圖像說故事與視覺敘事,威爾‧艾斯納,2020-10-17,"
大師親授最具影響力的圖像說故事技法! 「威爾˙艾斯納是開創這個領域的傳奇人物，我仍心懷敬畏，他讓我以身為卡通畫家為榮。」──朱德˙威尼克(Judd Winick)《佩德羅與我》與《綠光戰警》作者 「書中有動漫教...more
",https://www.books.com.tw/products/0010872977?loc=P_0003_007
8,出界 水墨空間的人間詩學：意識、物質、身體、文化、政治想像的時空旅誌,高千惠,2020-10-05,"
從探源到擴張， 從東方美學思維到全球化科技藝術介入， 關於水墨的九個叩問──    作為一種藝術類型，「水墨」概念究竟是如何被命名?   作為一種再現空間，水墨山水何以出現散點的空間觀?   作為一種詩畫同...more
",https://www.books.com.tw/products/0010870395?loc=P_0003_008
9,揹著家上路：徒步走遍日本、無處不為家的369天，家屋與人生的路上觀察誌(特別收錄圖文版簡介、走踏日本地圖與紙房子模型贈品),村上慧,2020-09-30,"
我們終其一生追求的「家」，是永恆的安定， 卻也是封閉生活、斷開與他人連結的無限迴圈? 王怡鳳(小房子書舖) 吳瑪俐(國立高雄師範大學跨領域藝術研究所副教授兼所長) 邱翊(島內散步執行長) 周育如(水越設...more
",https://www.books.com.tw/products/0010870951?loc=P_0003_009
10,守‧破‧離：日本工藝美學大師的終極修練,"王丹陽,王鴻諒,葛維櫻",2020-09-15,"
■日本工藝美學大師的深度對話   隈研吾│深澤直人│枡野俊明│宮崎駿   秋山利輝│小川三夫│川瀨敏郎│長艸敏明│塩野米松    ■動畫│建築│設計│美學│工藝   守=堅持傳統，破=脫出常規，離=昇華境界    ■賭上了一...more
",https://www.books.com.tw/products/0010869285?loc=P_0003_010
11,形象科學：視覺文化研究大師W. J. T 米契爾，探索形象本質經典之作,W. J. T. 米契爾,2020-09-10,"
▌超越自然科學與人文學科的巨大鴻溝 ▌ ▌開闢觀看世界全新視野 ▌ 當代視覺文化研究權威W. J. T. 米契爾 極具開創性的形象剖析論著──繁體中文版首度問世! W. J. T. 米契爾教授的經典著作《圖像學》(Iconolog...more
",https://www.books.com.tw/products/0010869004?loc=P_0003_011
12,〔新譯〕永井荷風江戶藝術論：收錄〈鈴木春信的錦繪〉、〈龔固爾的歌麿及北齋傳〉等,永井荷風,2020-08-31,"
《江戶藝術論》出版一百周年紀念。 日本小說家、隨筆家--永井荷風， 用浮世繪表白對「逝去的江戶」的迷戀， 感慨歐化風潮下的日本社會。    永井荷風，日本著名作家。師承廣津柳浪學習小說創作，亦學習尺...more
",https://www.books.com.tw/products/0010867508?loc=P_0003_012
13,當代藝術關鍵詞 100(二版),暮澤剛巳,2020-08-01,"
一本看懂當代藝術的「保證不迷路指南」! 獻給想問「當代藝術到底在變什麼把戲?」的你! 100個關鍵詞，快速掌握當代藝術流派與演化潮流 100個關鍵詞，輕鬆踏上欣賞各種藝術表現形式的捷徑 100個關鍵詞，讓你...more
",https://www.books.com.tw/products/0010864837?loc=P_0003_013
14,硬美學：從柏拉圖到古德曼的七種不流行讀法,劉亞蘭,2020-07-24,"
美×藝術×哲學   我們的身邊充斥著各式各樣的設計作品，從公共空間的裝置藝術，到藝術館內靜靜陳列的藝術品，因而欣賞藝術成為了像呼吸一樣自然的事情。   然而我們或多或少都曾經為了美與藝術背後的哲學問...more
",https://www.books.com.tw/products/0010865037?loc=P_0003_014
15,臺灣關鍵年代的文化省思與藝術評論：石守謙論集,石守謙,2020-06-15,"
石守謙教授所提之至要關鍵的論點，   仍符合時代、超越時代，不受時空所限，   引領青年讀者向文化最熱情而具強烈力量的「關鍵年代」致敬!   本書集結石守謙教授一九八〇至一九九〇年代，於《雄獅美術》與...more
",https://www.books.com.tw/products/0010860853?loc=P_0003_015
16,睡眠的方法：無意識的藝術、生物學和文化,馬修．富勒,2020-06-10,"
從哲學、藝術以及科學角度觀察睡眠樣貌，   50則關於睡眠的解析，將引領你進入最深層的睡眠國度!   睡覺真的重要嗎?   對於睡眠這個日常的行為活動，你了解多少?   我們真的可以如實說出「我睡著了」這句...more
",https://www.books.com.tw/products/0010858318?loc=P_0003_016
17,網絡與階層：走向立體的明清繪畫與視覺文化研究,王正華,2020-05-13,"
本書共收錄七篇論文，採取「網絡」與「階層」的研究取徑，探討明末至盛清時期藝術的社會文化現象。所謂「網絡」，指的是不同人物、群體、地域或場域(例如宮廷與民間社會)所形成的連結或對照組合，而「階層...more
",https://www.books.com.tw/products/0010857142?loc=P_0003_017
18,西方美學關鍵思維,曾長生,2020-05-01,"
臺灣適合閱讀的藝術理論專書不多，且多分散於哲學、文學、文化人類學、社會學、心理學、美術史與藝術家傳記等論著中。本書即結合了美學、藝術史與創作理論，深入探討西方美術史(從文藝復興時期到後現代)演...more
",https://www.books.com.tw/products/0010857425?loc=P_0003_018
19,日常生活美學 ：擁抱美感生活的5堂課,齋藤百合子,2020-04-28,"
可以是，裝飾著花形胡蘿蔔的手作便當   可以是，塌塌米被太陽曬過的微微清香   可以是，花季尾聲散落庭園的凋謝櫻花   平凡的外表下常會蘊含著豐富寶藏，只要您願意將樸石打磨出光采    日常生活美感是顯...more
",https://www.books.com.tw/products/0010856312?loc=P_0003_019
20,看見與觸碰性別：近現代中國藝術史新視野,"賴毓芝,阮圓,高彥頤",2020-04-20,"
「性別」在中國歷史脈絡裡究竟如何被看見?如何觸覺?   1988 年，許多被遺忘的女性畫家透過美國印第安納波利斯美術館「玉臺畫史」展覽被發掘出來，在當時引領風潮。30 多年後的今天，《看見與觸摸性別》的...more
",https://www.books.com.tw/products/0010855128?loc=P_0003_020
21,談美,朱光潛,2020-02-28,"
安徽大學教授宛小平(朱光潛先生嫡孫)為臺灣版寫序   「美到底是什麼」和「美從哪裡來」?   美學家以書信方式為青年寫的美學入門書   全書以書信體的形式，從要求人生淨化，先要求人生美化的理念出發，說明...more
",https://www.books.com.tw/products/0010850468?loc=P_0003_021
22,藝術家的職涯管理術：如何讓你的作品變商品!,"喬納森‧梅爾伯,希瑟‧達西‧班達里",2020-02-15,"
※※※ 這是一本追求藝術事業的權威指南! ※※※   本書適合誰來讀?   不只對於藝術家的職涯有幫助，《藝術家的職涯管理術》對於畫廊負責人、經紀人、藝術顧問，和所有想要在藝術界創建自己事業的人，都具有重要...more
",https://www.books.com.tw/products/0010845955?loc=P_0003_022
23,當美學遇到經濟,陳凱筠,2019-12-31,"
美學與經濟是生活中最愉悅且必要的命題，與每個人都息息相關。兩者的碰撞激盪，能為我們的生活帶來什麼改變?本書透過不同視角，帶領我們了解當美學遇到經濟後的美好效應。...more
",https://www.books.com.tw/products/0010846067?loc=P_0003_023
24,色彩互動學(50週年暢銷紀念版),約瑟夫・亞伯斯,2019-12-26,"
耶魯大學出版社珍藏經典.繁體中文版首度發行! 20世紀最具啟發性的色彩認知理論 「我沒教過藝術，我教的是哲學；我沒教過繪畫，我教的是觀看。」──包浩斯巨匠、色彩學之父 約瑟夫・亞伯斯(Josef Albers) 遵...more
",https://www.books.com.tw/products/0010843316?loc=P_0003_024
25,在當代之後：2017-2018春之當代藝論,辛友仁等,2019-12-26,"
本合集匯集了2017-2018年春之當代夜講座內容，收錄包含講座紀實及國外學者專文，共19篇精采文章，循著東北亞、東南亞到歐美大陸等當前重要議題的軌跡，檢視當下的藝術生態，並開啟藝術史、策展、聲音，以...more
",https://www.books.com.tw/products/0010843935?loc=P_0003_025
26,藝用解剖全書(暢銷紀念版),莎拉．席姆伯特,2019-12-26,"
全球12種語文.銷售400,000冊.跨繪畫、攝影各種藝術領域必備經典 掌握解剖知識是藝術家理解進而詮釋人體的關鍵。在藝用解剖學領域聲譽卓著的作者莎拉.席姆伯特，引導讀者以全新的角度透視人體內在結構，提...more
",https://www.books.com.tw/products/0010843310?loc=P_0003_026
27,藝術家在做什麼?：六個理解藝術的二十世紀經典例子,李歐納．科仁,2019-12-13,"
總有人問，藝術是什麼?或許你可以更進一步這麼問，藝術家都在做些什麼事情?這個問題的答案也同時讓你搞懂藝術的本質。儘管藝術家做的事情成千上萬，作者在這本書中信手拈來六件藝術家所做的工作，卻足以代...more
",https://www.books.com.tw/products/0010840866?loc=P_0003_027
28,點線面(全新修訂版),康丁斯基,2019-11-19,"
藝術元素是藝術品的基礎。   藝術科學的基礎研究，首要課題即是藝術元素的分析。   顏色是琴鍵，眼睛是琴槌，靈魂是鋼琴的琴絃。藝術家就是演奏的手，撫弄著一個又一個琴鍵，讓靈魂震顫。   藝術品有如一...more
",https://www.books.com.tw/products/0010839293?loc=P_0003_028
29,托爾斯泰藝術論(修訂版),列夫．尼可拉葉維奇．托爾斯泰,2019-10-30,"
托爾斯泰在以小說家的身分享譽俄國、歐美文壇時，他也開始思索他所看到、聽到的文學、戲劇、舞蹈、音樂的種種現象，並將之與道德、宗教，社會的公平正義相連結。透過文字，托爾斯泰在心中反覆論辯的問題是...more
",https://www.books.com.tw/products/0010837485?loc=P_0003_029
30,宗教藝術論,蔣述卓,2019-10-28,"
★跨領域學習原始宗教與藝術之間的關聯，本書提供另一種角度看待藝術的立場與方法。這是一部宗教學、藝術學學者值得參考的研究書籍。   在宗教發展的漫長歷史中，宗教藝術也隨之蓬勃發展，並在表現形態上顯...more
",https://www.books.com.tw/products/0010837230?loc=P_0003_030
31,原創的真相：藝術裡的剽竊、抄襲與挪用,勞勃‧蕭爾,2019-10-15,"
★ 首度公開 —— 藝術界百年來相互抄襲，卻又不明說的詭譎傳統   ★ 一語道破 —— 創作沒有100%原創，複製重組才是硬道理的真相   真相一：最原創的藝術至少都涉及一兩個明確的，明顯的竊盜行為 – 就是簡單的...more
",https://www.books.com.tw/products/0010835539?loc=P_0003_031
32,格物致知：實論藝術管理,"Benson Puah,Henry Fogel,Pete Dyson,夏學理,崔德煒,朱宗慶,梁麗珍,謝嘉哲,鄭新文,鄺華歡",2019-09-10,"
這本書系統整理了2016 年度「創藝館」的研習成果，內容覆蓋藝術管理領域的十大主題板塊，整理了「專業場」十位來自海內外的藝術管理精英與我國藝術管理人才的深度探討：Benson Puah 就藝術場館運營做出了...more
",https://www.books.com.tw/products/0010835308?loc=P_0003_032
33,春畫：從源流、印刷、畫師到鑑賞，盡窺日本浮世繪的極樂世界,車　浮代,2019-08-31,"
愈是禁止愈是奢華富麗的絢爛工藝 時代小說家、江戶文化研究者車浮代 以九十幅春畫為教材的浮世繪教室，開講! ▍「浮世」一詞與悲觀的佛教世界觀有何關係? ▍春畫是拿來鑑賞?祈福?教學?還是滿足性慾? ▍春畫裡...more
",https://www.books.com.tw/products/0010831726?loc=P_0003_033
