,書名,作者,出版日期,內容介紹,網址
1,I AM奉俊昊,Storybox,2020-09-18,"
重寫韓國的電影史， 永遠的創作者——奉俊昊   從黑白電影的電影迷，   搖身一變成為席捲韓國國內外優秀電影節獎項的世界級電影導演，   感動全世界的奉俊昊導演對電影的想法和表現的方法。   收錄奉俊昊第...more
",https://www.books.com.tw/products/0010870309?loc=P_0003_001
2,歐洲無聊日記,伊丹十三,2020-09-01,"
伊丹十三第一本作品 台灣首度出版   若讀此書能莞爾一笑，表示你喜歡玩真的，而且有些算是怪人。   松浦彌太郎的床頭書/森見登美彥的旅遊常備書/   向田邦子 百本推薦料理書之一/新井一二三的歐式生活教科...more
",https://www.books.com.tw/products/0010868400?loc=P_0003_002
3,電影人,盧玉瑩,2020-08-21,"
黑白之間 盡現每個電影人的靈魂   1979年，《電影雙周刊》開始連載專欄〈曝光人物〉，以黑白照呈現電影工作者的工作日常︰沉着、認真、投入，時而嚴肅、時而輕鬆，照片都是攝影師在片場捕捉和等待，或是邀...more
",https://www.books.com.tw/products/0010868678?loc=P_0003_003
4,香港時代光影Ⅱ,剛田武,2020-08-01,"
譚詠麟、周星馳、黎明、張曼玉、周慧敏……曾為亞洲影視風向球的港星，一個名字就是一個傳奇   ◎繼《香港時代光影》後，許多更為現代人熟知的天王天后，在此一一登場。   ◎時代人物囊括影、視、歌，不僅藝人...more
",https://www.books.com.tw/products/0010864683?loc=P_0003_004
5,走在，沒人想去的地方：樹木希林離世前的最後採訪,樹木希林,2020-05-28,"
這是，樹木希林臨終前的最後遺言； 這是，她面對人生最後一次採訪最誠實的自白； 裡頭，不是只有佳話， 有身為演員的任性；有身為母親的糟糕， 樹木女士打算毫不保留地說出一切……   ★樹木希林離世半年前，...more
",https://www.books.com.tw/products/0010858847?loc=P_0003_005
6,宛如走路的速度：我的日常、創作與世界,是枝裕和,2020-05-13,"
「如果我的電影作品是安靜沉澱於水底的東西， 那麼，這本散文集就是沉澱之前，緩緩漂浮於水中的泥沙之結合。」   擅長以樸實平淡的影像，敘說日常情感的是枝裕和，首次透過文字，深入而多樣地暢談對創作、...more
",https://www.books.com.tw/products/0010857081?loc=P_0003_006
7,在這樣的雨天：圍繞是枝裕和的《真實》二三事 (博客來獨家書衣版),是枝裕和,2020-05-06,"
★第七十六屆威尼斯影展開幕片 ★角逐第七十六屆威尼斯影展主競賽單元 ★二○一九多倫多國際影展正式入選電影 ★法國傳奇女星凱薩琳丹妮芙領銜主演 ★《布拉格的春天》《星光雲寂》茱麗葉畢諾許、《愛在三部曲》...more
",https://www.books.com.tw/products/0010856560?loc=P_0003_007
8,蝦蟆的油：黑澤明尋找黑澤明(大師誕生 110 週年，名家導讀紀念版),黑澤明,2020-05-02,"
✺ 日本影壇至尊、世界電影史的傳奇──黑澤明 ✺ ✺ 生平唯一親筆自傳、大師「提早撰寫的遺書」✺ 【電影天皇誕生 110 週年 名家導讀紀念新版】 ☑他，是史蒂芬.史匹柏眼中的「影壇莎士比亞」 ☑他，讓法蘭西斯....more
",https://www.books.com.tw/products/0010855741?loc=P_0003_008
9,笑看人生紛擾其實空：言語的魔法,鈴木敏夫,2020-04-29,"
★中文版獨家 鈴木敏夫親書中文書名與篇章名   「宮崎駿作畫，我寫字。」   從手寫的「文字」閱讀   宮崎駿動畫幕後推手鈴木敏夫的「言語」!   從《風之谷》、《天空之城》、《龍貓》到《風起》、《輝耀姬...more
",https://www.books.com.tw/products/0010849309?loc=P_0003_009
10,導演功課,David Mamet,2020-04-29,"
憑著獨特的編劇技巧及多部劇情片的實務經驗，David Mamet在本書說明了電影是如何構組而成的。他從不同的面向——自劇本發想到剪接——揭示導演在面對眾多「功課」時，內心最重要的主旨：呈現一個觀眾可以了解...more
",https://www.books.com.tw/products/0010855535?loc=P_0003_010
11,島與鯨。海洋之子。：《男人與他的海》拍攝紀實,黃嘉俊,2020-04-01,"
★創下台灣史上最高募資紀錄，超過1180萬，共5817人襄贊!   ★耗時3年，耗資千萬拍攝，許多精采鏡頭連專業海洋人士也懾服。   ★「電影《男人與他的海》預定2021年全國上映!」   不是島，我是魚。隨時睡醒，...more
",https://www.books.com.tw/products/0010852885?loc=P_0003_011
12,是枝裕和：再一次，從這裡開始,是枝裕和,2020-02-11,"
是枝裕和從電影創作中叩問， 「真正的真實，究竟是什麼」?   「對我來說虛構內容也是描繪一個人的人生，在作品中呈現充滿皺褶的真實感。」──是枝裕和   一本是枝裕和完全解析手冊!   ▸ 為求演員的真實表現...more
",https://www.books.com.tw/products/0010846883?loc=P_0003_012
13,有感覺：河正宇的繪畫與生活隨筆,河正宇,2020-02-03,"
「想要成為優秀演員，其實就等於想要成為優秀的人。 我只想成為對人生有更深刻領悟的演員； 現在的我，正走在通往演員的路上。」   他時時刻刻做足準備，   因為他自知不是「感覺來了」就臨場發揮的演員；...more
",https://www.books.com.tw/products/0010846980?loc=P_0003_013
14,在夢中,"克莉絲汀娜．麥坎娜,大衛．林區",2020-01-21,"
人們閱讀《賈伯斯傳》去理解人為何要改變設計；   讀這本自傳，見證一個人如何改變電影。   在他的電影裡，你被迫做了一場夢……   那些夢/惡夢，究竟是怎麼回事??   大衛‧林區的親筆自傳。   「穆荷蘭大道...more
",https://www.books.com.tw/products/0010846321?loc=P_0003_014
