,書名,作者,出版日期,內容介紹,網址
1,預備教育的未來：新時代的學習樣貌，打造面對挑戰的適應力、恆毅力與自我學習力,黛安‧塔文納,2020-09-03,"
在變化急遽的社會與經濟情勢中，我們該如何帶動教育的翻轉，為孩子預備未來，擁有豐盛圓滿的人生?    臉書創辦人馬克‧祖克柏與微軟創辦人比爾‧蓋茲   都認同的教育理念   為所有教育工作者及家長指引未來...more
",https://www.books.com.tw/products/0010868579?loc=P_0003_001
2,守護生命之火：照亮中學生的未來,貝蒂•施特利,2020-08-28,"
中學階段為何是脆弱的斷層?中學生最需要哪些陪伴與養成教育?為什麼我們不能再用自己的成長經驗來對應和看待現在的青少年?   橫跨半世紀以來，作者擔任華德福教師及師資培育講師，教學生涯超過一半的時間在...more
",https://www.books.com.tw/products/0010867802?loc=P_0003_002
3,芬蘭人教曉我：教育可以是一件幸福的事,何海濤,2020-08-28,"
作者何海濤親自去到「教育第一」的芬蘭考察，以一個老師的身份去參與考察團，了解這個地方是如何辦教育。透過文字，與讀者分享當中的所見所聞。   15位老師帶着夢想，踏足芬蘭，把35天的經歷結集成書。   ...more
",https://www.books.com.tw/products/0010869384?loc=P_0003_003
4,根植與共建：新加坡學前教育研究,,2020-08-06,"
新加坡是一個集種族、語言、文化、宗教多元的國家，在這種多元文化背景之下，新加坡的學前教育也形成了獨特的風格。    書中收錄了新躍社科大學與北京師範大學聯辦的第一屆學前教育方向教育碩士專業的九篇...more
",https://www.books.com.tw/products/0010873050?loc=P_0003_004
5,新加坡幼兒教育發展(1842-2018),"陳如意,黃雪雲",2020-08-06,"
本書整理了從1842-2018近200年新加坡幼稚教育發展歷史，完善客觀地呈現本地幼稚教育的全貌和發展軌跡，記錄了不同的機構組織、社區、宗教團體以及政府為幼稚教育提供支持與協助。是第一本詳細收錄新加坡幼...more
",https://www.books.com.tw/products/0010873056?loc=P_0003_005
6,美國讀寫教育：六個學習現場，六場震撼,曾多聞,2020-06-24,"
讀寫教育，是老師和父母最需要學習的祕訣﹗ 10歲孩子閱讀多少，影響他16歲的學習成就﹗ ─陳昭珍 國立臺灣師範大學教務長   來自美國讀寫教育的六個現場的六場震撼，   家長、教師都需要認識的關於讀寫教育...more
",https://www.books.com.tw/products/0010861213?loc=P_0003_006
7,i世代報告：更包容、沒有叛逆期，卻也更憂鬱不安，且遲遲無法長大的一代,珍．特溫格,2020-04-01,"
誰是i世代?他們和過去的世代有何不同?我們又要如何了解他們? 本書是第一本全方位理解i世代的調查報告。 而理解i世代，我們才能知道未來該何去何從!   i世代正是，或即將是你巿場行銷的對象、你要招募的新...more
",https://www.books.com.tw/products/0010853127?loc=P_0003_007
8,為什麼我們製造出玻璃心世代?：本世紀最大規模心理危機，看美國高等教育的「安全文化」如何讓下一代變得脆弱、反智、反民主,"強納森‧海德特,葛瑞格‧路加諾夫",2020-02-29,"
這是人人為了正義出征的年代，也是飽受憂鬱焦慮所苦的年代 差別只在於：你是為自己討回公道的受害者?還是咎由自取的加害者? 而無論何者，每個人都感覺自身安全岌岌可危，個人權利遭受剝奪 當教育方針不斷...more
",https://www.books.com.tw/products/0010850061?loc=P_0003_008
9,我在芬蘭中小學做研究的日子：芬蘭中小學教育現場課室親身觀摩365日,陳玟樺,2020-02-26,"
以研究者敏銳的觀察力，深度向師生立體學習。 一起跟著作者直接到芬蘭教室觀察吧!   ●由一假新聞談起-- 芬蘭廢除學科教學? 作者正巧幸運地獲得科技部的獎助學金補助，帶我們一起直接到芬蘭教室觀察!   ●芬...more
",https://www.books.com.tw/products/0010849648?loc=P_0003_009
10,陪你找出路：生涯規劃工作者手冊,何玉芬,2020-02-17,"
生涯規劃教育在香港已推行了一段日子，原意為幫助學生規劃前路，然而幾年過去，只有極多批評聲音，不但學界，甚至名人也批評生涯規劃教育未能幫助學生，令老師感為難及無所適從。學生也未能領略箇中益處。...more
",https://www.books.com.tw/products/0010855094?loc=P_0003_010
11,無畏的領導，堅定的愛：一位美國高中校長翻轉教育的成功故事,琳達．克萊特-威曼,2020-01-15,"
請大膽無畏的領導，以達成你的目標， 並且在這個過程中，看看你會發現什麼樣的自己。   琳達‧克萊特-威曼 (LINDA CLIATT-WAYMAN)是一位美國高中校長，當她接下北費城一所高中校長首日，她便發現學校情況相...more
",https://www.books.com.tw/products/0010845946?loc=P_0003_011
12,失去山林的孩子：震撼全美教育界，搶救科技冷漠小孩，治癒「大自然缺失症」的最佳處方,理查．洛夫,2019-11-06,"
──震撼全美教育界的必讀書目──   搶救科技冷漠的滑世代未來   ADHD、過胖、憂鬱、躁鬱孩子最需要的自然療法   你的孩子是否寧可在家上網，也不肯到戶外走走?   即使到了戶外，還是戴著耳機聽音樂?   你的...more
",https://www.books.com.tw/products/0010838545?loc=P_0003_012
13,i世代的成績陷阱：高分=美好未來?幫孩子找到責任感、同理心、好奇心、品格力，才是比分數更重要的事,丹妮絲．波普,2019-10-09,"
●獲頒《美國學校董事期刊》教育類金書獎●   ●TAS指定閱讀圖書●   ●亞馬遜教育類與教學類四星好評長銷書●   一本現代孩子的真實心聲。   為了拿高分、上大學，他們不惜犧牲睡眠、健康、生活，   甚至放棄自...more
",https://www.books.com.tw/products/0010836401?loc=P_0003_013
