,書名,作者,出版日期,內容介紹,網址
1,審訂音活學活用字典(2版),蔡有秩,2020-08-28,"
表格式整理出審訂音，牢牢記住標準字音   獨創用國字字根排序，牢牢記住標準字形   本書收錄約一萬個字頭，以孳乳字的方式編排，提供了一個不同於部首索引的字典使用方式，讀者可以清楚觀察到同偏旁字群的...more
",https://www.books.com.tw/products/0010868281?loc=P_0003_001
2,新編標準辭典(25k),世一文化字典編輯群,2020-08-13,"
本辭典收錄約七千字，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，近九成語詞附有例句；字體大，閱讀舒適，並有生動的插圖；附三種...more
",https://www.books.com.tw/products/0010868039?loc=P_0003_002
3,Hello Kitty國語辭典(64K),世一文化字典編輯群,2020-06-26,"
辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語...more
",https://www.books.com.tw/products/0010863332?loc=P_0003_003
4,Hello Kitty國語辭典(32K),世一文化字典編輯群,2020-06-26,"
辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語...more
",https://www.books.com.tw/products/0010863328?loc=P_0003_004
5,Hello Kitty國語辭典(50K),世一文化字典編輯群,2020-06-26,"
辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語...more
",https://www.books.com.tw/products/0010863330?loc=P_0003_005
6,漢語成語詞典 (修訂本),尹振海,2020-06-12,"
精選現代漢語中通用的成語、香港與台灣書報雜誌常用的成語近 3,500 條   適合中學生、中小學教師和具有中等文化程度的讀者使用...more
",https://www.books.com.tw/products/0010861563?loc=P_0003_006
7,商務學生詞典(二版),"杜功樂,盛九疇",2020-06-12,"
本詞典是與《商務學生字典》相輔並行的小型語文工具書，主要供中、小學學生和教師使用。   《商務學生詞典》則突出詞典的功能。漢字是表意文字，有鮮明的形、音、義特徵，且字是組成漢語的基本符號，所以...more
",https://www.books.com.tw/products/0010861572?loc=P_0003_007
8,學生成語詞典(彩圖版),彭曉莊,2020-06-12,"
適合中 、小學生使用。收錄534個最基本、最常見的成語。凡成語有簡體字寫法的，均予列出。註明標準普通話和廣州話讀音。   解說文字清楚、準確、扼要。每條成語配插圖一幅，幫助理解，並提高閱讀興趣。   ...more
",https://www.books.com.tw/products/0010861566?loc=P_0003_008
9,標準國語辭典(50K),,2020-05-26,"
本辭典收錄約七千字，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，近九成語詞附有例句；字體大，閱讀舒適，並有生動的插圖；附三種...more
",https://www.books.com.tw/products/0010860048?loc=P_0003_009
10,學生必備造詞造句辭典,世一文化字典編輯群,2020-03-13,"
本辭典依教育部頒布、審定的標準字體、標準國字筆順與一字多音審訂表編輯，收錄約一萬六千條語詞，且大多附例句，例句通順，內容充實。全書注音完備，詞條充足，最後附多項附錄，是一部適合學生的造詞造句...more
",https://www.books.com.tw/products/0010852804?loc=P_0003_010
11,最新標準辭典,世一文化字典編輯群,2020-02-26,"
本辭典收錄約七千字，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，近九成語詞附有例句；字體大，閱讀舒適，並有生動的插圖；附三種...more
",https://www.books.com.tw/products/0010851291?loc=P_0003_011
12,小學生國語辭典(增訂四版),"張孝裕,陳佳君",2020-02-21,"
◎收錄六千餘字，詞彙豐富多元!   補充詞語例句、近反義詞與衍生詞，幫助延伸學習。   ◎注音最準確，考試高分真容易!   依教育部《一字多音審訂表》標示，由審音委員張孝裕教授親自校閱。單字附注漢語拼音...more
",https://www.books.com.tw/products/0010850079?loc=P_0003_012
13,精解國語辭典(道林紙本)(增訂五版),"張孝裕,陳佳君",2020-02-07,"
■收錄字詞，同級字典我最多!   廣納教育部頒布常用字、次常用字、各版教材常學到的生字；以及日常生活中各種實用詞語!   ■字體筆順，套色呈現最清晰!   依教育部《常用國字標準字體表》與《標準字體筆順手...more
",https://www.books.com.tw/products/0010848750?loc=P_0003_013
14,64K常用國語辭典,世一文化字典編輯群,2020-01-26,"
全書收錄六千餘字，各字注音完備，每個讀音均依詞性分項解釋，並附例詞或例句，加強理解。以部首、筆畫編排，採教育部頒布之「一字多音」、「標準字體」、「標準國字筆順」編製，附「部首索引」、「總筆畫...more
",https://www.books.com.tw/products/0010848429?loc=P_0003_014
