,書名,作者,出版日期,內容介紹,網址
1,香港閩南方言生態研究,徐宇航,2020-09-30,"
香港作為發展成熟的國際大都會，聚集了來自世界各地的不同人群，語言生態面貌豐富，接觸現象時有發生。因「兩文三語」政策的實施，香港以英文、中文(現代漢語)為書面語言，居民日常口語則以粵語為主流，另...more
",https://www.books.com.tw/products/0010873036?loc=P_0003_001
2,台灣外來語：外國來ê台灣話,李南衡,2020-09-14,"
「外來語」指的是從其他語言中借來的詞彙， 維生素、西裝、白蘭地、番茄、北漂、釘子戶…… 這些常見的外來語，讓我們的生活詞彙更加豐富， 也見證了台灣社會與歷史的變化。    隨著人們生活的變化，語言也...more
",https://www.books.com.tw/products/0010870185?loc=P_0003_002
3,我咧唱歌,王秀容,2020-08-19,"
散食囡仔變做臺語博士   外文專業行入臺文志業   勞苦業命體悟自由放下   一切 攏是愛攏是恩典   萬項 攏感謝天公伯仔   有一種人生，家境散食，阿母的愛，予伊免一下出世就送予人做囝。   有一種人生，骨...more
",https://www.books.com.tw/products/0010867303?loc=P_0003_003
4,拋荒的故事：全套書(共6輯),陳明仁,2020-07-15,"
回顧五、六○年代的那些人、那些事 最有古早味，也最有人情味的台灣故事  重現那個已經消失的年代，那個曾經社會文化價值觀 也保存了幾乎要消失的那個年代的母語    ◎套書收錄：   1. 拋荒的故事第一輯：田...more
",https://www.books.com.tw/products/0010864540?loc=P_0003_004
5,我的第一本台灣話：中文、羅馬拼音對照，6天學會說台語 (附MP3),許明芳,2020-07-08,"
零基礎最佳入門書， 精選使用頻率最高的情境對話、字彙， 用最簡單的句子表達意思， 學習零負擔，溝通零障礙， 台語.中文.羅馬拼音三語對照， 從發音到會話，馬上開口說。   台灣每年有將近1200萬的國外觀...more
",https://www.books.com.tw/products/0010863574?loc=P_0003_005
6,漢音注音符號系統：閩南語篇,鄭煌榮,2020-03-28,"
◎快速正確學習閩南語(台語)的最佳注音符號   本書原為漢語拼音研究，為閩南語(台語)及研究漢音(中古音)而設，由國語注音符號擴展而完成。   此套注音符號系統：   1.可注閩、台、國語。換句話說，可注上古...more
",https://www.books.com.tw/products/0010853249?loc=P_0003_006
7,小王子 台語版【附台語朗讀QRcode】,Antoine de Saint-Exupéry,2020-03-18,"
翻譯超過300種語言的世界文學經典，走揣仝款的純真。   《小王子》作者120歲誕辰，台語有聲版精彩出世。    「上蓋重要的物件，用目睭是看袂著的。」    小王子是對真遠的小行星B-612來的，這是一粒一工會...more
",https://www.books.com.tw/products/0010851523?loc=P_0003_007
8,左丘失明 厥有台語,簡道凡,2020-02-10,"
《春秋左氏傳》的台語新解，為漢語古今音變梳理更多可研究的素材。    ◎《春秋左氏傳》的台語新解，打破北京話的隔閡，看古籍不再霧裡看花。   ◎以台語(閩南語)重新訓釋《春秋左氏傳》，上窺三皇五帝時的...more
",https://www.books.com.tw/products/0010848582?loc=P_0003_008
9,奪人ê愛：藍春瑞台語小說集(2),藍春瑞,2020-02-01,"
一世人短短--à，是幾十冬niâ，uì讀冊、做兵、娶某生囝、公務員ê考試到入去官廳，phâng hit款食bē飽、iau bē死ê頭路，m̄管是公所、農委會ê試驗單位、國中、病院kap工程機關到路尾仔四个高中，tîng-tîng-tha...more
",https://www.books.com.tw/products/0010848726?loc=P_0003_009
10,台灣俗語鹹酸甜(第四冊),蕭平治,2020-01-15,"
台語俗語足精彩 一百篇的酸鹹甜 台灣心 本土語言愛保留 台語情 逐家攏來講台語   走揣母語、親近母語，對俗語例句來學習，是真有效的方法。行佇台語文運動路上，真心推sak台語ê蕭平治老師，長期收集台灣俗...more
",https://www.books.com.tw/products/0010846121?loc=P_0003_010
11,鳥仔囝揣媽媽,鍾育紋,2019-12-01,"
本書從小白兔(兔仔囝)、小鳥(鳥仔囝)的視角出發，描述一隻走失的小鳥，在小白兔的協助下，踏上尋找媽媽的旅程。小鳥不知道自己是哪一種鳥，只知道爸媽羽毛的顏色，於是在這個線索下，小白兔沿路看到不同的...more
",https://www.books.com.tw/products/0010849658?loc=P_0003_011
12,小隱士想beh有一間厝,林榮淑,2019-12-01,"
小隱士是誰?他為何想要一個家?故事的開頭沒有馬上解答讀者的疑惑，只見尋常的夏日景象，動物與人們在各自家中，躲避即將襲來的颱風。直到開始下雨，才看到主角——寄居蟹(寄生仔)。住在養樂多罐子的寄居蟹，...more
",https://www.books.com.tw/products/0010849675?loc=P_0003_012
13,讖詩三百首：由讖詩發現台語字音,黃明輝,2019-10-28,"
這是一本藉由流傳已久的讖詩台語字音   從聲韻來探討台語文讀音與白話音異讀結構的類字典   「民俗文學」或稱「通俗文學」。有別於文學界對於文學作品的詮釋，自詩經、楚辭以至唐詩、宋詞等，歸類屬於「精...more
",https://www.books.com.tw/products/0010837029?loc=P_0003_013
14,閩南語拼音、朗讀好撇步,鄭安住,2019-10-28,"
本書特色   一、拼音結構說清楚：將臺灣閩南語羅馬字拼音方案的聲母、韻母、調符、調值分門別類，一一說明清楚。   二、四聲八調不含糊：將傳統聲韻學「平、上、去、入」四聲，每一聲再依清、濁分為陰、陽...more
",https://www.books.com.tw/products/0010838651?loc=P_0003_014
15,彼年的熱天 精選台語散文113篇：詳附註解，不懂台語也看得懂,李恆德,2019-10-08,"
聽台語阿伯講天說皇帝   活到76，人生看透透   故事一篇一篇講袂了   出生在戰前   成長在戰後貧瘠的年代   小時候在故鄉充滿泥土氣息的農村長大   初中以前的學業原本是一帆風順   高中時候一場家庭變故...more
",https://www.books.com.tw/products/0010837270?loc=P_0003_015
16,簡明醫用台語：一本在手溝通無礙，醫病對話不再雞同鴨講,李恆德,2019-10-08,"
*針對病患溝通需要而填寫   醫護、病患、家屬一體適用   *華語台語拼音並列   方便自學、教學與查閱   一個沒有醫學背景的人寫醫用台語也算是一個奇蹟   父親是日據時代小基隆庄(三芝鄉)公醫的助理   有著...more
",https://www.books.com.tw/products/0010837304?loc=P_0003_016
17,日用台語800句：學台語一本搞定，附古文暨詩詞欣賞,李恆德,2019-10-08,"
內容涵蓋   居家、外出、旅遊、購物、休閒、求診…….等   日常生活所有面相   華台語拼音併列，適合自學及教學兩用。   出生在戰前   成長在戰後貧瘠的年代   小時候在故鄉充滿泥土氣息的農村長大   初中以...more
",https://www.books.com.tw/products/0010837334?loc=P_0003_017
18,閩南語字音字形好好學(4版),鄭安住,2019-09-28,"
參加閩南語字音字形競賽及閩南語語言能力認證最管用的語文學習書!   本書著重實用性，所收錄的內容是作者根據多年的閩南語教學經驗及歷年全國語文競賽閩南語字音字形競賽所出現的考題後，挑選出基本、重要...more
",https://www.books.com.tw/products/0010835501?loc=P_0003_018
19,激骨話：台灣歇後語(附讀法QR Code),曹銘宗,2019-08-28,"
台灣最詼諧的說話藝術，古典台語的腦筋急轉彎 台灣生活史偵探曹銘宗25年經典之作，重新詮釋書寫   民間的俗諺俚語，蘊含先民的生活知識及處世智慧，其中歇後語更透過語言的趣味表現出來，所以也稱俏皮話。...more
",https://www.books.com.tw/products/0010832041?loc=P_0003_019
20,閩南語字音字形好撇步(3版),鄭安住,2019-07-28,"
本書作者專攻閩南語教學指導，經驗豐富，曾榮獲「教育部106年表揚推展本土語言傑出貢獻獎/個人組」，內容重實用性，將其教學經驗融入書中，少教條式的理論，讀者能從簡練的內容中，掌握學好閩南語字音字形...more
",https://www.books.com.tw/products/0010829537?loc=P_0003_020
21,2012台文通訊BONG報年度選,"Voyu Taokara Lâu,亞茱,吳正任,吳瑞琪,周定邦,唐秉輝,林裕凱,柯柏榮,楊振裕,洪錦田,潘科元,王一如,王昭華,王薈雯,藍春瑞,邱偉欣,陳威志,陳胤,黃文宏",2019-07-01,"
《台文通訊》本成是美國洛杉磯一陣台文寫作會ê成員發表作品ê平台，後--來，發展成做海內外台文運動者共同ê平面媒體。《台文BONG報》是《台文通訊》台灣總連絡處台北寫作會佇1996年另外創辦，定位做「台語...more
",https://www.books.com.tw/products/0010847194?loc=P_0003_021
22,臺語演講三五步：指導大人演講比賽ê祕笈,劉明新,2019-06-19,"
|最實用的臺語演講教戰手冊|   20餘年臺語演講比賽第一線指導經驗之大成   跳脫臺語僅能使用於日常之迷思   羅列常用俗諺、重要學術名詞等，擴大臺語使用之範圍   除增進臺語文能力，更可從本書體會臺語之...more
",https://www.books.com.tw/products/0010825236?loc=P_0003_022
23,臺灣社會語言地理學研究：臺灣語言的分類與分區Ⅰ+臺灣語言地圖集Ⅱ(二冊套書),洪惟仁,2019-06-01,"
臺灣語言學巨擘洪惟仁教授歷時三十餘年語言調查； 總合語言學、方言學、社會學、地理學的跨領域研究成果， 獻給臺灣的土地與人民──  臺灣史上第一份，深入臺灣各地的語言調查總報告 《臺灣社會語言地理學...more
",https://www.books.com.tw/products/0010823125?loc=P_0003_023
